coverage,dataset,exact_cell,oracle_utility_vs_pop,role,selected_preservation_rate,selected_windows,unit_id,window_count
0.8,sgeyesub,study03|layout_03|200,0.008332057789707789,hindsight_oracle_query_outcome_diagnostic_only,0.4025974025974026,77,study03/study03_p20,96
1.0,sgeyesub,study03|layout_03|200,-0.01395496734312436,hindsight_oracle_query_outcome_diagnostic_only,0.4895833333333333,96,study03/study03_p20,96
0.5,sgeyesub,study03|layout_03|200,-0.015673499084620793,hindsight_oracle_query_outcome_diagnostic_only,0.9583333333333334,48,study03/study03_p21,96
0.8,sgeyesub,study03|layout_03|200,-0.0558891467308926,hindsight_oracle_query_outcome_diagnostic_only,0.9090909090909091,77,study03/study03_p21,96
1.0,sgeyesub,study03|layout_03|200,-0.11669370213888601,hindsight_oracle_query_outcome_diagnostic_only,0.7291666666666666,96,study03/study03_p21,96
0.5,sgeyesub,study03|layout_03|200,-0.013949675393899633,hindsight_oracle_query_outcome_diagnostic_only,0.9210526315789473,38,study03/study03_p22,76
0.8,sgeyesub,study03|layout_03|200,-0.03584521464518116,hindsight_oracle_query_outcome_diagnostic_only,0.8852459016393442,61,study03/study03_p22,76
1.0,sgeyesub,study03|layout_03|200,-0.06723164489517519,hindsight_oracle_query_outcome_diagnostic_only,0.868421052631579,76,study03/study03_p22,76
0.5,sgeyesub,study03|layout_03|200,-0.00037386654760180037,hindsight_oracle_query_outcome_diagnostic_only,0.7941176470588235,34,study03/study03_p23,68
0.8,sgeyesub,study03|layout_03|200,-0.00779846253270006,hindsight_oracle_query_outcome_diagnostic_only,0.8518518518518519,54,study03/study03_p23,68
1.0,sgeyesub,study03|layout_03|200,-0.019594650155317566,hindsight_oracle_query_outcome_diagnostic_only,0.8676470588235294,68,study03/study03_p23,68
0.5,sgeyesub,study03|layout_03|200,-0.006289000688054785,hindsight_oracle_query_outcome_diagnostic_only,0.9722222222222222,36,study03/study03_p24,72
0.8,sgeyesub,study03|layout_03|200,-0.02219224400791218,hindsight_oracle_query_outcome_diagnostic_only,0.9827586206896551,58,study03/study03_p24,72
1.0,sgeyesub,study03|layout_03|200,-0.047238120058454944,hindsight_oracle_query_outcome_diagnostic_only,0.9861111111111112,72,study03/study03_p24,72
0.5,sgeyesub,study03|layout_03|200,-0.0027256575558277456,hindsight_oracle_query_outcome_diagnostic_only,0.8809523809523809,42,study03/study03_p25,84
0.8,sgeyesub,study03|layout_03|200,-0.015045853836922717,hindsight_oracle_query_outcome_diagnostic_only,0.8656716417910447,67,study03/study03_p25,84
1.0,sgeyesub,study03|layout_03|200,-0.04139620078390626,hindsight_oracle_query_outcome_diagnostic_only,0.8809523809523809,84,study03/study03_p25,84
0.5,sgeyesub,study03|layout_03|200,-0.0032855212574385063,hindsight_oracle_query_outcome_diagnostic_only,0.9791666666666666,48,study03/study03_p26,96
0.8,sgeyesub,study03|layout_03|200,-0.013041762091136897,hindsight_oracle_query_outcome_diagnostic_only,0.948051948051948,77,study03/study03_p26,96
1.0,sgeyesub,study03|layout_03|200,-0.033891403918476594,hindsight_oracle_query_outcome_diagnostic_only,0.9583333333333334,96,study03/study03_p26,96
0.5,sgeyesub,study03|layout_03|200,-0.009684539847406774,hindsight_oracle_query_outcome_diagnostic_only,0.6,50,study03/study03_p27,100
0.8,sgeyesub,study03|layout_03|200,-0.043001708819094146,hindsight_oracle_query_outcome_diagnostic_only,0.475,80,study03/study03_p27,100
1.0,sgeyesub,study03|layout_03|200,-0.09073453584683942,hindsight_oracle_query_outcome_diagnostic_only,0.38,100,study03/study03_p27,100
0.5,sgeyesub,study02|layout_02|200,-0.0018743682908999822,hindsight_oracle_query_outcome_diagnostic_only,1.0,52,study02/study02_p02,104
0.8,sgeyesub,study02|layout_02|200,-0.008308433389478148,hindsight_oracle_query_outcome_diagnostic_only,1.0,83,study02/study02_p02,104
1.0,sgeyesub,study02|layout_02|200,-0.016509064059967934,hindsight_oracle_query_outcome_diagnostic_only,1.0,104,study02/study02_p02,104
0.5,sgeyesub,study02|layout_02|200,0.023015829994856046,hindsight_oracle_query_outcome_diagnostic_only,0.9791666666666666,48,study02/study02_p03,96
0.8,sgeyesub,study02|layout_02|200,0.01811215884796315,hindsight_oracle_query_outcome_diagnostic_only,0.974025974025974,77,study02/study02_p03,96
1.0,sgeyesub,study02|layout_02|200,0.010956519647175386,hindsight_oracle_query_outcome_diagnostic_only,0.9479166666666666,96,study02/study02_p03,96
0.5,sgeyesub,study02|layout_02|200,0.008312923093790373,hindsight_oracle_query_outcome_diagnostic_only,1.0,48,study02/study02_p06,96
0.8,sgeyesub,study02|layout_02|200,0.002454957025442999,hindsight_oracle_query_outcome_diagnostic_only,1.0,77,study02/study02_p06,96
1.0,sgeyesub,study02|layout_02|200,-0.014057877081622127,hindsight_oracle_query_outcome_diagnostic_only,1.0,96,study02/study02_p06,96
0.5,sgeyesub,study02|layout_02|200,0.0007267689810661848,hindsight_oracle_query_outcome_diagnostic_only,0.9545454545454546,44,study02/study02_p07,88
0.8,sgeyesub,study02|layout_02|200,-0.004763053615923951,hindsight_oracle_query_outcome_diagnostic_only,0.9714285714285714,70,study02/study02_p07,88
1.0,sgeyesub,study02|layout_02|200,-0.021427793011419432,hindsight_oracle_query_outcome_diagnostic_only,0.9772727272727273,88,study02/study02_p07,88
0.5,sgeyesub,study02|layout_02|200,0.0009846362738100813,hindsight_oracle_query_outcome_diagnostic_only,0.9230769230769231,52,study02/study02_p08,104
0.8,sgeyesub,study02|layout_02|200,-0.019607820093840808,hindsight_oracle_query_outcome_diagnostic_only,0.9518072289156626,83,study02/study02_p08,104
1.0,sgeyesub,study02|layout_02|200,-0.10066713787075326,hindsight_oracle_query_outcome_diagnostic_only,0.9615384615384616,104,study02/study02_p08,104
0.5,sgeyesub,study02|layout_02|200,-0.00457840327576945,hindsight_oracle_query_outcome_diagnostic_only,1.0,52,study02/study02_p09,104
0.8,sgeyesub,study02|layout_02|200,-0.018026647514108193,hindsight_oracle_query_outcome_diagnostic_only,1.0,83,study02/study02_p09,104
1.0,sgeyesub,study02|layout_02|200,-0.041491269596237314,hindsight_oracle_query_outcome_diagnostic_only,1.0,104,study02/study02_p09,104
0.5,sgeyesub,study02|layout_02|200,0.0029993487501406833,hindsight_oracle_query_outcome_diagnostic_only,0.86,50,study02/study02_p10,100
0.8,sgeyesub,study02|layout_02|200,-0.005283333925107959,hindsight_oracle_query_outcome_diagnostic_only,0.9,80,study02/study02_p10,100
1.0,sgeyesub,study02|layout_02|200,-0.02386576878486075,hindsight_oracle_query_outcome_diagnostic_only,0.92,100,study02/study02_p10,100
0.5,sgeyesub,study02|layout_02|200,-0.0033684328747389494,hindsight_oracle_query_outcome_diagnostic_only,1.0,52,study02/study02_p11,104
0.8,sgeyesub,study02|layout_02|200,-0.015659299543392645,hindsight_oracle_query_outcome_diagnostic_only,0.9879518072289156,83,study02/study02_p11,104
1.0,sgeyesub,study02|layout_02|200,-0.037718721694435624,hindsight_oracle_query_outcome_diagnostic_only,0.9903846153846154,104,study02/study02_p11,104
0.5,sgeyesub,study02|layout_02|200,-0.00044509701374214835,hindsight_oracle_query_outcome_diagnostic_only,1.0,54,study02/study02_p12,108
0.8,sgeyesub,study02|layout_02|200,-0.009023774850673323,hindsight_oracle_query_outcome_diagnostic_only,0.9883720930232558,86,study02/study02_p12,108
1.0,sgeyesub,study02|layout_02|200,-0.026425590178709178,hindsight_oracle_query_outcome_diagnostic_only,0.9907407407407407,108,study02/study02_p12,108
0.5,sgeyesub,study02|layout_02|200,0.0010196348139249695,hindsight_oracle_query_outcome_diagnostic_only,0.9,50,study02/study02_p13,100
0.8,sgeyesub,study02|layout_02|200,-0.008200385975158136,hindsight_oracle_query_outcome_diagnostic_only,0.925,80,study02/study02_p13,100
1.0,sgeyesub,study02|layout_02|200,-0.044316963512537534,hindsight_oracle_query_outcome_diagnostic_only,0.94,100,study02/study02_p13,100
0.5,sgeyesub,study02|layout_02|200,0.005070226059634205,hindsight_oracle_query_outcome_diagnostic_only,0.8541666666666666,48,study02/study02_p14,96
0.8,sgeyesub,study02|layout_02|200,0.00017423360243632555,hindsight_oracle_query_outcome_diagnostic_only,0.9090909090909091,77,study02/study02_p14,96
1.0,sgeyesub,study02|layout_02|200,-0.009110392013997036,hindsight_oracle_query_outcome_diagnostic_only,0.9270833333333334,96,study02/study02_p14,96
0.5,sgeyesub,study02|layout_02|200,0.000800513890425445,hindsight_oracle_query_outcome_diagnostic_only,1.0,52,study02/study02_p15,104
0.8,sgeyesub,study02|layout_02|200,-0.007501950885527563,hindsight_oracle_query_outcome_diagnostic_only,1.0,83,study02/study02_p15,104
1.0,sgeyesub,study02|layout_02|200,-0.024441803831818133,hindsight_oracle_query_outcome_diagnostic_only,1.0,104,study02/study02_p15,104
0.5,sgeyesub,study02|layout_02|200,-0.0005450785412188601,hindsight_oracle_query_outcome_diagnostic_only,0.9615384615384616,52,study02/study02_p16,104
0.8,sgeyesub,study02|layout_02|200,-0.006521686680486457,hindsight_oracle_query_outcome_diagnostic_only,0.9759036144578314,83,study02/study02_p16,104
1.0,sgeyesub,study02|layout_02|200,-0.016186334556378062,hindsight_oracle_query_outcome_diagnostic_only,0.9807692307692307,104,study02/study02_p16,104
0.5,sgeyesub,study02|layout_02|200,0.0013401252076134492,hindsight_oracle_query_outcome_diagnostic_only,0.9230769230769231,52,study02/study02_p17,104
0.8,sgeyesub,study02|layout_02|200,-0.0069274844790303694,hindsight_oracle_query_outcome_diagnostic_only,0.9397590361445783,83,study02/study02_p17,104
1.0,sgeyesub,study02|layout_02|200,-0.025538988691096894,hindsight_oracle_query_outcome_diagnostic_only,0.9423076923076923,104,study02/study02_p17,104
0.5,sgeyesub,study02|layout_02|200,-0.0007937504235127006,hindsight_oracle_query_outcome_diagnostic_only,0.9074074074074074,54,study02/study02_p18,108
0.8,sgeyesub,study02|layout_02|200,-0.019286588932939927,hindsight_oracle_query_outcome_diagnostic_only,0.9418604651162791,86,study02/study02_p18,108
1.0,sgeyesub,study02|layout_02|200,-0.04809973561829603,hindsight_oracle_query_outcome_diagnostic_only,0.9537037037037037,108,study02/study02_p18,108
0.5,sgeyesub,study04|layout_04|100,0.005688657725125554,hindsight_oracle_query_outcome_diagnostic_only,0.8541666666666666,48,study04/study04_p03,96
0.8,sgeyesub,study04|layout_04|100,-0.0008996059678889572,hindsight_oracle_query_outcome_diagnostic_only,0.7662337662337663,77,study04/study04_p03,96
1.0,sgeyesub,study04|layout_04|100,-0.013642934211745813,hindsight_oracle_query_outcome_diagnostic_only,0.6979166666666666,96,study04/study04_p03,96
0.5,sgeyesub,study04|layout_04|100,0.0003708497813158372,hindsight_oracle_query_outcome_diagnostic_only,1.0,38,study04/study04_p08,76
0.8,sgeyesub,study04|layout_04|100,-0.02744269201417012,hindsight_oracle_query_outcome_diagnostic_only,0.9672131147540983,61,study04/study04_p08,76
1.0,sgeyesub,study04|layout_04|100,-0.07874725830464252,hindsight_oracle_query_outcome_diagnostic_only,0.9736842105263158,76,study04/study04_p08,76
0.5,sgeyesub,study04|layout_04|100,0.010113754814422383,hindsight_oracle_query_outcome_diagnostic_only,0.41304347826086957,46,study04/study04_p24,92
0.8,sgeyesub,study04|layout_04|100,0.007045760198009358,hindsight_oracle_query_outcome_diagnostic_only,0.5540540540540541,74,study04/study04_p24,92
1.0,sgeyesub,study04|layout_04|100,-0.0014175228700868388,hindsight_oracle_query_outcome_diagnostic_only,0.5869565217391305,92,study04/study04_p24,92
0.5,sgeyesub,study04|layout_04|100,0.008177338860659546,hindsight_oracle_query_outcome_diagnostic_only,0.7,40,study04/study04_p28,80
0.8,sgeyesub,study04|layout_04|100,0.0038752940257308155,hindsight_oracle_query_outcome_diagnostic_only,0.765625,64,study04/study04_p28,80
1.0,sgeyesub,study04|layout_04|100,-0.008901166239694027,hindsight_oracle_query_outcome_diagnostic_only,0.75,80,study04/study04_p28,80
0.5,sgeyesub,study04|layout_04|100,0.007612838166401717,hindsight_oracle_query_outcome_diagnostic_only,0.6739130434782609,46,study04/study04_p29,92
0.8,sgeyesub,study04|layout_04|100,0.0019118593524806305,hindsight_oracle_query_outcome_diagnostic_only,0.6621621621621622,74,study04/study04_p29,92
1.0,sgeyesub,study04|layout_04|100,-0.016895904606005426,hindsight_oracle_query_outcome_diagnostic_only,0.7065217391304348,92,study04/study04_p29,92
0.5,sgeyesub,study04|layout_04|100,0.004557640199110199,hindsight_oracle_query_outcome_diagnostic_only,0.72,50,study04/study04_p30,100
0.8,sgeyesub,study04|layout_04|100,-0.005051696675775804,hindsight_oracle_query_outcome_diagnostic_only,0.7375,80,study04/study04_p30,100
1.0,sgeyesub,study04|layout_04|100,-0.03578371450516833,hindsight_oracle_query_outcome_diagnostic_only,0.79,100,study04/study04_p30,100
0.5,sgeyesub,study04|layout_04|100,0.004674058357661293,hindsight_oracle_query_outcome_diagnostic_only,0.75,44,study04/study04_p31,88
0.8,sgeyesub,study04|layout_04|100,0.0009441769958704938,hindsight_oracle_query_outcome_diagnostic_only,0.7857142857142857,70,study04/study04_p31,88
1.0,sgeyesub,study04|layout_04|100,-0.0065090080687894925,hindsight_oracle_query_outcome_diagnostic_only,0.8295454545454546,88,study04/study04_p31,88
0.5,sgeyesub,study04|layout_04|100,0.048252705783424936,hindsight_oracle_query_outcome_diagnostic_only,0.7291666666666666,48,study04/study04_p32,96
0.8,sgeyesub,study04|layout_04|100,0.04649823642645729,hindsight_oracle_query_outcome_diagnostic_only,0.7402597402597403,77,study04/study04_p32,96
1.0,sgeyesub,study04|layout_04|100,0.03849870843668531,hindsight_oracle_query_outcome_diagnostic_only,0.6875,96,study04/study04_p32,96
0.5,sgeyesub,study04|layout_04|100,0.012341207244240758,hindsight_oracle_query_outcome_diagnostic_only,0.82,50,study04/study04_p33,100
0.8,sgeyesub,study04|layout_04|100,0.008816451640592303,hindsight_oracle_query_outcome_diagnostic_only,0.8375,80,study04/study04_p33,100
1.0,sgeyesub,study04|layout_04|100,-0.0060794754073672345,hindsight_oracle_query_outcome_diagnostic_only,0.8,100,study04/study04_p33,100
0.5,sgeyesub,study04|layout_04|100,0.014111766321994831,hindsight_oracle_query_outcome_diagnostic_only,0.9,50,study04/study04_p34,100
0.8,sgeyesub,study04|layout_04|100,-0.002214269474250503,hindsight_oracle_query_outcome_diagnostic_only,0.8,80,study04/study04_p34,100
1.0,sgeyesub,study04|layout_04|100,-0.028010741876584425,hindsight_oracle_query_outcome_diagnostic_only,0.82,100,study04/study04_p34,100
0.5,sgeyesub,study04|layout_04|100,0.0734960409523312,hindsight_oracle_query_outcome_diagnostic_only,0.0,54,study04/study04_p35,108
0.8,sgeyesub,study04|layout_04|100,0.07594320137510902,hindsight_oracle_query_outcome_diagnostic_only,0.20930232558139536,86,study04/study04_p35,108
1.0,sgeyesub,study04|layout_04|100,0.06608763711426999,hindsight_oracle_query_outcome_diagnostic_only,0.32407407407407407,108,study04/study04_p35,108
0.5,sgeyesub,study04|layout_04|100,0.0014254800773013665,hindsight_oracle_query_outcome_diagnostic_only,0.6521739130434783,46,study04/study04_p36,92
0.8,sgeyesub,study04|layout_04|100,-0.005579942938282469,hindsight_oracle_query_outcome_diagnostic_only,0.6486486486486487,74,study04/study04_p36,92
1.0,sgeyesub,study04|layout_04|100,-0.037517889404758996,hindsight_oracle_query_outcome_diagnostic_only,0.7065217391304348,92,study04/study04_p36,92
0.5,sgeyesub,study04|layout_04|100,0.014141118893822363,hindsight_oracle_query_outcome_diagnostic_only,0.5,38,study04/study04_p37,76
0.8,sgeyesub,study04|layout_04|100,0.010642773801350047,hindsight_oracle_query_outcome_diagnostic_only,0.5737704918032787,61,study04/study04_p37,76
1.0,sgeyesub,study04|layout_04|100,-0.0004898355598424727,hindsight_oracle_query_outcome_diagnostic_only,0.618421052631579,76,study04/study04_p37,76
0.5,sgeyesub,study04|layout_04|100,-0.0006713386002664684,hindsight_oracle_query_outcome_diagnostic_only,0.8,40,study04/study04_p38,80
0.8,sgeyesub,study04|layout_04|100,-0.016928620185277958,hindsight_oracle_query_outcome_diagnostic_only,0.78125,64,study04/study04_p38,80
1.0,sgeyesub,study04|layout_04|100,-0.07295642978916458,hindsight_oracle_query_outcome_diagnostic_only,0.825,80,study04/study04_p38,80
0.5,sgeyesub,study04|layout_04|100,0.002291695697450685,hindsight_oracle_query_outcome_diagnostic_only,0.6304347826086957,46,study04/study04_p39,92
0.8,sgeyesub,study04|layout_04|100,-0.002914499784820497,hindsight_oracle_query_outcome_diagnostic_only,0.6756756756756757,74,study04/study04_p39,92
1.0,sgeyesub,study04|layout_04|100,-0.012927499728109002,hindsight_oracle_query_outcome_diagnostic_only,0.7282608695652174,92,study04/study04_p39,92
0.5,sgeyesub,study05|layout_05|256,0.01482991642492609,hindsight_oracle_query_outcome_diagnostic_only,0.825,40,study05/study05_p06,80
0.8,sgeyesub,study05|layout_05|256,0.010136706410928148,hindsight_oracle_query_outcome_diagnostic_only,0.875,64,study05/study05_p06,80
1.0,sgeyesub,study05|layout_05|256,-0.0036440534071821447,hindsight_oracle_query_outcome_diagnostic_only,0.8875,80,study05/study05_p06,80
0.5,sgeyesub,study05|layout_05|256,0.009831528222394014,hindsight_oracle_query_outcome_diagnostic_only,0.7894736842105263,38,study05/study05_p10,76
0.8,sgeyesub,study05|layout_05|256,0.0060089796174252336,hindsight_oracle_query_outcome_diagnostic_only,0.8360655737704918,61,study05/study05_p10,76
1.0,sgeyesub,study05|layout_05|256,-0.007449382343137333,hindsight_oracle_query_outcome_diagnostic_only,0.75,76,study05/study05_p10,76
0.5,sgeyesub,study05|layout_05|256,0.01252904291403941,hindsight_oracle_query_outcome_diagnostic_only,0.6388888888888888,36,study05/study05_p24,72
