dataset,estimand,oracle_query_EOG_diagnostic_only,unit_id,utility_effect_positive_is_better
sgeyesub,oracle_subject_specificity,True,study01/study01_p03,-0.05966052818410891
sgeyesub,oracle_subject_calibration,True,study01/study01_p04,-0.009537726281990344
sgeyesub,oracle_subject_specificity,True,study01/study01_p04,-0.00018255089530289093
sgeyesub,oracle_subject_calibration,True,study01/study01_p05,3.4302580083966916e-05
sgeyesub,oracle_subject_specificity,True,study01/study01_p05,3.532608703707418e-05
sgeyesub,oracle_subject_calibration,True,study03/study03_p03,0.027599237247671937
sgeyesub,oracle_subject_specificity,True,study03/study03_p03,0.02863817764373572
sgeyesub,oracle_subject_calibration,True,study03/study03_p19,-0.1147089688594527
sgeyesub,oracle_subject_specificity,True,study03/study03_p19,-0.1224991507327256
sgeyesub,oracle_subject_calibration,True,study03/study03_p20,-0.03406636853885825
sgeyesub,oracle_subject_specificity,True,study03/study03_p20,0.04539456526956734
sgeyesub,oracle_subject_calibration,True,study03/study03_p21,0.0034524082376143905
sgeyesub,oracle_subject_specificity,True,study03/study03_p21,0.017883677999775027
sgeyesub,oracle_subject_calibration,True,study03/study03_p22,0.023651893140741675
sgeyesub,oracle_subject_specificity,True,study03/study03_p22,0.042700951490422134
sgeyesub,oracle_subject_calibration,True,study03/study03_p23,-0.04990735087820969
sgeyesub,oracle_subject_specificity,True,study03/study03_p23,0.005072168025868101
sgeyesub,oracle_subject_calibration,True,study03/study03_p24,0.008794939863018603
sgeyesub,oracle_subject_specificity,True,study03/study03_p24,0.03427419905492013
sgeyesub,oracle_subject_calibration,True,study03/study03_p25,-0.019808126579887675
sgeyesub,oracle_subject_specificity,True,study03/study03_p25,0.054654303338629806
sgeyesub,oracle_subject_calibration,True,study03/study03_p26,0.03700411788552155
sgeyesub,oracle_subject_specificity,True,study03/study03_p26,0.05486104124213609
sgeyesub,oracle_subject_calibration,True,study03/study03_p27,0.018710696400312754
sgeyesub,oracle_subject_specificity,True,study03/study03_p27,0.050553846952876846
sgeyesub,oracle_subject_calibration,True,study02/study02_p02,0.01759120958972704
sgeyesub,oracle_subject_specificity,True,study02/study02_p02,0.0338766343243001
sgeyesub,oracle_subject_calibration,True,study02/study02_p03,0.010788133815124001
sgeyesub,oracle_subject_specificity,True,study02/study02_p03,0.009572181754656184
sgeyesub,oracle_subject_calibration,True,study02/study02_p06,-0.008649337987513328
sgeyesub,oracle_subject_specificity,True,study02/study02_p06,0.0009180643383833731
sgeyesub,oracle_subject_calibration,True,study02/study02_p07,0.0035096978397538003
sgeyesub,oracle_subject_specificity,True,study02/study02_p07,0.00300438249406898
sgeyesub,oracle_subject_calibration,True,study02/study02_p08,-0.005900901629522892
sgeyesub,oracle_subject_specificity,True,study02/study02_p08,-0.00505470376172229
sgeyesub,oracle_subject_calibration,True,study02/study02_p09,-0.024123799563672832
sgeyesub,oracle_subject_specificity,True,study02/study02_p09,-0.03549738460308294
sgeyesub,oracle_subject_calibration,True,study02/study02_p10,-0.00010285089678013781
sgeyesub,oracle_subject_specificity,True,study02/study02_p10,0.0033163830634488356
sgeyesub,oracle_subject_calibration,True,study02/study02_p11,0.00939471582854473
sgeyesub,oracle_subject_specificity,True,study02/study02_p11,0.015417808603516658
sgeyesub,oracle_subject_calibration,True,study02/study02_p12,0.0030023738374424513
sgeyesub,oracle_subject_specificity,True,study02/study02_p12,0.006359903639660769
sgeyesub,oracle_subject_calibration,True,study02/study02_p13,0.006813391154314896
sgeyesub,oracle_subject_specificity,True,study02/study02_p13,0.032585291193169164
sgeyesub,oracle_subject_calibration,True,study02/study02_p14,-0.14961062391448282
sgeyesub,oracle_subject_specificity,True,study02/study02_p14,-0.11075759238364746
sgeyesub,oracle_subject_calibration,True,study02/study02_p15,0.004264918265354911
sgeyesub,oracle_subject_specificity,True,study02/study02_p15,0.013903013780721618
sgeyesub,oracle_subject_calibration,True,study02/study02_p16,-0.006731213366089839
sgeyesub,oracle_subject_specificity,True,study02/study02_p16,0.014518021924931929
sgeyesub,oracle_subject_calibration,True,study02/study02_p17,-0.0020182267245020258
sgeyesub,oracle_subject_specificity,True,study02/study02_p17,0.02121637138515786
sgeyesub,oracle_subject_calibration,True,study02/study02_p18,-0.006386357614823646
sgeyesub,oracle_subject_specificity,True,study02/study02_p18,0.004832003126980233
sgeyesub,oracle_subject_calibration,True,study04/study04_p03,-0.004031170518302596
sgeyesub,oracle_subject_specificity,True,study04/study04_p03,0.016277128652819606
sgeyesub,oracle_subject_calibration,True,study04/study04_p08,0.0005035199936670454
sgeyesub,oracle_subject_specificity,True,study04/study04_p08,-9.419560336931809e-05
sgeyesub,oracle_subject_calibration,True,study04/study04_p24,-0.01526655914912703
sgeyesub,oracle_subject_specificity,True,study04/study04_p24,0.0018176263861089392
sgeyesub,oracle_subject_calibration,True,study04/study04_p28,-0.004117903677975321
sgeyesub,oracle_subject_specificity,True,study04/study04_p28,0.0010362693425348124
sgeyesub,oracle_subject_calibration,True,study04/study04_p29,-0.0009406319284289699
sgeyesub,oracle_subject_specificity,True,study04/study04_p29,0.006145783250960157
sgeyesub,oracle_subject_calibration,True,study04/study04_p30,-0.004963307460107008
sgeyesub,oracle_subject_specificity,True,study04/study04_p30,0.0016052107202560173
sgeyesub,oracle_subject_calibration,True,study04/study04_p31,-0.013939388414447529
sgeyesub,oracle_subject_specificity,True,study04/study04_p31,0.0038726995347543314
sgeyesub,oracle_subject_calibration,True,study04/study04_p32,0.0011020181863972134
sgeyesub,oracle_subject_specificity,True,study04/study04_p32,0.0010789499711122696
sgeyesub,oracle_subject_calibration,True,study04/study04_p33,-0.03416484794729552
sgeyesub,oracle_subject_specificity,True,study04/study04_p33,-0.022038770971329114
sgeyesub,oracle_subject_calibration,True,study04/study04_p34,-0.00719107138798436
sgeyesub,oracle_subject_specificity,True,study04/study04_p34,0.03529172275314968
sgeyesub,oracle_subject_calibration,True,study04/study04_p35,0.005918460099088418
sgeyesub,oracle_subject_specificity,True,study04/study04_p35,0.023224497352907436
sgeyesub,oracle_subject_calibration,True,study04/study04_p36,-0.012568675120389783
sgeyesub,oracle_subject_specificity,True,study04/study04_p36,0.019314211163638406
sgeyesub,oracle_subject_calibration,True,study04/study04_p37,-0.006688263055304344
sgeyesub,oracle_subject_specificity,True,study04/study04_p37,0.011791507616568275
sgeyesub,oracle_subject_calibration,True,study04/study04_p38,0.0012880707840516314
sgeyesub,oracle_subject_specificity,True,study04/study04_p38,0.005848395481928614
sgeyesub,oracle_subject_calibration,True,study04/study04_p39,0.01585413779468553
sgeyesub,oracle_subject_specificity,True,study04/study04_p39,0.01589153781104341
sgeyesub,oracle_subject_calibration,True,study05/study05_p06,-0.0015457099478835556
sgeyesub,oracle_subject_specificity,True,study05/study05_p06,0.0485860444302067
sgeyesub,oracle_subject_calibration,True,study05/study05_p10,-0.00971588448981342
sgeyesub,oracle_subject_specificity,True,study05/study05_p10,0.018855049281701397
sgeyesub,oracle_subject_calibration,True,study05/study05_p24,-0.0010243615977392206
sgeyesub,oracle_subject_specificity,True,study05/study05_p24,0.029093429880189203
sgeyesub,oracle_subject_calibration,True,study05/study05_p40,0.0026873564935755434
sgeyesub,oracle_subject_specificity,True,study05/study05_p40,0.008551086848440026
sgeyesub,oracle_subject_calibration,True,study05/study05_p41,-0.0007175157598307558
sgeyesub,oracle_subject_specificity,True,study05/study05_p41,-2.9716534872603617e-05
sgeyesub,oracle_subject_calibration,True,study05/study05_p43,-0.00030593956690316837
sgeyesub,oracle_subject_specificity,True,study05/study05_p43,0.0029437644974288357
sgeyesub,oracle_subject_calibration,True,study05/study05_p44,0.010477722385917931
sgeyesub,oracle_subject_specificity,True,study05/study05_p44,0.021442404720911246
sgeyesub,oracle_subject_calibration,True,study05/study05_p45,-0.03198135778276856
sgeyesub,oracle_subject_specificity,True,study05/study05_p45,-0.019759085036760105
sgeyesub,oracle_subject_calibration,True,study05/study05_p46,0.015894388417072858
sgeyesub,oracle_subject_specificity,True,study05/study05_p46,0.036495458556681404
sgeyesub,oracle_subject_calibration,True,study05/study05_p47,-0.00010362621528417493
sgeyesub,oracle_subject_specificity,True,study05/study05_p47,0.001024202157190568
sgeyesub,oracle_subject_calibration,True,study05/study05_p48,-0.010148799614401183
sgeyesub,oracle_subject_specificity,True,study05/study05_p48,0.00022932438662870425
sgeyesub,oracle_subject_calibration,True,study05/study05_p49,-0.05094172934999169
sgeyesub,oracle_subject_specificity,True,study05/study05_p49,0.004865561042627975
sgeyesub,oracle_subject_calibration,True,study05/study05_p50,-0.019799065846285324
sgeyesub,oracle_subject_specificity,True,study05/study05_p50,0.0515737851436297
