fold_id,recording_key,wrong_donors,paired_windows,Q_roles,generator_trial_ids,clean_trial_ids,artifact_trial_ids,generator_time_ranges_samples,clean_time_ranges_samples,artifact_time_ranges_samples,role_overlap_verified,legacy_overlap_field_invalid
study02_layout_02_heldout_02,study02/study02_p10,study02/study02_p09,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,7,0,"[[1600, 3200], [3200, 4800], [4800, 6400], [6400, 8000], [8000, 9600], [9600, 11200], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000]]","[[11200, 12800]]","[[0, 1600]]",True,True
study02_layout_02_heldout_03,study02/study02_p11,study02/study02_p12,4,label_eligible_trial_maximization_generator_clean_artifact,0;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,9,1,"[[0, 1600], [3200, 4800], [4800, 6400], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000], [40000, 41600]]","[[14400, 16000]]","[[1600, 3200]]",True,True
study02_layout_02_heldout_03,study02/study02_p12,study02/study02_p11,4,label_eligible_trial_maximization_generator_clean_artifact,1;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,2,0,"[[1600, 3200], [4800, 6400], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000], [40000, 41600], [41600, 43200]]","[[3200, 4800]]","[[0, 1600]]",True,True
study02_layout_02_heldout_04,study02/study02_p13,study02/study02_p14,4,label_eligible_trial_maximization_generator_clean_artifact,0;1;2;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23;24,10,3,"[[0, 1600], [1600, 3200], [3200, 4800], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000]]","[[16000, 17600]]","[[4800, 6400]]",True,True
study02_layout_02_heldout_04,study02/study02_p14,study02/study02_p13,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,3,0,"[[1600, 3200], [3200, 4800], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400]]","[[4800, 6400]]","[[0, 1600]]",True,True
study02_layout_02_heldout_05,study02/study02_p15,study02/study02_p16,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,3,0,"[[1600, 3200], [3200, 4800], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000], [40000, 41600]]","[[4800, 6400]]","[[0, 1600]]",True,True
study02_layout_02_heldout_05,study02/study02_p16,study02/study02_p15,4,label_eligible_trial_maximization_generator_clean_artifact,0;2;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,7,1,"[[0, 1600], [3200, 4800], [4800, 6400], [6400, 8000], [8000, 9600], [9600, 11200], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000], [40000, 41600]]","[[11200, 12800]]","[[1600, 3200]]",True,True
study02_layout_02_heldout_06,study02/study02_p17,study02/study02_p18,4,label_eligible_trial_maximization_generator_clean_artifact,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,1,0,"[[3200, 4800], [4800, 6400], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000], [40000, 41600]]","[[1600, 3200]]","[[0, 1600]]",True,True
study02_layout_02_heldout_06,study02/study02_p18,study02/study02_p17,4,label_eligible_trial_maximization_generator_clean_artifact,0;1;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,3,2,"[[0, 1600], [1600, 3200], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000], [40000, 41600], [41600, 43200]]","[[4800, 6400]]","[[3200, 4800]]",True,True
study03_layout_03_heldout_00,study03/study03_p03,study03/study03_p19,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,0,4,"[[1600, 3200], [3200, 4800], [4800, 6400], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000]]","[[0, 1600]]","[[6400, 8000]]",True,True
study03_layout_03_heldout_00,study03/study03_p19,study03/study03_p03,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,6,0,"[[1600, 3200], [3200, 4800], [4800, 6400], [6400, 8000], [8000, 9600], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400], [38400, 40000], [40000, 41600]]","[[9600, 11200]]","[[0, 1600]]",True,True
study03_layout_03_heldout_01,study03/study03_p20,study03/study03_p21,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,3,0,"[[1600, 3200], [3200, 4800], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400]]","[[4800, 6400]]","[[0, 1600]]",True,True
study03_layout_03_heldout_01,study03/study03_p21,study03/study03_p20,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,0,3,"[[1600, 3200], [3200, 4800], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400]]","[[0, 1600]]","[[4800, 6400]]",True,True
study03_layout_03_heldout_02,study03/study03_p22,study03/study03_p23,4,label_eligible_trial_maximization_generator_clean_artifact,1;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18,2,0,"[[1600, 3200], [4800, 6400], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400]]","[[3200, 4800]]","[[0, 1600]]",True,True
study03_layout_03_heldout_02,study03/study03_p23,study03/study03_p22,4,label_eligible_trial_maximization_generator_clean_artifact,1;3;4;5;6;7;8;9;10;11;12;13;14;15;16,2,0,"[[1600, 3200], [4800, 6400], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200]]","[[3200, 4800]]","[[0, 1600]]",True,True
study03_layout_03_heldout_03,study03/study03_p24,study03/study03_p25,4,label_eligible_trial_maximization_generator_clean_artifact,0;1;2;3;4;6;7;9;10;11;12;13;14;15;16;17,8,5,"[[0, 1600], [1600, 3200], [3200, 4800], [4800, 6400], [6400, 8000], [9600, 11200], [11200, 12800], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800]]","[[12800, 14400]]","[[8000, 9600]]",True,True
study03_layout_03_heldout_03,study03/study03_p25,study03/study03_p24,4,label_eligible_trial_maximization_generator_clean_artifact,0;2;3;4;5;6;7;8;9;10;11;12;14;15;16;17;18;19;20,13,1,"[[0, 1600], [3200, 4800], [4800, 6400], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600]]","[[20800, 22400]]","[[1600, 3200]]",True,True
study03_layout_03_heldout_04,study03/study03_p26,study03/study03_p27,4,label_eligible_trial_maximization_generator_clean_artifact,0;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,5,1,"[[0, 1600], [3200, 4800], [4800, 6400], [6400, 8000], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [33600, 35200], [35200, 36800], [36800, 38400]]","[[8000, 9600]]","[[1600, 3200]]",True,True
study03_layout_03_heldout_04,study03/study03_p27,study03/study03_p26,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;22;23;24,21,0,"[[1600, 3200], [3200, 4800], [4800, 6400], [6400, 8000], [8000, 9600], [9600, 11200], [11200, 12800], [12800, 14400], [14400, 16000], [16000, 17600], [17600, 19200], [19200, 20800], [20800, 22400], [22400, 24000], [24000, 25600], [25600, 27200], [27200, 28800], [28800, 30400], [30400, 32000], [32000, 33600], [35200, 36800], [36800, 38400], [38400, 40000]]","[[33600, 35200]]","[[0, 1600]]",True,True
study04_layout_04_heldout_00,study04/study04_p03,study04/study04_p08;study04/study04_p24,4,label_eligible_trial_maximization_generator_clean_artifact,0;1;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,2,3,"[[0, 800], [800, 1600], [3200, 4000], [4000, 4800], [4800, 5600], [5600, 6400], [6400, 7200], [7200, 8000], [8000, 8800], [8800, 9600], [9600, 10400], [10400, 11200], [11200, 12000], [12000, 12800], [12800, 13600], [13600, 14400], [14400, 15200], [15200, 16000], [16000, 16800], [16800, 17600], [17600, 18400], [18400, 19200]]","[[1600, 2400]]","[[2400, 3200]]",True,True
study04_layout_04_heldout_00,study04/study04_p08,study04/study04_p03;study04/study04_p24,4,label_eligible_trial_maximization_generator_clean_artifact,0;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18,1,3,"[[0, 800], [1600, 2400], [3200, 4000], [4000, 4800], [4800, 5600], [5600, 6400], [6400, 7200], [7200, 8000], [8000, 8800], [8800, 9600], [9600, 10400], [10400, 11200], [11200, 12000], [12000, 12800], [12800, 13600], [13600, 14400], [14400, 15200]]","[[800, 1600]]","[[2400, 3200]]",True,True
study04_layout_04_heldout_00,study04/study04_p24,study04/study04_p03;study04/study04_p08,4,label_eligible_trial_maximization_generator_clean_artifact,0;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22,1,3,"[[0, 800], [1600, 2400], [3200, 4000], [4000, 4800], [4800, 5600], [5600, 6400], [6400, 7200], [7200, 8000], [8000, 8800], [8800, 9600], [9600, 10400], [10400, 11200], [11200, 12000], [12000, 12800], [12800, 13600], [13600, 14400], [14400, 15200], [15200, 16000], [16000, 16800], [16800, 17600], [17600, 18400]]","[[800, 1600]]","[[2400, 3200]]",True,True
study04_layout_04_heldout_01,study04/study04_p28,study04/study04_p29,4,label_eligible_trial_maximization_generator_clean_artifact,0;1;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,2,3,"[[0, 800], [800, 1600], [3200, 4000], [4000, 4800], [4800, 5600], [5600, 6400], [6400, 7200], [7200, 8000], [8000, 8800], [8800, 9600], [9600, 10400], [10400, 11200], [11200, 12000], [12000, 12800], [12800, 13600], [13600, 14400], [14400, 15200], [15200, 16000]]","[[1600, 2400]]","[[2400, 3200]]",True,True
study04_layout_04_heldout_01,study04/study04_p29,study04/study04_p28,4,label_eligible_trial_maximization_generator_clean_artifact,0;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22,1,3,"[[0, 800], [1600, 2400], [3200, 4000], [4000, 4800], [4800, 5600], [5600, 6400], [6400, 7200], [7200, 8000], [8000, 8800], [8800, 9600], [9600, 10400], [10400, 11200], [11200, 12000], [12000, 12800], [12800, 13600], [13600, 14400], [14400, 15200], [15200, 16000], [16000, 16800], [16800, 17600], [17600, 18400]]","[[800, 1600]]","[[2400, 3200]]",True,True
study04_layout_04_heldout_02,study04/study04_p30,study04/study04_p31,4,label_eligible_trial_maximization_generator_clean_artifact,0;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,1,3,"[[0, 800], [1600, 2400], [3200, 4000], [4000, 4800], [4800, 5600], [5600, 6400], [6400, 7200], [7200, 8000], [8000, 8800], [8800, 9600], [9600, 10400], [10400, 11200], [11200, 12000], [12000, 12800], [12800, 13600], [13600, 14400], [14400, 15200], [15200, 16000], [16000, 16800], [16800, 17600], [17600, 18400], [18400, 19200], [19200, 20000]]","[[800, 1600]]","[[2400, 3200]]",True,True
study04_layout_04_heldout_02,study04/study04_p31,study04/study04_p30,4,label_eligible_trial_maximization_generator_clean_artifact,1;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,2,0,"[[800, 1600], [2400, 3200], [3200, 4000], [4000, 4800], [4800, 5600], [5600, 6400], [6400, 7200], [7200, 8000], [8000, 8800], [8800, 9600], [9600, 10400], [10400, 11200], [11200, 12000], [12000, 12800], [12800, 13600], [13600, 14400], [14400, 15200], [15200, 16000], [16000, 16800], [16800, 17600]]","[[1600, 2400]]","[[0, 800]]",True,True
study04_layout_04_heldout_03,study04/study04_p32,study04/study04_p33,4,label_eligible_trial_maximization_generator_clean_artifact,0;1;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,2,3,"[[0, 800], [800, 1600], [3200, 4000], [4000, 4800], [4800, 5600], [5600, 6400], [6400, 7200], [7200, 8000], [8000, 8800], [8800, 9600], [9600, 10400], [10400, 11200], [11200, 12000], [12000, 12800], [12800, 13600], [13600, 14400], [14400, 15200], [15200, 16000], [16000, 16800], [16800, 17600], [17600, 18400], [18400, 19200]]","[[1600, 2400]]","[[2400, 3200]]",True,True
study04_layout_04_heldout_03,study04/study04_p33,study04/study04_p32,4,label_eligible_trial_maximization_generator_clean_artifact,1;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,2,0,"[[800, 1600], [2400, 3200], [3200, 4000], [4000, 4800], [4800, 5600], [5600, 6400], [6400, 7200], [7200, 8000], [8000, 8800], [8800, 9600], [9600, 10400], [10400, 11200], [11200, 12000], [12000, 12800], [12800, 13600], [13600, 14400], [14400, 15200], [15200, 16000], [16000, 16800], [16800, 17600], [17600, 18400], [18400, 19200], [19200, 20000]]","[[1600, 2400]]","[[0, 800]]",True,True
study04_layout_04_heldout_04,study04/study04_p34,study04/study04_p35,4,label_eligible_trial_maximization_generator_clean_artifact,0;1;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;21;22;23;24,2,15,"[[0, 800], [800, 1600], [2400, 3200], [3200, 4000], [4000, 4800], [4800, 5600], [5600, 6400], [6400, 7200], [7200, 8000], [8000, 8800], [8800, 9600], [9600, 10400], [10400, 11200], [11200, 12000], [12800, 13600], [13600, 14400], [14400, 15200], [15200, 16000], [16000, 16800], [16800, 17600], [17600, 18400], [18400, 19200], [19200, 20000]]","[[1600, 2400]]","[[12000, 12800]]",True,True
study04_layout_04_heldout_04,study04/study04_p35,study04/study04_p34,4,label_eligible_trial_maximization_generator_clean_artifact,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,26,10,"[[0, 800], [800, 1600], [1600, 2400], [2400, 3200], [3200, 4000], [4000, 4800], [4800, 5600], [5600, 6400], [6400, 7200], [7200, 8000], [8800, 9600], [9600, 10400], [10400, 11200], [11200, 12000], [12000, 12800], [12800, 13600], [13600, 14400], [14400, 15200], [15200, 16000], [16000, 16800], [16800, 17600], [17600, 18400], [18400, 19200], [19200, 20000], [20000, 20800]]","[[20800, 21600]]","[[8000, 8800]]",True,True
study04_layout_04_heldout_05,study04/study04_p36,study04/study04_p37,4,label_eligible_trial_maximization_generator_clean_artifact,0;1;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22,2,3,"[[0, 800], [800, 1600], [3200, 4000], [4000, 4800], [4800, 5600], [5600, 6400], [6400, 7200], [7200, 8000], [8000, 8800], [8800, 9600], [9600, 10400], [10400, 11200], [11200, 12000], [12000, 12800], [12800, 13600], [13600, 14400], [14400, 15200], [15200, 16000], [16000, 16800], [16800, 17600], [17600, 18400]]","[[1600, 2400]]","[[2400, 3200]]",True,True
study04_layout_04_heldout_05,study04/study04_p37,study04/study04_p36,4,label_eligible_trial_maximization_generator_clean_artifact,0;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18,1,2,"[[0, 800], [2400, 3200], [3200, 4000], [4000, 4800], [4800, 5600], [5600, 6400], [6400, 7200], [7200, 8000], [8000, 8800], [8800, 9600], [9600, 10400], [10400, 11200], [11200, 12000], [12000, 12800], [12800, 13600], [13600, 14400], [14400, 15200]]","[[800, 1600]]","[[1600, 2400]]",True,True
study04_layout_04_heldout_06,study04/study04_p38,study04/study04_p39,4,label_eligible_trial_maximization_generator_clean_artifact,0;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,1,3,"[[0, 800], [1600, 2400], [3200, 4000], [4000, 4800], [4800, 5600], [5600, 6400], [6400, 7200], [7200, 8000], [8000, 8800], [8800, 9600], [9600, 10400], [10400, 11200], [11200, 12000], [12000, 12800], [12800, 13600], [13600, 14400], [14400, 15200], [15200, 16000]]","[[800, 1600]]","[[2400, 3200]]",True,True
