checkpoint,device,fold,model,parameters,seed,training_seconds,updates
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_2/seed_20260826/best_joint.pt,NVIDIA A100-PCIE-40GB,2,temporal,1304196,20260826,861.5211770534515,28000
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_3/seed_20260824/best_joint.pt,NVIDIA A100-PCIE-40GB,3,temporal,1304196,20260824,193.44297647476196,6250
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_3/seed_20260825/best_joint.pt,NVIDIA A100-SXM4-40GB,3,temporal,1304196,20260825,226.45339345932007,9500
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_3/seed_20260826/best_joint.pt,NVIDIA A100-PCIE-40GB,3,temporal,1304196,20260826,178.12133264541626,5750
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_4/seed_20260824/best_joint.pt,NVIDIA L40S,4,temporal,1304196,20260824,263.66313195228577,10250
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_4/seed_20260825/best_joint.pt,NVIDIA A100-PCIE-40GB,4,temporal,1304196,20260825,251.15723633766174,8250
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_4/seed_20260826/best_joint.pt,NVIDIA A100-PCIE-40GB,4,temporal,1304196,20260826,150.59946274757385,5000
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_0/seed_20260824/best_sampling.pt,NVIDIA A100-SXM4-40GB,0,diffusion,282756,20260824,155.14288234710693,8500
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_0/seed_20260825/best_sampling.pt,NVIDIA A100-SXM4-40GB,0,diffusion,282756,20260825,111.93647193908691,5750
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_0/seed_20260826/best_sampling.pt,NVIDIA A100-PCIE-40GB,0,diffusion,282756,20260826,201.8328447341919,8250
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_1/seed_20260824/best_sampling.pt,NVIDIA A100-PCIE-40GB,1,diffusion,282756,20260824,214.92741584777832,8750
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_1/seed_20260825/best_sampling.pt,NVIDIA A100-SXM4-40GB,1,diffusion,282756,20260825,117.44767570495605,5750
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_1/seed_20260826/best_sampling.pt,NVIDIA A100-PCIE-40GB,1,diffusion,282756,20260826,125.33569121360779,5000
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_2/seed_20260824/best_sampling.pt,NVIDIA A100-PCIE-40GB,2,diffusion,282756,20260824,329.0819044113159,13500
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_2/seed_20260825/best_sampling.pt,NVIDIA A100-SXM4-40GB,2,diffusion,282756,20260825,319.4065029621124,16000
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_2/seed_20260826/best_sampling.pt,NVIDIA A100-PCIE-40GB,2,diffusion,282756,20260826,239.4316110610962,9750
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_3/seed_20260824/best_sampling.pt,NVIDIA A100-PCIE-40GB,3,diffusion,282756,20260824,159.3394958972931,6500
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_3/seed_20260825/best_sampling.pt,NVIDIA A100-SXM4-40GB,3,diffusion,282756,20260825,162.79558539390564,9250
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_3/seed_20260826/best_sampling.pt,NVIDIA A100-SXM4-40GB,3,diffusion,282756,20260826,265.3401987552643,13250
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_4/seed_20260824/best_sampling.pt,NVIDIA L40S,4,diffusion,282756,20260824,151.22544860839844,7000
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_4/seed_20260825/best_sampling.pt,NVIDIA A100-PCIE-40GB,4,diffusion,282756,20260825,556.4480638504028,22500
/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_4/seed_20260826/best_sampling.pt,NVIDIA A100-PCIE-40GB,4,diffusion,282756,20260826,303.479451417923,12500
