contrast,effect_positive_is_better,metric,panel,participant
SCAD_MATCH_minus_WRONG,0.11097722555165035,heldout_eog_remaining_ratio,natural,sub-09
SCAD_MATCH_minus_WRONG,0.15298894799507412,heldout_eog_remaining_ratio,natural,sub-11
SCAD_MATCH_minus_WRONG,-0.2976641207933426,heldout_eog_remaining_ratio,natural,sub-12
SCAD_MATCH_minus_WRONG,0.35367139255193814,heldout_eog_remaining_ratio,natural,sub-14
SCAD_MATCH_minus_WRONG,0.158512271596835,heldout_eog_remaining_ratio,natural,sub-15
SCAD_MATCH_minus_WRONG,0.1507400015589906,heldout_eog_remaining_ratio,natural,sub-17
SCAD_MATCH_minus_WRONG,0.09166619025803868,heldout_eog_remaining_ratio,natural,sub-18
SCAD_MATCH_minus_WRONG,0.029434485033185354,heldout_eog_remaining_ratio,natural,sub-19
SCAD_MATCH_minus_WRONG,0.2723081267043337,heldout_eog_remaining_ratio,natural,sub-21
SCAD_MATCH_minus_WRONG,0.25859131217002806,heldout_eog_remaining_ratio,natural,sub-23
SCAD_minus_DET,-0.2658550974094508,heldout_eog_remaining_ratio,natural,sub-02
SCAD_minus_DET,-0.16580613814001022,heldout_eog_remaining_ratio,natural,sub-03
SCAD_minus_DET,-0.07680987778878379,heldout_eog_remaining_ratio,natural,sub-05
SCAD_minus_DET,-0.07365851878345775,heldout_eog_remaining_ratio,natural,sub-06
SCAD_minus_DET,-0.28508979662201406,heldout_eog_remaining_ratio,natural,sub-07
SCAD_minus_DET,-0.3389024301905441,heldout_eog_remaining_ratio,natural,sub-09
SCAD_minus_DET,-1.0471358279118668,heldout_eog_remaining_ratio,natural,sub-11
SCAD_minus_DET,-0.7714022898976639,heldout_eog_remaining_ratio,natural,sub-12
SCAD_minus_DET,-0.32577691684689447,heldout_eog_remaining_ratio,natural,sub-14
SCAD_minus_DET,-0.1654012835942783,heldout_eog_remaining_ratio,natural,sub-15
SCAD_minus_DET,-0.19861913874112014,heldout_eog_remaining_ratio,natural,sub-17
SCAD_minus_DET,-0.1932813920616323,heldout_eog_remaining_ratio,natural,sub-18
SCAD_minus_DET,-0.07331794722480078,heldout_eog_remaining_ratio,natural,sub-19
SCAD_minus_DET,-0.01963252917816649,heldout_eog_remaining_ratio,natural,sub-21
SCAD_minus_DET,-1.27056396929423,heldout_eog_remaining_ratio,natural,sub-23
DET_MATCH_minus_POP,-0.03534925101300734,preservation,natural,sub-02
DET_MATCH_minus_POP,0.0004809025743502948,preservation,natural,sub-03
DET_MATCH_minus_POP,-0.013291346201175558,preservation,natural,sub-05
DET_MATCH_minus_POP,-0.06283546710040133,preservation,natural,sub-06
DET_MATCH_minus_POP,-0.006950113197240371,preservation,natural,sub-07
DET_MATCH_minus_POP,-0.16167058565639547,preservation,natural,sub-09
DET_MATCH_minus_POP,-0.026991792073523535,preservation,natural,sub-11
DET_MATCH_minus_POP,-0.1751656703009511,preservation,natural,sub-12
DET_MATCH_minus_POP,-0.09243395655675046,preservation,natural,sub-14
DET_MATCH_minus_POP,-0.0011926773648996969,preservation,natural,sub-15
DET_MATCH_minus_POP,-0.03449677947650276,preservation,natural,sub-17
DET_MATCH_minus_POP,-0.050304858050510104,preservation,natural,sub-18
DET_MATCH_minus_POP,-0.013899483485388275,preservation,natural,sub-19
DET_MATCH_minus_POP,-0.007812163241836978,preservation,natural,sub-21
DET_MATCH_minus_POP,-0.0003623844186463332,preservation,natural,sub-23
DET_MATCH_minus_WRONG,-0.008893256513119674,preservation,natural,sub-02
DET_MATCH_minus_WRONG,0.058198052754239615,preservation,natural,sub-03
DET_MATCH_minus_WRONG,0.08143526975221727,preservation,natural,sub-05
DET_MATCH_minus_WRONG,-0.008817603190739876,preservation,natural,sub-06
DET_MATCH_minus_WRONG,0.05347223390446665,preservation,natural,sub-07
DET_MATCH_minus_WRONG,-0.1392578520183505,preservation,natural,sub-09
DET_MATCH_minus_WRONG,0.009539748416156346,preservation,natural,sub-11
DET_MATCH_minus_WRONG,-0.12121483532271893,preservation,natural,sub-12
DET_MATCH_minus_WRONG,0.0017501821269965134,preservation,natural,sub-14
DET_MATCH_minus_WRONG,0.05013311187235214,preservation,natural,sub-15
DET_MATCH_minus_WRONG,0.0416164114004548,preservation,natural,sub-17
DET_MATCH_minus_WRONG,-0.0337700437316123,preservation,natural,sub-18
DET_MATCH_minus_WRONG,0.0021258278934991326,preservation,natural,sub-19
DET_MATCH_minus_WRONG,0.03252175630635856,preservation,natural,sub-21
DET_MATCH_minus_WRONG,0.028679820636908326,preservation,natural,sub-23
SCAD_MATCH_minus_POP,-0.18179904732820917,preservation,natural,sub-02
SCAD_MATCH_minus_POP,-0.10002680950042775,preservation,natural,sub-03
SCAD_MATCH_minus_POP,-0.14508209474565703,preservation,natural,sub-05
SCAD_MATCH_minus_POP,-0.21982422896793918,preservation,natural,sub-06
SCAD_MATCH_minus_POP,-0.16305687445286132,preservation,natural,sub-07
SCAD_MATCH_minus_POP,-0.4746130346890262,preservation,natural,sub-09
SCAD_MATCH_minus_POP,-0.2814803184219845,preservation,natural,sub-11
SCAD_MATCH_minus_POP,-0.6300106168648528,preservation,natural,sub-12
SCAD_MATCH_minus_POP,-0.3243280558433748,preservation,natural,sub-14
SCAD_MATCH_minus_POP,-0.18290229730117025,preservation,natural,sub-15
SCAD_MATCH_minus_POP,-0.2670480934632171,preservation,natural,sub-17
SCAD_MATCH_minus_POP,-0.17196061773416416,preservation,natural,sub-18
SCAD_MATCH_minus_POP,-0.07503160191328684,preservation,natural,sub-19
SCAD_MATCH_minus_POP,-0.09978887544026316,preservation,natural,sub-21
SCAD_MATCH_minus_POP,-0.16583054705460853,preservation,natural,sub-23
SCAD_MATCH_minus_WRONG,-0.005639164883933567,preservation,natural,sub-02
SCAD_MATCH_minus_WRONG,0.21688708215169716,preservation,natural,sub-03
SCAD_MATCH_minus_WRONG,0.2690351593573362,preservation,natural,sub-05
SCAD_MATCH_minus_WRONG,0.08303283716177001,preservation,natural,sub-06
SCAD_MATCH_minus_WRONG,0.1342449744216137,preservation,natural,sub-07
SCAD_MATCH_minus_WRONG,-0.34393293323351976,preservation,natural,sub-09
SCAD_MATCH_minus_WRONG,0.024018805490823414,preservation,natural,sub-11
SCAD_MATCH_minus_WRONG,-0.29682140104949606,preservation,natural,sub-12
SCAD_MATCH_minus_WRONG,0.13400252391222423,preservation,natural,sub-14
SCAD_MATCH_minus_WRONG,0.15934598528039756,preservation,natural,sub-15
SCAD_MATCH_minus_WRONG,0.08652667651240459,preservation,natural,sub-17
SCAD_MATCH_minus_WRONG,-0.03302707791750481,preservation,natural,sub-18
SCAD_MATCH_minus_WRONG,0.03187663580399913,preservation,natural,sub-19
SCAD_MATCH_minus_WRONG,0.12241427181713854,preservation,natural,sub-21
SCAD_MATCH_minus_WRONG,0.030974216977755153,preservation,natural,sub-23
SCAD_minus_DET,-0.14644979631520183,preservation,natural,sub-02
SCAD_minus_DET,-0.10050771207477804,preservation,natural,sub-03
SCAD_minus_DET,-0.13179074854448147,preservation,natural,sub-05
SCAD_minus_DET,-0.15698876186753785,preservation,natural,sub-06
SCAD_minus_DET,-0.15610676125562095,preservation,natural,sub-07
SCAD_minus_DET,-0.31294244903263074,preservation,natural,sub-09
SCAD_minus_DET,-0.254488526348461,preservation,natural,sub-11
SCAD_minus_DET,-0.45484494656390173,preservation,natural,sub-12
SCAD_minus_DET,-0.23189409928662436,preservation,natural,sub-14
SCAD_minus_DET,-0.18170961993627055,preservation,natural,sub-15
SCAD_minus_DET,-0.23255131398671436,preservation,natural,sub-17
SCAD_minus_DET,-0.12165575968365405,preservation,natural,sub-18
SCAD_minus_DET,-0.06113211842789856,preservation,natural,sub-19
SCAD_minus_DET,-0.09197671219842618,preservation,natural,sub-21
SCAD_minus_DET,-0.1654681626359622,preservation,natural,sub-23
