best_criterion,config,fold,model,path,seed,sha256,training_job
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/population_anchor.yaml,4,anchor,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_4/seed_20260824/best_joint.pt,20260824,9428010a3c657eaed12f3730d211fc1a4b89a5616eba2d54e03ded8776110b23,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/population_anchor.yaml,4,anchor,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_4/seed_20260825/best_joint.pt,20260825,d692f57c36a0e1b7cbd7d8f5f48ac9bbaf81e734880db03d05602d0e031e2041,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/population_anchor.yaml,4,anchor,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_4/seed_20260826/best_joint.pt,20260826,09cb805988db4004e18640a34547689661a5d439b9ce70d1e2f010e4bd68b999,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/temporal_eog.yaml,0,temporal,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_0/seed_20260824/best_joint.pt,20260824,d4efe980536042da88d92c7fa3172c1adf672cdcfdf3b9c1e31f858ee118a51b,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/temporal_eog.yaml,0,temporal,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_0/seed_20260825/best_joint.pt,20260825,807f1808d4129d5cbe438c0480461c889f485864875827592990dd61c44eaeb2,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/temporal_eog.yaml,0,temporal,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_0/seed_20260826/best_joint.pt,20260826,62c522f19f48fb3da7bf534470356954943b75d934bc8cd762d77f1d6d8d941d,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/temporal_eog.yaml,1,temporal,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_1/seed_20260824/best_joint.pt,20260824,48d01d5ef2f14d339468bd2ac848105e249ce6e52e90f2cf739882b8709a52e2,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/temporal_eog.yaml,1,temporal,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_1/seed_20260825/best_joint.pt,20260825,0eaa010ca9276e1c6ee28e489809f545d5615c1590f87b71ba2e27c2523cb7da,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/temporal_eog.yaml,1,temporal,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_1/seed_20260826/best_joint.pt,20260826,95790a399c7cd877189c64ab924526a2da746ba8ac98c6858e9690abe5b280d3,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/temporal_eog.yaml,2,temporal,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_2/seed_20260824/best_joint.pt,20260824,755a2f59e5856d3a151545a2b9a756c1480abf713253b54eb615eb1fc9f46ed9,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/temporal_eog.yaml,2,temporal,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_2/seed_20260825/best_joint.pt,20260825,6a469c018135b2849e8020f502c2f020202591e9d91b771ec7df278ad4ddbde5,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/temporal_eog.yaml,2,temporal,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_2/seed_20260826/best_joint.pt,20260826,f1c83a64d61d90323e853cf4807ed39a72ad4d9353340c9a3a8c9dbd13085b5e,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/temporal_eog.yaml,3,temporal,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_3/seed_20260824/best_joint.pt,20260824,782936798200bcd376377f403dfdfa84e5cfe74c35d6709d0fa511b4886ab4da,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/temporal_eog.yaml,3,temporal,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_3/seed_20260825/best_joint.pt,20260825,88834c1a409e04c9ddce7ec5088bc18892adfcff72797a3908ae8ee9a122c356,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/temporal_eog.yaml,3,temporal,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_3/seed_20260826/best_joint.pt,20260826,dafb8a6e603b70dcd3b4fe0cf8b6f310d7c790a7178555c96164d11de0fc52ad,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/temporal_eog.yaml,4,temporal,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_4/seed_20260824/best_joint.pt,20260824,fd1e0a9b937b1a7af093fb274570a1b139655af3ddfec218bec55011fbfcfce8,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/temporal_eog.yaml,4,temporal,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_4/seed_20260825/best_joint.pt,20260825,60330e55bd16404fd1ad6195bfabce53073709856bb88b3a550fb7874cfb6d38,see reports/slurm/v24_job_ids.txt
best_joint.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/temporal_eog.yaml,4,temporal,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/temporal/fold_4/seed_20260826/best_joint.pt,20260826,73bde7a41d408b90c47f6dc0fd1e0ffa9f576f720256726b3306646b9fbd5bad,see reports/slurm/v24_job_ids.txt
best_sampling.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/pa_el_scad.yaml,0,diffusion,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_0/seed_20260824/best_sampling.pt,20260824,ced6678cdc8e8f60de1afdfe6b1142e0df02162bb4c177a9db2c195e0dd1c412,see reports/slurm/v24_job_ids.txt
best_sampling.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/pa_el_scad.yaml,0,diffusion,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_0/seed_20260825/best_sampling.pt,20260825,13d2b43219f3d4fdbe993f9e1fe1bef461b87fc6d3b0e41420b98575a727d867,see reports/slurm/v24_job_ids.txt
best_sampling.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/pa_el_scad.yaml,0,diffusion,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_0/seed_20260826/best_sampling.pt,20260826,2b4f692d5b075e3d3fa4a0dcbcb1cb1516f8b33fcd89fffe6a2e83d0b22905d4,see reports/slurm/v24_job_ids.txt
best_sampling.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/pa_el_scad.yaml,1,diffusion,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_1/seed_20260824/best_sampling.pt,20260824,4b660e3998b1ee33ed93f506e0177781dd7586306ccc7eb27e00b71309f992bd,see reports/slurm/v24_job_ids.txt
best_sampling.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/pa_el_scad.yaml,1,diffusion,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_1/seed_20260825/best_sampling.pt,20260825,5e166fa89c7c1475059e4edc3eaab35a163909985bac657774721adf2c61d322,see reports/slurm/v24_job_ids.txt
best_sampling.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/pa_el_scad.yaml,1,diffusion,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_1/seed_20260826/best_sampling.pt,20260826,35147cf3ff6ebff0643773dfdc98d5774f1fcb74848fa2c79e38989acbcb5f01,see reports/slurm/v24_job_ids.txt
best_sampling.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/pa_el_scad.yaml,2,diffusion,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_2/seed_20260824/best_sampling.pt,20260824,119ed11f932dc34ec7d965c673b454625362ce01213ce5771e0d59144e46853a,see reports/slurm/v24_job_ids.txt
best_sampling.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/pa_el_scad.yaml,2,diffusion,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_2/seed_20260825/best_sampling.pt,20260825,ba1ac877648017579dcda6768aa0de8ff8a9489e9fe06549a08b33895a0a1d88,see reports/slurm/v24_job_ids.txt
best_sampling.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/pa_el_scad.yaml,2,diffusion,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_2/seed_20260826/best_sampling.pt,20260826,8af0f6d95337506bb673e8616be9ba32119212f5602254993315b4f956abd020,see reports/slurm/v24_job_ids.txt
best_sampling.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/pa_el_scad.yaml,3,diffusion,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_3/seed_20260824/best_sampling.pt,20260824,db8e28e3b0ccbe042a5e1c5df2d19a16f1a353e5e8a230fc7333067923dc023e,see reports/slurm/v24_job_ids.txt
best_sampling.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/pa_el_scad.yaml,3,diffusion,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_3/seed_20260825/best_sampling.pt,20260825,0f58a2aeb13ef52655a0fcceb565fc75ccce63cc2e5a2223595684cc0720397e,see reports/slurm/v24_job_ids.txt
best_sampling.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/pa_el_scad.yaml,3,diffusion,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_3/seed_20260826/best_sampling.pt,20260826,79c085d55ffaec3939b40e81629e711e073d6b6ae5746febb04d8f8321f32c47,see reports/slurm/v24_job_ids.txt
best_sampling.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/pa_el_scad.yaml,4,diffusion,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_4/seed_20260824/best_sampling.pt,20260824,50a2b4eab7e2743bc6858076c0f12e6c811f6706b9c2286a3827b28997cef4cc,see reports/slurm/v24_job_ids.txt
best_sampling.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/pa_el_scad.yaml,4,diffusion,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_4/seed_20260825/best_sampling.pt,20260825,5e0b9a2d704f058be18d4a2512e004f4cde884e410b5803c0e190a66e6fe02ce,see reports/slurm/v24_job_ids.txt
best_sampling.pt,/home/infres/yinwang/denoiseNet_pa_el_scad_v24/configs/pa_el_scad_v24/pa_el_scad.yaml,4,diffusion,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/diffusion/fold_4/seed_20260826/best_sampling.pt,20260826,f5103fd35733728b741000df6a3e5fc1f0bd517abd9f4d394086efdde344c3ec,see reports/slurm/v24_job_ids.txt
