fold,model,path,seed,sha256,training_subjects
1,one_step,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260921/stage_b/one_step_epoch_30.pt,20260921,8def3750b3d61a9f825fd5d6fda1e4a0f0e834bb572916b849671ff57ff76dcc,1;2;3;7;8;9
1,SANDiff_full,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260921/stage_b/SANDiff_epoch_10.pt,20260921,71c9d3565c45cb7ff10941fcfad369bc809b970f6156a7a2d195fc5578fe05ab,1;2;3;7;8;9
1,SANDiff_single,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260921/stage_b/SANDiff_epoch_13.pt,20260921,623658cf35294235f8a92a7e22523fc574893404c3eb94c76a06a45ec6ea1bc0,1;2;3;7;8;9
2,EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260920/eegnet_full_pool.pt,20260920,f642645473649dac3847fca0e9c995379a054f1f60ea1324816b771e794888aa,1;2;3;4;5;6
2,DANN,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260920/dann_full_pool.pt,20260920,6b0545832b783bf34aff80f19014fccbc75266c116e5048eb877fa121bbda2de,1;2;3;4;5;6
2,one_step,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260920/stage_b/one_step_epoch_10.pt,20260920,07477f221b6d9ff929f76c67313dfc2efdc0d5997f7ac349336adb5affdd5d8d,1;2;3;4;5;6
2,SANDiff_full,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260920/stage_b/SANDiff_epoch_20.pt,20260920,662718256fe9dc2cecfdcaf34c057146e0d27bc263bc94f1d5c9a108631d5068,1;2;3;4;5;6
2,SANDiff_single,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260920/stage_b/SANDiff_epoch_7.pt,20260920,bca670adc789357d80ce87563aa6f7b6235913b73e3d2989f67a68095fae0f25,1;2;3;4;5;6
2,EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260921/eegnet_full_pool.pt,20260921,392643cdc77eafa0fb7c3fd3dd22753b7a14fec27e8de06d7b1ce372a3f41519,1;2;3;4;5;6
2,DANN,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260921/dann_full_pool.pt,20260921,0b237d55894cd3bfbda8df0503303aa55a19c2bdea751610d71418f3223a0ebd,1;2;3;4;5;6
2,one_step,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260921/stage_b/one_step_epoch_30.pt,20260921,5cbc97e48f919a529dabb35353dcbceb7392c64e5a3063031967d2bf3f4204ea,1;2;3;4;5;6
2,SANDiff_full,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260921/stage_b/SANDiff_epoch_70.pt,20260921,9ac616c582493c55132d7b30eff18dc2ccd6999dcb7eefec86f221f19b456b31,1;2;3;4;5;6
2,SANDiff_single,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260921/stage_b/SANDiff_epoch_16.pt,20260921,cb9a19117644019847610b3788135335c5b5f842fdf23c734ac6185f534c398d,1;2;3;4;5;6
