recording,subject,session,name,validity_fraction,eligible,exclusion_reason,clock_slope,clock_residual_ms,n_veog,n_blink_candidates,forward_match_rate,forward_p,reverse_observed,reverse_null_mean,reverse_elevation,reverse_ci_low,reverse_ci_high,reverse_p,reverse_positive,pupil_collapse_frac
S02/Sess03/P3005L023,S02,Sess03,P3005L023,0.719910367099453,True,,0.9999754743780822,4.688681587660798,279,267,0.1947565543071161,0.004975124378109453,0.3757063350086606,0.28522773712449867,0.0904785978841619,0.042550099810315,0.14108667305619055,0.024875621890547265,True,0.0149812734082397
S02/Sess03/SSVEP023,S02,Sess03,SSVEP023,0.9424246054326016,True,,0.9999628725279808,5.007811577945999,192,33,0.2727272727272727,0.004975124378109453,0.22209186162674532,0.06077364332066807,0.16131821830607726,0.09314213297882913,0.23357198736217194,0.024875621890547265,True,0.0
S03/Sess02/ME032,S03,Sess02,ME032,0.09297973768215341,False,validity 0.093 < 0.4,0.9999761207150364,5.228905980749226,85,22,0.0,1.0,0.9758890898131404,0.9315643001782583,0.04432478963488207,0.03136517540944527,0.05547608559630457,0.014925373134328358,True,0.0
S03/Sess02/MI032,S03,Sess02,MI032,0.24135923679774793,False,validity 0.241 < 0.4,0.9999812153514893,4.514617896718773,87,65,0.015384615384615385,0.8805970149253731,0.899464052832136,0.7569452727925011,0.14251878003963492,0.11088190637689932,0.1701938437712347,0.004975124378109453,True,0.24615384615384617
S03/Sess02/P3004L032,S03,Sess02,P3004L032,0.04962918315469483,False,validity 0.050 < 0.4,0.9999763613067589,5.025264181964171,203,14,0.0,1.0,0.9851043865822191,0.9518456411168816,0.03325874546533747,0.021764492591774372,0.04182079097319569,0.004975124378109453,True,0.0
S03/Sess02/P3005L032,S03,Sess02,P3005L032,0.08649386084583902,False,validity 0.086 < 0.4,0.9999776780401403,5.189553177912744,259,67,0.029850746268656716,0.7960199004975125,0.934789440603394,0.9140464907373991,0.020742949865994897,-0.0018130304142377706,0.04202526386010306,0.2736318407960199,False,0.05970149253731343
S03/Sess02/SSVEP032,S03,Sess02,SSVEP032,0.517138702841498,True,,0.9999703546143209,5.238800061893328,97,214,0.02336448598130841,0.6915422885572139,0.7722110422439037,0.47134773696491805,0.30086330527898564,0.2480214113286489,0.35230565926810414,0.004975124378109453,True,0.07476635514018691
S03/Sess03/MI033,S03,Sess03,MI033,0.04517152762207006,False,validity 0.045 < 0.4,0.9999785791611836,4.284860076241178,58,2,0.0,1.0,0.9614121510673235,0.9696744020196038,-0.008262250952280281,-0.03617686507379103,0.015136763826044897,0.7512437810945274,False,0.0
S03/Sess03/P3004L033,S03,Sess03,P3004L033,0.19020487267605335,False,validity 0.190 < 0.4,0.9999742655643946,4.998964701608554,194,59,0.1016949152542373,0.08955223880597014,0.9095512095991598,0.8113125885168538,0.09823862108230597,0.06988196914317979,0.12524210888356407,0.004975124378109453,True,0.03389830508474576
S03/Sess03/P3005L033,S03,Sess03,P3005L033,0.05475285171102662,False,validity 0.055 < 0.4,0.999975936267952,5.083597135132786,236,29,0.034482758620689655,0.6865671641791045,0.9715496368038741,0.9513999309012384,0.02014970590263565,0.0050165339898027295,0.03427399968794631,0.15422885572139303,True,0.0
S03/Sess03/SSVEP033,S03,Sess03,SSVEP033,0.053843724623296944,False,validity 0.054 < 0.4,0.9999735376168117,4.93922111567575,91,25,0.0,1.0,0.989534275248561,0.9541552102854873,0.035379064963073636,0.021250336548631062,0.0442749310017968,0.04477611940298507,True,0.28
