budget_seconds,heldout_study,fold_id,recording_key,predicted_lambda,oracle_lambda,relative_improvement,lambda_absolute_error
60.0,study04,study04_layout_04_heldout_06,study04/study04_p38,0.5076269306576363,0.76,0.4595226208523265,0.2523730693423637
60.0,study04,study04_layout_04_heldout_06,study04/study04_p39,0.5000260279469282,0.35000000000000003,0.09222461595636226,0.15002602794692815
60.0,study05,study05_layout_05_heldout_00,study05/study05_p06,0.9719730952503041,0.55,0.0727237666182303,0.421973095250304
60.0,study05,study05_layout_05_heldout_00,study05/study05_p10,0.7349444943924264,0.73,0.14299052367851764,0.004944494392426391
60.0,study05,study05_layout_05_heldout_00,study05/study05_p24,0.7430930987555003,0.64,0.12094912395519335,0.10309309875550032
60.0,study05,study05_layout_05_heldout_01,study05/study05_p40,0.7753293229409989,1.0,0.3280324732447491,0.22467067705900112
60.0,study05,study05_layout_05_heldout_01,study05/study05_p41,1.0,1.0,0.2192580093435453,0.0
60.0,study05,study05_layout_05_heldout_02,study05/study05_p43,1.0,0.38,-0.08097321842756823,0.62
60.0,study05,study05_layout_05_heldout_02,study05/study05_p44,1.0,0.43,-0.008226084281562853,0.5700000000000001
60.0,study05,study05_layout_05_heldout_03,study05/study05_p45,1.0,0.64,0.14274229616087422,0.36
60.0,study05,study05_layout_05_heldout_03,study05/study05_p46,0.752154273626135,0.67,0.15375421105515785,0.08215427362613492
60.0,study05,study05_layout_05_heldout_04,study05/study05_p47,0.8745661204639527,0.86,0.26247258070195695,0.01456612046395267
60.0,study05,study05_layout_05_heldout_04,study05/study05_p48,1.0,1.0,0.11554851052366516,0.0
60.0,study05,study05_layout_05_heldout_05,study05/study05_p49,0.4497185026513414,0.59,0.1473418749697254,0.14028149734865858
60.0,study05,study05_layout_05_heldout_05,study05/study05_p50,1.0,0.59,0.04768771022794749,0.41000000000000003
120.0,study01,study01_layout_01_heldout_00,study01/study01_p01,0.7049100157876758,0.61,0.2550948408319925,0.09491001578767577
120.0,study01,study01_layout_01_heldout_00,study01/study01_p02,0.746112036455599,0.72,0.27386565700381743,0.026112036455599008
120.0,study01,study01_layout_01_heldout_00,study01/study01_p03,0.5058860996672929,0.91,0.3800376950730524,0.4041139003327071
120.0,study01,study01_layout_01_heldout_01,study01/study01_p04,0.6593104527012458,0.43,0.06160412948537213,0.22931045270124578
120.0,study01,study01_layout_01_heldout_01,study01/study01_p05,0.8636508551950017,0.06,-0.6730793670186337,0.8036508551950017
120.0,study02,study02_layout_02_heldout_00,study02/study02_p02,0.6854865830558503,0.56,0.2415070769992234,0.12548658305585025
120.0,study02,study02_layout_02_heldout_00,study02/study02_p03,0.6497368731672671,0.44,0.1360617053999774,0.20973687316726713
120.0,study02,study02_layout_02_heldout_00,study02/study02_p06,0.7260535522932217,0.5700000000000001,0.23055810796508874,0.1560535522932216
120.0,study02,study02_layout_02_heldout_01,study02/study02_p07,0.722837016214497,0.0,-0.7201142644776289,0.722837016214497
120.0,study02,study02_layout_02_heldout_01,study02/study02_p08,0.7967260232986899,0.93,0.47589170748756304,0.13327397670131014
120.0,study02,study02_layout_02_heldout_02,study02/study02_p09,0.5070376312763977,0.72,0.34139037150959306,0.2129623687236023
120.0,study02,study02_layout_02_heldout_02,study02/study02_p10,0.5608943028890657,0.99,0.22112950262493172,0.42910569711093427
120.0,study02,study02_layout_02_heldout_03,study02/study02_p11,0.6798928752540082,0.74,0.18898988139269288,0.06010712474599178
120.0,study02,study02_layout_02_heldout_03,study02/study02_p12,0.6995777497731681,0.5700000000000001,0.12208637699482754,0.12957774977316805
120.0,study02,study02_layout_02_heldout_04,study02/study02_p13,0.518953873783358,0.21,-0.03096355759859278,0.30895387378335804
120.0,study02,study02_layout_02_heldout_04,study02/study02_p14,0.651090234903295,1.0,0.3307055769405963,0.348909765096705
120.0,study02,study02_layout_02_heldout_05,study02/study02_p15,0.779119863664386,0.41000000000000003,0.004031851069303299,0.369119863664386
120.0,study02,study02_layout_02_heldout_05,study02/study02_p16,0.8532098653740273,0.48,0.035387985863406496,0.37320986537402734
120.0,study02,study02_layout_02_heldout_06,study02/study02_p17,0.7335027285009821,0.58,0.12983986892479024,0.15350272850098212
120.0,study02,study02_layout_02_heldout_06,study02/study02_p18,0.7290306699334739,0.66,0.23993823647197854,0.06903066993347384
120.0,study03,study03_layout_03_heldout_00,study03/study03_p03,0.7428664647568911,0.36,-0.018046003425115448,0.3828664647568911
120.0,study03,study03_layout_03_heldout_00,study03/study03_p19,0.6565700443120267,1.0,0.4242550377545301,0.3434299556879733
120.0,study03,study03_layout_03_heldout_01,study03/study03_p20,0.785926939039894,0.88,0.42944670491853476,0.09407306096010604
120.0,study03,study03_layout_03_heldout_01,study03/study03_p21,0.8087077253629288,1.0,0.29717387236178167,0.1912922746370712
120.0,study03,study03_layout_03_heldout_02,study03/study03_p22,0.5999081325525518,0.71,0.25695893562704436,0.11009186744744814
120.0,study03,study03_layout_03_heldout_02,study03/study03_p23,0.672304367074318,0.92,0.19908254579761128,0.24769563292568209
120.0,study03,study03_layout_03_heldout_03,study03/study03_p24,0.6450990392974011,0.75,0.2677998001897299,0.10490096070259891
120.0,study03,study03_layout_03_heldout_03,study03/study03_p25,0.6964812762794509,0.79,0.45992399714220844,0.09351872372054915
120.0,study03,study03_layout_03_heldout_04,study03/study03_p26,0.6025192183068137,0.46,0.13647813655642096,0.14251921830681363
120.0,study03,study03_layout_03_heldout_04,study03/study03_p27,0.7070983502385205,1.0,0.2465105590501554,0.2929016497614795
120.0,study04,study04_layout_04_heldout_00,study04/study04_p03,0.6107640525740547,0.62,0.25889438463113235,0.009235947425945246
120.0,study04,study04_layout_04_heldout_00,study04/study04_p08,0.8440031885892092,0.96,0.4458231436531005,0.11599681141079077
120.0,study04,study04_layout_04_heldout_00,study04/study04_p24,0.710550211397014,0.9400000000000001,0.48882465865979646,0.22944978860298604
120.0,study04,study04_layout_04_heldout_01,study04/study04_p28,0.5190742494039428,0.67,0.15217383714411029,0.15092575059605728
120.0,study04,study04_layout_04_heldout_01,study04/study04_p29,0.7741387886694153,1.0,0.3227025932420194,0.22586121133058468
120.0,study04,study04_layout_04_heldout_02,study04/study04_p30,0.505131635475009,0.72,0.27285584699293014,0.21486836452499092
120.0,study04,study04_layout_04_heldout_02,study04/study04_p31,0.5447763274029165,0.56,0.24070592350258602,0.01522367259708357
120.0,study04,study04_layout_04_heldout_03,study04/study04_p32,0.833746019994068,0.33,-0.057938753525021085,0.503746019994068
120.0,study04,study04_layout_04_heldout_03,study04/study04_p33,0.7469676856429571,1.0,0.2838678340255899,0.2530323143570429
120.0,study04,study04_layout_04_heldout_04,study04/study04_p34,0.836734724875501,0.58,0.15812507448453003,0.2567347248755011
120.0,study04,study04_layout_04_heldout_04,study04/study04_p35,0.6011458208337888,0.92,0.35547628686418026,0.3188541791662113
120.0,study04,study04_layout_04_heldout_05,study04/study04_p36,0.6529691461201901,0.97,0.28732707412451836,0.3170308538798099
120.0,study04,study04_layout_04_heldout_05,study04/study04_p37,1.0,0.72,0.28896879576922624,0.28
120.0,study04,study04_layout_04_heldout_06,study04/study04_p38,0.4731645866279758,0.78,0.43982260454742195,0.30683541337202425
120.0,study04,study04_layout_04_heldout_06,study04/study04_p39,0.6406479506678822,0.58,0.20428986312054648,0.0606479506678822
120.0,study05,study05_layout_05_heldout_00,study05/study05_p06,0.7431211596723805,0.45,0.048598768040351396,0.29312115967238045
120.0,study05,study05_layout_05_heldout_00,study05/study05_p10,0.6694403590770805,0.88,0.20615262804281348,0.21055964092291946
120.0,study05,study05_layout_05_heldout_00,study05/study05_p24,0.6129109657349372,0.91,0.18816543118683918,0.29708903426506283
120.0,study05,study05_layout_05_heldout_01,study05/study05_p40,0.37117668015607624,1.0,0.12311679332220307,0.6288233198439237
120.0,study05,study05_layout_05_heldout_01,study05/study05_p41,1.0,1.0,0.3961258482067448,0.0
120.0,study05,study05_layout_05_heldout_02,study05/study05_p43,0.9646847050376045,0.66,0.21153171406775825,0.3046847050376045
120.0,study05,study05_layout_05_heldout_02,study05/study05_p44,0.9669008383201659,1.0,0.2927996730963024,0.033099161679834066
120.0,study05,study05_layout_05_heldout_03,study05/study05_p45,0.904183714569231,0.55,0.1145848706873333,0.3541837145692309
120.0,study05,study05_layout_05_heldout_03,study05/study05_p46,0.47329037613240726,0.62,0.29552725120816037,0.14670962386759273
120.0,study05,study05_layout_05_heldout_04,study05/study05_p47,0.5455497423754371,0.91,0.21963280134307453,0.36445025762456296
120.0,study05,study05_layout_05_heldout_04,study05/study05_p48,0.6759149930934076,1.0,0.2005777072302031,0.32408500690659237
120.0,study05,study05_layout_05_heldout_05,study05/study05_p49,0.531946014850424,0.66,0.336314072856991,0.128053985149576
120.0,study05,study05_layout_05_heldout_05,study05/study05_p50,0.7086699109864714,0.67,0.15728666621547766,0.03866991098647132
