# V30 Slurm lineage
stage	job_id	array_task	status	recovery_of	scientific_setting_changed
r4-all-donor	939448	40	accepted		False
r4-all-donor	939449	41	accepted		False
r4-all-donor	939450	42	accepted		False
r4-all-donor	939451	43	accepted		False
r5-falsification	939353	14	failed		False
r5-falsification	939363	0	accepted		False
r5-falsification	939364	1	accepted		False
r5-falsification	939365	2	failed		False
r5-falsification	939366	3	failed		False
r5-falsification	939367	4	failed		False
r5-falsification	939368	5	accepted		False
r5-falsification	939369	6	accepted		False
r5-falsification	939370	7	accepted		False
r5-falsification	939371	8	failed		False
r5-falsification	939372	9	accepted		False
r5-falsification	939373	10	failed		False
r5-falsification	939374	11	failed		False
r5-falsification	939375	12	accepted		False
r5-falsification	939376	13	accepted		False
r5-falsification	939392	14	failed		False
r5-falsification	939393	2	failed		False
r5-falsification	939394	3	failed		False
r5-falsification	939395	4	failed		False
r5-falsification	939396	8	failed		False
r5-falsification	939397	10	failed		False
r5-falsification	939398	11	failed		False
r5-falsification	939399	14	recovery	939353,939392	False
r5-falsification	939400	2	recovery	939353,939392	False
r5-falsification	939401	3	recovery	939353,939392	False
r5-falsification	939402	4	recovery	939353,939392	False
r5-falsification	939403	8	recovery	939353,939392	False
r5-falsification	939404	10	recovery	939353,939392	False
r5-falsification	939405	11	recovery	939353,939392	False
r6-diagnostics	939437	14	accepted		False
r6-diagnostics	939452	0	accepted		False
r6-diagnostics	939453	1	accepted		False
r6-diagnostics	939454	2	accepted		False
r6-diagnostics	939455	3	accepted		False
r6-diagnostics	939456	4	accepted		False
r6-diagnostics	939457	5	accepted		False
r6-diagnostics	939458	6	accepted		False
r6-diagnostics	939459	7	accepted		False
r6-diagnostics	939460	8	accepted		False
r6-diagnostics	939461	9	accepted		False
r6-diagnostics	939462	10	accepted		False
r6-diagnostics	939463	11	accepted		False
r6-diagnostics	939464	12	accepted		False
r6-diagnostics	939465	13	accepted		False
r7-duration	939466	14	accepted		False
r7-duration	939468	0	accepted		False
r7-duration	939469	1	accepted		False
r7-duration	939470	2	accepted		False
r7-duration	939471	3	accepted		False
r7-duration	939472	4	accepted		False
r7-duration	939473	5	accepted		False
r7-duration	939474	6	accepted		False
r7-duration	939475	7	accepted		False
r7-duration	939476	8	accepted		False
r7-duration	939477	9	accepted		False
r7-duration	939478	10	accepted		False
r7-duration	939479	11	accepted		False
r7-duration	939480	12	accepted		False
r7-duration	939481	13	accepted		False
r8-model-costs	939523		accepted		False
r8-steps-latency	939467	14	accepted		False
r8-steps-latency	939482	0	accepted		False
r8-steps-latency	939483	1	accepted		False
r8-steps-latency	939484	2	accepted		False
r8-steps-latency	939485	3	accepted		False
r8-steps-latency	939486	4	accepted		False
r8-steps-latency	939487	5	accepted		False
r8-steps-latency	939488	6	accepted		False
r8-steps-latency	939489	7	accepted		False
r8-steps-latency	939490	8	accepted		False
r8-steps-latency	939491	9	accepted		False
r8-steps-latency	939492	10	accepted		False
r8-steps-latency	939493	11	accepted		False
r8-steps-latency	939494	12	accepted		False
r8-steps-latency	939495	13	accepted		False
r8-steps-latency	939498	15	accepted		False
r9-paired	939496		accepted		False
