bootstrap_median_distance,bootstrap_q90_distance,bootstrap_success_rate,calibration_seconds,confirmatory_evidence,failure_reason,guard_seconds,matching_correlation,matching_e_parallel,matching_e_perp,matching_minus_population_correlation,matching_minus_population_e_parallel,matching_minus_population_e_perp,matching_minus_population_rrmse,matching_rrmse,movement_coverage,p0_eligible,partition,population_correlation,population_e_parallel,population_e_perp,population_rrmse,projector_distance,projector_max_angle_degrees,projector_overlap_fraction,query_clean_target_used_for_diagnostic_only,query_seconds,query_start_seconds,records_are_participants,reference_condition,singular_ratio,source_record,status
,,,10.0,False,sim33 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,33,N/A
0.11898782084357323,0.34011998586359304,1.0,10.0,False,,1.0,0.8162312331356886,0.8339418234783195,1.3560886871548647,-0.17427297740376624,-0.14157956376312375,0.5267037720097743,0.3909836289415234,1.2559695294252955,0.288671875,True,development,0.9905042105394548,0.9755213872414432,0.8293849151450905,0.8649859004837721,0.7109055764948065,89.03357462209851,0.4946132613085854,True,0.004999999999999005,31.0,False,2.533407893408466,0.3921683847472472,34,eligible
,,,10.0,False,sim35 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,35,N/A
,,,10.0,False,sim36 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,36,N/A
,,,10.0,False,sim44 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,44,N/A
0.10860096121602689,0.27966261066467835,1.0,10.0,False,,1.0,0.9201240242202252,1.0252467834236663,0.18036867205834795,-0.035784278584409135,0.028091813296094337,0.1582370041170575,0.0387569396332027,0.5014388664444446,0.283203125,True,development,0.9559083028046343,0.9971549701275719,0.022131667941290453,0.4626819268112419,0.17592430867771885,14.243443382314913,0.9690506376162669,True,11.005000000000003,31.0,False,4.608919984335255,0.44375466469671687,45,eligible
0.054375316340843104,0.3127236026616918,1.0,20.0,False,,1.0,0.9545369591411899,0.9993939500079635,0.07492735431897123,-0.008787935003437775,0.00287779881355954,0.04853761058204885,0.005333759061844967,0.48128807233444065,0.28828125,True,development,0.9633248941446276,0.996516151194404,0.026389743736922374,0.4759543132725957,0.15624637342263162,12.633878746308426,0.9755870707922752,True,1.0050000000000026,31.0,False,3.1138305704967673,0.28397697880706335,31,eligible
0.06836369145194934,0.15604545963890198,1.0,20.0,False,,1.0,0.3642755150821271,9.858427167426086,2.471916165881578,-0.6352747384980278,9.149825555289537,1.5978003775973986,1.6518133933593782,2.525488605972613,0.1806640625,True,development,0.9995502535801549,0.70860161213655,0.8741157882841794,0.8736752126132349,0.7062371480502033,86.28131291425507,0.5012290907139156,True,0.004999999999999005,31.0,False,3.956110284402223,0.42097758044011446,32,eligible
,,,20.0,False,sim33 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,33,N/A
0.07049788072976237,0.12206383738046378,1.0,20.0,False,,1.0,0.3642755150821271,0.9543846453676226,0.9614985826428598,-0.6262286954573277,-0.02113674187382064,0.13211366749776932,0.09489040835059914,0.9598763088343713,0.2423828125,True,development,0.9905042105394548,0.9755213872414432,0.8293849151450905,0.8649859004837721,0.7080232660625617,89.039228954512,0.4987030547141024,True,0.004999999999999005,31.0,False,2.855439755778507,0.42898807788163246,34,eligible
,,,20.0,False,sim35 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,35,N/A
,,,20.0,False,sim36 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,36,N/A
,,,20.0,False,sim44 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,44,N/A
0.12734926935171922,0.2528853875014162,1.0,20.0,False,,1.0,0.9250730585395299,1.0356003847029491,0.11906725507222025,-0.030835244265104422,0.0384454145753772,0.0969355871309298,0.028862136120038517,0.4915440629312804,0.1974609375,True,development,0.9559083028046343,0.9971549701275719,0.022131667941290453,0.4626819268112419,0.16307435737542758,13.00104715965666,0.9734067539665917,True,11.005000000000003,31.0,False,3.50450683082401,0.4524768534190722,45,eligible
0.07600605534877453,0.1278095344588254,1.0,30.0,False,,1.0,0.9544387607321398,1.0193007727940115,0.06130096672393919,-0.008886133412487784,0.02278462159960759,0.03491122298701682,0.013279520968282832,0.4892338342408785,0.28880208333333335,True,development,0.9633248941446276,0.996516151194404,0.026389743736922374,0.4759543132725957,0.10107427462607396,8.013230801278981,0.9897839910088126,True,1.0050000000000026,31.0,False,3.621762366275821,0.3415982540787408,31,eligible
0.061002704665804694,0.09543377834011856,1.0,30.0,False,,1.0,0.9995502535801549,4.175930012395592,1.7835630038065922,0.0,3.467328400259042,0.9094472155224128,0.9215980562701579,1.7952732688833928,0.21002604166666666,True,development,0.9995502535801549,0.70860161213655,0.8741157882841794,0.8736752126132349,0.7062743418238979,86.72533088141381,0.5011765540812199,True,0.004999999999999005,31.0,False,2.72470246113125,0.41600140425638,32,eligible
,,,30.0,False,sim33 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,33,N/A
0.0499794693771109,0.08524126158849862,1.0,30.0,False,,1.0,0.8162312331356886,0.9643183731590528,0.9267520193268595,-0.17427297740376624,-0.011203014082390439,0.09736710418176897,0.07049042720002019,0.9354763276837923,0.24739583333333334,True,development,0.9905042105394548,0.9755213872414432,0.8293849151450905,0.8649859004837721,0.7078367471706191,89.20418855615057,0.4989671393549162,True,0.004999999999999005,31.0,False,2.8858297698168114,0.4213164232880221,34,eligible
,,,30.0,False,sim35 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,35,N/A
,,,30.0,False,sim36 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,36,N/A
,,,30.0,False,sim44 cannot support the frozen calibration/guard,1.0,,,,,,,,,,False,development,,,,,,,,True,,,False,,,44,N/A
0.10666923624859495,0.1820196862297795,1.0,30.0,False,,1.0,0.9503746444973106,1.009730081501505,0.048111951418001564,-0.005533658307323774,0.012575111373932968,0.02598028347671111,0.007351032360454923,0.4700329591716968,0.22955729166666666,True,development,0.9559083028046343,0.9971549701275719,0.022131667941290453,0.4626819268112419,0.11076091830201922,8.964798047876402,0.9877320189768934,True,11.005000000000003,31.0,False,2.7114745416704418,0.44539149012156937,45,eligible
