absolute_or_contrast,bootstrap_high,bootstrap_low,mean,median,method,metric,panel,participants,positive,source,status
absolute,1.3848767406971159,0.39000358864213114,0.7614156556903187,0.3904704645845211,V27_ENERGY_DET_L8,rrmse_temporal,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.5827254356967103,0.39274376682870316,0.47703145520709866,0.43204497100992334,V27_ENERGY_DET_L8,rrmse_spectral,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.916313969657101,0.8303289965892003,0.8788920667091453,0.9073575987584062,V27_ENERGY_DET_L8,correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,-0.0074664012129124656,-0.9930638282006568,-0.4456929976279677,-0.339755117893219,V27_ENERGY_DET_L8,snr_improvement,paired,15,4,V30_common_panel_220dcbaa,
absolute,1.3369403712041519,1.088474172735665,1.1970663587145731,1.1455367133021355,V27_ENERGY_DET_L8,artifact_rrmse,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.40325992374616737,0.31288430084733615,0.35754268056396665,0.33860899917433723,V27_ENERGY_DET_L8,artifact_correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.12057215118372352,0.06276011215646692,0.09048969533575313,0.0726089665097081,V27_ENERGY_DET_L8,identity_change,paired,14,14,V30_common_panel_220dcbaa,
absolute,2.005841945409775,1.0829021596549837,1.4217834441750137,1.0806931621498532,V27_ENERGY_DET_L8,clean_output_rms_ratio,paired,15,15,V30_common_panel_220dcbaa,
absolute,1.3652695182050443,0.3800562132624165,0.7470976376004896,0.3727336033221541,V27_ENERGY_SDEDIT_L05,rrmse_temporal,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.6173615715213345,0.42486931926355254,0.5083007625856057,0.450264365826216,V27_ENERGY_SDEDIT_L05,rrmse_spectral,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.9191171531910423,0.8333571810227027,0.8819757925122287,0.9139548093080521,V27_ENERGY_SDEDIT_L05,correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,-0.37097424938710327,-1.7804060520243545,-0.990406220285005,-1.1429296841661474,V27_ENERGY_SDEDIT_L05,snr_improvement,paired,15,3,V30_common_panel_220dcbaa,
absolute,1.6608534248943831,1.2577218464869484,1.4308049824352773,1.3335783071815968,V27_ENERGY_SDEDIT_L05,artifact_rrmse,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.4322617328320079,0.3425930552222578,0.3872183676702358,0.369462345713853,V27_ENERGY_SDEDIT_L05,artifact_correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.19882088673988446,0.13860138977622788,0.16882738452552568,0.17214142469068366,V27_ENERGY_SDEDIT_L05,identity_change,paired,14,14,V30_common_panel_220dcbaa,
absolute,1.9274624482155946,1.0094981701506507,1.3458275871144398,1.0036177767647638,V27_ENERGY_SDEDIT_L05,clean_output_rms_ratio,paired,15,15,V30_common_panel_220dcbaa,
absolute,1.370876637384402,0.3802729975692906,0.7493778919538104,0.37313717395429397,V27_ENERGY_SDEDIT_L2,rrmse_temporal,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.5959906131369105,0.40304578240145933,0.4871914074333661,0.434619792116185,V27_ENERGY_SDEDIT_L2,rrmse_spectral,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.9187787912800668,0.8327599060732044,0.8814982270511487,0.9115147557523515,V27_ENERGY_SDEDIT_L2,correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,-0.13737910993106736,-1.3519800664934498,-0.6754105129084406,-0.6498724419736501,V27_ENERGY_SDEDIT_L2,snr_improvement,paired,15,3,V30_common_panel_220dcbaa,
absolute,1.4911143666684787,1.1652334672615214,1.30651630963726,1.2316479028926954,V27_ENERGY_SDEDIT_L2,artifact_rrmse,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.42526344674681577,0.3342252888591085,0.3796151229401908,0.36159317879678887,V27_ENERGY_SDEDIT_L2,artifact_correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.16030764083488885,0.10289885763611113,0.13103897741862705,0.12794152616212764,V27_ENERGY_SDEDIT_L2,identity_change,paired,14,14,V30_common_panel_220dcbaa,
absolute,1.9604021989250622,1.041156036141846,1.3781742929308503,1.0376718822452757,V27_ENERGY_SDEDIT_L2,clean_output_rms_ratio,paired,15,15,V30_common_panel_220dcbaa,
absolute,1.384482352002921,0.39079266026167153,0.7618228754761663,0.3938793286926941,V27_ENERGY_SDEDIT_L8,rrmse_temporal,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.5832967020951522,0.39342357469472555,0.4776548192810474,0.43170939737723935,V27_ENERGY_SDEDIT_L8,rrmse_spectral,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.916117720057222,0.8302453912266841,0.8787378059700133,0.9066917643778853,V27_ENERGY_SDEDIT_L8,correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,-0.03236572881005316,-1.0278969355892318,-0.47953379911412825,-0.44420314331849414,V27_ENERGY_SDEDIT_L8,snr_improvement,paired,15,4,V30_common_panel_220dcbaa,
absolute,1.3468786040341825,1.0937131486777245,1.2046823495257684,1.1606247193283505,V27_ENERGY_SDEDIT_L8,artifact_rrmse,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.4008675816340892,0.309859610349689,0.3548473419059452,0.3392082855377036,V27_ENERGY_SDEDIT_L8,artifact_correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.12113091812328627,0.06357250481995474,0.0911259213181597,0.07345157095955478,V27_ENERGY_SDEDIT_L8,identity_change,paired,14,14,V30_common_panel_220dcbaa,
absolute,2.004917505587693,1.082789842552609,1.4214239200508152,1.0820133710900943,V27_ENERGY_SDEDIT_L8,clean_output_rms_ratio,paired,15,15,V30_common_panel_220dcbaa,
absolute,,,,,STRONG_UNET,all,,,,V30 inventory,not_comparable_missing_registered_checkpoint
