acquisition_span_seconds,bootstrap_high,bootstrap_low,condition,correct_top1,correct_top3,duration_seconds,effective_samples,effective_seconds,evidence,evidence_status,mean,mean_correct_minus_mean_wrong,mean_correct_rank,mean_risk,median,median_correct_rank,method,metric,panel,participants,participants_seed_rows,rows,sampling_rate_hz,starts,window_count,window_samples
5,,,,,,5,400,4.0,exact_duration_v31,V31_exact_duration_contract,0.7574457635140313,,,,0.7853383809713372,,V26_CALIB_SDEDIT,low_eog_observation_retention,natural,,,1080,100,"[0, 200]",2,200
10,,,,,,10,1000,10.0,exact_duration_v31,V31_exact_duration_contract,0.76568800760545,,,,0.7952963470285606,,V26_CALIB_SDEDIT,low_eog_observation_retention,natural,,,1080,100,"[0, 200, 400, 600, 800]",5,200
30,,,,,,30,3000,30.0,exact_duration_v31,V31_exact_duration_contract,0.7662766405469683,,,,0.7960014344731837,,V26_CALIB_SDEDIT,low_eog_observation_retention,natural,,,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,,,,,,120,12000,120.0,exact_duration_v31,V31_exact_duration_contract,0.7674931655437643,,,,0.7959248633083078,,V26_CALIB_SDEDIT,low_eog_observation_retention,natural,,,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,,,,,,0,0,0.0,exact_duration_v31,historical_invalid_duration_contract,0.9316598823578669,,,,0.9301844558323824,,V25_SET_CALIB_DET,artifact_remaining,natural,,,15,100,[],0,200
0,,,,,,0,0,0.0,exact_duration_v31,historical_invalid_duration_contract,0.7976402911980236,,,,0.782108118813038,,V25_SET_CALIB_DET,retention,natural,,,15,100,[],0,200
5,,,,,,5,400,4.0,exact_duration_v31,historical_invalid_duration_contract,0.9212435000376499,,,,0.9239406689396404,,V25_SET_CALIB_DET,artifact_remaining,natural,,,15,100,"[0, 200]",2,200
5,,,,,,5,400,4.0,exact_duration_v31,historical_invalid_duration_contract,0.7726852635086929,,,,0.7637289361958352,,V25_SET_CALIB_DET,retention,natural,,,15,100,"[0, 200]",2,200
10,,,,,,10,1000,10.0,exact_duration_v31,historical_invalid_duration_contract,0.9241944393837925,,,,0.9327044125884859,,V25_SET_CALIB_DET,artifact_remaining,natural,,,15,100,"[0, 200, 400, 600, 800]",5,200
10,,,,,,10,1000,10.0,exact_duration_v31,historical_invalid_duration_contract,0.7774569744612271,,,,0.7669007099330494,,V25_SET_CALIB_DET,retention,natural,,,15,100,"[0, 200, 400, 600, 800]",5,200
30,,,,,,30,3000,30.0,exact_duration_v31,historical_invalid_duration_contract,0.9254944670607143,,,,0.933618300474886,,V25_SET_CALIB_DET,artifact_remaining,natural,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
30,,,,,,30,3000,30.0,exact_duration_v31,historical_invalid_duration_contract,0.7786115619062036,,,,0.7681583846842778,,V25_SET_CALIB_DET,retention,natural,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,,,,,,120,12000,120.0,exact_duration_v31,historical_invalid_duration_contract,0.9317041800947758,,,,0.9386744842660598,,V25_SET_CALIB_DET,artifact_remaining,natural,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
120,,,,,,120,12000,120.0,exact_duration_v31,historical_invalid_duration_contract,0.7789924591694745,,,,0.767999161954503,,V25_SET_CALIB_DET,retention,natural,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,,,,,,0,0,0.0,exact_duration_v31,historical_invalid_duration_contract,0.9316598823578669,,,,0.9301844558323824,,V26_CALIB_SDEDIT,artifact_remaining,natural,,,15,100,[],0,200
0,,,,,,0,0,0.0,exact_duration_v31,historical_invalid_duration_contract,0.7976402911980236,,,,0.782108118813038,,V26_CALIB_SDEDIT,retention,natural,,,15,100,[],0,200
5,,,,,,5,400,4.0,exact_duration_v31,historical_invalid_duration_contract,0.9293299943009633,,,,0.9379559577046521,,V26_CALIB_SDEDIT,artifact_remaining,natural,,,15,100,"[0, 200]",2,200
5,,,,,,5,400,4.0,exact_duration_v31,historical_invalid_duration_contract,0.7594920993373374,,,,0.7483197143865448,,V26_CALIB_SDEDIT,retention,natural,,,15,100,"[0, 200]",2,200
10,,,,,,10,1000,10.0,exact_duration_v31,historical_invalid_duration_contract,0.9318472646010918,,,,0.9384567764534404,,V26_CALIB_SDEDIT,artifact_remaining,natural,,,15,100,"[0, 200, 400, 600, 800]",5,200
10,,,,,,10,1000,10.0,exact_duration_v31,historical_invalid_duration_contract,0.7655830718277847,,,,0.7572726668544218,,V26_CALIB_SDEDIT,retention,natural,,,15,100,"[0, 200, 400, 600, 800]",5,200
30,,,,,,30,3000,30.0,exact_duration_v31,historical_invalid_duration_contract,0.9327971342005142,,,,0.9394978849689218,,V26_CALIB_SDEDIT,artifact_remaining,natural,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
30,,,,,,30,3000,30.0,exact_duration_v31,historical_invalid_duration_contract,0.7665694859126873,,,,0.7573011949734797,,V26_CALIB_SDEDIT,retention,natural,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
