attacker,cross_entropy,feature,fold,method,participant,same_different_verification_auroc,seed,subject_recall
linear,0.9686276137537659,A_HU,0,Fiber-OneStep,2,0.584604194839956,20260920,0.6145833333333334
linear,0.951152908713315,A_HU,0,Fiber-OneStep,3,0.5600549635986694,20260920,0.53125
adaptive_mlp,0.983684778213501,A_H,0,Fiber-OneStep,1,0.5182643978905832,20260920,0.3645833333333333
adaptive_mlp,1.008811593055725,A_H,0,Fiber-OneStep,2,0.5355057833103503,20260920,0.6388888888888888
adaptive_mlp,0.9977043867111206,A_H,0,Fiber-OneStep,3,0.5411131598659895,20260920,0.4548611111111111
adaptive_mlp,1.0696864128112793,A_Z,0,Fiber-OneStep,1,0.5158509407929444,20260920,0.3125
adaptive_mlp,1.0251963138580322,A_Z,0,Fiber-OneStep,2,0.5671966671222545,20260920,0.5729166666666666
adaptive_mlp,0.9265301823616028,A_Z,0,Fiber-OneStep,3,0.5533096341522212,20260920,0.5520833333333334
adaptive_mlp,0.9685837626457214,A_HZ,0,Fiber-OneStep,1,0.515932585040455,20260920,0.4236111111111111
adaptive_mlp,0.9942474365234375,A_HZ,0,Fiber-OneStep,2,0.5667856503923056,20260920,0.59375
adaptive_mlp,1.0014106035232544,A_HZ,0,Fiber-OneStep,3,0.5529891895515069,20260920,0.4583333333333333
adaptive_mlp,1.040667176246643,A_HU,0,Fiber-OneStep,1,0.5164641180778722,20260920,0.3020833333333333
adaptive_mlp,0.9401959180831909,A_HU,0,Fiber-OneStep,2,0.584604194839956,20260920,0.6805555555555556
adaptive_mlp,0.9932003021240234,A_HU,0,Fiber-OneStep,3,0.5600549635986694,20260920,0.4895833333333333
linear,1.048602553727586,A_H,0,Fiber-SANDiff,1,0.5182643978905832,20260920,0.3715277777777778
linear,1.0517044847938157,A_H,0,Fiber-SANDiff,2,0.5355057833103503,20260920,0.4791666666666667
linear,0.9814644296026123,A_H,0,Fiber-SANDiff,3,0.5411131598659895,20260920,0.4791666666666667
linear,1.0704380728377987,A_Z,0,Fiber-SANDiff,1,0.5170498793211064,20260920,0.4375
linear,1.144137972283567,A_Z,0,Fiber-SANDiff,2,0.5139622222658466,20260920,0.4131944444444444
linear,1.0990020749272906,A_Z,0,Fiber-SANDiff,3,0.528639045322038,20260920,0.4479166666666667
linear,1.0697075037739778,A_HZ,0,Fiber-SANDiff,1,0.5174730767224037,20260920,0.4270833333333333
linear,1.1440228724436203,A_HZ,0,Fiber-SANDiff,2,0.5159121750217639,20260920,0.4131944444444444
linear,1.1002071867840422,A_HZ,0,Fiber-SANDiff,3,0.5309103801707704,20260920,0.4479166666666667
linear,1.0584550979979592,A_HU,0,Fiber-SANDiff,1,0.518797017907627,20260920,0.4340277777777778
linear,1.1448192550610676,A_HU,0,Fiber-SANDiff,2,0.5117986741531222,20260920,0.4131944444444444
linear,1.1000764688705857,A_HU,0,Fiber-SANDiff,3,0.5211921479901362,20260920,0.4340277777777778
adaptive_mlp,0.983684778213501,A_H,0,Fiber-SANDiff,1,0.5182643978905832,20260920,0.3645833333333333
adaptive_mlp,1.008811593055725,A_H,0,Fiber-SANDiff,2,0.5355057833103503,20260920,0.6388888888888888
adaptive_mlp,0.9977043867111206,A_H,0,Fiber-SANDiff,3,0.5411131598659895,20260920,0.4548611111111111
adaptive_mlp,1.2087106704711914,A_Z,0,Fiber-SANDiff,1,0.5170498793211064,20260920,0.23958333333333334
adaptive_mlp,0.9791181087493896,A_Z,0,Fiber-SANDiff,2,0.5139622222658466,20260920,0.5625
adaptive_mlp,1.0986393690109253,A_Z,0,Fiber-SANDiff,3,0.528639045322038,20260920,0.4513888888888889
adaptive_mlp,1.1572985649108887,A_HZ,0,Fiber-SANDiff,1,0.5174730767224037,20260920,0.3715277777777778
adaptive_mlp,1.1648204326629639,A_HZ,0,Fiber-SANDiff,2,0.5159121750217639,20260920,0.4583333333333333
adaptive_mlp,1.0182298421859741,A_HZ,0,Fiber-SANDiff,3,0.5309103801707704,20260920,0.4861111111111111
adaptive_mlp,1.0891138315200806,A_HU,0,Fiber-SANDiff,1,0.518797017907627,20260920,0.3229166666666667
adaptive_mlp,1.1990418434143066,A_HU,0,Fiber-SANDiff,2,0.5117986741531222,20260920,0.3888888888888889
adaptive_mlp,0.9499661922454834,A_HU,0,Fiber-SANDiff,3,0.5211921479901362,20260920,0.4861111111111111
linear,1.048602553727586,A_H,0,Fiber-Stratified-Resample,1,0.5182643978905832,20260920,0.3715277777777778
linear,1.0517044847938157,A_H,0,Fiber-Stratified-Resample,2,0.5355057833103503,20260920,0.4791666666666667
linear,0.9814644296026123,A_H,0,Fiber-Stratified-Resample,3,0.5411131598659895,20260920,0.4791666666666667
linear,1.2160334350771522,A_Z,0,Fiber-Stratified-Resample,1,0.5166410542059832,20260920,0.4305555555555556
linear,1.3619384275401905,A_Z,0,Fiber-Stratified-Resample,2,0.5243763540309703,20260920,0.3958333333333333
linear,1.083040539110231,A_Z,0,Fiber-Stratified-Resample,3,0.5177907314486095,20260920,0.4791666666666667
linear,1.216305075811336,A_HZ,0,Fiber-Stratified-Resample,1,0.5179370962474564,20260920,0.4340277777777778
linear,1.3624091311138193,A_HZ,0,Fiber-Stratified-Resample,2,0.5268396147036081,20260920,0.3958333333333333
linear,1.0831949758998696,A_HZ,0,Fiber-Stratified-Resample,3,0.5221859378325715,20260920,0.4791666666666667
linear,1.2167291472473096,A_HU,0,Fiber-Stratified-Resample,1,0.5159763057765479,20260920,0.4340277777777778
linear,1.3594983536236345,A_HU,0,Fiber-Stratified-Resample,2,0.5196922572423951,20260920,0.3888888888888889
linear,1.0837465167340605,A_HU,0,Fiber-Stratified-Resample,3,0.5154615401802252,20260920,0.4791666666666667
adaptive_mlp,0.983684778213501,A_H,0,Fiber-Stratified-Resample,1,0.5182643978905832,20260920,0.3645833333333333
adaptive_mlp,1.008811593055725,A_H,0,Fiber-Stratified-Resample,2,0.5355057833103503,20260920,0.6388888888888888
adaptive_mlp,0.9977043867111206,A_H,0,Fiber-Stratified-Resample,3,0.5411131598659895,20260920,0.4548611111111111
adaptive_mlp,1.293934941291809,A_Z,0,Fiber-Stratified-Resample,1,0.5166410542059832,20260920,0.3715277777777778
adaptive_mlp,1.221039891242981,A_Z,0,Fiber-Stratified-Resample,2,0.5243763540309703,20260920,0.375
adaptive_mlp,1.0549259185791016,A_Z,0,Fiber-Stratified-Resample,3,0.5177907314486095,20260920,0.5034722222222222
adaptive_mlp,1.0961780548095703,A_HZ,0,Fiber-Stratified-Resample,1,0.5179370962474564,20260920,0.3611111111111111
adaptive_mlp,1.0401175022125244,A_HZ,0,Fiber-Stratified-Resample,2,0.5268396147036081,20260920,0.4618055555555556
adaptive_mlp,1.0751560926437378,A_HZ,0,Fiber-Stratified-Resample,3,0.5221859378325715,20260920,0.3958333333333333
adaptive_mlp,1.106589674949646,A_HU,0,Fiber-Stratified-Resample,1,0.5159763057765479,20260920,0.4166666666666667
adaptive_mlp,1.189012050628662,A_HU,0,Fiber-Stratified-Resample,2,0.5196922572423951,20260920,0.3680555555555556
adaptive_mlp,1.0873435735702515,A_HU,0,Fiber-Stratified-Resample,3,0.5154615401802252,20260920,0.3854166666666667
linear,1.074286475702239,A_H,0,RAW,1,0.5105668457700184,20260921,0.34375
linear,0.9322125455262705,A_H,0,RAW,2,0.5816184941017288,20260921,0.6319444444444444
linear,1.0116350017481708,A_H,0,RAW,3,0.5311415975245762,20260921,0.3958333333333333
linear,1.107599104556671,A_Z,0,RAW,1,0.5583329147156236,20260921,0.6805555555555556
linear,0.6389821809498741,A_Z,0,RAW,2,0.6253141920421241,20260921,0.7638888888888888
linear,0.9571018942833148,A_Z,0,RAW,3,0.552202901990136,20260921,0.6805555555555556
linear,1.1084616562514098,A_HZ,0,RAW,1,0.5575647715395882,20260921,0.6805555555555556
linear,0.6396909849492274,A_HZ,0,RAW,2,0.6291852650851211,20260921,0.7604166666666666
linear,0.9595979897322356,A_HZ,0,RAW,3,0.5530089359876594,20260921,0.6770833333333334
linear,1.1054106146828986,A_HU,0,RAW,1,0.5651361027780446,20260921,0.6805555555555556
linear,0.6447278782092017,A_HU,0,RAW,2,0.6182353205551259,20260921,0.7604166666666666
linear,0.9567033894768956,A_HU,0,RAW,3,0.5520426201277265,20260921,0.6770833333333334
adaptive_mlp,1.0585880279541016,A_H,0,RAW,1,0.5105668457700184,20260921,0.3611111111111111
adaptive_mlp,0.8429659605026245,A_H,0,RAW,2,0.5816184941017288,20260921,0.7881944444444444
adaptive_mlp,1.0014688968658447,A_H,0,RAW,3,0.5311415975245762,20260921,0.4513888888888889
adaptive_mlp,0.8688738346099854,A_Z,0,RAW,1,0.5583329147156236,20260921,0.7048611111111112
adaptive_mlp,0.6676264405250549,A_Z,0,RAW,2,0.6253141920421241,20260921,0.7013888888888888
adaptive_mlp,0.7611818313598633,A_Z,0,RAW,3,0.552202901990136,20260921,0.7152777777777778
adaptive_mlp,1.195344090461731,A_HZ,0,RAW,1,0.5575647715395882,20260921,0.6527777777777778
adaptive_mlp,0.6315922141075134,A_HZ,0,RAW,2,0.6291852650851211,20260921,0.7708333333333334
adaptive_mlp,0.9851900935173035,A_HZ,0,RAW,3,0.5530089359876594,20260921,0.7222222222222222
adaptive_mlp,1.092690348625183,A_HU,0,RAW,1,0.5651361027780446,20260921,0.6944444444444444
adaptive_mlp,0.5928771495819092,A_HU,0,RAW,2,0.6182353205551259,20260921,0.7673611111111112
adaptive_mlp,1.0796157121658325,A_HU,0,RAW,3,0.5520426201277265,20260921,0.6666666666666666
linear,1.074286475702239,A_H,0,HEAD_ONLY,1,0.5105668457700184,20260921,0.34375
linear,0.9322125455262705,A_H,0,HEAD_ONLY,2,0.5816184941017288,20260921,0.6319444444444444
linear,1.0116350017481708,A_H,0,HEAD_ONLY,3,0.5311415975245762,20260921,0.3958333333333333
linear,1.0744680965172853,A_Z,0,HEAD_ONLY,1,0.5036618482549007,20260921,0.34375
linear,0.9320173628126235,A_Z,0,HEAD_ONLY,2,0.5883135699265052,20260921,0.6319444444444444
linear,1.0114479304987116,A_Z,0,HEAD_ONLY,3,0.5325826738592696,20260921,0.3958333333333333
linear,1.0744715698241476,A_HZ,0,HEAD_ONLY,1,0.5038626018643201,20260921,0.34375
linear,0.9318617430592762,A_HZ,0,HEAD_ONLY,2,0.5881728251382019,20260921,0.6319444444444444
linear,1.011616708843028,A_HZ,0,HEAD_ONLY,3,0.5325762236400534,20260921,0.3958333333333333
linear,1.4376929208708817,A_HU,0,HEAD_ONLY,1,0.48850735881162644,20260921,0.3611111111111111
linear,1.1031270683915508,A_HU,0,HEAD_ONLY,2,0.5046211599736015,20260921,0.5034722222222222
linear,1.2898375743660297,A_HU,0,HEAD_ONLY,3,0.49847951294759807,20260921,0.3506944444444444
adaptive_mlp,1.0585880279541016,A_H,0,HEAD_ONLY,1,0.5105668457700184,20260921,0.3611111111111111
adaptive_mlp,0.8429659605026245,A_H,0,HEAD_ONLY,2,0.5816184941017288,20260921,0.7881944444444444
adaptive_mlp,1.0014688968658447,A_H,0,HEAD_ONLY,3,0.5311415975245762,20260921,0.4513888888888889
adaptive_mlp,1.0476921796798706,A_Z,0,HEAD_ONLY,1,0.5036618482549007,20260921,0.375
adaptive_mlp,0.8351008892059326,A_Z,0,HEAD_ONLY,2,0.5883135699265052,20260921,0.7465277777777778
adaptive_mlp,1.0469319820404053,A_Z,0,HEAD_ONLY,3,0.5325826738592696,20260921,0.4236111111111111
adaptive_mlp,1.0411572456359863,A_HZ,0,HEAD_ONLY,1,0.5038626018643201,20260921,0.4166666666666667
adaptive_mlp,1.314096450805664,A_HZ,0,HEAD_ONLY,2,0.5881728251382019,20260921,0.3923611111111111
adaptive_mlp,0.8299842476844788,A_HZ,0,HEAD_ONLY,3,0.5325762236400534,20260921,0.5972222222222222
adaptive_mlp,1.514910340309143,A_HU,0,HEAD_ONLY,1,0.48850735881162644,20260921,0.2743055555555556
adaptive_mlp,1.016936182975769,A_HU,0,HEAD_ONLY,2,0.5046211599736015,20260921,0.5347222222222222
adaptive_mlp,1.2373788356781006,A_HU,0,HEAD_ONLY,3,0.49847951294759807,20260921,0.40625
linear,1.074286475702239,A_H,0,LEACE,1,0.5105668457700184,20260921,0.34375
linear,0.9322125455262705,A_H,0,LEACE,2,0.5816184941017288,20260921,0.6319444444444444
linear,1.0116350017481708,A_H,0,LEACE,3,0.5311415975245762,20260921,0.3958333333333333
linear,0.8986181213884572,A_Z,0,LEACE,1,0.5279277350408383,20260921,0.6979166666666666
linear,1.0758125545718225,A_Z,0,LEACE,2,0.5261619724140214,20260921,0.5729166666666666
linear,0.9704721963582544,A_Z,0,LEACE,3,0.5521163716908398,20260921,0.6736111111111112
linear,0.9273195315987235,A_HZ,0,LEACE,1,0.5288231705146169,20260921,0.7013888888888888
linear,0.891604809244268,A_HZ,0,LEACE,2,0.5342778609630728,20260921,0.625
linear,1.0009784822735646,A_HZ,0,LEACE,3,0.5527424080615571,20260921,0.6666666666666666
linear,0.9002651771100582,A_HU,0,LEACE,1,0.5334766550315329,20260921,0.7048611111111112
linear,1.0382895098070881,A_HU,0,LEACE,2,0.5269060274251274,20260921,0.5902777777777778
linear,1.0021153881389497,A_HU,0,LEACE,3,0.5511563843478737,20260921,0.65625
adaptive_mlp,1.0585880279541016,A_H,0,LEACE,1,0.5105668457700184,20260921,0.3611111111111111
adaptive_mlp,0.8429659605026245,A_H,0,LEACE,2,0.5816184941017288,20260921,0.7881944444444444
adaptive_mlp,1.0014688968658447,A_H,0,LEACE,3,0.5311415975245762,20260921,0.4513888888888889
adaptive_mlp,0.8910759687423706,A_Z,0,LEACE,1,0.5279277350408383,20260921,0.6215277777777778
adaptive_mlp,0.9479601383209229,A_Z,0,LEACE,2,0.5261619724140214,20260921,0.5798611111111112
adaptive_mlp,0.8204443454742432,A_Z,0,LEACE,3,0.5521163716908398,20260921,0.6701388888888888
adaptive_mlp,1.2467882633209229,A_HZ,0,LEACE,1,0.5288231705146169,20260921,0.6736111111111112
adaptive_mlp,0.9667083024978638,A_HZ,0,LEACE,2,0.5342778609630728,20260921,0.6493055555555556
adaptive_mlp,1.1643850803375244,A_HZ,0,LEACE,3,0.5527424080615571,20260921,0.6770833333333334
adaptive_mlp,0.9546301364898682,A_HU,0,LEACE,1,0.5334766550315329,20260921,0.6423611111111112
adaptive_mlp,0.8977233171463013,A_HU,0,LEACE,2,0.5269060274251274,20260921,0.5972222222222222
adaptive_mlp,1.012955665588379,A_HU,0,LEACE,3,0.5511563843478737,20260921,0.6458333333333334
linear,1.074286475702239,A_H,0,Fiber-OneStep,1,0.5105668457700184,20260921,0.34375
linear,0.9322125455262705,A_H,0,Fiber-OneStep,2,0.5816184941017288,20260921,0.6319444444444444
linear,1.0116350017481708,A_H,0,Fiber-OneStep,3,0.5311415975245762,20260921,0.3958333333333333
linear,1.160397839233287,A_Z,0,Fiber-OneStep,1,0.5044503533214755,20260921,0.3784722222222222
linear,0.8876928603902686,A_Z,0,Fiber-OneStep,2,0.5884413046923603,20260921,0.6527777777777778
linear,1.0737873104429858,A_Z,0,Fiber-OneStep,3,0.533650732799669,20260921,0.3854166666666667
linear,1.1607414161913996,A_HZ,0,Fiber-OneStep,1,0.5047394433961391,20260921,0.3784722222222222
linear,0.8879851594209822,A_HZ,0,Fiber-OneStep,2,0.5888333794597765,20260921,0.6527777777777778
linear,1.0739567343362504,A_HZ,0,Fiber-OneStep,3,0.5337534494981303,20260921,0.3854166666666667
linear,1.1653344533929912,A_HU,0,Fiber-OneStep,1,0.5053648704471666,20260921,0.3819444444444444
linear,0.8879954955488576,A_HU,0,Fiber-OneStep,2,0.5754607322040634,20260921,0.65625
linear,1.077918716432745,A_HU,0,Fiber-OneStep,3,0.5307986405858747,20260921,0.3819444444444444
adaptive_mlp,1.0585880279541016,A_H,0,Fiber-OneStep,1,0.5105668457700184,20260921,0.3611111111111111
adaptive_mlp,0.8429659605026245,A_H,0,Fiber-OneStep,2,0.5816184941017288,20260921,0.7881944444444444
adaptive_mlp,1.0014688968658447,A_H,0,Fiber-OneStep,3,0.5311415975245762,20260921,0.4513888888888889
adaptive_mlp,1.124833583831787,A_Z,0,Fiber-OneStep,1,0.5044503533214755,20260921,0.3715277777777778
adaptive_mlp,0.894805371761322,A_Z,0,Fiber-OneStep,2,0.5884413046923603,20260921,0.6666666666666666
adaptive_mlp,1.0407440662384033,A_Z,0,Fiber-OneStep,3,0.533650732799669,20260921,0.40625
adaptive_mlp,1.2205666303634644,A_HZ,0,Fiber-OneStep,1,0.5047394433961391,20260921,0.3298611111111111
adaptive_mlp,1.0319228172302246,A_HZ,0,Fiber-OneStep,2,0.5888333794597765,20260921,0.625
adaptive_mlp,0.959649384021759,A_HZ,0,Fiber-OneStep,3,0.5337534494981303,20260921,0.4756944444444444
adaptive_mlp,0.9881986975669861,A_HU,0,Fiber-OneStep,1,0.5053648704471666,20260921,0.4166666666666667
adaptive_mlp,0.9381803870201111,A_HU,0,Fiber-OneStep,2,0.5754607322040634,20260921,0.5520833333333334
adaptive_mlp,1.0899920463562012,A_HU,0,Fiber-OneStep,3,0.5307986405858747,20260921,0.4305555555555556
linear,1.074286475702239,A_H,0,Fiber-SANDiff,1,0.5105668457700184,20260921,0.34375
linear,0.9322125455262705,A_H,0,Fiber-SANDiff,2,0.5816184941017288,20260921,0.6319444444444444
linear,1.0116350017481708,A_H,0,Fiber-SANDiff,3,0.5311415975245762,20260921,0.3958333333333333
linear,1.2170193674007257,A_Z,0,Fiber-SANDiff,1,0.5108664216086722,20260921,0.375
linear,1.0331634711896645,A_Z,0,Fiber-SANDiff,2,0.5327353453924414,20260921,0.5138888888888888
linear,1.1117379711681494,A_Z,0,Fiber-SANDiff,3,0.5146166227017291,20260921,0.3993055555555556
linear,1.2176168838994115,A_HZ,0,Fiber-SANDiff,1,0.5117067458577576,20260921,0.375
linear,1.033523939263423,A_HZ,0,Fiber-SANDiff,2,0.536992106464562,20260921,0.5104166666666666
linear,1.112614595336368,A_HZ,0,Fiber-SANDiff,3,0.5164394789926705,20260921,0.3993055555555556
linear,1.2182224285437333,A_HU,0,Fiber-SANDiff,1,0.5101485125577998,20260921,0.3784722222222222
linear,1.0342082137412787,A_HU,0,Fiber-SANDiff,2,0.5287921258613226,20260921,0.5104166666666666
linear,1.1126101846577892,A_HU,0,Fiber-SANDiff,3,0.5129509448658385,20260921,0.4027777777777778
adaptive_mlp,1.0585880279541016,A_H,0,Fiber-SANDiff,1,0.5105668457700184,20260921,0.3611111111111111
adaptive_mlp,0.8429659605026245,A_H,0,Fiber-SANDiff,2,0.5816184941017288,20260921,0.7881944444444444
adaptive_mlp,1.0014688968658447,A_H,0,Fiber-SANDiff,3,0.5311415975245762,20260921,0.4513888888888889
adaptive_mlp,1.0996712446212769,A_Z,0,Fiber-SANDiff,1,0.5108664216086722,20260921,0.3819444444444444
adaptive_mlp,0.9434243440628052,A_Z,0,Fiber-SANDiff,2,0.5327353453924414,20260921,0.5659722222222222
adaptive_mlp,1.1558350324630737,A_Z,0,Fiber-SANDiff,3,0.5146166227017291,20260921,0.3125
adaptive_mlp,1.2171486616134644,A_HZ,0,Fiber-SANDiff,1,0.5117067458577576,20260921,0.2708333333333333
