fold,seed,method,attacker,participant,primary_finite_threat_recall,maximizing_feature
1,20260920,LEACE,adaptive_mlp,4,0.8402777777777778,A_HZ
1,20260920,LEACE,adaptive_mlp,5,0.8993055555555556,A_Z
1,20260920,LEACE,adaptive_mlp,6,0.7881944444444444,A_HZ
1,20260920,Fiber-OneStep,linear,4,0.6770833333333334,A_HZ
1,20260920,Fiber-OneStep,linear,5,0.8402777777777778,A_Z
1,20260920,Fiber-OneStep,linear,6,0.6805555555555556,A_H
1,20260920,Fiber-OneStep,adaptive_mlp,4,0.6840277777777778,A_H
1,20260920,Fiber-OneStep,adaptive_mlp,5,0.8680555555555556,A_HZ
1,20260920,Fiber-OneStep,adaptive_mlp,6,0.625,A_H
1,20260920,Fiber-SANDiff,linear,4,0.6284722222222222,A_H
1,20260920,Fiber-SANDiff,linear,5,0.7916666666666666,A_H
1,20260920,Fiber-SANDiff,linear,6,0.6805555555555556,A_H
1,20260920,Fiber-SANDiff,adaptive_mlp,4,0.6840277777777778,A_H
1,20260920,Fiber-SANDiff,adaptive_mlp,5,0.8090277777777778,A_H
1,20260920,Fiber-SANDiff,adaptive_mlp,6,0.65625,A_HZ
1,20260920,Fiber-Stratified-Resample,linear,4,0.6284722222222222,A_H
1,20260920,Fiber-Stratified-Resample,linear,5,0.7916666666666666,A_H
1,20260920,Fiber-Stratified-Resample,linear,6,0.6805555555555556,A_H
1,20260920,Fiber-Stratified-Resample,adaptive_mlp,4,0.6840277777777778,A_H
1,20260920,Fiber-Stratified-Resample,adaptive_mlp,5,0.8090277777777778,A_H
1,20260920,Fiber-Stratified-Resample,adaptive_mlp,6,0.625,A_H
1,20260921,RAW,linear,4,0.7881944444444444,A_Z
1,20260921,RAW,linear,5,0.9513888888888888,A_Z
1,20260921,RAW,linear,6,0.8715277777777778,A_Z
1,20260921,RAW,adaptive_mlp,4,0.7951388888888888,A_Z
1,20260921,RAW,adaptive_mlp,5,0.9791666666666666,A_HZ
1,20260921,RAW,adaptive_mlp,6,0.8819444444444444,A_Z
1,20260921,HEAD_ONLY,linear,4,0.6458333333333334,A_H
1,20260921,HEAD_ONLY,linear,5,0.84375,A_H
1,20260921,HEAD_ONLY,linear,6,0.6770833333333334,A_H
1,20260921,HEAD_ONLY,adaptive_mlp,4,0.6736111111111112,A_H
1,20260921,HEAD_ONLY,adaptive_mlp,5,0.9375,A_Z
1,20260921,HEAD_ONLY,adaptive_mlp,6,0.6770833333333334,A_Z
1,20260921,LEACE,linear,4,0.7395833333333334,A_HZ
1,20260921,LEACE,linear,5,0.9340277777777778,A_HZ
1,20260921,LEACE,linear,6,0.8090277777777778,A_HZ
1,20260921,LEACE,adaptive_mlp,4,0.7673611111111112,A_Z
1,20260921,LEACE,adaptive_mlp,5,0.9583333333333334,A_Z
1,20260921,LEACE,adaptive_mlp,6,0.8125,A_Z
1,20260921,Fiber-OneStep,linear,4,0.6631944444444444,A_Z
1,20260921,Fiber-OneStep,linear,5,0.8819444444444444,A_Z
1,20260921,Fiber-OneStep,linear,6,0.6770833333333334,A_H
1,20260921,Fiber-OneStep,adaptive_mlp,4,0.6770833333333334,A_HZ
1,20260921,Fiber-OneStep,adaptive_mlp,5,0.8888888888888888,A_H
1,20260921,Fiber-OneStep,adaptive_mlp,6,0.6458333333333334,A_Z
1,20260921,Fiber-SANDiff,linear,4,0.6458333333333334,A_H
1,20260921,Fiber-SANDiff,linear,5,0.84375,A_H
1,20260921,Fiber-SANDiff,linear,6,0.6770833333333334,A_H
1,20260921,Fiber-SANDiff,adaptive_mlp,4,0.6736111111111112,A_H
1,20260921,Fiber-SANDiff,adaptive_mlp,5,0.8888888888888888,A_H
1,20260921,Fiber-SANDiff,adaptive_mlp,6,0.6388888888888888,A_Z
1,20260921,Fiber-Stratified-Resample,linear,4,0.6458333333333334,A_H
1,20260921,Fiber-Stratified-Resample,linear,5,0.84375,A_H
1,20260921,Fiber-Stratified-Resample,linear,6,0.6770833333333334,A_H
1,20260921,Fiber-Stratified-Resample,adaptive_mlp,4,0.6736111111111112,A_H
1,20260921,Fiber-Stratified-Resample,adaptive_mlp,5,0.8888888888888888,A_H
1,20260921,Fiber-Stratified-Resample,adaptive_mlp,6,0.6666666666666666,A_Z
2,20260920,RAW,linear,7,0.7395833333333334,A_Z
2,20260920,RAW,linear,8,0.7222222222222222,A_Z
2,20260920,RAW,linear,9,0.7291666666666666,A_Z
2,20260920,RAW,adaptive_mlp,7,0.71875,A_HZ
2,20260920,RAW,adaptive_mlp,8,0.7013888888888888,A_Z
2,20260920,RAW,adaptive_mlp,9,0.6770833333333334,A_HZ
2,20260920,HEAD_ONLY,linear,7,0.6875,A_H
2,20260920,HEAD_ONLY,linear,8,0.3229166666666667,A_H
2,20260920,HEAD_ONLY,linear,9,0.5243055555555556,A_H
2,20260920,HEAD_ONLY,adaptive_mlp,7,0.6944444444444444,A_H
2,20260920,HEAD_ONLY,adaptive_mlp,8,0.6493055555555556,A_HZ
2,20260920,HEAD_ONLY,adaptive_mlp,9,0.3611111111111111,A_Z
2,20260920,LEACE,linear,7,0.6944444444444444,A_HZ
2,20260920,LEACE,linear,8,0.6597222222222222,A_HZ
2,20260920,LEACE,linear,9,0.6666666666666666,A_HZ
2,20260920,LEACE,adaptive_mlp,7,0.7222222222222222,A_HZ
2,20260920,LEACE,adaptive_mlp,8,0.6388888888888888,A_HZ
2,20260920,LEACE,adaptive_mlp,9,0.5798611111111112,A_Z
2,20260920,Fiber-OneStep,linear,7,0.71875,A_Z
2,20260920,Fiber-OneStep,linear,8,0.5138888888888888,A_Z
2,20260920,Fiber-OneStep,linear,9,0.5243055555555556,A_H
2,20260920,Fiber-OneStep,adaptive_mlp,7,0.7256944444444444,A_Z
2,20260920,Fiber-OneStep,adaptive_mlp,8,0.6527777777777778,A_HZ
2,20260920,Fiber-OneStep,adaptive_mlp,9,0.3194444444444444,A_H
2,20260920,Fiber-SANDiff,linear,7,0.7222222222222222,A_HZ
2,20260920,Fiber-SANDiff,linear,8,0.5104166666666666,A_HZ
2,20260920,Fiber-SANDiff,linear,9,0.5243055555555556,A_H
2,20260920,Fiber-SANDiff,adaptive_mlp,7,0.6979166666666666,A_Z
2,20260920,Fiber-SANDiff,adaptive_mlp,8,0.6111111111111112,A_H
2,20260920,Fiber-SANDiff,adaptive_mlp,9,0.3333333333333333,A_Z
2,20260920,Fiber-Stratified-Resample,linear,7,0.6875,A_H
2,20260920,Fiber-Stratified-Resample,linear,8,0.4166666666666667,A_Z
2,20260920,Fiber-Stratified-Resample,linear,9,0.5243055555555556,A_H
2,20260920,Fiber-Stratified-Resample,adaptive_mlp,7,0.6944444444444444,A_H
2,20260920,Fiber-Stratified-Resample,adaptive_mlp,8,0.6111111111111112,A_H
2,20260920,Fiber-Stratified-Resample,adaptive_mlp,9,0.4513888888888889,A_Z
2,20260921,RAW,linear,7,0.625,A_Z
2,20260921,RAW,linear,8,0.5659722222222222,A_Z
2,20260921,RAW,linear,9,0.5868055555555556,A_Z
2,20260921,RAW,adaptive_mlp,7,0.6666666666666666,A_Z
2,20260921,RAW,adaptive_mlp,8,0.6354166666666666,A_Z
2,20260921,RAW,adaptive_mlp,9,0.6805555555555556,A_HZ
2,20260921,HEAD_ONLY,linear,7,0.5381944444444444,A_H
2,20260921,HEAD_ONLY,linear,8,0.2638888888888889,A_H
2,20260921,HEAD_ONLY,linear,9,0.5451388888888888,A_H
2,20260921,HEAD_ONLY,adaptive_mlp,7,0.6631944444444444,A_H
2,20260921,HEAD_ONLY,adaptive_mlp,8,0.3784722222222222,A_HZ
2,20260921,HEAD_ONLY,adaptive_mlp,9,0.4965277777777778,A_Z
2,20260921,LEACE,linear,7,0.5763888888888888,A_HZ
2,20260921,LEACE,linear,8,0.5625,A_HZ
2,20260921,LEACE,linear,9,0.5451388888888888,A_H
2,20260921,LEACE,adaptive_mlp,7,0.6631944444444444,A_H
2,20260921,LEACE,adaptive_mlp,8,0.53125,A_Z
2,20260921,LEACE,adaptive_mlp,9,0.5034722222222222,A_Z
2,20260921,Fiber-OneStep,linear,7,0.5798611111111112,A_Z
2,20260921,Fiber-OneStep,linear,8,0.2708333333333333,A_Z
2,20260921,Fiber-OneStep,linear,9,0.5451388888888888,A_H
2,20260921,Fiber-OneStep,adaptive_mlp,7,0.6631944444444444,A_H
2,20260921,Fiber-OneStep,adaptive_mlp,8,0.3020833333333333,A_Z
2,20260921,Fiber-OneStep,adaptive_mlp,9,0.5555555555555556,A_HZ
2,20260921,Fiber-SANDiff,linear,7,0.5381944444444444,A_H
2,20260921,Fiber-SANDiff,linear,8,0.3506944444444444,A_Z
2,20260921,Fiber-SANDiff,linear,9,0.5451388888888888,A_H
2,20260921,Fiber-SANDiff,adaptive_mlp,7,0.6631944444444444,A_H
2,20260921,Fiber-SANDiff,adaptive_mlp,8,0.3923611111111111,A_HZ
2,20260921,Fiber-SANDiff,adaptive_mlp,9,0.4826388888888889,A_H
2,20260921,Fiber-Stratified-Resample,linear,7,0.5381944444444444,A_H
2,20260921,Fiber-Stratified-Resample,linear,8,0.3576388888888889,A_Z
2,20260921,Fiber-Stratified-Resample,linear,9,0.5451388888888888,A_H
2,20260921,Fiber-Stratified-Resample,adaptive_mlp,7,0.6631944444444444,A_H
2,20260921,Fiber-Stratified-Resample,adaptive_mlp,8,0.34375,A_HZ
2,20260921,Fiber-Stratified-Resample,adaptive_mlp,9,0.4826388888888889,A_H
