FIR_population_residual_norm,calibration_samples,calibration_seconds,dataset,effective_rank,full_C_cosine_distance,full_C_frobenius_distance,layout_id,projector_frobenius_distance,projector_principal_angle_deg,recording_key,rho_legacy,sampling_rate_hz,selected_alpha,singular_1,singular_2,split_half_projector_distance,state_active_quiet_C_distance,study,transfer_column_scale_mean,unified_fold,within_subject_half_distance
6.0228817535486625,6000,30.0,sgeyesub,2,0.12820319183670437,2.7871122422455805,layout_03,0.759810209274292,30.294653423466105,study03/study03_p23,nan,200.0,0.5,5.249783419483864,2.078949933314929,0.3855873942375183,1.2366865887542553,study03,3.917660821136811,7,3.3819115844009073
6.919241308209761,6000,30.0,sgeyesub,2,0.005237985121016919,0.694567853215603,layout_03,0.2519453763961792,9.449148800728464,study03/study03_p24,nan,200.0,0.0,5.387317204604585,1.7563710863958295,0.5538920164108276,1.0472025437941692,study03,3.6116898677450546,8,2.650724603478794
3.496219480481861,6000,30.0,sgeyesub,2,0.04633514521685578,1.690240276204999,layout_03,0.34426143765449524,11.845684570611466,study03/study03_p25,nan,200.0,0.75,3.842099478078503,2.1670347096312534,0.21269100904464722,1.3665983267765256,study03,3.083399540016003,8,0.5614602750450592
6.114626012183146,6000,30.0,sgeyesub,2,0.034845963679434155,1.6428251886366443,layout_03,0.45360079407691956,17.590567977003097,study03/study03_p26,nan,200.0,1.0,5.558567778605359,1.969520830484442,0.3269974887371063,0.9213896280480801,study03,4.00670376387007,9,0.630882764386601
5.323109674042481,6000,30.0,sgeyesub,2,0.013085046680613388,2.559061444155728,layout_03,0.3446296751499176,12.97525760650869,study03/study03_p27,nan,200.0,0.5,7.107368651546768,2.340881944977506,0.560013473033905,1.929063038606506,study03,4.77767582629721,9,2.3859059925599277
8.863734950557063,6000,30.0,sgeyesub,2,0.017253920245053123,1.9464827799188846,layout_02,0.477455735206604,18.305764383378634,study02/study02_p02,nan,200.0,0.5,6.314575221064203,0.9280160138544545,0.6371235847473145,0.7857920203658162,study02,3.7265168948633125,10,2.259600380881135
5.662745729622743,6000,30.0,sgeyesub,2,0.036435062963823484,1.5951822530787154,layout_02,0.6215095520019531,23.42875443347828,study02/study02_p03,nan,200.0,0.5,3.390318064402777,1.1467956749908772,0.7337737083435059,1.0726234695672128,study02,2.301686438603774,10,1.5933999187428056
6.926052142069719,6000,30.0,sgeyesub,2,0.023218811798142114,1.3674153470282666,layout_02,0.6077691912651062,24.41857949736846,study02/study02_p06,nan,200.0,0.25,5.386361133662675,1.2711144843864226,0.9790651202201843,1.9546618114567131,study02,3.33198553260086,10,2.712119532584944
8.804101175530228,6000,30.0,sgeyesub,2,0.023520813689934528,1.2262430977734233,layout_02,0.5176210403442383,18.347179403072722,study02/study02_p07,nan,200.0,0.0,5.216991997736028,1.28089952124239,0.7887099385261536,2.0520401343224894,study02,3.2610262832341284,11,8.712033178957732
3.9972794087402206,6000,30.0,sgeyesub,2,0.10174432708515302,2.948095953670774,layout_02,0.5122940540313721,17.599007038021423,study02/study02_p08,nan,200.0,0.0,2.0680978385456137,1.0296497598123793,0.9262315630912781,3.604840179144083,study02,1.6253162000921515,11,4.500094434608677
3.1332751937826,6000,30.0,sgeyesub,2,0.13336740066989505,2.8938349911553836,layout_02,0.611557126045227,24.80212646947515,study02/study02_p09,nan,200.0,0.75,2.3337933107949094,1.1567589111333072,0.7634415030479431,1.372825338696288,study02,1.8366258941871547,11,2.257177301470941
3.167919557095655,6000,30.0,sgeyesub,2,0.19228354214611387,3.3013759815729595,layout_02,0.42615950107574463,12.90243291692322,study02/study02_p10,nan,200.0,0.0,2.1890458785081495,1.230050067086056,0.6481645703315735,2.4924911096919544,study02,1.7695958248774266,12,4.290416922326012
2.6385579058564677,6000,30.0,sgeyesub,2,0.09871035526811855,2.8281990874894807,layout_02,0.5627208352088928,20.25249806001413,study02/study02_p11,nan,200.0,0.75,2.46620155975136,0.9921211921138741,0.7395429611206055,1.518262405677825,study02,1.8340735096571792,12,1.296957998848345
2.809696360351145,6000,30.0,sgeyesub,2,0.06018506881315955,2.404763937243449,layout_02,0.3150399923324585,11.219315237269797,study02/study02_p12,nan,200.0,0.0,2.7000279668610716,1.2604165874077602,1.0724906921386719,2.6487288419101893,study02,2.066721043944806,12,4.331374716357934
9.386345390354421,6000,30.0,sgeyesub,2,0.026652704583429943,5.800674407660618,layout_02,0.47678664326667786,17.722265158003577,study02/study02_p13,nan,200.0,1.0,10.243540740569886,1.601226141333265,0.3984939455986023,1.4719776999298066,study02,6.020371492414103,13,1.4587705894543517
1.8117832211676328,6000,30.0,sgeyesub,2,0.14616457658838777,2.5038558768440904,layout_02,0.8168771862983704,30.875119386119486,study02/study02_p14,nan,200.0,0.75,3.83583157079612,1.8432367135264356,0.43737074732780457,0.8480546707102107,study02,2.938801995753362,13,1.3246753733503407
2.102395660579192,6000,30.0,sgeyesub,2,0.015899154002995464,1.0707531114913729,layout_02,0.46207472681999207,18.023072706169756,study02/study02_p15,nan,200.0,0.0,3.900644755044321,1.1848519696039694,0.9410635828971863,1.7972509000489991,study02,2.623170778893747,13,2.3991799505606393
2.2795472910247576,6000,30.0,sgeyesub,2,0.15505665422316273,3.2593867505079963,layout_02,0.7904287576675415,33.48630882628191,study02/study02_p16,nan,200.0,1.0,1.800068696834075,0.9570301875199859,0.6293620467185974,0.2917933821493615,study02,1.429069372707721,14,0.6695209107381075
2.4862858969514807,6000,30.0,sgeyesub,2,0.015291826212014303,1.4425880773867175,layout_02,0.32490095496177673,10.112925689442278,study02/study02_p17,nan,200.0,0.75,3.3611575900628123,1.1255477836761092,0.64426589012146,1.1874593513140759,study02,2.27287958097269,14,0.7569780315811856
1.4943296737817333,6000,30.0,sgeyesub,2,0.04493306346981063,2.029815719021336,layout_02,0.41065388917922974,15.427331851439922,study02/study02_p18,nan,200.0,0.5,2.8671066245832715,1.253667339896819,1.0303601026535034,1.7476600568844247,study02,2.1048177819864087,14,2.223374544320283
2.78273563833947,3000,30.0,sgeyesub,2,0.016723031773694386,1.275596521200803,layout_04,0.4951994717121124,19.47957742247042,study04/study04_p03,nan,100.0,0.25,3.589682015957037,0.4442758427697073,0.8491214513778687,1.069613062560514,study04,2.021787545580889,15,2.5956292320231045
5.336229407008701,3000,30.0,sgeyesub,2,0.020237844233757962,2.833968975061576,layout_04,0.7479170560836792,31.488800003337,study04/study04_p08,nan,100.0,0.0,7.086206924460205,1.4432201457797729,0.8592718243598938,1.3597980444947222,study04,4.272695437942753,15,18.22434224795245
1.7294988179105635,3000,30.0,sgeyesub,2,0.05683926082560198,2.0186412178606705,layout_04,0.5781737565994263,23.597284922251987,study04/study04_p24,nan,100.0,0.75,2.8329660803068997,1.2225790604821418,0.34790122509002686,0.5989718917522463,study04,2.0582393449675793,15,1.339014286020005
3.03489085589752,3000,30.0,sgeyesub,2,0.05661980113480425,2.8992452122294097,layout_04,0.5900871753692627,24.261302151267397,study04/study04_p28,nan,100.0,0.25,1.6923226578041393,0.8623796800810415,0.8863967657089233,3.747989584314896,study04,1.2946479929054988,16,3.5614844271080135
4.828484074017891,3000,30.0,sgeyesub,2,0.009916753903643327,1.780218017781436,layout_04,0.4463447332382202,17.737185684048256,study04/study04_p29,nan,100.0,0.25,6.104563807310397,1.2615588188172415,0.7480859160423279,1.6040867071854474,study04,3.8024996345500117,16,6.7656569026514175
2.4261474586257785,3000,30.0,sgeyesub,2,0.04857862531444379,1.4254658894260726,layout_04,0.7519662976264954,31.46824589794212,study04/study04_p30,nan,100.0,0.25,4.164940435387566,1.1230611330025408,0.984210729598999,2.3603387616414313,study04,2.8038108852819756,16,2.9713870364975494
