successful_update,pair_indices,pair_keys
11,25;43;88;126;74;7;110;24,study03/study03_p03:target_t24_400:source_t11_0;study03/study03_p19:target_t8_1200:source_t7_800;study03/study03_p21:target_t17_800:source_t0_1200;study03/study03_p23:target_t8_0:source_t6_800;study03/study03_p20:target_t17_0:source_t4_800;study03/study03_p03:target_t6_1200:source_t23_400;study03/study03_p22:target_t13_0:source_t11_800;study03/study03_p03:target_t24_0:source_t8_1200
12,111;150;86;34;139;64;79;20,study03/study03_p22:target_t13_400:source_t11_1200;study03/study03_p27:target_t21_1200:source_t2_0;study03/study03_p21:target_t17_0:source_t0_400;study03/study03_p19:target_t3_800:source_t1_0;study03/study03_p26:target_t5_400:source_t7_400;study03/study03_p20:target_t9_800:source_t20_1200;study03/study03_p21:target_t3_1200:source_t16_400;study03/study03_p03:target_t22_0:source_t7_1200
13,49;145;132;19;53;115;127;29,study03/study03_p19:target_t17_400:source_t11_0;study03/study03_p26:target_t13_1200:source_t8_1200;study03/study03_p23:target_t16_800:source_t11_0;study03/study03_p03:target_t18_1200:source_t7_800;study03/study03_p19:target_t19_400:source_t12_0;study03/study03_p23:target_t2_400:source_t0_1200;study03/study03_p23:target_t8_400:source_t6_1200;study03/study03_p03:target_t25_400:source_t12_1200
14,13;12;120;143;81;102;106;96,study03/study03_p03:target_t10_400:source_t1_1200;study03/study03_p03:target_t10_0:source_t1_800;study03/study03_p23:target_t4_800:source_t3_0;study03/study03_p26:target_t13_400:source_t8_400;study03/study03_p21:target_t6_400:source_t16_1200;study03/study03_p22:target_t8_0:source_t6_800;study03/study03_p22:target_t12_0:source_t9_800;study03/study03_p22:target_t4_800:source_t5_0
15,10;105;91;72;89;101;97;70,study03/study03_p03:target_t9_800:source_t1_0;study03/study03_p22:target_t8_1200:source_t9_400;study03/study03_p22:target_t1_400:source_t2_1200;study03/study03_p20:target_t16_800:source_t2_1200;study03/study03_p21:target_t17_1200:source_t1_400;study03/study03_p22:target_t7_1200:source_t6_400;study03/study03_p22:target_t4_1200:source_t5_400;study03/study03_p20:target_t16_0:source_t0_800
16,51;109;2;27;58;146;67;8,study03/study03_p19:target_t17_1200:source_t11_800;study03/study03_p22:target_t12_1200:source_t11_400;study03/study03_p03:target_t3_800:source_t21_0;study03/study03_p03:target_t24_1200:source_t12_400;study03/study03_p20:target_t3_0:source_t19_400;study03/study03_p27:target_t4_1200:source_t0_1200;study03/study03_p20:target_t10_400:source_t21_1200;study03/study03_p03:target_t9_0:source_t23_800
17,54;28;98;112;141;65;128;137,study03/study03_p19:target_t19_800:source_t12_400;study03/study03_p03:target_t25_0:source_t12_800;study03/study03_p22:target_t7_0:source_t5_800;study03/study03_p22:target_t13_800:source_t14_0;study03/study03_p26:target_t5_1200:source_t7_1200;study03/study03_p20:target_t9_1200:source_t21_400;study03/study03_p23:target_t8_800:source_t9_0;study03/study03_p26:target_t2_1200:source_t6_1200
18,68;83;21;36;38;45;125;39,study03/study03_p20:target_t10_800:source_t0_0;study03/study03_p21:target_t9_400:source_t18_400;study03/study03_p03:target_t22_400:source_t8_0;study03/study03_p19:target_t6_0:source_t2_800;study03/study03_p19:target_t6_800:source_t4_400;study03/study03_p19:target_t16_400:source_t9_0;study03/study03_p23:target_t5_1200:source_t6_400;study03/study03_p19:target_t6_1200:source_t4_800
19,144;71;133;130;73;151;6;119,study03/study03_p26:target_t13_800:source_t8_800;study03/study03_p20:target_t16_400:source_t0_1200;study03/study03_p23:target_t16_1200:source_t11_400;study03/study03_p23:target_t16_0:source_t9_800;study03/study03_p20:target_t16_1200:source_t4_0;study03/study03_p27:target_t22_400:source_t2_400;study03/study03_p03:target_t6_800:source_t23_0;study03/study03_p23:target_t4_400:source_t1_1200
20,103;138;105;143;3;144;119;29,study03/study03_p22:target_t8_400:source_t6_1200;study03/study03_p26:target_t5_0:source_t7_0;study03/study03_p22:target_t8_1200:source_t9_400;study03/study03_p26:target_t13_400:source_t8_400;study03/study03_p03:target_t3_1200:source_t21_400;study03/study03_p26:target_t13_800:source_t8_800;study03/study03_p23:target_t4_400:source_t1_1200;study03/study03_p03:target_t25_400:source_t12_1200
21,57;142;4;95;65;146;131;111,study03/study03_p19:target_t20_1200:source_t13_0;study03/study03_p26:target_t13_0:source_t8_0;study03/study03_p03:target_t6_0:source_t21_800;study03/study03_p22:target_t4_400:source_t3_1200;study03/study03_p20:target_t9_1200:source_t21_400;study03/study03_p27:target_t4_1200:source_t0_1200;study03/study03_p23:target_t16_400:source_t9_1200;study03/study03_p22:target_t13_400:source_t11_1200
22,149;82;115;60;37;62;83;148,study03/study03_p27:target_t16_1200:source_t1_800;study03/study03_p21:target_t9_0:source_t18_0;study03/study03_p23:target_t2_400:source_t0_1200;study03/study03_p20:target_t6_0:source_t19_1200;study03/study03_p19:target_t6_400:source_t4_0;study03/study03_p20:target_t9_0:source_t20_400;study03/study03_p21:target_t9_400:source_t18_400;study03/study03_p27:target_t16_400:source_t1_400
23,114;25;91;116;139;18;27;2,study03/study03_p23:target_t2_0:source_t0_800;study03/study03_p03:target_t24_400:source_t11_0;study03/study03_p22:target_t1_400:source_t2_1200;study03/study03_p23:target_t2_800:source_t1_0;study03/study03_p26:target_t5_400:source_t7_400;study03/study03_p03:target_t18_800:source_t7_400;study03/study03_p03:target_t24_1200:source_t12_400;study03/study03_p03:target_t3_800:source_t21_0
24,40;36;108;53;121;89;84;63,study03/study03_p19:target_t8_0:source_t4_1200;study03/study03_p19:target_t6_0:source_t2_800;study03/study03_p22:target_t12_800:source_t11_0;study03/study03_p19:target_t19_400:source_t12_0;study03/study03_p23:target_t4_1200:source_t3_400;study03/study03_p21:target_t17_1200:source_t1_400;study03/study03_p21:target_t9_800:source_t18_800;study03/study03_p20:target_t9_400:source_t20_800
25,118;19;14;99;85;120;49;137,study03/study03_p23:target_t4_0:source_t1_800;study03/study03_p03:target_t18_1200:source_t7_800;study03/study03_p03:target_t10_800:source_t2_0;study03/study03_p22:target_t7_400:source_t5_1200;study03/study03_p21:target_t9_1200:source_t18_1200;study03/study03_p23:target_t4_800:source_t3_0;study03/study03_p19:target_t17_400:source_t11_0;study03/study03_p26:target_t2_1200:source_t6_1200
26,90;54;51;134;43;33;21;150,study03/study03_p22:target_t1_0:source_t2_800;study03/study03_p19:target_t19_800:source_t12_400;study03/study03_p19:target_t17_1200:source_t11_800;study03/study03_p26:target_t2_0:source_t1_400;study03/study03_p19:target_t8_1200:source_t7_800;study03/study03_p19:target_t3_400:source_t0_1200;study03/study03_p03:target_t22_400:source_t8_0;study03/study03_p27:target_t21_1200:source_t2_0
27,122;10;16;127;55;75;56;35,study03/study03_p23:target_t5_0:source_t3_800;study03/study03_p03:target_t9_800:source_t1_0;study03/study03_p03:target_t18_0:source_t2_800;study03/study03_p23:target_t8_400:source_t6_1200;study03/study03_p19:target_t19_1200:source_t12_800;study03/study03_p20:target_t17_400:source_t4_1200;study03/study03_p19:target_t20_0:source_t12_1200;study03/study03_p19:target_t3_1200:source_t2_0
28,125;130;77;7;79;128;81;48,study03/study03_p23:target_t5_1200:source_t6_400;study03/study03_p23:target_t16_0:source_t9_800;study03/study03_p21:target_t3_400:source_t15_800;study03/study03_p03:target_t6_1200:source_t23_400;study03/study03_p21:target_t3_1200:source_t16_400;study03/study03_p23:target_t8_800:source_t9_0;study03/study03_p21:target_t6_400:source_t16_1200;study03/study03_p19:target_t17_0:source_t9_1200
29,42;67;50;93;100;0;61;64,study03/study03_p19:target_t8_800:source_t7_400;study03/study03_p20:target_t10_400:source_t21_1200;study03/study03_p19:target_t17_800:source_t11_400;study03/study03_p22:target_t1_1200:source_t3_400;study03/study03_p22:target_t7_800:source_t6_0;study03/study03_p03:target_t3_0:source_t20_800;study03/study03_p20:target_t6_400:source_t20_0;study03/study03_p20:target_t9_800:source_t20_1200
30,11;133;45;9;104;136;76;15,study03/study03_p03:target_t9_1200:source_t1_400;study03/study03_p23:target_t16_1200:source_t11_400;study03/study03_p19:target_t16_400:source_t9_0;study03/study03_p03:target_t9_400:source_t23_1200;study03/study03_p22:target_t8_800:source_t9_0;study03/study03_p26:target_t2_800:source_t1_1200;study03/study03_p21:target_t3_0:source_t15_400;study03/study03_p03:target_t10_1200:source_t2_400
31,52;70;94;47;140;112;151;86,study03/study03_p19:target_t19_0:source_t11_1200;study03/study03_p20:target_t16_0:source_t0_800;study03/study03_p22:target_t4_0:source_t3_800;study03/study03_p19:target_t16_1200:source_t9_800;study03/study03_p26:target_t5_800:source_t7_800;study03/study03_p22:target_t13_800:source_t14_0;study03/study03_p27:target_t22_400:source_t2_400;study03/study03_p21:target_t17_0:source_t0_400
32,23;88;74;132;71;32;46;38,study03/study03_p03:target_t22_1200:source_t8_800;study03/study03_p21:target_t17_800:source_t0_1200;study03/study03_p20:target_t17_0:source_t4_800;study03/study03_p23:target_t16_800:source_t11_0;study03/study03_p20:target_t16_400:source_t0_1200;study03/study03_p19:target_t3_0:source_t0_800;study03/study03_p19:target_t16_800:source_t9_400;study03/study03_p19:target_t6_800:source_t4_400
33,30;101;107;69;87;24;135;68,study03/study03_p03:target_t25_800:source_t13_0;study03/study03_p22:target_t7_1200:source_t6_400;study03/study03_p22:target_t12_400:source_t9_1200;study03/study03_p20:target_t10_1200:source_t0_400;study03/study03_p21:target_t17_400:source_t0_800;study03/study03_p03:target_t24_0:source_t8_1200;study03/study03_p26:target_t2_400:source_t1_800;study03/study03_p20:target_t10_800:source_t0_0
34,97;117;110;73;129;20;80;17,study03/study03_p22:target_t4_1200:source_t5_400;study03/study03_p23:target_t2_1200:source_t1_400;study03/study03_p22:target_t13_0:source_t11_800;study03/study03_p20:target_t16_1200:source_t4_0;study03/study03_p23:target_t8_1200:source_t9_400;study03/study03_p03:target_t22_0:source_t7_1200;study03/study03_p21:target_t6_0:source_t16_800;study03/study03_p03:target_t18_400:source_t2_1200
35,96;123;34;58;66;109;28;31,study03/study03_p22:target_t4_800:source_t5_0;study03/study03_p23:target_t5_400:source_t3_1200;study03/study03_p19:target_t3_800:source_t1_0;study03/study03_p20:target_t3_0:source_t19_400;study03/study03_p20:target_t10_0:source_t21_800;study03/study03_p22:target_t12_1200:source_t11_400;study03/study03_p03:target_t25_0:source_t12_800;study03/study03_p03:target_t25_1200:source_t13_400
36,113;1;22;26;41;106;59;141,study03/study03_p22:target_t13_1200:source_t14_400;study03/study03_p03:target_t3_400:source_t20_1200;study03/study03_p03:target_t22_800:source_t8_400;study03/study03_p03:target_t24_800:source_t12_0;study03/study03_p19:target_t8_400:source_t7_0;study03/study03_p22:target_t12_0:source_t9_800;study03/study03_p20:target_t3_1200:source_t19_800;study03/study03_p26:target_t5_1200:source_t7_1200
37,13;102;72;145;6;92;8;147,study03/study03_p03:target_t10_400:source_t1_1200;study03/study03_p22:target_t8_0:source_t6_800;study03/study03_p20:target_t16_800:source_t2_1200;study03/study03_p26:target_t13_1200:source_t8_1200;study03/study03_p03:target_t6_800:source_t23_0;study03/study03_p22:target_t1_800:source_t3_0;study03/study03_p03:target_t9_0:source_t23_800;study03/study03_p27:target_t11_400:source_t1_0
38,12;98;78;124;44;126;5;39,study03/study03_p03:target_t10_0:source_t1_800;study03/study03_p22:target_t7_0:source_t5_800;study03/study03_p21:target_t3_800:source_t15_1200;study03/study03_p23:target_t5_800:source_t6_0;study03/study03_p19:target_t16_0:source_t7_1200;study03/study03_p23:target_t8_0:source_t6_800;study03/study03_p03:target_t6_400:source_t21_1200;study03/study03_p19:target_t6_1200:source_t4_800
39,94;27;21;124;20;135;12;111,study03/study03_p22:target_t4_0:source_t3_800;study03/study03_p03:target_t24_1200:source_t12_400;study03/study03_p03:target_t22_400:source_t8_0;study03/study03_p23:target_t5_800:source_t6_0;study03/study03_p03:target_t22_0:source_t7_1200;study03/study03_p26:target_t2_400:source_t1_800;study03/study03_p03:target_t10_0:source_t1_800;study03/study03_p22:target_t13_400:source_t11_1200
40,57;109;91;28;98;31;137;41,study03/study03_p19:target_t20_1200:source_t13_0;study03/study03_p22:target_t12_1200:source_t11_400;study03/study03_p22:target_t1_400:source_t2_1200;study03/study03_p03:target_t25_0:source_t12_800;study03/study03_p22:target_t7_0:source_t5_800;study03/study03_p03:target_t25_1200:source_t13_400;study03/study03_p26:target_t2_1200:source_t6_1200;study03/study03_p19:target_t8_400:source_t7_0
41,14;40;127;56;25;43;60;110,study03/study03_p03:target_t10_800:source_t2_0;study03/study03_p19:target_t8_0:source_t4_1200;study03/study03_p23:target_t8_400:source_t6_1200;study03/study03_p19:target_t20_0:source_t12_1200;study03/study03_p03:target_t24_400:source_t11_0;study03/study03_p19:target_t8_1200:source_t7_800;study03/study03_p20:target_t6_0:source_t19_1200;study03/study03_p22:target_t13_0:source_t11_800
42,148;130;133;17;81;126;63;88,study03/study03_p27:target_t16_400:source_t1_400;study03/study03_p23:target_t16_0:source_t9_800;study03/study03_p23:target_t16_1200:source_t11_400;study03/study03_p03:target_t18_400:source_t2_1200;study03/study03_p21:target_t6_400:source_t16_1200;study03/study03_p23:target_t8_0:source_t6_800;study03/study03_p20:target_t9_400:source_t20_800;study03/study03_p21:target_t17_800:source_t0_1200
43,67;33;24;85;15;113;76;19,study03/study03_p20:target_t10_400:source_t21_1200;study03/study03_p19:target_t3_400:source_t0_1200;study03/study03_p03:target_t24_0:source_t8_1200;study03/study03_p21:target_t9_1200:source_t18_1200;study03/study03_p03:target_t10_1200:source_t2_400;study03/study03_p22:target_t13_1200:source_t14_400;study03/study03_p21:target_t3_0:source_t15_400;study03/study03_p03:target_t18_1200:source_t7_800
44,62;132;104;84;55;89;8;138,study03/study03_p20:target_t9_0:source_t20_400;study03/study03_p23:target_t16_800:source_t11_0;study03/study03_p22:target_t8_800:source_t9_0;study03/study03_p21:target_t9_800:source_t18_800;study03/study03_p19:target_t19_1200:source_t12_800;study03/study03_p21:target_t17_1200:source_t1_400;study03/study03_p03:target_t9_0:source_t23_800;study03/study03_p26:target_t5_0:source_t7_0
45,128;129;38;37;151;93;48;105,study03/study03_p23:target_t8_800:source_t9_0;study03/study03_p23:target_t8_1200:source_t9_400;study03/study03_p19:target_t6_800:source_t4_400;study03/study03_p19:target_t6_400:source_t4_0;study03/study03_p27:target_t22_400:source_t2_400;study03/study03_p22:target_t1_1200:source_t3_400;study03/study03_p19:target_t17_0:source_t9_1200;study03/study03_p22:target_t8_1200:source_t9_400
46,121;118;108;142;26;36;54;29,study03/study03_p23:target_t4_1200:source_t3_400;study03/study03_p23:target_t4_0:source_t1_800;study03/study03_p22:target_t12_800:source_t11_0;study03/study03_p26:target_t13_0:source_t8_0;study03/study03_p03:target_t24_800:source_t12_0;study03/study03_p19:target_t6_0:source_t2_800;study03/study03_p19:target_t19_800:source_t12_400;study03/study03_p03:target_t25_400:source_t12_1200
47,30;44;16;0;80;10;101;53,study03/study03_p03:target_t25_800:source_t13_0;study03/study03_p19:target_t16_0:source_t7_1200;study03/study03_p03:target_t18_0:source_t2_800;study03/study03_p03:target_t3_0:source_t20_800;study03/study03_p21:target_t6_0:source_t16_800;study03/study03_p03:target_t9_800:source_t1_0;study03/study03_p22:target_t7_1200:source_t6_400;study03/study03_p19:target_t19_400:source_t12_0
48,117;52;79;123;7;18;71;6,study03/study03_p23:target_t2_1200:source_t1_400;study03/study03_p19:target_t19_0:source_t11_1200;study03/study03_p21:target_t3_1200:source_t16_400;study03/study03_p23:target_t5_400:source_t3_1200;study03/study03_p03:target_t6_1200:source_t23_400;study03/study03_p03:target_t18_800:source_t7_400;study03/study03_p20:target_t16_400:source_t0_1200;study03/study03_p03:target_t6_800:source_t23_0
49,58;75;70;115;47;147;65;64,study03/study03_p20:target_t3_0:source_t19_400;study03/study03_p20:target_t17_400:source_t4_1200;study03/study03_p20:target_t16_0:source_t0_800;study03/study03_p23:target_t2_400:source_t0_1200;study03/study03_p19:target_t16_1200:source_t9_800;study03/study03_p27:target_t11_400:source_t1_0;study03/study03_p20:target_t9_1200:source_t21_400;study03/study03_p20:target_t9_800:source_t20_1200
50,107;74;114;5;13;77;103;116,study03/study03_p22:target_t12_400:source_t9_1200;study03/study03_p20:target_t17_0:source_t4_800;study03/study03_p23:target_t2_0:source_t0_800;study03/study03_p03:target_t6_400:source_t21_1200;study03/study03_p03:target_t10_400:source_t1_1200;study03/study03_p21:target_t3_400:source_t15_800;study03/study03_p22:target_t8_400:source_t6_1200;study03/study03_p23:target_t2_800:source_t1_0
51,49;97;34;82;83;59;131;141,study03/study03_p19:target_t17_400:source_t11_0;study03/study03_p22:target_t4_1200:source_t5_400;study03/study03_p19:target_t3_800:source_t1_0;study03/study03_p21:target_t9_0:source_t18_0;study03/study03_p21:target_t9_400:source_t18_400;study03/study03_p20:target_t3_1200:source_t19_800;study03/study03_p23:target_t16_400:source_t9_1200;study03/study03_p26:target_t5_1200:source_t7_1200
52,61;22;32;96;140;122;51;150,study03/study03_p20:target_t6_400:source_t20_0;study03/study03_p03:target_t22_800:source_t8_400;study03/study03_p19:target_t3_0:source_t0_800;study03/study03_p22:target_t4_800:source_t5_0;study03/study03_p26:target_t5_800:source_t7_800;study03/study03_p23:target_t5_0:source_t3_800;study03/study03_p19:target_t17_1200:source_t11_800;study03/study03_p27:target_t21_1200:source_t2_0
53,119;120;4;45;3;143;68;90,study03/study03_p23:target_t4_400:source_t1_1200;study03/study03_p23:target_t4_800:source_t3_0;study03/study03_p03:target_t6_0:source_t21_800;study03/study03_p19:target_t16_400:source_t9_0;study03/study03_p03:target_t3_1200:source_t21_400;study03/study03_p26:target_t13_400:source_t8_400;study03/study03_p20:target_t10_800:source_t0_0;study03/study03_p22:target_t1_0:source_t2_800
54,39;125;86;72;69;100;112;139,study03/study03_p19:target_t6_1200:source_t4_800;study03/study03_p23:target_t5_1200:source_t6_400;study03/study03_p21:target_t17_0:source_t0_400;study03/study03_p20:target_t16_800:source_t2_1200;study03/study03_p20:target_t10_1200:source_t0_400;study03/study03_p22:target_t7_800:source_t6_0;study03/study03_p22:target_t13_800:source_t14_0;study03/study03_p26:target_t5_400:source_t7_400
55,95;35;9;145;66;102;73;11,study03/study03_p22:target_t4_400:source_t3_1200;study03/study03_p19:target_t3_1200:source_t2_0;study03/study03_p03:target_t9_400:source_t23_1200;study03/study03_p26:target_t13_1200:source_t8_1200;study03/study03_p20:target_t10_0:source_t21_800;study03/study03_p22:target_t8_0:source_t6_800;study03/study03_p20:target_t16_1200:source_t4_0;study03/study03_p03:target_t9_1200:source_t1_400
56,92;46;1;2;134;50;149;146,study03/study03_p22:target_t1_800:source_t3_0;study03/study03_p19:target_t16_800:source_t9_400;study03/study03_p03:target_t3_400:source_t20_1200;study03/study03_p03:target_t3_800:source_t21_0;study03/study03_p26:target_t2_0:source_t1_400;study03/study03_p19:target_t17_800:source_t11_400;study03/study03_p27:target_t16_1200:source_t1_800;study03/study03_p27:target_t4_1200:source_t0_1200
57,87;136;106;99;78;144;42;23,study03/study03_p21:target_t17_400:source_t0_800;study03/study03_p26:target_t2_800:source_t1_1200;study03/study03_p22:target_t12_0:source_t9_800;study03/study03_p22:target_t7_400:source_t5_1200;study03/study03_p21:target_t3_800:source_t15_1200;study03/study03_p26:target_t13_800:source_t8_800;study03/study03_p19:target_t8_800:source_t7_400;study03/study03_p03:target_t22_1200:source_t8_800
58,111;63;130;103;58;116;131;19,study03/study03_p22:target_t13_400:source_t11_1200;study03/study03_p20:target_t9_400:source_t20_800;study03/study03_p23:target_t16_0:source_t9_800;study03/study03_p22:target_t8_400:source_t6_1200;study03/study03_p20:target_t3_0:source_t19_400;study03/study03_p23:target_t2_800:source_t1_0;study03/study03_p23:target_t16_400:source_t9_1200;study03/study03_p03:target_t18_1200:source_t7_800
59,22;56;90;75;0;109;51;72,study03/study03_p03:target_t22_800:source_t8_400;study03/study03_p19:target_t20_0:source_t12_1200;study03/study03_p22:target_t1_0:source_t2_800;study03/study03_p20:target_t17_400:source_t4_1200;study03/study03_p03:target_t3_0:source_t20_800;study03/study03_p22:target_t12_1200:source_t11_400;study03/study03_p19:target_t17_1200:source_t11_800;study03/study03_p20:target_t16_800:source_t2_1200
60,92;57;85;137;119;114;95;27,study03/study03_p22:target_t1_800:source_t3_0;study03/study03_p19:target_t20_1200:source_t13_0;study03/study03_p21:target_t9_1200:source_t18_1200;study03/study03_p26:target_t2_1200:source_t6_1200;study03/study03_p23:target_t4_400:source_t1_1200;study03/study03_p23:target_t2_0:source_t0_800;study03/study03_p22:target_t4_400:source_t3_1200;study03/study03_p03:target_t24_1200:source_t12_400
61,94;16;101;20;96;126;46;65,study03/study03_p22:target_t4_0:source_t3_800;study03/study03_p03:target_t18_0:source_t2_800;study03/study03_p22:target_t7_1200:source_t6_400;study03/study03_p03:target_t22_0:source_t7_1200;study03/study03_p22:target_t4_800:source_t5_0;study03/study03_p23:target_t8_0:source_t6_800;study03/study03_p19:target_t16_800:source_t9_400;study03/study03_p20:target_t9_1200:source_t21_400
62,86;139;99;48;134;140;87;36,study03/study03_p21:target_t17_0:source_t0_400;study03/study03_p26:target_t5_400:source_t7_400;study03/study03_p22:target_t7_400:source_t5_1200;study03/study03_p19:target_t17_0:source_t9_1200;study03/study03_p26:target_t2_0:source_t1_400;study03/study03_p26:target_t5_800:source_t7_800;study03/study03_p21:target_t17_400:source_t0_800;study03/study03_p19:target_t6_0:source_t2_800
63,30;145;33;62;115;14;100;31,study03/study03_p03:target_t25_800:source_t13_0;study03/study03_p26:target_t13_1200:source_t8_1200;study03/study03_p19:target_t3_400:source_t0_1200;study03/study03_p20:target_t9_0:source_t20_400;study03/study03_p23:target_t2_400:source_t0_1200;study03/study03_p03:target_t10_800:source_t2_0;study03/study03_p22:target_t7_800:source_t6_0;study03/study03_p03:target_t25_1200:source_t13_400
64,17;60;43;136;107;68;77;52,study03/study03_p03:target_t18_400:source_t2_1200;study03/study03_p20:target_t6_0:source_t19_1200;study03/study03_p19:target_t8_1200:source_t7_800;study03/study03_p26:target_t2_800:source_t1_1200;study03/study03_p22:target_t12_400:source_t9_1200;study03/study03_p20:target_t10_800:source_t0_0;study03/study03_p21:target_t3_400:source_t15_800;study03/study03_p19:target_t19_0:source_t11_1200
65,151;44;82;117;91;102;141;135,study03/study03_p27:target_t22_400:source_t2_400;study03/study03_p19:target_t16_0:source_t7_1200;study03/study03_p21:target_t9_0:source_t18_0;study03/study03_p23:target_t2_1200:source_t1_400;study03/study03_p22:target_t1_400:source_t2_1200;study03/study03_p22:target_t8_0:source_t6_800;study03/study03_p26:target_t5_1200:source_t7_1200;study03/study03_p26:target_t2_400:source_t1_800
66,142;144;112;129;15;150;40;125,study03/study03_p26:target_t13_0:source_t8_0;study03/study03_p26:target_t13_800:source_t8_800;study03/study03_p22:target_t13_800:source_t14_0;study03/study03_p23:target_t8_1200:source_t9_400;study03/study03_p03:target_t10_1200:source_t2_400;study03/study03_p27:target_t21_1200:source_t2_0;study03/study03_p19:target_t8_0:source_t4_1200;study03/study03_p23:target_t5_1200:source_t6_400
67,69;49;104;70;113;6;45;38,study03/study03_p20:target_t10_1200:source_t0_400;study03/study03_p19:target_t17_400:source_t11_0;study03/study03_p22:target_t8_800:source_t9_0;study03/study03_p20:target_t16_0:source_t0_800;study03/study03_p22:target_t13_1200:source_t14_400;study03/study03_p03:target_t6_800:source_t23_0;study03/study03_p19:target_t16_400:source_t9_0;study03/study03_p19:target_t6_800:source_t4_400
