H_recovery_max_abs_error,fixed_head_ba_difference,fixed_head_ece_difference,fold,max_centered_logit_error,max_softmax_probability_error,method,prediction_mismatch_count,seed
5.961952265209902e-08,0.0,-3.0180996590800646e-11,1,5.961952265209902e-08,2.925665154585033e-09,HEAD_ONLY,0,20260941
1.0266830585692333e-07,0.0,-2.4959423416959226e-11,1,1.0266830585692333e-07,6.508632965918082e-09,Fiber-OneStep,0,20260941
1.4574476603357311e-07,0.0,5.000665714849362e-10,1,1.4574476603357311e-07,5.784839773870232e-08,Fiber-SANDiff,0,20260941
1.6031018823525756e-07,0.0,-7.136561619436321e-10,1,1.6031018823525756e-07,6.835097110524657e-08,Fiber-Gaussian,0,20260941
1.4168903827993518e-07,0.0,-2.6542487652214675e-10,1,1.4168903827993518e-07,6.899204380017565e-08,Fiber-Stratified-Resample,0,20260941
3.8671543300949907e-08,0.0,-3.683595095615999e-11,2,3.8671543300949907e-08,4.4599609561046805e-09,HEAD_ONLY,0,20260940
5.742232556116278e-08,0.0,-1.3243309227028988e-11,2,5.742232556116278e-08,4.728501146189501e-09,Fiber-OneStep,0,20260940
6.593502366314397e-08,0.0,2.5911205125961345e-10,2,6.593502366314397e-08,1.8944307900170543e-08,Fiber-SANDiff,0,20260940
6.339536851029948e-08,0.0,-1.2882686584170244e-10,2,6.339536851029948e-08,1.6384848366968185e-08,Fiber-Gaussian,0,20260940
7.790267275709084e-08,0.0,1.6317021345191307e-10,2,7.790267275709084e-08,2.086304640158687e-08,Fiber-Stratified-Resample,0,20260940
3.654272662245717e-08,0.0,-3.83859888319904e-11,2,3.654272662245717e-08,3.72554032068706e-09,HEAD_ONLY,0,20260941
5.681823189718216e-08,0.0,-3.7028324850751915e-11,2,5.681823189718216e-08,5.397048724598008e-09,Fiber-OneStep,0,20260941
8.667843287568644e-08,0.0,-1.2979664565371252e-10,2,8.667843287568644e-08,2.524584719054701e-08,Fiber-SANDiff,0,20260941
8.841619214550178e-08,0.0,7.749842434456866e-11,2,8.841619214550178e-08,1.95799649271855e-08,Fiber-Gaussian,0,20260941
6.636284100025591e-08,0.0,-5.5850060687312464e-11,2,6.636284100025591e-08,2.0345321094517033e-08,Fiber-Stratified-Resample,0,20260941
4.917411078331213e-08,0.0,4.795588925965433e-11,3,4.917411078331213e-08,3.5692066246983956e-09,HEAD_ONLY,0,20260940
6.052153844748887e-08,0.0,5.707545547295467e-11,3,6.052153844748887e-08,4.753596183348918e-09,Fiber-OneStep,0,20260940
5.762810384446482e-08,0.0,1.4444376250644098e-11,3,5.762810384446482e-08,1.582776132380559e-08,Fiber-SANDiff,0,20260940
6.249242368028263e-08,0.0,-6.747899461423401e-11,3,6.249242368028263e-08,1.7906425897606937e-08,Fiber-Gaussian,0,20260940
5.6578397966688954e-08,0.0,-8.08006161978625e-11,3,5.6578397966688954e-08,2.0821463109221838e-08,Fiber-Stratified-Resample,0,20260940
5.730915297874617e-08,0.0,5.956110604721232e-11,3,5.730915297874617e-08,3.1340507966604036e-09,HEAD_ONLY,0,20260941
5.305002925837243e-08,0.0,5.820725845762098e-11,3,5.305002925837243e-08,5.172999140157231e-09,Fiber-OneStep,0,20260941
8.915503935114089e-08,0.0,2.6357228899431817e-10,3,8.915503935114089e-08,2.2514081432500888e-08,Fiber-SANDiff,0,20260941
1.0013563622734978e-07,0.0,1.3239095930650535e-10,3,1.0013563622734978e-07,1.99358786701076e-08,Fiber-Gaussian,0,20260941
8.361301073733785e-08,0.0,1.365699636712847e-10,3,8.361301073733785e-08,2.310021779416971e-08,Fiber-Stratified-Resample,0,20260941
4.523389129929001e-08,0.0,1.684299921755894e-11,4,4.523389129929001e-08,3.536094972389492e-09,HEAD_ONLY,0,20260940
8.294206788050928e-08,0.0,8.82274808766681e-12,4,8.294206788050928e-08,7.472559793164635e-09,Fiber-OneStep,0,20260940
1.5644965234429264e-07,0.0,3.491054390014625e-10,4,1.5644965234429264e-07,5.5810319754545645e-08,Fiber-SANDiff,0,20260940
1.707042369680778e-07,0.0,9.647221910213943e-11,4,1.707042369680778e-07,5.7660595076391985e-08,Fiber-Gaussian,0,20260940
1.873646278127694e-07,0.0,-8.336997758817688e-11,4,1.873646278127694e-07,6.028087939924376e-08,Fiber-Stratified-Resample,0,20260940
3.497259459805946e-08,0.0,-2.2618018569176002e-11,4,3.497259459805946e-08,3.731746467394714e-09,HEAD_ONLY,0,20260941
6.20424431829747e-08,0.0,9.01279051390702e-12,4,6.20424431829747e-08,7.2047299237709694e-09,Fiber-OneStep,0,20260941
9.523752275697461e-08,0.0,-3.389816205512375e-11,4,9.523752275697461e-08,4.7377766654310705e-08,Fiber-SANDiff,0,20260941
8.932386563742511e-08,0.0,-1.38399319782323e-10,4,8.932386563742511e-08,3.425409261792467e-08,Fiber-Gaussian,0,20260941
9.36559025888073e-08,0.0,-1.1423789691988873e-10,4,9.36559025888073e-08,3.817163340968932e-08,Fiber-Stratified-Resample,0,20260941
3.9786767658256394e-08,0.0,1.351767309198948e-11,5,3.9786767658256394e-08,3.172117318817058e-09,HEAD_ONLY,0,20260940
4.644741213866155e-08,0.0,4.831487987466687e-11,5,4.644741213866155e-08,5.04315411653522e-09,Fiber-OneStep,0,20260940
5.8153461157672837e-08,0.0,-2.0505808162596395e-10,5,5.8153461157672837e-08,1.76836911780498e-08,Fiber-SANDiff,0,20260940
6.894059945139475e-08,0.0,-1.1064506255653583e-10,5,6.894059945139475e-08,1.68636304365144e-08,Fiber-Gaussian,0,20260940
5.974092820437704e-08,0.0,-2.544592037079241e-10,5,5.974092820437704e-08,1.6666603486203968e-08,Fiber-Stratified-Resample,0,20260940
3.776144197331632e-08,0.0,3.4600933229711472e-12,5,3.776144197331632e-08,3.606951959334026e-09,HEAD_ONLY,0,20260941
5.9095035531697704e-08,0.0,7.453510031396604e-12,5,5.9095035531697704e-08,6.157901466519178e-09,Fiber-OneStep,0,20260941
5.8433305860638995e-08,0.0,4.2370357222765165e-11,5,5.8433305860638995e-08,2.4593097780467588e-08,Fiber-SANDiff,0,20260941
7.931387413506741e-08,0.0,-7.653391809192556e-11,5,7.931387413506741e-08,2.1837066099816838e-08,Fiber-Gaussian,0,20260941
7.038041172080511e-08,0.0,6.322339873854332e-11,5,7.038041172080511e-08,3.050976482565915e-08,Fiber-Stratified-Resample,0,20260941
