fold,seed,method,attacker,primary_finite_threat_balanced_accuracy,maximizing_feature,A_H_balanced_accuracy,privacy_semantics
2,20260940,Fiber-OneStep,adaptive_mlp,0.17888888888888888,A_H,0.17888888888888888,cannot claim below H-visible boundary
2,20260940,Fiber-SANDiff,linear,0.1488888888888889,A_Z,0.14,cannot claim below H-visible boundary
2,20260940,Fiber-SANDiff,adaptive_mlp,0.17888888888888888,A_H,0.17888888888888888,cannot claim below H-visible boundary
2,20260940,Fiber-Gaussian,linear,0.14,A_H,0.14,cannot claim below H-visible boundary
2,20260940,Fiber-Gaussian,adaptive_mlp,0.17888888888888888,A_H,0.17888888888888888,cannot claim below H-visible boundary
2,20260940,Fiber-Stratified-Resample,linear,0.14,A_H,0.14,cannot claim below H-visible boundary
2,20260940,Fiber-Stratified-Resample,adaptive_mlp,0.17888888888888888,A_H,0.17888888888888888,cannot claim below H-visible boundary
2,20260941,RAW,linear,0.3766666666666667,A_HZ,0.13555555555555557,cannot claim below H-visible boundary
2,20260941,RAW,adaptive_mlp,0.3766666666666667,A_Z,0.16333333333333333,cannot claim below H-visible boundary
2,20260941,HEAD_ONLY,linear,0.13666666666666666,A_Z,0.13555555555555557,cannot claim below H-visible boundary
2,20260941,HEAD_ONLY,adaptive_mlp,0.17222222222222222,A_Z,0.16333333333333333,cannot claim below H-visible boundary
2,20260941,LEACE,linear,0.2533333333333333,A_HZ,0.13555555555555557,cannot claim below H-visible boundary
2,20260941,LEACE,adaptive_mlp,0.2544444444444445,A_Z,0.16333333333333333,cannot claim below H-visible boundary
2,20260941,Fiber-OneStep,linear,0.1611111111111111,A_Z,0.13555555555555557,cannot claim below H-visible boundary
2,20260941,Fiber-OneStep,adaptive_mlp,0.16333333333333333,A_H,0.16333333333333333,cannot claim below H-visible boundary
2,20260941,Fiber-SANDiff,linear,0.13555555555555557,A_H,0.13555555555555557,cannot claim below H-visible boundary
2,20260941,Fiber-SANDiff,adaptive_mlp,0.16333333333333333,A_H,0.16333333333333333,cannot claim below H-visible boundary
2,20260941,Fiber-Gaussian,linear,0.13555555555555557,A_H,0.13555555555555557,cannot claim below H-visible boundary
2,20260941,Fiber-Gaussian,adaptive_mlp,0.16333333333333333,A_H,0.16333333333333333,cannot claim below H-visible boundary
2,20260941,Fiber-Stratified-Resample,linear,0.13555555555555557,A_H,0.13555555555555557,cannot claim below H-visible boundary
2,20260941,Fiber-Stratified-Resample,adaptive_mlp,0.16333333333333333,A_H,0.16333333333333333,cannot claim below H-visible boundary
3,20260940,RAW,linear,0.4766666666666667,A_Z,0.10666666666666667,cannot claim below H-visible boundary
3,20260940,RAW,adaptive_mlp,0.43777777777777777,A_HZ,0.18222222222222223,cannot claim below H-visible boundary
3,20260940,HEAD_ONLY,linear,0.10666666666666667,A_H,0.10666666666666667,cannot claim below H-visible boundary
3,20260940,HEAD_ONLY,adaptive_mlp,0.18222222222222223,A_H,0.18222222222222223,cannot claim below H-visible boundary
3,20260940,LEACE,linear,0.25,A_Z,0.10666666666666667,cannot claim below H-visible boundary
3,20260940,LEACE,adaptive_mlp,0.2833333333333333,A_Z,0.18222222222222223,cannot claim below H-visible boundary
3,20260940,Fiber-OneStep,linear,0.17444444444444443,A_Z,0.10666666666666667,cannot claim below H-visible boundary
3,20260940,Fiber-OneStep,adaptive_mlp,0.18222222222222223,A_H,0.18222222222222223,cannot claim below H-visible boundary
3,20260940,Fiber-SANDiff,linear,0.16777777777777778,A_Z,0.10666666666666667,cannot claim below H-visible boundary
3,20260940,Fiber-SANDiff,adaptive_mlp,0.18222222222222223,A_H,0.18222222222222223,cannot claim below H-visible boundary
3,20260940,Fiber-Gaussian,linear,0.13777777777777778,A_Z,0.10666666666666667,cannot claim below H-visible boundary
3,20260940,Fiber-Gaussian,adaptive_mlp,0.18222222222222223,A_H,0.18222222222222223,cannot claim below H-visible boundary
3,20260940,Fiber-Stratified-Resample,linear,0.1411111111111111,A_Z,0.10666666666666667,cannot claim below H-visible boundary
3,20260940,Fiber-Stratified-Resample,adaptive_mlp,0.18222222222222223,A_H,0.18222222222222223,cannot claim below H-visible boundary
3,20260941,RAW,linear,0.5122222222222222,A_Z,0.13,cannot claim below H-visible boundary
3,20260941,RAW,adaptive_mlp,0.4466666666666666,A_HZ,0.1622222222222222,cannot claim below H-visible boundary
3,20260941,HEAD_ONLY,linear,0.13,A_H,0.13,cannot claim below H-visible boundary
3,20260941,HEAD_ONLY,adaptive_mlp,0.1688888888888889,A_HZ,0.1622222222222222,cannot claim below H-visible boundary
3,20260941,LEACE,linear,0.3011111111111111,A_Z,0.13,cannot claim below H-visible boundary
3,20260941,LEACE,adaptive_mlp,0.2888888888888889,A_HZ,0.1622222222222222,cannot claim below H-visible boundary
3,20260941,Fiber-OneStep,linear,0.17666666666666667,A_HZ,0.13,cannot claim below H-visible boundary
3,20260941,Fiber-OneStep,adaptive_mlp,0.16444444444444445,A_Z,0.1622222222222222,cannot claim below H-visible boundary
3,20260941,Fiber-SANDiff,linear,0.13333333333333336,A_Z,0.13,cannot claim below H-visible boundary
3,20260941,Fiber-SANDiff,adaptive_mlp,0.1622222222222222,A_H,0.1622222222222222,cannot claim below H-visible boundary
3,20260941,Fiber-Gaussian,linear,0.13,A_H,0.13,cannot claim below H-visible boundary
3,20260941,Fiber-Gaussian,adaptive_mlp,0.1622222222222222,A_H,0.1622222222222222,cannot claim below H-visible boundary
3,20260941,Fiber-Stratified-Resample,linear,0.13,A_H,0.13,cannot claim below H-visible boundary
3,20260941,Fiber-Stratified-Resample,adaptive_mlp,0.1622222222222222,A_H,0.1622222222222222,cannot claim below H-visible boundary
4,20260940,RAW,linear,0.3811111111111111,A_Z,0.13111111111111112,cannot claim below H-visible boundary
4,20260940,RAW,adaptive_mlp,0.3211111111111111,A_Z,0.14,cannot claim below H-visible boundary
4,20260940,HEAD_ONLY,linear,0.13111111111111112,A_H,0.13111111111111112,cannot claim below H-visible boundary
4,20260940,HEAD_ONLY,adaptive_mlp,0.14,A_H,0.14,cannot claim below H-visible boundary
4,20260940,LEACE,linear,0.26111111111111107,A_HZ,0.13111111111111112,cannot claim below H-visible boundary
4,20260940,LEACE,adaptive_mlp,0.25,A_Z,0.14,cannot claim below H-visible boundary
4,20260940,Fiber-OneStep,linear,0.13111111111111112,A_H,0.13111111111111112,cannot claim below H-visible boundary
4,20260940,Fiber-OneStep,adaptive_mlp,0.14,A_H,0.14,cannot claim below H-visible boundary
4,20260940,Fiber-SANDiff,linear,0.13111111111111112,A_H,0.13111111111111112,cannot claim below H-visible boundary
4,20260940,Fiber-SANDiff,adaptive_mlp,0.14,A_H,0.14,cannot claim below H-visible boundary
4,20260940,Fiber-Gaussian,linear,0.14,A_Z,0.13111111111111112,cannot claim below H-visible boundary
4,20260940,Fiber-Gaussian,adaptive_mlp,0.14333333333333337,A_HZ,0.14,cannot claim below H-visible boundary
4,20260940,Fiber-Stratified-Resample,linear,0.13111111111111112,A_H,0.13111111111111112,cannot claim below H-visible boundary
4,20260940,Fiber-Stratified-Resample,adaptive_mlp,0.14,A_H,0.14,cannot claim below H-visible boundary
4,20260941,RAW,linear,0.38555555555555554,A_Z,0.1511111111111111,cannot claim below H-visible boundary
4,20260941,RAW,adaptive_mlp,0.33333333333333337,A_HZ,0.1622222222222222,cannot claim below H-visible boundary
4,20260941,HEAD_ONLY,linear,0.1511111111111111,A_H,0.1511111111111111,cannot claim below H-visible boundary
4,20260941,HEAD_ONLY,adaptive_mlp,0.1622222222222222,A_H,0.1622222222222222,cannot claim below H-visible boundary
4,20260941,LEACE,linear,0.23444444444444448,A_Z,0.1511111111111111,cannot claim below H-visible boundary
4,20260941,LEACE,adaptive_mlp,0.2122222222222222,A_Z,0.1622222222222222,cannot claim below H-visible boundary
4,20260941,Fiber-OneStep,linear,0.1511111111111111,A_H,0.1511111111111111,cannot claim below H-visible boundary
4,20260941,Fiber-OneStep,adaptive_mlp,0.1622222222222222,A_H,0.1622222222222222,cannot claim below H-visible boundary
4,20260941,Fiber-SANDiff,linear,0.1511111111111111,A_H,0.1511111111111111,cannot claim below H-visible boundary
4,20260941,Fiber-SANDiff,adaptive_mlp,0.1622222222222222,A_H,0.1622222222222222,cannot claim below H-visible boundary
4,20260941,Fiber-Gaussian,linear,0.1511111111111111,A_H,0.1511111111111111,cannot claim below H-visible boundary
4,20260941,Fiber-Gaussian,adaptive_mlp,0.1622222222222222,A_H,0.1622222222222222,cannot claim below H-visible boundary
4,20260941,Fiber-Stratified-Resample,linear,0.1511111111111111,A_H,0.1511111111111111,cannot claim below H-visible boundary
4,20260941,Fiber-Stratified-Resample,adaptive_mlp,0.1622222222222222,A_H,0.1622222222222222,cannot claim below H-visible boundary
5,20260940,RAW,linear,0.3655555555555556,A_HZ,0.13555555555555554,cannot claim below H-visible boundary
5,20260940,RAW,adaptive_mlp,0.29666666666666663,A_HZ,0.13666666666666666,cannot claim below H-visible boundary
5,20260940,HEAD_ONLY,linear,0.13555555555555554,A_H,0.13555555555555554,cannot claim below H-visible boundary
5,20260940,HEAD_ONLY,adaptive_mlp,0.13666666666666666,A_H,0.13666666666666666,cannot claim below H-visible boundary
5,20260940,LEACE,linear,0.24111111111111116,A_HZ,0.13555555555555554,cannot claim below H-visible boundary
5,20260940,LEACE,adaptive_mlp,0.1822222222222222,A_HZ,0.13666666666666666,cannot claim below H-visible boundary
5,20260940,Fiber-OneStep,linear,0.13555555555555554,A_H,0.13555555555555554,cannot claim below H-visible boundary
5,20260940,Fiber-OneStep,adaptive_mlp,0.13666666666666666,A_H,0.13666666666666666,cannot claim below H-visible boundary
5,20260940,Fiber-SANDiff,linear,0.13555555555555554,A_H,0.13555555555555554,cannot claim below H-visible boundary
5,20260940,Fiber-SANDiff,adaptive_mlp,0.13666666666666666,A_H,0.13666666666666666,cannot claim below H-visible boundary
5,20260940,Fiber-Gaussian,linear,0.13555555555555557,A_Z,0.13555555555555554,cannot claim below H-visible boundary
5,20260940,Fiber-Gaussian,adaptive_mlp,0.13666666666666666,A_H,0.13666666666666666,cannot claim below H-visible boundary
5,20260940,Fiber-Stratified-Resample,linear,0.13555555555555554,A_H,0.13555555555555554,cannot claim below H-visible boundary
5,20260940,Fiber-Stratified-Resample,adaptive_mlp,0.13666666666666666,A_H,0.13666666666666666,cannot claim below H-visible boundary
5,20260941,RAW,linear,0.36444444444444446,A_Z,0.1277777777777778,cannot claim below H-visible boundary
5,20260941,RAW,adaptive_mlp,0.33222222222222225,A_Z,0.11444444444444445,cannot claim below H-visible boundary
5,20260941,HEAD_ONLY,linear,0.1277777777777778,A_H,0.1277777777777778,cannot claim below H-visible boundary
5,20260941,HEAD_ONLY,adaptive_mlp,0.13222222222222224,A_HZ,0.11444444444444445,cannot claim below H-visible boundary
5,20260941,LEACE,linear,0.2211111111111111,A_HZ,0.1277777777777778,cannot claim below H-visible boundary
5,20260941,LEACE,adaptive_mlp,0.20222222222222225,A_HZ,0.11444444444444445,cannot claim below H-visible boundary
5,20260941,Fiber-OneStep,linear,0.1277777777777778,A_H,0.1277777777777778,cannot claim below H-visible boundary
5,20260941,Fiber-OneStep,adaptive_mlp,0.11444444444444445,A_H,0.11444444444444445,cannot claim below H-visible boundary
5,20260941,Fiber-SANDiff,linear,0.1277777777777778,A_H,0.1277777777777778,cannot claim below H-visible boundary
5,20260941,Fiber-SANDiff,adaptive_mlp,0.11444444444444445,A_H,0.11444444444444445,cannot claim below H-visible boundary
5,20260941,Fiber-Gaussian,linear,0.1277777777777778,A_H,0.1277777777777778,cannot claim below H-visible boundary
5,20260941,Fiber-Gaussian,adaptive_mlp,0.11444444444444445,A_H,0.11444444444444445,cannot claim below H-visible boundary
5,20260941,Fiber-Stratified-Resample,linear,0.1277777777777778,A_H,0.1277777777777778,cannot claim below H-visible boundary
5,20260941,Fiber-Stratified-Resample,adaptive_mlp,0.12111111111111111,A_Z,0.11444444444444445,cannot claim below H-visible boundary
