fold,model,path,seed,sha256,training_subjects
1,Fiber-Gaussian,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_1_seed_20260941/stage_b/Fiber-Gaussian.npz,20260941,cb3b10c6931ad2487546a5f5d4c56400c98d88782cb3be67d4f0a79b056c5453,0;1;2;3;4;5;6;7;8;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
1,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_1_seed_20260941/stage_b/Fiber-SANDiff.pt,20260941,1d86ac1e20886655f9811cdb7292b8c57e1102639d8b0feb423bb1416e440be8,0;1;2;3;4;5;6;7;8;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
2,OpenBMI_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_2_seed_20260940/eegnet_full_pool.pt,20260940,24466c737961c1d3fe939ae28ca4e99af233e7af584d10cbb7b854b12a8df36c,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
2,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_2_seed_20260940/stage_b/Fiber-OneStep.pt,20260940,e1b94acf2f150794ba5e36b3478ec676993e06cdabc5f1f92af8f7ea21d5e8f5,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
2,Fiber-Gaussian,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_2_seed_20260940/stage_b/Fiber-Gaussian.npz,20260940,5f40f3f7cdf0ee731600f430d242647f7a2672319fffd88a0509555fcb263592,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
2,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_2_seed_20260940/stage_b/Fiber-SANDiff.pt,20260940,557775ad585bbcae8a62e37adf517c97fc915f5c2ac6c42efda847834081387d,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
2,OpenBMI_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_2_seed_20260941/eegnet_full_pool.pt,20260941,40189a1e244a0c9e994cb9fa6e15e430b70be9c8062f7d19908a84e194dda2c3,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
2,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_2_seed_20260941/stage_b/Fiber-OneStep.pt,20260941,2a759a4576eca62357c516eab84813bb04af00a16d350ee67f84ab64c850ed14,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
2,Fiber-Gaussian,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_2_seed_20260941/stage_b/Fiber-Gaussian.npz,20260941,6847cac5cba52b694e4ef0bb6843efc95e2c975e96b00cb389659d7277e41125,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
2,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_2_seed_20260941/stage_b/Fiber-SANDiff.pt,20260941,dfd682062da6973bc35fd9eb735ab2e2f40e3b139bfa694af2ca5f143e1e2647,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
3,OpenBMI_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_3_seed_20260940/eegnet_full_pool.pt,20260940,91672210a949eb92a0974683dba1eec9d1e6b70b066293665b9c380ffcbad701,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
3,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_3_seed_20260940/stage_b/Fiber-OneStep.pt,20260940,0002e4fe2fa00e2a38773aba656d10180290cb17682f1ce4e3f2ac2898db89c4,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
3,Fiber-Gaussian,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_3_seed_20260940/stage_b/Fiber-Gaussian.npz,20260940,2a5cf2e3db45b998d8386428871d54c451576dee7f9c6ff1f451277d1a1cd339,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
3,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_3_seed_20260940/stage_b/Fiber-SANDiff.pt,20260940,3fef0cc769b035f1d0fbb1705f8dfd6c60100f36330cf479e95b68da66d8a343,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
3,OpenBMI_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_3_seed_20260941/eegnet_full_pool.pt,20260941,5ad736d4249560c08e510396415fa90a85abb8978985d2349f862bae853853c9,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
3,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_3_seed_20260941/stage_b/Fiber-OneStep.pt,20260941,be8edae47ecbe19ba7b836711d86e0b356388c85b924e8785c3647203be4a3fa,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
3,Fiber-Gaussian,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_3_seed_20260941/stage_b/Fiber-Gaussian.npz,20260941,34f166848c9d387d7b478add5595cc855de6c9abc5d6103fe68a1b4a7d286bd8,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
3,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_3_seed_20260941/stage_b/Fiber-SANDiff.pt,20260941,f53d1e9a4c47f4493a5f6823568c9847b1088f8153a9113a9676f1f3a97f296c,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
4,OpenBMI_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_4_seed_20260940/eegnet_full_pool.pt,20260940,d2ac904fa1545d3ef8b2966340f988b27abb7b5dffd2352d8b856030582e095e,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;45;46;47;48;49;50;51;52;53
4,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_4_seed_20260940/stage_b/Fiber-OneStep.pt,20260940,8b509190fe9b5c63be3c2140d9d3f7186944f26baa5b7b316e31253677aaccc4,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;45;46;47;48;49;50;51;52;53
4,Fiber-Gaussian,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_4_seed_20260940/stage_b/Fiber-Gaussian.npz,20260940,dbf1e2640194795963087dc54bfc84d1431f955142145ffad75cf3a7f15a59bc,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;45;46;47;48;49;50;51;52;53
4,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_4_seed_20260940/stage_b/Fiber-SANDiff.pt,20260940,6d1f9b3c20b5ec78d25981380348a6d1cef2f4d02777a27c18ab84943d3cbd58,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;45;46;47;48;49;50;51;52;53
4,OpenBMI_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_4_seed_20260941/eegnet_full_pool.pt,20260941,8adc69b2fc3e1b56d284d3ceb3e0dd775509736ad8a89edfe158c2c498df6f22,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;45;46;47;48;49;50;51;52;53
4,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_4_seed_20260941/stage_b/Fiber-OneStep.pt,20260941,d8272a8b2e192e4f4c6aea0a4dd5c5ec618e29c4a453cc77ee308fdae1491e2b,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;45;46;47;48;49;50;51;52;53
4,Fiber-Gaussian,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_4_seed_20260941/stage_b/Fiber-Gaussian.npz,20260941,4c77f23d00c5d8a2315c15098b7c23eee110af2356880eba95fa4a1cd95b61be,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;45;46;47;48;49;50;51;52;53
4,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_4_seed_20260941/stage_b/Fiber-SANDiff.pt,20260941,457345ad6244615b0bc63d5cd115fc9bd6f8a887bc067d724311b1da8c8e5986,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;45;46;47;48;49;50;51;52;53
5,OpenBMI_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_5_seed_20260940/eegnet_full_pool.pt,20260940,71d6d1baee6a66789df27a29b44c2d8686059f452008364e639b2f7279e76a24,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
5,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_5_seed_20260940/stage_b/Fiber-OneStep.pt,20260940,6867ccbf0689d8df76d3f00a3a4e1de283647e83cbc6b1173203cc98987ce364,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
5,Fiber-Gaussian,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_5_seed_20260940/stage_b/Fiber-Gaussian.npz,20260940,73fe831a4a5e785f940c735ce3e3f7abe2588a72320a3cc705df86f05124a79b,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
5,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_5_seed_20260940/stage_b/Fiber-SANDiff.pt,20260940,a68eef38d763111d8624de0d79b5550bf674799fc504eab6977d70381f382369,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
5,OpenBMI_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_5_seed_20260941/eegnet_full_pool.pt,20260941,721d27dcbd4a67faa8dc49f1c939e67619294fd7209250affed138b9e0d51527,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
5,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_5_seed_20260941/stage_b/Fiber-OneStep.pt,20260941,98125550b180624f24f632b2dc26cd5c551997c2e715b45d0cc4bca9e7437db2,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
5,Fiber-Gaussian,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_5_seed_20260941/stage_b/Fiber-Gaussian.npz,20260941,e8c3794eaebc38d2ae0c199bcd4fefeb3ecaae3e85930f0f8eca20a76fcaa7b6,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
5,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_5_seed_20260941/stage_b/Fiber-SANDiff.pt,20260941,5af761046d14204da232e552123c0eac36efe4ce2260e2fb636f979c89cec168,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
