attacker,balanced_accuracy,cross_entropy,feature,fold,gallery_session,method,query_session,same_different_verification_auroc,seed
adaptive_mlp,0.1522222222222222,2.1823633254945793,A_H,0,T,Fiber-OneStep,E,0.4995410173121144,20260941
adaptive_mlp,0.14444444444444446,2.196502583734449,A_Z,0,T,Fiber-OneStep,E,0.5039635653971747,20260941
adaptive_mlp,0.15888888888888889,2.2338491681872634,A_HZ,0,T,Fiber-OneStep,E,0.5039267613463734,20260941
adaptive_mlp,0.14555555555555558,2.259857169664877,A_HU,0,T,Fiber-OneStep,E,0.5045230585773692,20260941
linear,0.12333333333333335,2.2015346266509606,A_H,0,T,Fiber-SANDiff,E,0.4995410173121144,20260941
linear,0.14333333333333334,2.4829536620293053,A_Z,0,T,Fiber-SANDiff,E,0.500590994533975,20260941
linear,0.14555555555555555,2.483058792181234,A_HZ,0,T,Fiber-SANDiff,E,0.5006805662845832,20260941
linear,0.14333333333333337,2.4794149901793743,A_HU,0,T,Fiber-SANDiff,E,0.501851474629422,20260941
adaptive_mlp,0.1522222222222222,2.1823633254945793,A_H,0,T,Fiber-SANDiff,E,0.4995410173121144,20260941
adaptive_mlp,0.11333333333333334,2.437412922112551,A_Z,0,T,Fiber-SANDiff,E,0.500590994533975,20260941
adaptive_mlp,0.10555555555555557,2.2964524445957624,A_HZ,0,T,Fiber-SANDiff,E,0.5006805662845832,20260941
adaptive_mlp,0.11666666666666667,2.335103170679679,A_HU,0,T,Fiber-SANDiff,E,0.501851474629422,20260941
linear,0.12333333333333335,2.2015346266509606,A_H,0,T,Fiber-Gaussian,E,0.4995410173121144,20260941
linear,0.10777777777777778,3.2210644236601778,A_Z,0,T,Fiber-Gaussian,E,0.5010137102311767,20260941
linear,0.10777777777777778,3.22168304493478,A_HZ,0,T,Fiber-Gaussian,E,0.5011620499394549,20260941
linear,0.10666666666666667,3.217237025817376,A_HU,0,T,Fiber-Gaussian,E,0.501821423955269,20260941
adaptive_mlp,0.1522222222222222,2.1823633254945793,A_H,0,T,Fiber-Gaussian,E,0.4995410173121144,20260941
adaptive_mlp,0.11888888888888889,2.2896624154478964,A_Z,0,T,Fiber-Gaussian,E,0.5010137102311767,20260941
adaptive_mlp,0.12000000000000001,2.2862412841096424,A_HZ,0,T,Fiber-Gaussian,E,0.5011620499394549,20260941
adaptive_mlp,0.11666666666666667,3.1421971085381264,A_HU,0,T,Fiber-Gaussian,E,0.501821423955269,20260941
linear,0.12333333333333335,2.2015346266509606,A_H,0,T,Fiber-Stratified-Resample,E,0.4995410173121144,20260941
linear,0.11222222222222222,3.2292602554035703,A_Z,0,T,Fiber-Stratified-Resample,E,0.4997485509222933,20260941
linear,0.11333333333333334,3.231146247641995,A_HZ,0,T,Fiber-Stratified-Resample,E,0.5000934299411065,20260941
linear,0.11222222222222222,3.22379041990087,A_HU,0,T,Fiber-Stratified-Resample,E,0.49936953463395134,20260941
adaptive_mlp,0.1522222222222222,2.1823633254945793,A_H,0,T,Fiber-Stratified-Resample,E,0.4995410173121144,20260941
adaptive_mlp,0.12444444444444445,2.291488850147299,A_Z,0,T,Fiber-Stratified-Resample,E,0.4997485509222933,20260941
adaptive_mlp,0.1366666666666667,2.4448993458178343,A_HZ,0,T,Fiber-Stratified-Resample,E,0.5000934299411065,20260941
adaptive_mlp,0.11,2.2866063451951066,A_HU,0,T,Fiber-Stratified-Resample,E,0.49936953463395134,20260941
linear,0.14222222222222222,2.173710859995616,A_H,1,T,RAW,E,0.5109114462604584,20260940
linear,0.33666666666666667,2.8330336865302628,A_Z,1,T,RAW,E,0.5431308067169012,20260940
linear,0.33444444444444443,2.8349779022575805,A_HZ,1,T,RAW,E,0.5427641097523564,20260940
linear,0.3288888888888889,2.887218957346617,A_HU,1,T,RAW,E,0.5447844155080277,20260940
adaptive_mlp,0.14777777777777779,2.1937047000239316,A_H,1,T,RAW,E,0.5109114462604584,20260940
adaptive_mlp,0.26999999999999996,2.301220034209685,A_Z,1,T,RAW,E,0.5431308067169012,20260940
adaptive_mlp,0.29666666666666663,3.092190835053679,A_HZ,1,T,RAW,E,0.5427641097523564,20260940
adaptive_mlp,0.3055555555555556,2.8363997588467402,A_HU,1,T,RAW,E,0.5447844155080277,20260940
linear,0.14222222222222222,2.173710859995616,A_H,1,T,HEAD_ONLY,E,0.5109114462604584,20260940
linear,0.14222222222222222,2.1737235020915087,A_Z,1,T,HEAD_ONLY,E,0.5081188242619074,20260940
linear,0.14111111111111113,2.173726659122325,A_HZ,1,T,HEAD_ONLY,E,0.5118393406400774,20260940
linear,0.1111111111111111,4.043528995881129,A_HU,1,T,HEAD_ONLY,E,0.4947271037127862,20260940
adaptive_mlp,0.14777777777777779,2.1937047000239316,A_H,1,T,HEAD_ONLY,E,0.5109114462604584,20260940
adaptive_mlp,0.1388888888888889,2.2406341218626373,A_Z,1,T,HEAD_ONLY,E,0.5081188242619074,20260940
adaptive_mlp,0.14444444444444446,2.2259343417595296,A_HZ,1,T,HEAD_ONLY,E,0.5118393406400774,20260940
adaptive_mlp,0.12444444444444445,2.735736731043765,A_HU,1,T,HEAD_ONLY,E,0.4947271037127862,20260940
linear,0.14222222222222222,2.173710859995616,A_H,1,T,LEACE,E,0.5109114462604584,20260940
linear,0.22,2.922614855619107,A_Z,1,T,LEACE,E,0.5122656896772876,20260940
linear,0.2177777777777778,3.0219377110889107,A_HZ,1,T,LEACE,E,0.5126778772889885,20260940
linear,0.22000000000000003,3.017603494530699,A_HU,1,T,LEACE,E,0.5130987321375748,20260940
adaptive_mlp,0.14777777777777779,2.1937047000239316,A_H,1,T,LEACE,E,0.5109114462604584,20260940
adaptive_mlp,0.19888888888888887,2.874569206362931,A_Z,1,T,LEACE,E,0.5122656896772876,20260940
adaptive_mlp,0.1888888888888889,2.699859244891385,A_HZ,1,T,LEACE,E,0.5126778772889885,20260940
adaptive_mlp,0.1822222222222222,2.337953612374041,A_HU,1,T,LEACE,E,0.5130987321375748,20260940
linear,0.14222222222222222,2.173710859995616,A_H,1,T,Fiber-OneStep,E,0.5109114462604584,20260940
linear,0.12333333333333335,2.291794775301526,A_Z,1,T,Fiber-OneStep,E,0.5094519613518771,20260940
linear,0.12222222222222223,2.29203563188284,A_HZ,1,T,Fiber-OneStep,E,0.5094801360449998,20260940
linear,0.11666666666666667,2.293476926800846,A_HU,1,T,Fiber-OneStep,E,0.5088417607128746,20260940
adaptive_mlp,0.14777777777777779,2.1937047000239316,A_H,1,T,Fiber-OneStep,E,0.5109114462604584,20260940
adaptive_mlp,0.1366666666666667,2.2467221881635595,A_Z,1,T,Fiber-OneStep,E,0.5094519613518771,20260940
adaptive_mlp,0.11888888888888888,2.3039871319785648,A_HZ,1,T,Fiber-OneStep,E,0.5094801360449998,20260940
adaptive_mlp,0.13111111111111112,2.2686004748435393,A_HU,1,T,Fiber-OneStep,E,0.5088417607128746,20260940
linear,0.14222222222222222,2.173710859995616,A_H,1,T,Fiber-SANDiff,E,0.5109114462604584,20260940
linear,0.13333333333333336,2.4429812145070313,A_Z,1,T,Fiber-SANDiff,E,0.5079256201929632,20260940
linear,0.13444444444444448,2.4424032302007306,A_HZ,1,T,Fiber-SANDiff,E,0.5082012432645105,20260940
linear,0.12777777777777777,2.451413730795937,A_HU,1,T,Fiber-SANDiff,E,0.5067682230600085,20260940
adaptive_mlp,0.14777777777777779,2.1937047000239316,A_H,1,T,Fiber-SANDiff,E,0.5109114462604584,20260940
adaptive_mlp,0.13555555555555554,2.396437328552319,A_Z,1,T,Fiber-SANDiff,E,0.5079256201929632,20260940
adaptive_mlp,0.1411111111111111,2.326096843415086,A_HZ,1,T,Fiber-SANDiff,E,0.5082012432645105,20260940
adaptive_mlp,0.1488888888888889,2.3149588246971216,A_HU,1,T,Fiber-SANDiff,E,0.5067682230600085,20260940
linear,0.14222222222222222,2.173710859995616,A_H,1,T,Fiber-Gaussian,E,0.5109114462604584,20260940
linear,0.14,2.9508079557230578,A_Z,1,T,Fiber-Gaussian,E,0.5041181906893603,20260940
linear,0.14,2.9512428169263765,A_HZ,1,T,Fiber-Gaussian,E,0.5046262611524158,20260940
linear,0.13999999999999999,2.959782405653367,A_HU,1,T,Fiber-Gaussian,E,0.5010286787880156,20260940
adaptive_mlp,0.14777777777777779,2.1937047000239316,A_H,1,T,Fiber-Gaussian,E,0.5109114462604584,20260940
adaptive_mlp,0.13777777777777778,2.263402493551693,A_Z,1,T,Fiber-Gaussian,E,0.5041181906893603,20260940
adaptive_mlp,0.11777777777777779,2.6031446429417135,A_HZ,1,T,Fiber-Gaussian,E,0.5046262611524158,20260940
adaptive_mlp,0.11888888888888889,3.129985642453445,A_HU,1,T,Fiber-Gaussian,E,0.5010286787880156,20260940
linear,0.14222222222222222,2.173710859995616,A_H,1,T,Fiber-Stratified-Resample,E,0.5109114462604584,20260940
linear,0.13,3.0267597196464133,A_Z,1,T,Fiber-Stratified-Resample,E,0.5044511940791759,20260940
linear,0.13,3.02794798644789,A_HZ,1,T,Fiber-Stratified-Resample,E,0.5047791168878258,20260940
linear,0.12888888888888891,3.04247341292509,A_HU,1,T,Fiber-Stratified-Resample,E,0.5031929878448423,20260940
adaptive_mlp,0.14777777777777779,2.1937047000239316,A_H,1,T,Fiber-Stratified-Resample,E,0.5109114462604584,20260940
adaptive_mlp,0.12000000000000001,2.3957514169582703,A_Z,1,T,Fiber-Stratified-Resample,E,0.5044511940791759,20260940
adaptive_mlp,0.11888888888888889,2.50790031681818,A_HZ,1,T,Fiber-Stratified-Resample,E,0.5047791168878258,20260940
adaptive_mlp,0.10666666666666666,2.823634376969754,A_HU,1,T,Fiber-Stratified-Resample,E,0.5031929878448423,20260940
linear,0.14111111111111113,2.1812578297103897,A_H,1,T,RAW,E,0.4945081590481684,20260941
linear,0.31666666666666665,3.040327378117311,A_Z,1,T,RAW,E,0.5549632756439817,20260941
linear,0.3177777777777778,3.046508033244921,A_HZ,1,T,RAW,E,0.5545898274961669,20260941
linear,0.3222222222222222,3.0199861798332424,A_HU,1,T,RAW,E,0.5575249227685946,20260941
adaptive_mlp,0.14,2.1945024695028725,A_H,1,T,RAW,E,0.4945081590481684,20260941
adaptive_mlp,0.31333333333333335,2.538733494772676,A_Z,1,T,RAW,E,0.5549632756439817,20260941
adaptive_mlp,0.3622222222222222,2.0442533961868214,A_HZ,1,T,RAW,E,0.5545898274961669,20260941
adaptive_mlp,0.3211111111111111,2.5928101348854273,A_HU,1,T,RAW,E,0.5575249227685946,20260941
linear,0.14111111111111113,2.1812578297103897,A_H,1,T,HEAD_ONLY,E,0.4945081590481684,20260941
linear,0.13888888888888892,2.1812733911725535,A_Z,1,T,HEAD_ONLY,E,0.5024279870595426,20260941
linear,0.14,2.181273732823017,A_HZ,1,T,HEAD_ONLY,E,0.49467222782747,20260941
linear,0.09666666666666668,4.366682174899975,A_HU,1,T,HEAD_ONLY,E,0.5028532645952353,20260941
adaptive_mlp,0.14,2.1945024695028725,A_H,1,T,HEAD_ONLY,E,0.4945081590481684,20260941
adaptive_mlp,0.12333333333333332,2.192525673346167,A_Z,1,T,HEAD_ONLY,E,0.5024279870595426,20260941
adaptive_mlp,0.13333333333333336,2.21154548931773,A_HZ,1,T,HEAD_ONLY,E,0.49467222782747,20260941
adaptive_mlp,0.1122222222222222,2.312364361219378,A_HU,1,T,HEAD_ONLY,E,0.5028532645952353,20260941
linear,0.14111111111111113,2.1812578297103897,A_H,1,T,LEACE,E,0.4945081590481684,20260941
linear,0.23222222222222225,2.8173825104404577,A_Z,1,T,LEACE,E,0.5219120527883427,20260941
linear,0.23777777777777778,2.809590040227532,A_HZ,1,T,LEACE,E,0.5224335937202437,20260941
linear,0.2366666666666667,2.8048793600013675,A_HU,1,T,LEACE,E,0.5234076047144693,20260941
adaptive_mlp,0.14,2.1945024695028725,A_H,1,T,LEACE,E,0.4945081590481684,20260941
adaptive_mlp,0.21555555555555558,2.547469630843041,A_Z,1,T,LEACE,E,0.5219120527883427,20260941
adaptive_mlp,0.22999999999999998,2.3754867321104847,A_HZ,1,T,LEACE,E,0.5224335937202437,20260941
adaptive_mlp,0.21666666666666667,3.102647136474441,A_HU,1,T,LEACE,E,0.5234076047144693,20260941
linear,0.14111111111111113,2.1812578297103897,A_H,1,T,Fiber-OneStep,E,0.4945081590481684,20260941
linear,0.12333333333333332,2.2496146008872224,A_Z,1,T,Fiber-OneStep,E,0.5081379546693852,20260941
linear,0.12333333333333332,2.249685431244032,A_HZ,1,T,Fiber-OneStep,E,0.5081920742791428,20260941
linear,0.12222222222222223,2.250949961659584,A_HU,1,T,Fiber-OneStep,E,0.5068819994597545,20260941
adaptive_mlp,0.14,2.1945024695028725,A_H,1,T,Fiber-OneStep,E,0.4945081590481684,20260941
adaptive_mlp,0.11888888888888889,2.254441763975924,A_Z,1,T,Fiber-OneStep,E,0.5081379546693852,20260941
adaptive_mlp,0.1322222222222222,2.2378741022344104,A_HZ,1,T,Fiber-OneStep,E,0.5081920742791428,20260941
adaptive_mlp,0.12444444444444445,2.2508516982912488,A_HU,1,T,Fiber-OneStep,E,0.5068819994597545,20260941
linear,0.14111111111111113,2.1812578297103897,A_H,1,T,Fiber-SANDiff,E,0.4945081590481684,20260941
linear,0.11666666666666667,2.499079217541059,A_Z,1,T,Fiber-SANDiff,E,0.5098343053483569,20260941
linear,0.11777777777777776,2.4994413056300657,A_HZ,1,T,Fiber-SANDiff,E,0.5101708877143226,20260941
linear,0.11666666666666667,2.498840581124247,A_HU,1,T,Fiber-SANDiff,E,0.5089203031058656,20260941
adaptive_mlp,0.14,2.1945024695028725,A_H,1,T,Fiber-SANDiff,E,0.4945081590481684,20260941
adaptive_mlp,0.13444444444444445,2.5703786420208012,A_Z,1,T,Fiber-SANDiff,E,0.5098343053483569,20260941
adaptive_mlp,0.1111111111111111,2.282219393827657,A_HZ,1,T,Fiber-SANDiff,E,0.5101708877143226,20260941
adaptive_mlp,0.14888888888888888,2.2663145351292253,A_HU,1,T,Fiber-SANDiff,E,0.5089203031058656,20260941
linear,0.14111111111111113,2.1812578297103897,A_H,1,T,Fiber-Gaussian,E,0.4945081590481684,20260941
linear,0.10666666666666666,3.256952979150691,A_Z,1,T,Fiber-Gaussian,E,0.5085950051754693,20260941
linear,0.10444444444444444,3.2568217381689517,A_HZ,1,T,Fiber-Gaussian,E,0.5090872485520026,20260941
linear,0.10333333333333333,3.2512849650419127,A_HU,1,T,Fiber-Gaussian,E,0.5078360466330658,20260941
adaptive_mlp,0.14,2.1945024695028725,A_H,1,T,Fiber-Gaussian,E,0.4945081590481684,20260941
adaptive_mlp,0.11555555555555556,2.511808034369466,A_Z,1,T,Fiber-Gaussian,E,0.5085950051754693,20260941
adaptive_mlp,0.09444444444444444,2.308311167717416,A_HZ,1,T,Fiber-Gaussian,E,0.5090872485520026,20260941
adaptive_mlp,0.11777777777777779,2.2574587856228123,A_HU,1,T,Fiber-Gaussian,E,0.5078360466330658,20260941
linear,0.14111111111111113,2.1812578297103897,A_H,1,T,Fiber-Stratified-Resample,E,0.4945081590481684,20260941
linear,0.10666666666666666,3.167125267249546,A_Z,1,T,Fiber-Stratified-Resample,E,0.5068907776147763,20260941
linear,0.10666666666666666,3.1674891153108744,A_HZ,1,T,Fiber-Stratified-Resample,E,0.5076006044160984,20260941
linear,0.10555555555555556,3.1644430814230406,A_HU,1,T,Fiber-Stratified-Resample,E,0.5076717679682011,20260941
adaptive_mlp,0.14,2.1945024695028725,A_H,1,T,Fiber-Stratified-Resample,E,0.4945081590481684,20260941
adaptive_mlp,0.11444444444444445,2.280948215846485,A_Z,1,T,Fiber-Stratified-Resample,E,0.5068907776147763,20260941
adaptive_mlp,0.12000000000000001,2.5765265948374014,A_HZ,1,T,Fiber-Stratified-Resample,E,0.5076006044160984,20260941
adaptive_mlp,0.12666666666666668,2.2604289790063348,A_HU,1,T,Fiber-Stratified-Resample,E,0.5076717679682011,20260941
linear,0.14,2.2022335562085615,A_H,2,T,RAW,E,0.5017331634077506,20260940
linear,0.3411111111111111,2.6489946883921425,A_Z,2,T,RAW,E,0.5415267752615478,20260940
linear,0.3411111111111111,2.649563652387667,A_HZ,2,T,RAW,E,0.5406500509150781,20260940
linear,0.34444444444444444,2.690794783733817,A_HU,2,T,RAW,E,0.5458245765329426,20260940
adaptive_mlp,0.17888888888888888,2.171184572270879,A_H,2,T,RAW,E,0.5017331634077506,20260940
adaptive_mlp,0.35,2.845460644543056,A_Z,2,T,RAW,E,0.5415267752615478,20260940
adaptive_mlp,0.31222222222222223,2.6470002751877253,A_HZ,2,T,RAW,E,0.5406500509150781,20260940
adaptive_mlp,0.3211111111111111,2.0797919613228104,A_HU,2,T,RAW,E,0.5458245765329426,20260940
linear,0.14,2.2022335562085615,A_H,2,T,HEAD_ONLY,E,0.5017331634077506,20260940
linear,0.14,2.20243205964026,A_Z,2,T,HEAD_ONLY,E,0.5017972787370172,20260940
linear,0.14,2.2024370265544597,A_HZ,2,T,HEAD_ONLY,E,0.5039538095043316,20260940
linear,0.14,4.491206097966511,A_HU,2,T,HEAD_ONLY,E,0.5034871059603415,20260940
adaptive_mlp,0.17888888888888888,2.171184572270879,A_H,2,T,HEAD_ONLY,E,0.5017331634077506,20260940
adaptive_mlp,0.13666666666666666,2.2467342340901357,A_Z,2,T,HEAD_ONLY,E,0.5017972787370172,20260940
adaptive_mlp,0.18555555555555556,2.1561515168892846,A_HZ,2,T,HEAD_ONLY,E,0.5039538095043316,20260940
adaptive_mlp,0.13111111111111112,2.5434184923136782,A_HU,2,T,HEAD_ONLY,E,0.5034871059603415,20260940
linear,0.14,2.2022335562085615,A_H,2,T,LEACE,E,0.5017331634077506,20260940
linear,0.2411111111111111,2.726492059668598,A_Z,2,T,LEACE,E,0.5182716403650802,20260940
linear,0.24555555555555555,2.7286900038228565,A_HZ,2,T,LEACE,E,0.5180659231272142,20260940
linear,0.2488888888888889,2.7399762628091695,A_HU,2,T,LEACE,E,0.5202486654955361,20260940
adaptive_mlp,0.17888888888888888,2.171184572270879,A_H,2,T,LEACE,E,0.5017331634077506,20260940
adaptive_mlp,0.2444444444444444,3.160600013892647,A_Z,2,T,LEACE,E,0.5182716403650802,20260940
adaptive_mlp,0.26,3.2328741766041467,A_HZ,2,T,LEACE,E,0.5180659231272142,20260940
adaptive_mlp,0.24777777777777776,2.2894221583400767,A_HU,2,T,LEACE,E,0.5202486654955361,20260940
