fold,seed,participant,method,family,metric,value
0,20260940,5,LEACE,task_or_legacy_privacy,cross_session_same_different_auroc,0.5165172770925525
0,20260940,6,LEACE,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.82
0,20260940,6,LEACE,task_or_legacy_privacy,linear_subject_probe_recall,0.34
0,20260940,6,LEACE,task_or_legacy_privacy,adaptive_subject_attack_recall,0.28
0,20260940,6,LEACE,task_or_legacy_privacy,cross_session_same_different_auroc,0.568596951679869
0,20260940,7,LEACE,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.6699999999999999
0,20260940,7,LEACE,task_or_legacy_privacy,linear_subject_probe_recall,0.19
0,20260940,7,LEACE,task_or_legacy_privacy,adaptive_subject_attack_recall,0.23
0,20260940,7,LEACE,task_or_legacy_privacy,cross_session_same_different_auroc,0.5032708496632992
0,20260940,8,LEACE,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.63
0,20260940,8,LEACE,task_or_legacy_privacy,linear_subject_probe_recall,0.35
0,20260940,8,LEACE,task_or_legacy_privacy,adaptive_subject_attack_recall,0.32
0,20260940,8,LEACE,task_or_legacy_privacy,cross_session_same_different_auroc,0.5327545541706615
0,20260940,9,LEACE,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.61
0,20260940,9,LEACE,task_or_legacy_privacy,linear_subject_probe_recall,0.38
0,20260940,9,LEACE,task_or_legacy_privacy,adaptive_subject_attack_recall,0.31
0,20260940,9,LEACE,task_or_legacy_privacy,cross_session_same_different_auroc,0.5244121775750131
0,20260940,1,Fiber-OneStep,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.72
0,20260940,1,Fiber-OneStep,task_or_legacy_privacy,linear_subject_probe_recall,0.04
0,20260940,1,Fiber-OneStep,task_or_legacy_privacy,adaptive_subject_attack_recall,0.08
0,20260940,1,Fiber-OneStep,task_or_legacy_privacy,cross_session_same_different_auroc,0.45450519082101276
0,20260940,2,Fiber-OneStep,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.74
0,20260940,2,Fiber-OneStep,task_or_legacy_privacy,linear_subject_probe_recall,0.15
0,20260940,2,Fiber-OneStep,task_or_legacy_privacy,adaptive_subject_attack_recall,0.0
0,20260940,2,Fiber-OneStep,task_or_legacy_privacy,cross_session_same_different_auroc,0.5129184466133514
0,20260940,3,Fiber-OneStep,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.77
0,20260940,3,Fiber-OneStep,task_or_legacy_privacy,linear_subject_probe_recall,0.06
0,20260940,3,Fiber-OneStep,task_or_legacy_privacy,adaptive_subject_attack_recall,0.09
0,20260940,3,Fiber-OneStep,task_or_legacy_privacy,cross_session_same_different_auroc,0.4994086301589755
0,20260940,4,Fiber-OneStep,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.9099999999999999
0,20260940,4,Fiber-OneStep,task_or_legacy_privacy,linear_subject_probe_recall,0.46
0,20260940,4,Fiber-OneStep,task_or_legacy_privacy,adaptive_subject_attack_recall,0.57
0,20260940,4,Fiber-OneStep,task_or_legacy_privacy,cross_session_same_different_auroc,0.5124124655831973
0,20260940,5,Fiber-OneStep,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.76
0,20260940,5,Fiber-OneStep,task_or_legacy_privacy,linear_subject_probe_recall,0.2
0,20260940,5,Fiber-OneStep,task_or_legacy_privacy,adaptive_subject_attack_recall,0.18
0,20260940,5,Fiber-OneStep,task_or_legacy_privacy,cross_session_same_different_auroc,0.5234846059693061
0,20260940,6,Fiber-OneStep,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.8400000000000001
0,20260940,6,Fiber-OneStep,task_or_legacy_privacy,linear_subject_probe_recall,0.0
0,20260940,6,Fiber-OneStep,task_or_legacy_privacy,adaptive_subject_attack_recall,0.0
0,20260940,6,Fiber-OneStep,task_or_legacy_privacy,cross_session_same_different_auroc,0.48479901906093714
0,20260940,7,Fiber-OneStep,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.69
0,20260940,7,Fiber-OneStep,task_or_legacy_privacy,linear_subject_probe_recall,0.0
0,20260940,7,Fiber-OneStep,task_or_legacy_privacy,adaptive_subject_attack_recall,0.0
0,20260940,7,Fiber-OneStep,task_or_legacy_privacy,cross_session_same_different_auroc,0.5248016364446957
0,20260940,8,Fiber-OneStep,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.6
0,20260940,8,Fiber-OneStep,task_or_legacy_privacy,linear_subject_probe_recall,0.0
0,20260940,8,Fiber-OneStep,task_or_legacy_privacy,adaptive_subject_attack_recall,0.0
0,20260940,8,Fiber-OneStep,task_or_legacy_privacy,cross_session_same_different_auroc,0.4795139022051773
0,20260940,9,Fiber-OneStep,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.61
0,20260940,9,Fiber-OneStep,task_or_legacy_privacy,linear_subject_probe_recall,0.27
0,20260940,9,Fiber-OneStep,task_or_legacy_privacy,adaptive_subject_attack_recall,0.48
0,20260940,9,Fiber-OneStep,task_or_legacy_privacy,cross_session_same_different_auroc,0.5246738149550046
0,20260940,1,Fiber-SANDiff,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.72
0,20260940,1,Fiber-SANDiff,task_or_legacy_privacy,linear_subject_probe_recall,0.13
0,20260940,1,Fiber-SANDiff,task_or_legacy_privacy,adaptive_subject_attack_recall,0.11
0,20260940,1,Fiber-SANDiff,task_or_legacy_privacy,cross_session_same_different_auroc,0.4704008957645023
0,20260940,2,Fiber-SANDiff,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.74
0,20260940,2,Fiber-SANDiff,task_or_legacy_privacy,linear_subject_probe_recall,0.1
0,20260940,2,Fiber-SANDiff,task_or_legacy_privacy,adaptive_subject_attack_recall,0.14
0,20260940,2,Fiber-SANDiff,task_or_legacy_privacy,cross_session_same_different_auroc,0.49679070960867616
0,20260940,3,Fiber-SANDiff,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.77
0,20260940,3,Fiber-SANDiff,task_or_legacy_privacy,linear_subject_probe_recall,0.06
0,20260940,3,Fiber-SANDiff,task_or_legacy_privacy,adaptive_subject_attack_recall,0.11
0,20260940,3,Fiber-SANDiff,task_or_legacy_privacy,cross_session_same_different_auroc,0.4783458189019724
0,20260940,4,Fiber-SANDiff,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.9099999999999999
0,20260940,4,Fiber-SANDiff,task_or_legacy_privacy,linear_subject_probe_recall,0.23
0,20260940,4,Fiber-SANDiff,task_or_legacy_privacy,adaptive_subject_attack_recall,0.21
0,20260940,4,Fiber-SANDiff,task_or_legacy_privacy,cross_session_same_different_auroc,0.5204385858044395
0,20260940,5,Fiber-SANDiff,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.76
0,20260940,5,Fiber-SANDiff,task_or_legacy_privacy,linear_subject_probe_recall,0.11
0,20260940,5,Fiber-SANDiff,task_or_legacy_privacy,adaptive_subject_attack_recall,0.18
0,20260940,5,Fiber-SANDiff,task_or_legacy_privacy,cross_session_same_different_auroc,0.49677619809810747
0,20260940,6,Fiber-SANDiff,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.8400000000000001
0,20260940,6,Fiber-SANDiff,task_or_legacy_privacy,linear_subject_probe_recall,0.12
0,20260940,6,Fiber-SANDiff,task_or_legacy_privacy,adaptive_subject_attack_recall,0.09
0,20260940,6,Fiber-SANDiff,task_or_legacy_privacy,cross_session_same_different_auroc,0.502181007953882
0,20260940,7,Fiber-SANDiff,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.69
0,20260940,7,Fiber-SANDiff,task_or_legacy_privacy,linear_subject_probe_recall,0.1
0,20260940,7,Fiber-SANDiff,task_or_legacy_privacy,adaptive_subject_attack_recall,0.12
0,20260940,7,Fiber-SANDiff,task_or_legacy_privacy,cross_session_same_different_auroc,0.5182745066043482
0,20260940,8,Fiber-SANDiff,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.6
0,20260940,8,Fiber-SANDiff,task_or_legacy_privacy,linear_subject_probe_recall,0.1
0,20260940,8,Fiber-SANDiff,task_or_legacy_privacy,adaptive_subject_attack_recall,0.08
0,20260940,8,Fiber-SANDiff,task_or_legacy_privacy,cross_session_same_different_auroc,0.5293566634707575
0,20260940,9,Fiber-SANDiff,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.61
0,20260940,9,Fiber-SANDiff,task_or_legacy_privacy,linear_subject_probe_recall,0.18
0,20260940,9,Fiber-SANDiff,task_or_legacy_privacy,adaptive_subject_attack_recall,0.01
0,20260940,9,Fiber-SANDiff,task_or_legacy_privacy,cross_session_same_different_auroc,0.5061153168057888
0,20260940,1,Fiber-Gaussian,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.72
0,20260940,1,Fiber-Gaussian,task_or_legacy_privacy,linear_subject_probe_recall,0.24
0,20260940,1,Fiber-Gaussian,task_or_legacy_privacy,adaptive_subject_attack_recall,0.16
0,20260940,1,Fiber-Gaussian,task_or_legacy_privacy,cross_session_same_different_auroc,0.47846407575014316
0,20260940,2,Fiber-Gaussian,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.74
0,20260940,2,Fiber-Gaussian,task_or_legacy_privacy,linear_subject_probe_recall,0.11
0,20260940,2,Fiber-Gaussian,task_or_legacy_privacy,adaptive_subject_attack_recall,0.04
0,20260940,2,Fiber-Gaussian,task_or_legacy_privacy,cross_session_same_different_auroc,0.5070982413049483
0,20260940,3,Fiber-Gaussian,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.77
0,20260940,3,Fiber-Gaussian,task_or_legacy_privacy,linear_subject_probe_recall,0.1
0,20260940,3,Fiber-Gaussian,task_or_legacy_privacy,adaptive_subject_attack_recall,0.1
0,20260940,3,Fiber-Gaussian,task_or_legacy_privacy,cross_session_same_different_auroc,0.4713449059963227
0,20260940,4,Fiber-Gaussian,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.9099999999999999
0,20260940,4,Fiber-Gaussian,task_or_legacy_privacy,linear_subject_probe_recall,0.14
0,20260940,4,Fiber-Gaussian,task_or_legacy_privacy,adaptive_subject_attack_recall,0.18
0,20260940,4,Fiber-Gaussian,task_or_legacy_privacy,cross_session_same_different_auroc,0.5099583343485783
0,20260940,5,Fiber-Gaussian,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.76
0,20260940,5,Fiber-Gaussian,task_or_legacy_privacy,linear_subject_probe_recall,0.15
0,20260940,5,Fiber-Gaussian,task_or_legacy_privacy,adaptive_subject_attack_recall,0.19
0,20260940,5,Fiber-Gaussian,task_or_legacy_privacy,cross_session_same_different_auroc,0.5097825063553337
0,20260940,6,Fiber-Gaussian,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.8400000000000001
0,20260940,6,Fiber-Gaussian,task_or_legacy_privacy,linear_subject_probe_recall,0.1
0,20260940,6,Fiber-Gaussian,task_or_legacy_privacy,adaptive_subject_attack_recall,0.09
0,20260940,6,Fiber-Gaussian,task_or_legacy_privacy,cross_session_same_different_auroc,0.46986179547810486
0,20260940,7,Fiber-Gaussian,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.69
0,20260940,7,Fiber-Gaussian,task_or_legacy_privacy,linear_subject_probe_recall,0.17
0,20260940,7,Fiber-Gaussian,task_or_legacy_privacy,adaptive_subject_attack_recall,0.15
0,20260940,7,Fiber-Gaussian,task_or_legacy_privacy,cross_session_same_different_auroc,0.4995391185849338
0,20260940,8,Fiber-Gaussian,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.6
0,20260940,8,Fiber-Gaussian,task_or_legacy_privacy,linear_subject_probe_recall,0.16
0,20260940,8,Fiber-Gaussian,task_or_legacy_privacy,adaptive_subject_attack_recall,0.07
0,20260940,8,Fiber-Gaussian,task_or_legacy_privacy,cross_session_same_different_auroc,0.4996049856184084
0,20260940,9,Fiber-Gaussian,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.61
0,20260940,9,Fiber-Gaussian,task_or_legacy_privacy,linear_subject_probe_recall,0.1
0,20260940,9,Fiber-Gaussian,task_or_legacy_privacy,adaptive_subject_attack_recall,0.14
0,20260940,9,Fiber-Gaussian,task_or_legacy_privacy,cross_session_same_different_auroc,0.46768961137710036
0,20260940,1,Fiber-Stratified-Resample,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.72
0,20260940,1,Fiber-Stratified-Resample,task_or_legacy_privacy,linear_subject_probe_recall,0.13
0,20260940,1,Fiber-Stratified-Resample,task_or_legacy_privacy,adaptive_subject_attack_recall,0.22
0,20260940,1,Fiber-Stratified-Resample,task_or_legacy_privacy,cross_session_same_different_auroc,0.5113524506284538
0,20260940,2,Fiber-Stratified-Resample,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.74
0,20260940,2,Fiber-Stratified-Resample,task_or_legacy_privacy,linear_subject_probe_recall,0.14
0,20260940,2,Fiber-Stratified-Resample,task_or_legacy_privacy,adaptive_subject_attack_recall,0.05
0,20260940,2,Fiber-Stratified-Resample,task_or_legacy_privacy,cross_session_same_different_auroc,0.47772593815676845
0,20260940,3,Fiber-Stratified-Resample,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.77
0,20260940,3,Fiber-Stratified-Resample,task_or_legacy_privacy,linear_subject_probe_recall,0.08
0,20260940,3,Fiber-Stratified-Resample,task_or_legacy_privacy,adaptive_subject_attack_recall,0.1
0,20260940,3,Fiber-Stratified-Resample,task_or_legacy_privacy,cross_session_same_different_auroc,0.5138368725250853
0,20260940,4,Fiber-Stratified-Resample,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.9099999999999999
0,20260940,4,Fiber-Stratified-Resample,task_or_legacy_privacy,linear_subject_probe_recall,0.12
0,20260940,4,Fiber-Stratified-Resample,task_or_legacy_privacy,adaptive_subject_attack_recall,0.16
0,20260940,4,Fiber-Stratified-Resample,task_or_legacy_privacy,cross_session_same_different_auroc,0.5100285080772886
0,20260940,5,Fiber-Stratified-Resample,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.76
0,20260940,5,Fiber-Stratified-Resample,task_or_legacy_privacy,linear_subject_probe_recall,0.09
0,20260940,5,Fiber-Stratified-Resample,task_or_legacy_privacy,adaptive_subject_attack_recall,0.09
0,20260940,5,Fiber-Stratified-Resample,task_or_legacy_privacy,cross_session_same_different_auroc,0.5216646266829865
0,20260940,6,Fiber-Stratified-Resample,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.8400000000000001
0,20260940,6,Fiber-Stratified-Resample,task_or_legacy_privacy,linear_subject_probe_recall,0.14
0,20260940,6,Fiber-Stratified-Resample,task_or_legacy_privacy,adaptive_subject_attack_recall,0.01
0,20260940,6,Fiber-Stratified-Resample,task_or_legacy_privacy,cross_session_same_different_auroc,0.4923131249343315
0,20260940,7,Fiber-Stratified-Resample,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.69
0,20260940,7,Fiber-Stratified-Resample,task_or_legacy_privacy,linear_subject_probe_recall,0.09
0,20260940,7,Fiber-Stratified-Resample,task_or_legacy_privacy,adaptive_subject_attack_recall,0.04
0,20260940,7,Fiber-Stratified-Resample,task_or_legacy_privacy,cross_session_same_different_auroc,0.49521878026203703
0,20260940,8,Fiber-Stratified-Resample,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.6
0,20260940,8,Fiber-Stratified-Resample,task_or_legacy_privacy,linear_subject_probe_recall,0.12
0,20260940,8,Fiber-Stratified-Resample,task_or_legacy_privacy,adaptive_subject_attack_recall,0.14
0,20260940,8,Fiber-Stratified-Resample,task_or_legacy_privacy,cross_session_same_different_auroc,0.50215723873442
0,20260940,9,Fiber-Stratified-Resample,task_or_legacy_privacy,fixed_head_balanced_accuracy,0.61
0,20260940,9,Fiber-Stratified-Resample,task_or_legacy_privacy,linear_subject_probe_recall,0.14
0,20260940,9,Fiber-Stratified-Resample,task_or_legacy_privacy,adaptive_subject_attack_recall,0.1
0,20260940,9,Fiber-Stratified-Resample,task_or_legacy_privacy,cross_session_same_different_auroc,0.5028649554224216
0,20260940,1,RAW,head_aware_linear_A_H,subject_recall,0.01
0,20260940,1,RAW,head_aware_linear_A_H,cross_entropy,2.2551261655058013
0,20260940,1,RAW,head_aware_linear_A_H,same_different_verification_auroc,0.4533600373379594
0,20260940,2,RAW,head_aware_linear_A_H,subject_recall,0.01
0,20260940,2,RAW,head_aware_linear_A_H,cross_entropy,2.2371512007879217
0,20260940,2,RAW,head_aware_linear_A_H,same_different_verification_auroc,0.5097502884150199
0,20260940,3,RAW,head_aware_linear_A_H,subject_recall,0.0
0,20260940,3,RAW,head_aware_linear_A_H,cross_entropy,2.178790505767086
0,20260940,3,RAW,head_aware_linear_A_H,same_different_verification_auroc,0.5188135377900592
0,20260940,4,RAW,head_aware_linear_A_H,subject_recall,0.01
0,20260940,4,RAW,head_aware_linear_A_H,cross_entropy,2.214809902327851
0,20260940,4,RAW,head_aware_linear_A_H,same_different_verification_auroc,0.5056285178236397
0,20260940,5,RAW,head_aware_linear_A_H,subject_recall,0.51
0,20260940,5,RAW,head_aware_linear_A_H,cross_entropy,2.1646149412669815
0,20260940,5,RAW,head_aware_linear_A_H,same_different_verification_auroc,0.4986955088974672
0,20260940,6,RAW,head_aware_linear_A_H,subject_recall,0.5
0,20260940,6,RAW,head_aware_linear_A_H,cross_entropy,2.1900000100118047
0,20260940,6,RAW,head_aware_linear_A_H,same_different_verification_auroc,0.49910961582414154
0,20260940,7,RAW,head_aware_linear_A_H,subject_recall,0.01
0,20260940,7,RAW,head_aware_linear_A_H,cross_entropy,2.1932160536310774
0,20260940,7,RAW,head_aware_linear_A_H,same_different_verification_auroc,0.5058438209351862
0,20260940,8,RAW,head_aware_linear_A_H,subject_recall,0.03
0,20260940,8,RAW,head_aware_linear_A_H,cross_entropy,2.1921375772718186
0,20260940,8,RAW,head_aware_linear_A_H,same_different_verification_auroc,0.49499664429530205
0,20260940,9,RAW,head_aware_linear_A_H,subject_recall,0.04
0,20260940,9,RAW,head_aware_linear_A_H,cross_entropy,2.1888220821987194
0,20260940,9,RAW,head_aware_linear_A_H,same_different_verification_auroc,0.5086073997944501
0,20260940,1,RAW,head_aware_linear_A_Z,subject_recall,0.32
0,20260940,1,RAW,head_aware_linear_A_Z,cross_entropy,2.6742933695405795
0,20260940,1,RAW,head_aware_linear_A_Z,same_different_verification_auroc,0.5110053851993108
0,20260940,2,RAW,head_aware_linear_A_Z,subject_recall,0.33
0,20260940,2,RAW,head_aware_linear_A_Z,cross_entropy,2.5951503313626705
0,20260940,2,RAW,head_aware_linear_A_Z,same_different_verification_auroc,0.4956703470186015
0,20260940,3,RAW,head_aware_linear_A_Z,subject_recall,0.33
0,20260940,3,RAW,head_aware_linear_A_Z,cross_entropy,2.738539704627661
0,20260940,3,RAW,head_aware_linear_A_Z,same_different_verification_auroc,0.5079005238128533
0,20260940,4,RAW,head_aware_linear_A_Z,subject_recall,0.45
0,20260940,4,RAW,head_aware_linear_A_Z,cross_entropy,2.3272864718597304
0,20260940,4,RAW,head_aware_linear_A_Z,same_different_verification_auroc,0.5330172266757632
0,20260940,5,RAW,head_aware_linear_A_Z,subject_recall,0.49
0,20260940,5,RAW,head_aware_linear_A_Z,cross_entropy,2.23477203984724
0,20260940,5,RAW,head_aware_linear_A_Z,same_different_verification_auroc,0.5591441483852744
0,20260940,6,RAW,head_aware_linear_A_Z,subject_recall,0.45
0,20260940,6,RAW,head_aware_linear_A_Z,cross_entropy,2.2235038013812654
0,20260940,6,RAW,head_aware_linear_A_Z,same_different_verification_auroc,0.5666612868109406
