donor,method,recipient,risk
sub-14,V25_SET_CALIB_DET_MATCH,sub-07,0.3296099185083423
sub-15,V25_SET_CALIB_DET_MATCH,sub-07,0.3600415081115595
sub-17,V25_SET_CALIB_DET_MATCH,sub-07,0.33700992364255294
sub-18,V25_SET_CALIB_DET_MATCH,sub-07,0.33605020271433106
sub-19,V25_SET_CALIB_DET_MATCH,sub-07,0.3318508699238818
sub-21,V25_SET_CALIB_DET_MATCH,sub-07,0.34053509238421814
sub-23,V25_SET_CALIB_DET_MATCH,sub-07,0.3288296025453343
sub-02,V25_SET_CALIB_DET_MATCH,sub-09,4.746693912039821
sub-03,V25_SET_CALIB_DET_MATCH,sub-09,4.748879709022326
sub-05,V25_SET_CALIB_DET_MATCH,sub-09,4.745758896512496
sub-06,V25_SET_CALIB_DET_MATCH,sub-09,4.742989535158915
sub-07,V25_SET_CALIB_DET_MATCH,sub-09,4.745651645197843
sub-09,V25_SET_CALIB_DET_MATCH,sub-09,4.701725366784053
sub-11,V25_SET_CALIB_DET_MATCH,sub-09,4.743620957040952
sub-12,V25_SET_CALIB_DET_MATCH,sub-09,4.739720489907389
sub-14,V25_SET_CALIB_DET_MATCH,sub-09,4.74105704893979
sub-15,V25_SET_CALIB_DET_MATCH,sub-09,4.753406113220586
sub-17,V25_SET_CALIB_DET_MATCH,sub-09,4.7611233403699265
sub-18,V25_SET_CALIB_DET_MATCH,sub-09,4.732620827413888
sub-19,V25_SET_CALIB_DET_MATCH,sub-09,4.688936824030761
sub-21,V25_SET_CALIB_DET_MATCH,sub-09,4.73409671170844
sub-23,V25_SET_CALIB_DET_MATCH,sub-09,4.7417621791569715
sub-02,V25_SET_CALIB_DET_MATCH,sub-11,0.34251521341502666
sub-03,V25_SET_CALIB_DET_MATCH,sub-11,0.32731258127670215
sub-05,V25_SET_CALIB_DET_MATCH,sub-11,0.33200732308776226
sub-06,V25_SET_CALIB_DET_MATCH,sub-11,0.33883651065924725
sub-07,V25_SET_CALIB_DET_MATCH,sub-11,0.32854433033046204
sub-09,V25_SET_CALIB_DET_MATCH,sub-11,0.47534389319803766
sub-11,V25_SET_CALIB_DET_MATCH,sub-11,0.3302960699689316
sub-12,V25_SET_CALIB_DET_MATCH,sub-11,0.3283355327180794
sub-14,V25_SET_CALIB_DET_MATCH,sub-11,0.3326013285550289
sub-15,V25_SET_CALIB_DET_MATCH,sub-11,0.33102094315432223
sub-17,V25_SET_CALIB_DET_MATCH,sub-11,0.32786789308172753
sub-18,V25_SET_CALIB_DET_MATCH,sub-11,0.32990414327812484
sub-19,V25_SET_CALIB_DET_MATCH,sub-11,0.3334432525249819
sub-21,V25_SET_CALIB_DET_MATCH,sub-11,0.3289470786047686
sub-23,V25_SET_CALIB_DET_MATCH,sub-11,0.3300103577849869
sub-02,V25_SET_CALIB_DET_MATCH,sub-12,0.45255722002022797
sub-03,V25_SET_CALIB_DET_MATCH,sub-12,0.4012445548238854
sub-05,V25_SET_CALIB_DET_MATCH,sub-12,0.40383903289006823
sub-06,V25_SET_CALIB_DET_MATCH,sub-12,0.40542647392592496
sub-07,V25_SET_CALIB_DET_MATCH,sub-12,0.40450417043434256
sub-09,V25_SET_CALIB_DET_MATCH,sub-12,0.6119875644023219
sub-11,V25_SET_CALIB_DET_MATCH,sub-12,0.40422952558017444
sub-12,V25_SET_CALIB_DET_MATCH,sub-12,0.40646684252553517
sub-14,V25_SET_CALIB_DET_MATCH,sub-12,0.3996129610265295
sub-15,V25_SET_CALIB_DET_MATCH,sub-12,0.4088162404692007
sub-17,V25_SET_CALIB_DET_MATCH,sub-12,0.4064676271648043
sub-18,V25_SET_CALIB_DET_MATCH,sub-12,0.4027251395293408
sub-19,V25_SET_CALIB_DET_MATCH,sub-12,0.4292900947233041
sub-21,V25_SET_CALIB_DET_MATCH,sub-12,0.4017767949650685
sub-23,V25_SET_CALIB_DET_MATCH,sub-12,0.40474951241372353
sub-02,V25_SET_CALIB_DET_MATCH,sub-14,0.34206220378271407
sub-03,V25_SET_CALIB_DET_MATCH,sub-14,0.328149225588681
sub-05,V25_SET_CALIB_DET_MATCH,sub-14,0.3310960114209189
sub-06,V25_SET_CALIB_DET_MATCH,sub-14,0.3333324193178366
sub-07,V25_SET_CALIB_DET_MATCH,sub-14,0.3301863431568361
sub-09,V25_SET_CALIB_DET_MATCH,sub-14,0.46898923459876746
sub-11,V25_SET_CALIB_DET_MATCH,sub-14,0.33108311757031417
sub-12,V25_SET_CALIB_DET_MATCH,sub-14,0.32819364437212545
sub-14,V25_SET_CALIB_DET_MATCH,sub-14,0.32847341693316895
sub-15,V25_SET_CALIB_DET_MATCH,sub-14,0.3341690762899816
sub-17,V25_SET_CALIB_DET_MATCH,sub-14,0.328417950309813
sub-18,V25_SET_CALIB_DET_MATCH,sub-14,0.3301490461971197
sub-19,V25_SET_CALIB_DET_MATCH,sub-14,0.3326094554892431
sub-21,V25_SET_CALIB_DET_MATCH,sub-14,0.3278129844305416
sub-23,V25_SET_CALIB_DET_MATCH,sub-14,0.32752208424628604
sub-02,V25_SET_CALIB_DET_MATCH,sub-15,1.1336990250015837
sub-03,V25_SET_CALIB_DET_MATCH,sub-15,1.1347917508489143
sub-05,V25_SET_CALIB_DET_MATCH,sub-15,1.1415630851147902
sub-06,V25_SET_CALIB_DET_MATCH,sub-15,1.1524269422257527
sub-07,V25_SET_CALIB_DET_MATCH,sub-15,1.1324825445966173
sub-09,V25_SET_CALIB_DET_MATCH,sub-15,1.2376876091843265
sub-11,V25_SET_CALIB_DET_MATCH,sub-15,1.1447040343708876
sub-12,V25_SET_CALIB_DET_MATCH,sub-15,1.1429902448111937
sub-14,V25_SET_CALIB_DET_MATCH,sub-15,1.1407708577139095
sub-15,V25_SET_CALIB_DET_MATCH,sub-15,1.1085004935610214
sub-17,V25_SET_CALIB_DET_MATCH,sub-15,1.1325724959218253
sub-18,V25_SET_CALIB_DET_MATCH,sub-15,1.160810866134448
sub-19,V25_SET_CALIB_DET_MATCH,sub-15,1.1684538541206468
sub-21,V25_SET_CALIB_DET_MATCH,sub-15,1.2010585655872192
sub-23,V25_SET_CALIB_DET_MATCH,sub-15,1.1427933954788994
sub-02,V25_SET_CALIB_DET_MATCH,sub-17,0.38504822459071875
sub-03,V25_SET_CALIB_DET_MATCH,sub-17,0.3783878866686589
sub-05,V25_SET_CALIB_DET_MATCH,sub-17,0.38215850852429867
sub-06,V25_SET_CALIB_DET_MATCH,sub-17,0.3919692565687001
sub-07,V25_SET_CALIB_DET_MATCH,sub-17,0.3740093607274402
sub-09,V25_SET_CALIB_DET_MATCH,sub-17,0.6978146100882441
sub-11,V25_SET_CALIB_DET_MATCH,sub-17,0.3822063260142588
sub-12,V25_SET_CALIB_DET_MATCH,sub-17,0.4195185510907322
sub-14,V25_SET_CALIB_DET_MATCH,sub-17,0.3938484533120774
sub-15,V25_SET_CALIB_DET_MATCH,sub-17,0.38355258909157586
sub-17,V25_SET_CALIB_DET_MATCH,sub-17,0.37837224342446363
sub-18,V25_SET_CALIB_DET_MATCH,sub-17,0.40229352183329564
sub-19,V25_SET_CALIB_DET_MATCH,sub-17,0.39831379630292457
sub-21,V25_SET_CALIB_DET_MATCH,sub-17,0.4463721188043968
sub-23,V25_SET_CALIB_DET_MATCH,sub-17,0.38565578810974127
sub-02,V25_SET_CALIB_DET_MATCH,sub-18,0.33059972904932994
sub-03,V25_SET_CALIB_DET_MATCH,sub-18,0.3241862903038661
sub-05,V25_SET_CALIB_DET_MATCH,sub-18,0.32846580042193335
sub-06,V25_SET_CALIB_DET_MATCH,sub-18,0.3370257294995503
sub-07,V25_SET_CALIB_DET_MATCH,sub-18,0.3179381576677163
sub-09,V25_SET_CALIB_DET_MATCH,sub-18,0.666447462203602
sub-11,V25_SET_CALIB_DET_MATCH,sub-18,0.3238880992349651
sub-12,V25_SET_CALIB_DET_MATCH,sub-18,0.3377242625380556
sub-14,V25_SET_CALIB_DET_MATCH,sub-18,0.32995954383578563
sub-15,V25_SET_CALIB_DET_MATCH,sub-18,0.3345539905906965
sub-17,V25_SET_CALIB_DET_MATCH,sub-18,0.32388658154134947
sub-18,V25_SET_CALIB_DET_MATCH,sub-18,0.3426318482444104
sub-19,V25_SET_CALIB_DET_MATCH,sub-18,0.34216840102130336
sub-21,V25_SET_CALIB_DET_MATCH,sub-18,0.3913976572867897
sub-23,V25_SET_CALIB_DET_MATCH,sub-18,0.3253167718907611
sub-02,V25_SET_CALIB_DET_MATCH,sub-19,0.7425578178372234
sub-03,V25_SET_CALIB_DET_MATCH,sub-19,0.7387804406850288
sub-05,V25_SET_CALIB_DET_MATCH,sub-19,0.7410058147636139
sub-06,V25_SET_CALIB_DET_MATCH,sub-19,0.7448224813884332
sub-07,V25_SET_CALIB_DET_MATCH,sub-19,0.7432172516516099
sub-09,V25_SET_CALIB_DET_MATCH,sub-19,0.8697609981366744
sub-11,V25_SET_CALIB_DET_MATCH,sub-19,0.7418178875620166
sub-12,V25_SET_CALIB_DET_MATCH,sub-19,0.7405973812823908
sub-14,V25_SET_CALIB_DET_MATCH,sub-19,0.7428321148424099
sub-15,V25_SET_CALIB_DET_MATCH,sub-19,0.7553735131708285
sub-17,V25_SET_CALIB_DET_MATCH,sub-19,0.7419368318385547
sub-18,V25_SET_CALIB_DET_MATCH,sub-19,0.7390322888580462
sub-19,V25_SET_CALIB_DET_MATCH,sub-19,0.7471373801171365
sub-21,V25_SET_CALIB_DET_MATCH,sub-19,0.7572958354010351
sub-23,V25_SET_CALIB_DET_MATCH,sub-19,0.7431015323899272
sub-02,V25_SET_CALIB_DET_MATCH,sub-21,0.40125117243991953
sub-03,V25_SET_CALIB_DET_MATCH,sub-21,0.39483251919349033
sub-05,V25_SET_CALIB_DET_MATCH,sub-21,0.3971725874063042
sub-06,V25_SET_CALIB_DET_MATCH,sub-21,0.39788977336138487
sub-07,V25_SET_CALIB_DET_MATCH,sub-21,0.39925980857676935
sub-09,V25_SET_CALIB_DET_MATCH,sub-21,0.4946596854262882
sub-11,V25_SET_CALIB_DET_MATCH,sub-21,0.40146317188110614
sub-12,V25_SET_CALIB_DET_MATCH,sub-21,0.4019707290248738
sub-14,V25_SET_CALIB_DET_MATCH,sub-21,0.39748998803810937
sub-15,V25_SET_CALIB_DET_MATCH,sub-21,0.4096135248740514
sub-17,V25_SET_CALIB_DET_MATCH,sub-21,0.39802334054062766
sub-18,V25_SET_CALIB_DET_MATCH,sub-21,0.3937212336394522
sub-19,V25_SET_CALIB_DET_MATCH,sub-21,0.4083646800782946
sub-21,V25_SET_CALIB_DET_MATCH,sub-21,0.40596990142431527
sub-23,V25_SET_CALIB_DET_MATCH,sub-21,0.3972947965893481
sub-02,V25_SET_CALIB_DET_MATCH,sub-23,0.22540378808561298
sub-03,V25_SET_CALIB_DET_MATCH,sub-23,0.22923676297068596
sub-05,V25_SET_CALIB_DET_MATCH,sub-23,0.2238910550562044
sub-06,V25_SET_CALIB_DET_MATCH,sub-23,0.22427439037710428
sub-07,V25_SET_CALIB_DET_MATCH,sub-23,0.21955605953310928
sub-09,V25_SET_CALIB_DET_MATCH,sub-23,0.2937157633196976
sub-11,V25_SET_CALIB_DET_MATCH,sub-23,0.2263512903720968
sub-12,V25_SET_CALIB_DET_MATCH,sub-23,0.2570567367753635
sub-14,V25_SET_CALIB_DET_MATCH,sub-23,0.22552082382349503
sub-15,V25_SET_CALIB_DET_MATCH,sub-23,0.22324014853479135
sub-17,V25_SET_CALIB_DET_MATCH,sub-23,0.22286463764289186
sub-18,V25_SET_CALIB_DET_MATCH,sub-23,0.2270903099949161
sub-19,V25_SET_CALIB_DET_MATCH,sub-23,0.23034284181065032
sub-21,V25_SET_CALIB_DET_MATCH,sub-23,0.2523501621197081
sub-23,V25_SET_CALIB_DET_MATCH,sub-23,0.22407383968432745
sub-02,V26_CALIB_SDEDIT_MATCH,sub-02,0.7823764849260139
sub-03,V26_CALIB_SDEDIT_MATCH,sub-02,0.781384463279715
sub-05,V26_CALIB_SDEDIT_MATCH,sub-02,0.781646794435801
sub-06,V26_CALIB_SDEDIT_MATCH,sub-02,0.7813104775915335
sub-07,V26_CALIB_SDEDIT_MATCH,sub-02,0.7817542578850407
sub-09,V26_CALIB_SDEDIT_MATCH,sub-02,0.7829732398806503
sub-11,V26_CALIB_SDEDIT_MATCH,sub-02,0.7832735306712696
sub-12,V26_CALIB_SDEDIT_MATCH,sub-02,0.7848825344958136
sub-14,V26_CALIB_SDEDIT_MATCH,sub-02,0.781446960159681
sub-15,V26_CALIB_SDEDIT_MATCH,sub-02,0.7847539216292919
sub-17,V26_CALIB_SDEDIT_MATCH,sub-02,0.7821480894118497
sub-18,V26_CALIB_SDEDIT_MATCH,sub-02,0.7821470040491678
sub-19,V26_CALIB_SDEDIT_MATCH,sub-02,0.7832590844094133
sub-21,V26_CALIB_SDEDIT_MATCH,sub-02,0.7819046553049702
sub-23,V26_CALIB_SDEDIT_MATCH,sub-02,0.7815572466998774
sub-02,V26_CALIB_SDEDIT_MATCH,sub-03,0.3787127022579726
sub-03,V26_CALIB_SDEDIT_MATCH,sub-03,0.3752955928341382
sub-05,V26_CALIB_SDEDIT_MATCH,sub-03,0.3752662363177579
sub-06,V26_CALIB_SDEDIT_MATCH,sub-03,0.37534780575272936
sub-07,V26_CALIB_SDEDIT_MATCH,sub-03,0.37543459647955996
sub-09,V26_CALIB_SDEDIT_MATCH,sub-03,0.3763812612095434
sub-11,V26_CALIB_SDEDIT_MATCH,sub-03,0.37769317894708365
sub-12,V26_CALIB_SDEDIT_MATCH,sub-03,0.3888774045561958
sub-14,V26_CALIB_SDEDIT_MATCH,sub-03,0.37506965087312794
sub-15,V26_CALIB_SDEDIT_MATCH,sub-03,0.38401895775718403
sub-17,V26_CALIB_SDEDIT_MATCH,sub-03,0.3749188775351892
sub-18,V26_CALIB_SDEDIT_MATCH,sub-03,0.3761597730271104
sub-19,V26_CALIB_SDEDIT_MATCH,sub-03,0.38224739640847677
sub-21,V26_CALIB_SDEDIT_MATCH,sub-03,0.37570833892095834
sub-23,V26_CALIB_SDEDIT_MATCH,sub-03,0.3754809667589143
sub-02,V26_CALIB_SDEDIT_MATCH,sub-05,0.3639976636299656
sub-03,V26_CALIB_SDEDIT_MATCH,sub-05,0.3629984757604285
sub-05,V26_CALIB_SDEDIT_MATCH,sub-05,0.36205623981853324
sub-06,V26_CALIB_SDEDIT_MATCH,sub-05,0.36203840977719265
sub-07,V26_CALIB_SDEDIT_MATCH,sub-05,0.3623961889340232
sub-09,V26_CALIB_SDEDIT_MATCH,sub-05,0.364195743498082
sub-11,V26_CALIB_SDEDIT_MATCH,sub-05,0.36225382344693774
sub-12,V26_CALIB_SDEDIT_MATCH,sub-05,0.3685249518344385
sub-14,V26_CALIB_SDEDIT_MATCH,sub-05,0.36237099443355375
sub-15,V26_CALIB_SDEDIT_MATCH,sub-05,0.36966555578530663
sub-17,V26_CALIB_SDEDIT_MATCH,sub-05,0.36308298803245026
sub-18,V26_CALIB_SDEDIT_MATCH,sub-05,0.36393232829868793
sub-19,V26_CALIB_SDEDIT_MATCH,sub-05,0.36510892615964013
sub-21,V26_CALIB_SDEDIT_MATCH,sub-05,0.36236063869566554
sub-23,V26_CALIB_SDEDIT_MATCH,sub-05,0.36302974646807545
sub-02,V26_CALIB_SDEDIT_MATCH,sub-06,0.5043919891532925
sub-03,V26_CALIB_SDEDIT_MATCH,sub-06,0.4552419792420955
sub-05,V26_CALIB_SDEDIT_MATCH,sub-06,0.44894630182534456
sub-06,V26_CALIB_SDEDIT_MATCH,sub-06,0.45401024761506253
sub-07,V26_CALIB_SDEDIT_MATCH,sub-06,0.44446039270971793
sub-09,V26_CALIB_SDEDIT_MATCH,sub-06,0.464563229211813
sub-11,V26_CALIB_SDEDIT_MATCH,sub-06,0.4627863814950817
sub-12,V26_CALIB_SDEDIT_MATCH,sub-06,0.4561330526420433
sub-14,V26_CALIB_SDEDIT_MATCH,sub-06,0.4627470097556296
sub-15,V26_CALIB_SDEDIT_MATCH,sub-06,0.49581025712864685
sub-17,V26_CALIB_SDEDIT_MATCH,sub-06,0.4504742817953229
sub-18,V26_CALIB_SDEDIT_MATCH,sub-06,0.4653452144185495
sub-19,V26_CALIB_SDEDIT_MATCH,sub-06,0.5199217815340186
sub-21,V26_CALIB_SDEDIT_MATCH,sub-06,0.4649351973526387
sub-23,V26_CALIB_SDEDIT_MATCH,sub-06,0.46653207938652486
sub-02,V26_CALIB_SDEDIT_MATCH,sub-07,0.3302415794848154
sub-03,V26_CALIB_SDEDIT_MATCH,sub-07,0.3309652926594329
sub-05,V26_CALIB_SDEDIT_MATCH,sub-07,0.3367196535756294
sub-06,V26_CALIB_SDEDIT_MATCH,sub-07,0.33632245200634414
sub-07,V26_CALIB_SDEDIT_MATCH,sub-07,0.3340387561668952
sub-09,V26_CALIB_SDEDIT_MATCH,sub-07,0.33882056156613133
sub-11,V26_CALIB_SDEDIT_MATCH,sub-07,0.32974876909025225
sub-12,V26_CALIB_SDEDIT_MATCH,sub-07,0.33396886080865645
sub-14,V26_CALIB_SDEDIT_MATCH,sub-07,0.3320243682699382
sub-15,V26_CALIB_SDEDIT_MATCH,sub-07,0.3637527163243956
sub-17,V26_CALIB_SDEDIT_MATCH,sub-07,0.34167588674851385
sub-18,V26_CALIB_SDEDIT_MATCH,sub-07,0.33909565085519316
sub-19,V26_CALIB_SDEDIT_MATCH,sub-07,0.33552445370393497
sub-21,V26_CALIB_SDEDIT_MATCH,sub-07,0.3450967541818197
sub-23,V26_CALIB_SDEDIT_MATCH,sub-07,0.33142141087187665
sub-02,V26_CALIB_SDEDIT_MATCH,sub-09,4.755351464729756
sub-03,V26_CALIB_SDEDIT_MATCH,sub-09,4.754563327076741
sub-05,V26_CALIB_SDEDIT_MATCH,sub-09,4.750065172427437
sub-06,V26_CALIB_SDEDIT_MATCH,sub-09,4.747001820528466
sub-07,V26_CALIB_SDEDIT_MATCH,sub-09,4.75064751984448
sub-09,V26_CALIB_SDEDIT_MATCH,sub-09,4.699274904586168
sub-11,V26_CALIB_SDEDIT_MATCH,sub-09,4.747720978740189
sub-12,V26_CALIB_SDEDIT_MATCH,sub-09,4.74472643667832
sub-14,V26_CALIB_SDEDIT_MATCH,sub-09,4.74356698231875
sub-15,V26_CALIB_SDEDIT_MATCH,sub-09,4.757718399167061
sub-17,V26_CALIB_SDEDIT_MATCH,sub-09,4.770223796108945
sub-18,V26_CALIB_SDEDIT_MATCH,sub-09,4.737092125772809
sub-19,V26_CALIB_SDEDIT_MATCH,sub-09,4.6941345435205015
sub-21,V26_CALIB_SDEDIT_MATCH,sub-09,4.738144991841788
sub-23,V26_CALIB_SDEDIT_MATCH,sub-09,4.745923919370398
sub-02,V26_CALIB_SDEDIT_MATCH,sub-11,0.3486971700072496
sub-03,V26_CALIB_SDEDIT_MATCH,sub-11,0.32852904001871747
sub-05,V26_CALIB_SDEDIT_MATCH,sub-11,0.33393884895809206
sub-06,V26_CALIB_SDEDIT_MATCH,sub-11,0.3407456255582575
sub-07,V26_CALIB_SDEDIT_MATCH,sub-11,0.32998979134329903
sub-09,V26_CALIB_SDEDIT_MATCH,sub-11,0.49130709407876966
sub-11,V26_CALIB_SDEDIT_MATCH,sub-11,0.33184744653085047
sub-12,V26_CALIB_SDEDIT_MATCH,sub-11,0.32998537972647074
sub-14,V26_CALIB_SDEDIT_MATCH,sub-11,0.3335851256658013
sub-15,V26_CALIB_SDEDIT_MATCH,sub-11,0.3334596599193496
sub-17,V26_CALIB_SDEDIT_MATCH,sub-11,0.3294172401138995
sub-18,V26_CALIB_SDEDIT_MATCH,sub-11,0.33115520142665544
sub-19,V26_CALIB_SDEDIT_MATCH,sub-11,0.33684721541228807
sub-21,V26_CALIB_SDEDIT_MATCH,sub-11,0.33049319320384213
sub-23,V26_CALIB_SDEDIT_MATCH,sub-11,0.33119553424573195
sub-02,V26_CALIB_SDEDIT_MATCH,sub-12,0.4594381244646178
sub-03,V26_CALIB_SDEDIT_MATCH,sub-12,0.39978278123049266
sub-05,V26_CALIB_SDEDIT_MATCH,sub-12,0.4026913050458663
sub-06,V26_CALIB_SDEDIT_MATCH,sub-12,0.40454139405240613
sub-07,V26_CALIB_SDEDIT_MATCH,sub-12,0.4037634868485232
sub-09,V26_CALIB_SDEDIT_MATCH,sub-12,0.6269832280878392
sub-11,V26_CALIB_SDEDIT_MATCH,sub-12,0.4038289243665834
sub-12,V26_CALIB_SDEDIT_MATCH,sub-12,0.4056590339168906
sub-14,V26_CALIB_SDEDIT_MATCH,sub-12,0.3979425016894109
sub-15,V26_CALIB_SDEDIT_MATCH,sub-12,0.41034575349961716
sub-17,V26_CALIB_SDEDIT_MATCH,sub-12,0.40621032788314754
sub-18,V26_CALIB_SDEDIT_MATCH,sub-12,0.4014279343084328
sub-19,V26_CALIB_SDEDIT_MATCH,sub-12,0.4313070168201294
sub-21,V26_CALIB_SDEDIT_MATCH,sub-12,0.4013236472900543
sub-23,V26_CALIB_SDEDIT_MATCH,sub-12,0.4027509296105967
sub-02,V26_CALIB_SDEDIT_MATCH,sub-14,0.35097277187742293
sub-03,V26_CALIB_SDEDIT_MATCH,sub-14,0.3313924257850481
sub-05,V26_CALIB_SDEDIT_MATCH,sub-14,0.3345715634059161
sub-06,V26_CALIB_SDEDIT_MATCH,sub-14,0.3364639941137284
sub-07,V26_CALIB_SDEDIT_MATCH,sub-14,0.33344334894273847
sub-09,V26_CALIB_SDEDIT_MATCH,sub-14,0.4839670373799487
sub-11,V26_CALIB_SDEDIT_MATCH,sub-14,0.33468861981398534
sub-12,V26_CALIB_SDEDIT_MATCH,sub-14,0.3328771112072799
sub-14,V26_CALIB_SDEDIT_MATCH,sub-14,0.3311910468878018
sub-15,V26_CALIB_SDEDIT_MATCH,sub-14,0.33951428248029614
sub-17,V26_CALIB_SDEDIT_MATCH,sub-14,0.3316992355976254
sub-18,V26_CALIB_SDEDIT_MATCH,sub-14,0.3342208265482138
sub-19,V26_CALIB_SDEDIT_MATCH,sub-14,0.3366858480860376
sub-21,V26_CALIB_SDEDIT_MATCH,sub-14,0.33208170424525935
sub-23,V26_CALIB_SDEDIT_MATCH,sub-14,0.33066185250774854
sub-02,V26_CALIB_SDEDIT_MATCH,sub-15,1.1380614013048926
sub-03,V26_CALIB_SDEDIT_MATCH,sub-15,1.1368793992377402
sub-05,V26_CALIB_SDEDIT_MATCH,sub-15,1.143790943056552
sub-06,V26_CALIB_SDEDIT_MATCH,sub-15,1.1549868774859027
sub-07,V26_CALIB_SDEDIT_MATCH,sub-15,1.1346181834427018
