clean_source,content_digest,fold,gain,generating_operator,ocular_source,panel,participant,query_block,seed,session,severity,source_index,support_block,task
sub-12,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.763291413432508,sub-05,sub-11,paired,sub-05,300s-end,20260930,ses-02,medium,55,0-120s,SSVEP
sub-11,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.3749883783790723,sub-03,sub-21,paired,sub-03,300s-end,20260930,ses-04,mild,56,0-120s,SSVEP
sub-11,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.2836997223548743,sub-03,sub-19,paired,sub-03,300s-end,20260930,ses-03,severe,59,0-120s,ERP
sub-17,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.7124772746371101,sub-03,sub-21,paired,sub-03,300s-end,20260930,ses-04,medium,60,0-120s,SSVEP
sub-21,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.8017195478369084,sub-05,sub-23,paired,sub-05,300s-end,20260930,ses-02,medium,63,0-120s,SSVEP
sub-11,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.046757955850958,sub-05,sub-18,paired,sub-05,300s-end,20260930,ses-04,severe,65,0-120s,ERP
sub-15,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.0947213785656533,sub-03,sub-11,paired,sub-03,300s-end,20260930,ses-02,severe,68,0-120s,ERP
sub-11,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.3799922135153974,sub-02,sub-15,paired,sub-02,300s-end,20260930,ses-02,mild,69,0-120s,ERP
sub-15,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.3371528795355827,sub-05,sub-23,paired,sub-05,300s-end,20260930,ses-02,mild,71,0-120s,ERP
sub-12,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.34952880915340373,sub-03,sub-15,paired,sub-03,300s-end,20260930,ses-04,mild,74,0-120s,ERP
sub-12,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.9980764144875423,sub-02,sub-14,paired,sub-02,300s-end,20260930,ses-03,severe,76,0-120s,ERP
sub-11,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.7429914285713789,sub-03,sub-19,paired,sub-03,300s-end,20260930,ses-04,zero,77,0-120s,SSVEP
sub-17,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.7604831090169061,sub-05,sub-11,paired,sub-05,300s-end,20260930,ses-04,medium,80,0-120s,ERP
sub-11,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.1116139025019698,sub-03,sub-18,paired,sub-03,300s-end,20260930,ses-02,severe,81,0-120s,ERP
sub-18,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.39620483747894575,sub-02,sub-15,paired,sub-02,300s-end,20260930,ses-02,mild,84,0-120s,ERP
sub-15,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.070413124420201,sub-02,sub-23,paired,sub-02,300s-end,20260930,ses-02,severe,86,0-120s,ERP
sub-17,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.1704184921043435,sub-02,sub-21,paired,sub-02,300s-end,20260930,ses-02,severe,88,0-120s,SSVEP
sub-14,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.68429911069325,sub-02,sub-21,paired,sub-02,300s-end,20260930,ses-03,medium,93,0-120s,SSVEP
sub-19,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.3075046979130307,sub-02,sub-15,paired,sub-02,300s-end,20260930,ses-02,mild,95,0-120s,ERP
sub-23,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.36188173970042103,sub-02,sub-15,paired,sub-02,300s-end,20260930,ses-03,mild,97,0-120s,SSVEP
sub-23,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.7095043418964924,sub-02,sub-17,paired,sub-02,300s-end,20260930,ses-02,medium,102,0-120s,SSVEP
sub-18,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.9800293279453893,sub-02,sub-12,paired,sub-02,300s-end,20260930,ses-03,severe,109,0-120s,SSVEP
sub-18,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,1.0974418830856567,sub-02,sub-17,paired,sub-02,300s-end,20260930,ses-03,severe,122,0-120s,SSVEP
sub-12,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.37193213445160095,sub-03,sub-21,paired,sub-03,300s-end,20260930,ses-04,mild,213,0-120s,ERP
sub-12,021df1f8a21011acc1c6a7867af5bfdf597d751b672d10f41460b01f11c22109,0,0.6547850653983377,sub-03,sub-11,paired,sub-03,300s-end,20260930,ses-04,medium,214,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-03,natural,0,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-04,natural,1,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-04,natural,2,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-03,natural,3,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-02,natural,4,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-04,natural,5,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-02,natural,6,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-02,natural,7,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-03,natural,8,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-04,natural,9,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-03,natural,10,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-02,natural,11,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-03,natural,12,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-02,natural,13,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-02,natural,14,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-02,natural,15,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-02,natural,16,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-02,natural,17,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-04,natural,18,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-04,natural,19,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-04,natural,20,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-03,natural,21,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-03,natural,22,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-04,natural,23,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-02,natural,24,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-03,natural,25,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-02,natural,26,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-04,natural,27,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-02,natural,28,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-02,natural,29,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-04,natural,30,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-02,natural,31,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-04,natural,32,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-03,natural,33,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-03,natural,34,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-03,natural,35,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-04,natural,36,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-04,natural,37,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-02,natural,38,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-04,natural,39,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-02,natural,41,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-03,natural,42,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-04,natural,43,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-04,natural,46,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-02,natural,48,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-03,natural,49,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-02,natural,50,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-03,natural,51,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-03,natural,53,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-04,natural,54,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-03,natural,58,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-02,natural,59,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-04,natural,60,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-04,natural,61,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-03,natural,65,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-04,natural,70,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-02,natural,71,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-02,natural,72,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-04,natural,73,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-03,natural,74,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-03,natural,77,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-03,natural,79,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-02,natural,80,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-03,natural,81,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-03,natural,86,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-04,natural,97,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-03,natural,101,0-120s,SSVEP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-02,natural,104,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-02,300s-end,20260930,ses-03,natural,109,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-03,300s-end,20260930,ses-02,natural,118,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-04,natural,181,0-120s,ERP
,fb532ab36244d368f088e5a65b92865a1dda664d1937e03e57af60475ec95b5d,0,,,,natural,sub-05,300s-end,20260930,ses-04,natural,188,0-120s,ERP
sub-17,10d1019205e33478ad92d26e3e74e765e1a874cf470d5929ad456477b38e7076,1,0.305075240817447,sub-09,sub-15,paired,sub-09,300s-end,20260930,ses-03,mild,0,0-120s,SSVEP
sub-15,10d1019205e33478ad92d26e3e74e765e1a874cf470d5929ad456477b38e7076,1,1.2190874491307493,sub-06,sub-03,paired,sub-06,300s-end,20260930,ses-03,severe,1,0-120s,SSVEP
sub-19,10d1019205e33478ad92d26e3e74e765e1a874cf470d5929ad456477b38e7076,1,1.2295743871996674,sub-06,sub-03,paired,sub-06,300s-end,20260930,ses-04,severe,2,0-120s,ERP
sub-02,10d1019205e33478ad92d26e3e74e765e1a874cf470d5929ad456477b38e7076,1,0.6913564307287661,sub-06,sub-17,paired,sub-06,300s-end,20260930,ses-02,medium,3,0-120s,SSVEP
