array_task,job_id,recovery_of,scientific_setting_changed,stage,status
8,939403,"939353,939392",False,r5-falsification,recovery
10,939404,"939353,939392",False,r5-falsification,recovery
11,939405,"939353,939392",False,r5-falsification,recovery
14,939437,,False,r6-diagnostics,accepted
0,939452,,False,r6-diagnostics,accepted
1,939453,,False,r6-diagnostics,accepted
2,939454,,False,r6-diagnostics,accepted
3,939455,,False,r6-diagnostics,accepted
4,939456,,False,r6-diagnostics,accepted
5,939457,,False,r6-diagnostics,accepted
6,939458,,False,r6-diagnostics,accepted
7,939459,,False,r6-diagnostics,accepted
8,939460,,False,r6-diagnostics,accepted
9,939461,,False,r6-diagnostics,accepted
10,939462,,False,r6-diagnostics,accepted
11,939463,,False,r6-diagnostics,accepted
12,939464,,False,r6-diagnostics,accepted
13,939465,,False,r6-diagnostics,accepted
14,939466,,False,r7-duration,accepted
0,939468,,False,r7-duration,accepted
1,939469,,False,r7-duration,accepted
2,939470,,False,r7-duration,accepted
3,939471,,False,r7-duration,accepted
4,939472,,False,r7-duration,accepted
5,939473,,False,r7-duration,accepted
6,939474,,False,r7-duration,accepted
7,939475,,False,r7-duration,accepted
8,939476,,False,r7-duration,accepted
9,939477,,False,r7-duration,accepted
10,939478,,False,r7-duration,accepted
11,939479,,False,r7-duration,accepted
12,939480,,False,r7-duration,accepted
13,939481,,False,r7-duration,accepted
,939523,,False,r8-model-costs,accepted
14,939467,,False,r8-steps-latency,accepted
0,939482,,False,r8-steps-latency,accepted
1,939483,,False,r8-steps-latency,accepted
2,939484,,False,r8-steps-latency,accepted
3,939485,,False,r8-steps-latency,accepted
4,939486,,False,r8-steps-latency,accepted
5,939487,,False,r8-steps-latency,accepted
6,939488,,False,r8-steps-latency,accepted
7,939489,,False,r8-steps-latency,accepted
8,939490,,False,r8-steps-latency,accepted
9,939491,,False,r8-steps-latency,accepted
10,939492,,False,r8-steps-latency,accepted
11,939493,,False,r8-steps-latency,accepted
12,939494,,False,r8-steps-latency,accepted
13,939495,,False,r8-steps-latency,accepted
15,939498,,False,r8-steps-latency,accepted
,939496,,False,r9-paired,accepted
