participant,view,block,H_P,H_W
3,hf_art,topography,0.05402946472167969,0.07153654098510742
3,hf_art,dynamics,0.10639572143554688,0.18800121545791626
4,hf_art,morphology,0.0428507924079895,0.04108840227127075
4,hf_art,topography,0.04825019836425781,0.05289047956466675
4,hf_art,dynamics,-0.04687047004699707,-0.02783358097076416
5,hf_art,morphology,-0.0010582208633422852,0.0395430326461792
5,hf_art,topography,-0.030975937843322754,-0.03130620718002319
5,hf_art,dynamics,-0.02685689926147461,0.02895432710647583
6,hf_art,morphology,-0.019829511642456055,0.017271757125854492
6,hf_art,topography,-0.0389631986618042,-0.031026780605316162
6,hf_art,dynamics,-0.018382906913757324,-0.029982447624206543
7,hf_art,morphology,0.023189246654510498,0.09143412113189697
7,hf_art,topography,-0.026154756546020508,-0.04499399662017822
7,hf_art,dynamics,0.011205792427062988,0.03733152151107788
8,hf_art,morphology,-0.08554422855377197,-0.0433351993560791
8,hf_art,topography,0.01061105728149414,0.00916212797164917
8,hf_art,dynamics,0.14555573463439941,0.17850381135940552
9,hf_art,morphology,0.0019148588180541992,-0.010075300931930542
9,hf_art,topography,-0.0010728836059570312,0.04059708118438721
9,hf_art,dynamics,0.020453572273254395,0.0243532657623291
10,hf_art,morphology,0.03733789920806885,0.11045533418655396
10,hf_art,topography,0.045214056968688965,0.07152515649795532
10,hf_art,dynamics,-0.014130830764770508,-0.007104456424713135
11,hf_art,morphology,0.022520899772644043,0.11231917142868042
11,hf_art,topography,0.021051526069641113,0.006362259387969971
11,hf_art,dynamics,-0.0036220550537109375,-0.01716029644012451
12,hf_art,morphology,0.008324980735778809,0.07778245210647583
12,hf_art,topography,0.0035802125930786133,0.03967028856277466
12,hf_art,dynamics,0.06106710433959961,0.05719470977783203
13,hf_art,morphology,-0.041318416595458984,0.005691409111022949
13,hf_art,topography,-0.054494261741638184,-0.03498274087905884
13,hf_art,dynamics,0.06888163089752197,0.09441721439361572
14,hf_art,morphology,0.009461820125579834,-0.009278297424316406
14,hf_art,topography,0.01656472682952881,0.021701276302337646
14,hf_art,dynamics,-0.014640450477600098,-0.04329651594161987
15,hf_art,morphology,-0.04256725311279297,-0.03843986988067627
15,hf_art,topography,-0.018509268760681152,-0.022966861724853516
15,hf_art,dynamics,0.07938361167907715,0.06855058670043945
1,label_shuffle,morphology,0.0,0.0
1,label_shuffle,topography,0.0,0.0
1,label_shuffle,dynamics,0.0,0.0
2,label_shuffle,morphology,-0.01219034194946289,0.04595494270324707
2,label_shuffle,topography,0.01795649528503418,0.03014916181564331
2,label_shuffle,dynamics,0.013276815414428711,-0.005643606185913086
3,label_shuffle,morphology,0.0,0.0
3,label_shuffle,topography,0.0,0.0
3,label_shuffle,dynamics,0.0,0.0
4,label_shuffle,morphology,0.0,0.0
4,label_shuffle,topography,0.0,0.0
4,label_shuffle,dynamics,0.0,0.0
5,label_shuffle,morphology,0.0,0.0
5,label_shuffle,topography,0.0,0.0
5,label_shuffle,dynamics,0.0,0.0
6,label_shuffle,morphology,0.0,0.0
6,label_shuffle,topography,0.0,0.0
6,label_shuffle,dynamics,0.0,0.0
7,label_shuffle,morphology,-0.19135749340057373,-0.2131967544555664
7,label_shuffle,topography,-0.1160053014755249,-0.17894530296325684
7,label_shuffle,dynamics,0.004468441009521484,0.044541895389556885
8,label_shuffle,morphology,0.0,0.0
8,label_shuffle,topography,0.0,0.0
8,label_shuffle,dynamics,0.0,0.0
9,label_shuffle,morphology,0.0,0.0
9,label_shuffle,topography,0.0,0.0
9,label_shuffle,dynamics,0.0,0.0
10,label_shuffle,morphology,0.0,0.0
10,label_shuffle,topography,0.0,0.0
10,label_shuffle,dynamics,0.0,0.0
11,label_shuffle,morphology,0.0,0.0
11,label_shuffle,topography,0.0,0.0
11,label_shuffle,dynamics,0.0,0.0
12,label_shuffle,morphology,-0.005773305892944336,0.07180672883987427
12,label_shuffle,topography,0.03309738636016846,0.07060414552688599
12,label_shuffle,dynamics,0.020946383476257324,0.05329537391662598
13,label_shuffle,morphology,0.0,0.0
13,label_shuffle,topography,0.0,0.0
13,label_shuffle,dynamics,0.0,0.0
14,label_shuffle,morphology,0.0,0.0
14,label_shuffle,topography,0.0,0.0
14,label_shuffle,dynamics,0.0,0.0
15,label_shuffle,morphology,0.0,0.0
15,label_shuffle,topography,0.0,0.0
15,label_shuffle,dynamics,0.0,0.0
1,time_shuffle,morphology,-0.022037506103515625,-0.01827305555343628
1,time_shuffle,topography,-0.10161125659942627,-0.06245154142379761
1,time_shuffle,dynamics,-0.12923479080200195,-0.06192594766616821
2,time_shuffle,morphology,0.030922889709472656,0.012523531913757324
2,time_shuffle,topography,0.061322569847106934,0.13912716507911682
2,time_shuffle,dynamics,-0.05714082717895508,-0.028785407543182373
3,time_shuffle,morphology,0.016082286834716797,0.0427699089050293
3,time_shuffle,topography,0.0818251371383667,-0.03400141000747681
3,time_shuffle,dynamics,0.01580345630645752,0.05888551473617554
4,time_shuffle,morphology,0.018862247467041016,0.08253514766693115
4,time_shuffle,topography,0.019471049308776855,0.11006933450698853
4,time_shuffle,dynamics,-0.07441937923431396,-0.0450209379196167
5,time_shuffle,morphology,0.0052869319915771484,-0.012531399726867676
5,time_shuffle,topography,0.20588982105255127,0.06954598426818848
5,time_shuffle,dynamics,0.04805022478103638,0.06564068794250488
6,time_shuffle,morphology,0.0007808208465576172,0.03504025936126709
6,time_shuffle,topography,0.024278640747070312,0.12123239040374756
6,time_shuffle,dynamics,0.030565083026885986,0.1424856185913086
7,time_shuffle,morphology,-0.03858602046966553,-0.00711590051651001
7,time_shuffle,topography,-0.01184999942779541,0.004855096340179443
7,time_shuffle,dynamics,-0.0035352706909179688,-0.07684159278869629
8,time_shuffle,morphology,0.07080245018005371,0.0453336238861084
8,time_shuffle,topography,0.32350754737854004,0.268470823764801
8,time_shuffle,dynamics,0.056240200996398926,0.11208230257034302
9,time_shuffle,morphology,-0.0555722713470459,0.011499762535095215
9,time_shuffle,topography,0.02869260311126709,0.13374805450439453
9,time_shuffle,dynamics,-0.014313936233520508,0.03012794256210327
10,time_shuffle,morphology,0.0343780517578125,0.06285732984542847
10,time_shuffle,topography,0.11693400144577026,0.15631529688835144
10,time_shuffle,dynamics,-0.03462362289428711,0.09294134378433228
11,time_shuffle,morphology,0.02839958667755127,0.07488548755645752
11,time_shuffle,topography,-0.019457340240478516,0.05599260330200195
11,time_shuffle,dynamics,-0.128618061542511,-0.1556122601032257
12,time_shuffle,morphology,0.03017556667327881,0.10944366455078125
12,time_shuffle,topography,0.11451900005340576,0.2422189712524414
12,time_shuffle,dynamics,-0.044426918029785156,-0.09786194562911987
13,time_shuffle,morphology,0.012700676918029785,0.09169280529022217
13,time_shuffle,topography,-0.0536046028137207,0.05131930112838745
13,time_shuffle,dynamics,-0.059103190898895264,-0.057583004236221313
14,time_shuffle,morphology,0.009293794631958008,0.010730504989624023
14,time_shuffle,topography,0.05101168155670166,0.01907515525817871
14,time_shuffle,dynamics,0.014202594757080078,0.0007641315460205078
15,time_shuffle,morphology,0.02077007293701172,0.026360630989074707
15,time_shuffle,topography,0.20000314712524414,0.17068606615066528
15,time_shuffle,dynamics,-0.08773112297058105,0.0768744945526123
1,wrong_condition,morphology,1.4936332702636719,1.454575538635254
1,wrong_condition,topography,0.009837448596954346,-0.03806999325752258
1,wrong_condition,dynamics,0.1579747200012207,0.11105620861053467
2,wrong_condition,morphology,6.1626763343811035,6.547282695770264
2,wrong_condition,topography,0.14467942714691162,0.41929537057876587
2,wrong_condition,dynamics,0.091366708278656,0.3050553798675537
3,wrong_condition,morphology,9.92432975769043,8.034154891967773
3,wrong_condition,topography,0.3116180896759033,0.3434944748878479
3,wrong_condition,dynamics,0.28191840648651123,0.4784451723098755
4,wrong_condition,morphology,-2.888655185699463,-2.9589455127716064
4,wrong_condition,topography,0.18766433000564575,0.3138909339904785
4,wrong_condition,dynamics,0.3681858777999878,0.5025073289871216
5,wrong_condition,morphology,-0.16236114501953125,5.923027992248535
5,wrong_condition,topography,0.41611772775650024,0.5384801030158997
5,wrong_condition,dynamics,0.07820123434066772,0.4785747528076172
6,wrong_condition,morphology,0.529240608215332,0.9203312397003174
6,wrong_condition,topography,0.11962705850601196,0.14190441370010376
6,wrong_condition,dynamics,0.11155134439468384,0.1090322732925415
7,wrong_condition,morphology,2.285350799560547,3.6075897216796875
7,wrong_condition,topography,0.19917547702789307,0.3378804326057434
7,wrong_condition,dynamics,0.12514328956604004,0.2776804566383362
8,wrong_condition,morphology,8.007741928100586,5.9604034423828125
8,wrong_condition,topography,0.18881213665008545,0.15079975128173828
8,wrong_condition,dynamics,0.3142712116241455,0.4975302815437317
9,wrong_condition,morphology,1.0488739013671875,1.2290449142456055
9,wrong_condition,topography,-0.18506085872650146,-0.05078160762786865
9,wrong_condition,dynamics,0.2569469213485718,0.5030325055122375
10,wrong_condition,morphology,-0.24808883666992188,2.383462905883789
10,wrong_condition,topography,0.3175184726715088,0.30727773904800415
10,wrong_condition,dynamics,0.5597919225692749,0.6521050930023193
11,wrong_condition,morphology,0.5292139053344727,-0.8323357105255127
11,wrong_condition,topography,0.016929984092712402,0.00903022289276123
11,wrong_condition,dynamics,0.10149037837982178,0.09409648180007935
12,wrong_condition,morphology,0.49158191680908203,-2.294710159301758
12,wrong_condition,topography,0.45766425132751465,0.4100506901741028
12,wrong_condition,dynamics,0.12483030557632446,0.23222461342811584
13,wrong_condition,morphology,-4.049461364746094,1.1617975234985352
13,wrong_condition,topography,-0.37010031938552856,-0.024545729160308838
13,wrong_condition,dynamics,0.39784109592437744,0.6702497005462646
14,wrong_condition,morphology,5.179355621337891,2.199333906173706
14,wrong_condition,topography,0.2858348488807678,0.4982703924179077
14,wrong_condition,dynamics,0.22066986560821533,0.4491163492202759
15,wrong_condition,morphology,2.6052112579345703,4.3463134765625
15,wrong_condition,topography,0.36616694927215576,0.3816084861755371
15,wrong_condition,dynamics,0.3240673542022705,0.4877525568008423
1,gain_normalized,morphology,2.7277259826660156,2.6570234298706055
1,gain_normalized,topography,0.009837448596954346,-0.03806999325752258
1,gain_normalized,dynamics,0.1579747200012207,0.11105614900588989
2,gain_normalized,morphology,10.743216514587402,11.38305377960205
2,gain_normalized,topography,0.14467942714691162,0.41929537057876587
2,gain_normalized,dynamics,0.09136676788330078,0.3050554394721985
3,gain_normalized,morphology,16.953147888183594,13.729471206665039
3,gain_normalized,topography,0.31161797046661377,0.3434944748878479
3,gain_normalized,dynamics,0.2819182872772217,0.47844523191452026
4,gain_normalized,morphology,-4.868947982788086,-5.023350715637207
4,gain_normalized,topography,0.1876644492149353,0.3138909935951233
4,gain_normalized,dynamics,0.368185818195343,0.5025072693824768
5,gain_normalized,morphology,-0.33301734924316406,10.01580810546875
5,gain_normalized,topography,0.416117787361145,0.5384801030158997
5,gain_normalized,dynamics,0.07820117473602295,0.4785747528076172
6,gain_normalized,morphology,0.9633302688598633,1.6774296760559082
6,gain_normalized,topography,0.11962699890136719,0.14190447330474854
6,gain_normalized,dynamics,0.11155122518539429,0.10903212428092957
7,gain_normalized,morphology,3.919260025024414,6.177664756774902
7,gain_normalized,topography,0.19917547702789307,0.3378804922103882
7,gain_normalized,dynamics,0.12514328956604004,0.2776803970336914
8,gain_normalized,morphology,13.69027328491211,10.198673248291016
8,gain_normalized,topography,0.18881213665008545,0.15079981088638306
8,gain_normalized,dynamics,0.3142714500427246,0.4975302815437317
9,gain_normalized,morphology,1.7457962036132812,2.0210447311401367
9,gain_normalized,topography,-0.18506073951721191,-0.05078160762786865
9,gain_normalized,dynamics,0.256946861743927,0.5030325055122375
10,gain_normalized,morphology,-0.43271636962890625,4.018205642700195
10,gain_normalized,topography,0.317518413066864,0.3072776794433594
10,gain_normalized,dynamics,0.5597920417785645,0.6521052718162537
11,gain_normalized,morphology,0.9624052047729492,-1.5512471199035645
11,gain_normalized,topography,0.016929984092712402,0.009030163288116455
11,gain_normalized,dynamics,0.10149049758911133,0.0940966010093689
12,gain_normalized,morphology,0.8305492401123047,-3.9598493576049805
12,gain_normalized,topography,0.4576641321182251,0.41005057096481323
12,gain_normalized,dynamics,0.12483030557632446,0.23222455382347107
13,gain_normalized,morphology,-6.921510696411133,1.9556503295898438
13,gain_normalized,topography,-0.370100200176239,-0.024545788764953613
13,gain_normalized,dynamics,0.397841215133667,0.6702497601509094
14,gain_normalized,morphology,8.643973350524902,3.633212089538574
14,gain_normalized,topography,0.28583478927612305,0.49827033281326294
14,gain_normalized,dynamics,0.22066986560821533,0.44911646842956543
15,gain_normalized,morphology,4.415843963623047,7.372419357299805
15,gain_normalized,topography,0.3661668300628662,0.3816084861755371
15,gain_normalized,dynamics,0.32406723499298096,0.48775261640548706
