view,effect,participants,mean,median,positive,one_sided_exact_sign_flip_p,bootstrap_ci_low,bootstrap_ci_high,loo_mean_min
hf_art,H_P_morphology,15,-0.012373403708140055,-0.0010582208633422852,7,0.883148193359375,-0.03170728713274002,0.006170569459597266,-0.016317989145006453
hf_art,H_W_morphology,15,0.021147018671035765,0.017271757125854492,9,0.087005615234375,-0.005947356472412745,0.04932797203461329,0.01463472204548972
hf_art,H_P_topography,15,0.0012981414794921875,0.0035802125930786133,8,0.439117431640625,-0.014279070297876994,0.01725462973117828,-0.002468381609235491
hf_art,H_W_topography,15,0.014218763510386149,0.00916212797164917,10,0.099029541015625,-0.005666726231575012,0.03434971759716667,0.010124636547906058
hf_art,H_P_dynamics,15,0.026156886418660482,0.011205792427062988,8,0.042633056640625,0.0009802085161209108,0.0539418480793635,0.017628397260393416
hf_art,H_W_dynamics,15,0.04046449661254883,0.02895432710647583,9,0.021759033203125,0.007112054824829102,0.07697730044523875,0.02992615955216544
label_shuffle,H_P,15,-0.005235131581624349,0.0,2,0.625,-0.01976977984110514,0.00341488520304362,-0.006758366312299456
label_shuffle,H_W,15,-0.0018096314536200531,0.0,2,0.625,-0.02160755528344048,0.014020690653059243,-0.00659856342134021
label_shuffle,H_P_morphology,15,-0.013954742749532064,0.0,0,1.0,-0.0398968776067098,0.0,-0.014951510088784354
label_shuffle,H_W_morphology,15,-0.006362338860829671,0.0,2,0.625,-0.039575688044230145,0.017425008614857993,-0.011945843696594238
label_shuffle,H_P_topography,15,-0.004330094655354818,0.0,2,0.625,-0.022003960609436036,0.007816576957702636,-0.007003486156463623
label_shuffle,H_W_topography,15,-0.005212799708048502,0.0,2,0.625,-0.03377911647160848,0.015443718433380127,-0.01062829579625811
label_shuffle,H_P_dynamics,15,0.0025794426600138348,0.0,3,0.125,0.0,0.005959518750508626,0.0012675183159964426
label_shuffle,H_W_dynamics,15,0.006146244208017985,0.0,2,0.25,-0.0007524808247884114,0.016014428933461507,0.0027784492288317
time_shuffle,H_P,15,0.016331244839562276,0.01854151487350464,9,0.14385986328125,-0.010010244515207102,0.04435105813874132,0.006770376648221665
time_shuffle,H_W,15,0.04600281185574007,0.04095509648323059,12,0.00250244140625,0.020684027059210696,0.07178576697905868,0.03914856626873927
time_shuffle,H_P_morphology,15,0.010817305246988932,0.016082286834716797,12,0.099395751953125,-0.00508113145828247,0.025643013517061865,0.0065326520374843055
time_shuffle,H_W_morphology,15,0.03785015344619751,0.03504025936126709,12,0.001251220703125,0.018501745263735454,0.05749383846918741,0.03273633122444153
time_shuffle,H_P_topography,15,0.06939546664555868,0.05101168155670166,11,0.012115478515625,0.017945304612318674,0.12528202801942814,0.051244603736060004
time_shuffle,H_W_topography,15,0.09641355276107788,0.11006933450698853,13,0.000885009765625,0.05053011690576871,0.14189565420150757,0.08412374768938337
time_shuffle,H_P_dynamics,15,-0.031219037373860677,-0.03462362289428711,5,0.9696044921875,-0.06064306676387787,-0.0028227785229683377,-0.03746612582887922
time_shuffle,H_W_dynamics,15,0.0037447293599446613,0.0007641315460205078,8,0.432220458984375,-0.03912453537185987,0.04578641851743062,-0.006165334156581334
wrong_condition,H_P,15,0.8197639650768702,0.37358665466308594,13,0.01318359375,0.21175012591812367,1.476537652975982,0.6278931470144362
wrong_condition,H_W,15,1.0504082600275675,1.0489068826039634,12,0.001617431640625,0.5001492200129563,1.6065590258604945,0.9145780276684532
wrong_condition,H_P_morphology,15,2.0605761845906576,1.0488739013671875,11,0.027679443359375,0.2483563653628032,4.027168214321136,1.4988795007978166
wrong_condition,H_W_morphology,15,2.5120884577433267,2.199333906173706,12,0.00531005859375,0.916245584487915,4.091368540128071,2.1176551410130093
wrong_condition,H_P_topography,15,0.16443233489990233,0.18881213665008545,13,0.008331298828125,0.04712157567342123,0.2672952108581861,0.14348719801221574
wrong_condition,H_W_topography,15,0.249239045381546,0.3138909339904785,12,0.000457763671875,0.1494114356736342,0.3452893993258476,0.22857896983623505
wrong_condition,H_P_dynamics,15,0.23428337574005126,0.22066986560821533,15,3.0517578125e-05,0.16892470637957255,0.3054124542077382,0.2110327652522496
wrong_condition,H_W_dynamics,15,0.3898972769578298,0.4784451723098755,15,3.0517578125e-05,0.2943442335228125,0.480370365679264,0.36987210384437014
gain_normalized,H_P,15,1.3115570041868423,0.6058941086133327,13,0.0177001953125,0.28320082863171914,2.4273720467752864,0.9874614533923924
gain_normalized,H_W,15,1.6420500920878516,1.5268662969271336,12,0.002593994140625,0.7113297509484822,2.577171507444646,1.4128772197734742
gain_normalized,H_P_morphology,15,3.535955301920573,1.7457962036132812,11,0.0272216796875,0.4388458506266276,6.8874991718927925,2.5775844029017856
gain_normalized,H_W_morphology,15,4.287013943990072,3.633212089538574,12,0.00531005859375,1.5593482549985251,6.987426947752629,3.6125527109418596
gain_normalized,H_P_topography,15,0.16443232695261636,0.18881213665008545,13,0.008331298828125,0.047121588289737705,0.26729517877101894,0.14348719801221574
gain_normalized,H_W_topography,15,0.24923903743426004,0.3138909935951233,12,0.000457763671875,0.14941143587231637,0.3452893990278244,0.2285789613212858
gain_normalized,H_P_dynamics,15,0.23428338368733723,0.22066986560821533,15,3.0517578125e-05,0.16892469058434167,0.30541247477134065,0.2110327652522496
gain_normalized,H_W_dynamics,15,0.38989729483922325,0.47844523191452026,15,3.0517578125e-05,0.2943442681928476,0.48037039995193476,0.36987211874553133
primary_vs_negative,H_primary_minus_max_negative,15,0.805628326204088,0.3337013920148213,13,0.01416015625,0.208204599585798,1.45738138831324,0.6156961563087645
