best_step_diffusion,checkpoint,contains_diffusion_ema,contains_raw_diffusion,validation_named_for_EMA
11750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_12/seed_20260812/models.pt,True,False,False
12000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_12/seed_20260813/models.pt,True,False,False
8500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_13/seed_20260811/models.pt,True,False,False
8750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_13/seed_20260812/models.pt,True,False,False
8500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_13/seed_20260813/models.pt,True,False,False
4000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_14/seed_20260811/models.pt,True,False,False
5500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_14/seed_20260812/models.pt,True,False,False
4750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_14/seed_20260813/models.pt,True,False,False
9000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_15/seed_20260811/models.pt,True,False,False
10750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_15/seed_20260812/models.pt,True,False,False
11500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_15/seed_20260813/models.pt,True,False,False
10250,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_16/seed_20260811/models.pt,True,False,False
10000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_16/seed_20260812/models.pt,True,False,False
7500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_16/seed_20260813/models.pt,True,False,False
11500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_17/seed_20260811/models.pt,True,False,False
12000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_17/seed_20260812/models.pt,True,False,False
11000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_17/seed_20260813/models.pt,True,False,False
11500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_18/seed_20260811/models.pt,True,False,False
10750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_18/seed_20260812/models.pt,True,False,False
12000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_18/seed_20260813/models.pt,True,False,False
11750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_19/seed_20260811/models.pt,True,False,False
12000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_19/seed_20260812/models.pt,True,False,False
11000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_19/seed_20260813/models.pt,True,False,False
12000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_20/seed_20260811/models.pt,True,False,False
10750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_20/seed_20260812/models.pt,True,False,False
11500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_20/seed_20260813/models.pt,True,False,False
11500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_21/seed_20260811/models.pt,True,False,False
11750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_21/seed_20260812/models.pt,True,False,False
12000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_21/seed_20260813/models.pt,True,False,False
10250,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_22/seed_20260811/models.pt,True,False,False
11000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_22/seed_20260812/models.pt,True,False,False
12000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_22/seed_20260813/models.pt,True,False,False
11500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_23/seed_20260811/models.pt,True,False,False
10250,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_23/seed_20260812/models.pt,True,False,False
11500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_23/seed_20260813/models.pt,True,False,False
11750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_24/seed_20260811/models.pt,True,False,False
10750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_24/seed_20260812/models.pt,True,False,False
10750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_24/seed_20260813/models.pt,True,False,False
