method,participant,eog_attenuation,preservation,mi_band_distortion,covariance,mi_kappa,erd_preservation
DET-CLEAN-POP,9,0.03211979701809525,0.6693789561589559,0.09372626542821721,0.22071961653406058,0.38055555555555554,0.9198648197769882
DET-CLEAN-WRONG-1,2,0.05186468755157253,0.6118792295455933,0.15707020407911,0.3890575464716818,0.1375,0.8600193805902728
DET-CLEAN-WRONG-1,3,0.04281841491725716,0.781114362180233,0.061512347121504427,0.11823471721223174,-0.10833333333333334,0.9393172027547241
DET-CLEAN-WRONG-1,4,0.04227450200079774,0.7216738685965538,0.05646035680585339,0.17521374294561723,0.7666666666666666,0.9587136062650139
DET-CLEAN-WRONG-1,5,0.05488776996736405,0.5417200326919556,0.13324130697378625,0.35518659311539713,0.5833333333333333,0.8591982983606049
DET-CLEAN-WRONG-1,6,0.1180729074121595,0.4919487237930298,0.08852965272685077,0.4249982136922664,0.32916666666666666,0.8805066408945466
DET-CLEAN-WRONG-1,7,0.05446075424097302,0.5821754336357117,0.11948743164257061,0.3652009511432828,0.29166666666666663,0.901300653520263
DET-CLEAN-WRONG-1,8,0.060025789243916786,0.7639696672558784,0.056416080528001435,0.1271884878596902,0.4375,0.9786082528989373
DET-CLEAN-WRONG-1,9,0.0325610601684974,0.6902813389897346,0.08916366847641846,0.1786959007945556,0.43333333333333335,0.9200604340705487
DET-CLEAN-WRONG-2,1,0.05602291541558939,0.5863947719335556,0.06520934832988279,0.2858577826059161,0.5416666666666667,0.9423965290368224
DET-CLEAN-WRONG-2,3,0.04577042407123865,0.7777787943681082,0.06486318889713243,0.11432149665827389,-0.019444444444444486,0.9439567869023145
DET-CLEAN-WRONG-2,4,0.04581206319160521,0.7115473449230194,0.07777422549856382,0.19610195394039512,0.7483716475095785,0.9393051048590738
DET-CLEAN-WRONG-2,5,0.05808265374835478,0.538406620422999,0.09645244915315326,0.3278812239089064,0.6186507936507937,0.8992586775029104
DET-CLEAN-WRONG-2,6,0.13486991618679575,0.4882256090641022,0.07764993697358154,0.416241057854894,0.33888888888888885,0.9014465055197775
DET-CLEAN-WRONG-2,7,0.05474080115382853,0.6083804965019226,0.12097627792228088,0.3222480872304058,0.19444444444444442,0.8893862900614512
DET-CLEAN-WRONG-2,8,0.065737125358795,0.7511231650908788,0.06271708161244956,0.1382435817655834,0.41944444444444445,0.9730347392124966
DET-CLEAN-WRONG-2,9,0.03398287125918681,0.6464189191659292,0.09382181270764704,0.22842643314276645,0.39444444444444443,0.9190979920623822
DET-CLEAN-WRONG-3,1,0.0544705933351418,0.5905592143535614,0.08128748498320429,0.29821146664588366,0.5,0.9264878506618073
DET-CLEAN-WRONG-3,2,0.04201227489456982,0.6251554091771444,0.1509559077929662,0.3714664148793167,0.061111111111111116,0.8668574657703393
DET-CLEAN-WRONG-3,4,0.04536301130995812,0.7186372975508372,0.08618198944852233,0.20814838848143302,0.7580051955154499,0.9341046369667074
DET-CLEAN-WRONG-3,5,0.05992382678600397,0.5434081256389618,0.12154689617169401,0.34100812912005635,0.6353174603174603,0.8789360109482565
