method,participant,rrmse_temporal,seed
SCAD_NO_RANK_MATCH,sub-11,1.2561043977588675,20260808
SCAD_POP,sub-11,1.2549679729725338,20260808
SCAD_V_MATCH,sub-11,1.7435659409060866,20260808
SCAD_WRONG,sub-11,1.268204393835428,20260808
STANDARD,sub-11,1.6034603690204676,20260808
DET_MATCH,sub-11,1.2552673538383616,20260810
DET_POP,sub-11,1.2593514102950898,20260810
DET_WRONG,sub-11,1.272479361809221,20260810
RAW,sub-11,1.6034603690204676,20260810
SCAD_MATCH,sub-11,1.2576091010382193,20260810
SCAD_NO_CONTEXT,sub-11,1.2615050664365601,20260810
SCAD_POP,sub-11,1.2541270361948085,20260810
SCAD_WRONG,sub-11,1.2596916046071174,20260810
STANDARD,sub-11,1.6034603690204676,20260810
DET_MATCH,sub-11,1.239244689110718,20260811
DET_POP,sub-11,1.2353549848452936,20260811
DET_WRONG,sub-11,1.2527645221691475,20260811
RAW,sub-11,1.6034603690204676,20260811
SCAD_MATCH,sub-11,1.258450057406056,20260811
SCAD_NO_CONTEXT,sub-11,1.266748340874781,20260811
SCAD_POP,sub-11,1.2721879761827748,20260811
SCAD_WRONG,sub-11,1.2669543222873472,20260811
STANDARD,sub-11,1.6034603690204676,20260811
DET_MATCH,sub-12,1.4499519595928079,20260808
DET_POP,sub-12,1.439135973568126,20260808
DET_WRONG,sub-12,1.4367784429988304,20260808
EEGDFUS_UNIFIED,sub-12,1.4569038613376,20260808
RAW,sub-12,1.9217648508686884,20260808
SCAD_MATCH,sub-12,1.477114421237881,20260808
SCAD_MATCH_DDIM10,sub-12,1.4791099936313306,20260808
SCAD_MATCH_DDIM50,sub-12,1.4786885747194498,20260808
SCAD_NO_CONTEXT,sub-12,1.4648740324385774,20260808
SCAD_NO_RANK_MATCH,sub-12,1.4780472698168725,20260808
SCAD_POP,sub-12,1.4584381916146314,20260808
SCAD_V_MATCH,sub-12,1.8766704960079448,20260808
SCAD_WRONG,sub-12,1.4622265544474229,20260808
STANDARD,sub-12,1.9217648508686884,20260808
DET_MATCH,sub-12,1.4583407859382633,20260810
DET_POP,sub-12,1.4395653577521441,20260810
DET_WRONG,sub-12,1.437951164016138,20260810
RAW,sub-12,1.9217648508686884,20260810
SCAD_MATCH,sub-12,1.4623343712365668,20260810
SCAD_NO_CONTEXT,sub-12,1.4499888233064364,20260810
SCAD_POP,sub-12,1.447157210528126,20260810
SCAD_WRONG,sub-12,1.4512922609380134,20260810
STANDARD,sub-12,1.9217648508686884,20260810
DET_MATCH,sub-12,1.4418029186393444,20260811
DET_POP,sub-12,1.4215073076387246,20260811
DET_WRONG,sub-12,1.4252754589025345,20260811
RAW,sub-12,1.9217648508686884,20260811
SCAD_MATCH,sub-12,1.4632678097890068,20260811
SCAD_NO_CONTEXT,sub-12,1.4513980061229732,20260811
SCAD_POP,sub-12,1.4525056917918846,20260811
SCAD_WRONG,sub-12,1.4475980364238947,20260811
STANDARD,sub-12,1.9217648508686884,20260811
DET_MATCH,sub-14,0.808183571006844,20260808
DET_POP,sub-14,0.8104538929344725,20260808
DET_WRONG,sub-14,0.8150298554844793,20260808
EEGDFUS_UNIFIED,sub-14,0.8550568723019548,20260808
RAW,sub-14,1.1143953979222312,20260808
SCAD_MATCH,sub-14,0.84129418838711,20260808
SCAD_MATCH_DDIM10,sub-14,0.8425864624570951,20260808
SCAD_MATCH_DDIM50,sub-14,0.8438202927613423,20260808
SCAD_NO_CONTEXT,sub-14,0.8495817947599182,20260808
SCAD_NO_RANK_MATCH,sub-14,0.8415790555672074,20260808
SCAD_POP,sub-14,0.8430601092162153,20260808
SCAD_V_MATCH,sub-14,1.3901961610762457,20260808
SCAD_WRONG,sub-14,0.8503431474075316,20260808
STANDARD,sub-14,1.1143953979222312,20260808
DET_MATCH,sub-14,0.8458029340803883,20260810
DET_POP,sub-14,0.8400449250216804,20260810
DET_WRONG,sub-14,0.8485399440299564,20260810
RAW,sub-14,1.1143953979222312,20260810
SCAD_MATCH,sub-14,0.8540300352421278,20260810
SCAD_NO_CONTEXT,sub-14,0.8531093207000393,20260810
SCAD_POP,sub-14,0.8568591634700876,20260810
