fold_id,recording_key,wrong_donors,paired_windows,Q_roles,overlap,H_support_vs_H_generator_distance,H_population_vs_H_generator_distance
study04_layout_04_heldout_00,study04/study04_p03,study04/study04_p08;study04/study04_p24,4,trial_ordinal_mod3_generator_clean_artifact,False,4.406209490022704,3.854609251022339
study04_layout_04_heldout_00,study04/study04_p08,study04/study04_p03;study04/study04_p24,4,trial_ordinal_mod3_generator_clean_artifact,False,11.287444033375943,11.538142204284668
study04_layout_04_heldout_00,study04/study04_p24,study04/study04_p03;study04/study04_p08,4,trial_ordinal_mod3_generator_clean_artifact,False,4.684831618355509,5.005293369293213
study04_layout_04_heldout_01,study04/study04_p28,study04/study04_p29,4,trial_ordinal_mod3_generator_clean_artifact,False,3.5293360495073025,4.013407230377197
study04_layout_04_heldout_01,study04/study04_p29,study04/study04_p28,4,trial_ordinal_mod3_generator_clean_artifact,False,10.332092381504618,10.866033554077148
study04_layout_04_heldout_02,study04/study04_p30,study04/study04_p31,4,trial_ordinal_mod3_generator_clean_artifact,False,5.3263696973468795,3.571805477142334
study04_layout_04_heldout_02,study04/study04_p31,study04/study04_p30,4,trial_ordinal_mod3_generator_clean_artifact,False,7.446139400971212,5.401237964630127
study04_layout_04_heldout_03,study04/study04_p32,study04/study04_p33,4,trial_ordinal_mod3_generator_clean_artifact,False,7.8389465327812236,5.9182305335998535
study04_layout_04_heldout_03,study04/study04_p33,study04/study04_p32,4,trial_ordinal_mod3_generator_clean_artifact,False,9.046941491501432,8.340987205505371
study04_layout_04_heldout_04,study04/study04_p34,study04/study04_p35,4,trial_ordinal_mod3_generator_clean_artifact,False,9.230962793294829,6.495492458343506
study04_layout_04_heldout_04,study04/study04_p35,study04/study04_p34,4,trial_ordinal_mod3_generator_clean_artifact,False,4.091821611961786,3.7044994831085205
study04_layout_04_heldout_05,study04/study04_p36,study04/study04_p37,4,trial_ordinal_mod3_generator_clean_artifact,False,6.627612562017942,6.355207443237305
study04_layout_04_heldout_05,study04/study04_p37,study04/study04_p36,4,trial_ordinal_mod3_generator_clean_artifact,False,3.8870692379097846,3.943031072616577
study04_layout_04_heldout_06,study04/study04_p38,study04/study04_p39,4,trial_ordinal_mod3_generator_clean_artifact,False,8.421947090304604,9.62625503540039
study04_layout_04_heldout_06,study04/study04_p39,study04/study04_p38,4,trial_ordinal_mod3_generator_clean_artifact,False,8.565069768057594,5.816885471343994
study05_layout_05_heldout_00,study05/study05_p06,study05/study05_p10;study05/study05_p24,4,trial_ordinal_mod3_generator_clean_artifact,False,7.993861732533988,6.84544563293457
study05_layout_05_heldout_00,study05/study05_p10,study05/study05_p06;study05/study05_p24,4,trial_ordinal_mod3_generator_clean_artifact,False,19.697439604539262,14.335362434387207
study05_layout_05_heldout_00,study05/study05_p24,study05/study05_p06;study05/study05_p10,4,trial_ordinal_mod3_generator_clean_artifact,False,8.66119263677001,9.113065719604492
study05_layout_05_heldout_01,study05/study05_p40,study05/study05_p41,4,trial_ordinal_mod3_generator_clean_artifact,False,25.149110872940074,36.662559509277344
study05_layout_05_heldout_01,study05/study05_p41,study05/study05_p40,4,trial_ordinal_mod3_generator_clean_artifact,False,18.35452745526064,20.566457748413086
study05_layout_05_heldout_02,study05/study05_p43,study05/study05_p44,4,trial_ordinal_mod3_generator_clean_artifact,False,9.756336601145623,8.217243194580078
study05_layout_05_heldout_02,study05/study05_p44,study05/study05_p43,4,trial_ordinal_mod3_generator_clean_artifact,False,10.282492376713238,10.896968841552734
study05_layout_05_heldout_03,study05/study05_p45,study05/study05_p46,4,trial_ordinal_mod3_generator_clean_artifact,False,6.790824164478209,6.679473400115967
study05_layout_05_heldout_03,study05/study05_p46,study05/study05_p45,4,trial_ordinal_mod3_generator_clean_artifact,False,9.818519706387994,10.94622802734375
study05_layout_05_heldout_04,study05/study05_p47,study05/study05_p48,4,trial_ordinal_mod3_generator_clean_artifact,False,10.247581239273106,12.828641891479492
study05_layout_05_heldout_04,study05/study05_p48,study05/study05_p47,4,trial_ordinal_mod3_generator_clean_artifact,False,40.05897180732282,39.03057861328125
study05_layout_05_heldout_05,study05/study05_p49,study05/study05_p50,4,trial_ordinal_mod3_generator_clean_artifact,False,9.990949985397167,7.985528945922852
study05_layout_05_heldout_05,study05/study05_p50,study05/study05_p49,4,trial_ordinal_mod3_generator_clean_artifact,False,13.211019287788217,10.250561714172363
