task_index,fold_id,study,layout_id,reference,sampling_rate_hz,heldout,training,wrong_donor_policy
10,study03_layout_03_heldout_01,study03,layout_03,release_preprocessed_as_delivered,200.0,"['study03/study03_p20', 'study03/study03_p21']","['study03/study03_p03', 'study03/study03_p19', 'study03/study03_p22', 'study03/study03_p23', 'study03/study03_p24', 'study03/study03_p25', 'study03/study03_p26', 'study03/study03_p27']",other_outer_heldout_same_cell_unseen
11,study03_layout_03_heldout_02,study03,layout_03,release_preprocessed_as_delivered,200.0,"['study03/study03_p22', 'study03/study03_p23']","['study03/study03_p03', 'study03/study03_p19', 'study03/study03_p20', 'study03/study03_p21', 'study03/study03_p24', 'study03/study03_p25', 'study03/study03_p26', 'study03/study03_p27']",other_outer_heldout_same_cell_unseen
12,study03_layout_03_heldout_03,study03,layout_03,release_preprocessed_as_delivered,200.0,"['study03/study03_p24', 'study03/study03_p25']","['study03/study03_p03', 'study03/study03_p19', 'study03/study03_p20', 'study03/study03_p21', 'study03/study03_p22', 'study03/study03_p23', 'study03/study03_p26', 'study03/study03_p27']",other_outer_heldout_same_cell_unseen
13,study03_layout_03_heldout_04,study03,layout_03,release_preprocessed_as_delivered,200.0,"['study03/study03_p26', 'study03/study03_p27']","['study03/study03_p03', 'study03/study03_p19', 'study03/study03_p20', 'study03/study03_p21', 'study03/study03_p22', 'study03/study03_p23', 'study03/study03_p24', 'study03/study03_p25']",other_outer_heldout_same_cell_unseen
14,study04_layout_04_heldout_00,study04,layout_04,release_preprocessed_as_delivered,100.0,"['study04/study04_p03', 'study04/study04_p08', 'study04/study04_p24']","['study04/study04_p28', 'study04/study04_p29', 'study04/study04_p30', 'study04/study04_p31', 'study04/study04_p32', 'study04/study04_p33', 'study04/study04_p34', 'study04/study04_p35', 'study04/study04_p36', 'study04/study04_p37', 'study04/study04_p38', 'study04/study04_p39']",other_outer_heldout_same_cell_unseen
15,study04_layout_04_heldout_01,study04,layout_04,release_preprocessed_as_delivered,100.0,"['study04/study04_p28', 'study04/study04_p29']","['study04/study04_p03', 'study04/study04_p08', 'study04/study04_p24', 'study04/study04_p30', 'study04/study04_p31', 'study04/study04_p32', 'study04/study04_p33', 'study04/study04_p34', 'study04/study04_p35', 'study04/study04_p36', 'study04/study04_p37', 'study04/study04_p38', 'study04/study04_p39']",other_outer_heldout_same_cell_unseen
16,study04_layout_04_heldout_02,study04,layout_04,release_preprocessed_as_delivered,100.0,"['study04/study04_p30', 'study04/study04_p31']","['study04/study04_p03', 'study04/study04_p08', 'study04/study04_p24', 'study04/study04_p28', 'study04/study04_p29', 'study04/study04_p32', 'study04/study04_p33', 'study04/study04_p34', 'study04/study04_p35', 'study04/study04_p36', 'study04/study04_p37', 'study04/study04_p38', 'study04/study04_p39']",other_outer_heldout_same_cell_unseen
17,study04_layout_04_heldout_03,study04,layout_04,release_preprocessed_as_delivered,100.0,"['study04/study04_p32', 'study04/study04_p33']","['study04/study04_p03', 'study04/study04_p08', 'study04/study04_p24', 'study04/study04_p28', 'study04/study04_p29', 'study04/study04_p30', 'study04/study04_p31', 'study04/study04_p34', 'study04/study04_p35', 'study04/study04_p36', 'study04/study04_p37', 'study04/study04_p38', 'study04/study04_p39']",other_outer_heldout_same_cell_unseen
18,study04_layout_04_heldout_04,study04,layout_04,release_preprocessed_as_delivered,100.0,"['study04/study04_p34', 'study04/study04_p35']","['study04/study04_p03', 'study04/study04_p08', 'study04/study04_p24', 'study04/study04_p28', 'study04/study04_p29', 'study04/study04_p30', 'study04/study04_p31', 'study04/study04_p32', 'study04/study04_p33', 'study04/study04_p36', 'study04/study04_p37', 'study04/study04_p38', 'study04/study04_p39']",other_outer_heldout_same_cell_unseen
19,study04_layout_04_heldout_05,study04,layout_04,release_preprocessed_as_delivered,100.0,"['study04/study04_p36', 'study04/study04_p37']","['study04/study04_p03', 'study04/study04_p08', 'study04/study04_p24', 'study04/study04_p28', 'study04/study04_p29', 'study04/study04_p30', 'study04/study04_p31', 'study04/study04_p32', 'study04/study04_p33', 'study04/study04_p34', 'study04/study04_p35', 'study04/study04_p38', 'study04/study04_p39']",other_outer_heldout_same_cell_unseen
20,study04_layout_04_heldout_06,study04,layout_04,release_preprocessed_as_delivered,100.0,"['study04/study04_p38', 'study04/study04_p39']","['study04/study04_p03', 'study04/study04_p08', 'study04/study04_p24', 'study04/study04_p28', 'study04/study04_p29', 'study04/study04_p30', 'study04/study04_p31', 'study04/study04_p32', 'study04/study04_p33', 'study04/study04_p34', 'study04/study04_p35', 'study04/study04_p36', 'study04/study04_p37']",other_outer_heldout_same_cell_unseen
21,study05_layout_05_heldout_00,study05,layout_05,release_preprocessed_as_delivered,256.0,"['study05/study05_p06', 'study05/study05_p10', 'study05/study05_p24']","['study05/study05_p40', 'study05/study05_p41', 'study05/study05_p43', 'study05/study05_p44', 'study05/study05_p45', 'study05/study05_p46', 'study05/study05_p47', 'study05/study05_p48', 'study05/study05_p49', 'study05/study05_p50']",other_outer_heldout_same_cell_unseen
22,study05_layout_05_heldout_01,study05,layout_05,release_preprocessed_as_delivered,256.0,"['study05/study05_p40', 'study05/study05_p41']","['study05/study05_p06', 'study05/study05_p10', 'study05/study05_p24', 'study05/study05_p43', 'study05/study05_p44', 'study05/study05_p45', 'study05/study05_p46', 'study05/study05_p47', 'study05/study05_p48', 'study05/study05_p49', 'study05/study05_p50']",other_outer_heldout_same_cell_unseen
23,study05_layout_05_heldout_02,study05,layout_05,release_preprocessed_as_delivered,256.0,"['study05/study05_p43', 'study05/study05_p44']","['study05/study05_p06', 'study05/study05_p10', 'study05/study05_p24', 'study05/study05_p40', 'study05/study05_p41', 'study05/study05_p45', 'study05/study05_p46', 'study05/study05_p47', 'study05/study05_p48', 'study05/study05_p49', 'study05/study05_p50']",other_outer_heldout_same_cell_unseen
24,study05_layout_05_heldout_03,study05,layout_05,release_preprocessed_as_delivered,256.0,"['study05/study05_p45', 'study05/study05_p46']","['study05/study05_p06', 'study05/study05_p10', 'study05/study05_p24', 'study05/study05_p40', 'study05/study05_p41', 'study05/study05_p43', 'study05/study05_p44', 'study05/study05_p47', 'study05/study05_p48', 'study05/study05_p49', 'study05/study05_p50']",other_outer_heldout_same_cell_unseen
25,study05_layout_05_heldout_04,study05,layout_05,release_preprocessed_as_delivered,256.0,"['study05/study05_p47', 'study05/study05_p48']","['study05/study05_p06', 'study05/study05_p10', 'study05/study05_p24', 'study05/study05_p40', 'study05/study05_p41', 'study05/study05_p43', 'study05/study05_p44', 'study05/study05_p45', 'study05/study05_p46', 'study05/study05_p49', 'study05/study05_p50']",other_outer_heldout_same_cell_unseen
26,study05_layout_05_heldout_05,study05,layout_05,release_preprocessed_as_delivered,256.0,"['study05/study05_p49', 'study05/study05_p50']","['study05/study05_p06', 'study05/study05_p10', 'study05/study05_p24', 'study05/study05_p40', 'study05/study05_p41', 'study05/study05_p43', 'study05/study05_p44', 'study05/study05_p45', 'study05/study05_p46', 'study05/study05_p47', 'study05/study05_p48']",other_outer_heldout_same_cell_unseen
