budget_seconds,fold_id,fold_cluster,study,recording_key,eligible,calibration_samples,status,arm,support_reliability,oracle_lambda,deployable_lambda,composite_distance,normalized_frobenius,frequency_magnitude,frequency_phase,common_eog_response,wrong_donor_count,mean_wrong_composite_distance
60.0,study05_layout_05_heldout_00,21,study05,study05/study05_p06,True,15360,success,EB_DEPLOYABLE,0.43300381459838333,0.56,0.4320189091017567,0.7836821355824106,0.47584019341764827,0.2823597206564499,0.36797658719085075,0.4645247562068757,2,1.1531518205608169
60.0,study05_layout_05_heldout_00,21,study05,study05/study05_p10,True,15360,success,MATCH,0.3186531061317735,0.73,0.9041587005899696,1.0472311986257528,0.7057385619448818,0.3186783340479837,0.6779985455809268,0.6607530100196765,2,1.215033141223337
60.0,study05_layout_05_heldout_00,21,study05,study05/study05_p10,True,15360,success,POP,0.3186531061317735,0.73,0.9041587005899696,1.1950110221439092,0.7479534608946516,0.39757336862698855,0.7071334481891813,0.7267243086980025,2,1.215033141223337
60.0,study05_layout_05_heldout_00,21,study05,study05/study05_p10,True,15360,success,EB_ORACLE,0.3186531061317735,0.73,0.9041587005899696,1.0195200355999767,0.6808768448276715,0.3182198161122067,0.6287563326384412,0.6384245862239258,2,1.215033141223337
60.0,study05_layout_05_heldout_00,21,study05,study05/study05_p10,True,15360,success,EB_DEPLOYABLE,0.3186531061317735,0.73,0.9041587005899696,1.0315561581178199,0.6962577378477337,0.3169609457543993,0.6517403067903612,0.6494211816843843,2,1.215033141223337
60.0,study05_layout_05_heldout_00,21,study05,study05/study05_p24,True,15360,success,MATCH,0.39442086070961785,0.64,0.5755999723428074,1.2781167787321,0.8212523408410647,0.4036322554675366,0.9768156575263618,0.7768029575119273,2,1.8083221584910532
60.0,study05_layout_05_heldout_00,21,study05,study05/study05_p24,True,15360,success,POP,0.39442086070961785,0.64,0.5755999723428074,1.4026561148987384,0.8672044737913952,0.49503289128988354,0.6313765142020437,0.8444855721886504,2,1.8083221584910532
60.0,study05_layout_05_heldout_00,21,study05,study05/study05_p24,True,15360,success,EB_ORACLE,0.39442086070961785,0.64,0.5755999723428074,1.2274870977038197,0.7920540485954825,0.4108233216438521,0.6756748055151947,0.749096295508448,2,1.8083221584910532
60.0,study05_layout_05_heldout_00,21,study05,study05/study05_p24,True,15360,success,EB_DEPLOYABLE,0.39442086070961785,0.64,0.5755999723428074,1.2304490799341183,0.7929486061058448,0.4151050794740176,0.6482174430821948,0.7505222561518813,2,1.8083221584910532
60.0,study05_layout_05_heldout_01,22,study05,study05/study05_p40,True,15360,success,MATCH,0.46401904493048574,1.0,0.9621687624641105,0.9274238442350667,0.5096225939731283,0.2675560962493975,0.5423026105633004,0.6056374869293392,1,1.6641756052175032
