fold,verifier,panel,participant,condition,identity_margin,auroc,rank1,tar_at_far5
2,A-R,wrong_condition_same_subject,3,2,-0.0012014053063467145,0.5526315789473684,0.2631578947368421,0.0
2,A-R,wrong_condition_same_subject,8,1,0.059497054666280746,0.6052631578947368,0.5789473684210527,0.3684210526315789
2,A-R,wrong_condition_same_subject,8,2,0.10516948252916336,0.7437673130193905,0.5789473684210527,0.42105263157894735
2,A-R,wrong_condition_same_subject,13,1,0.08068176358938217,0.7479224376731302,0.5789473684210527,0.0
2,A-R,wrong_condition_same_subject,13,2,0.12878850102424622,0.8670360110803325,0.8947368421052632,0.42105263157894735
2,B-R,physiological,3,1,0.06151055544614792,0.8033240997229917,0.7368421052631579,0.2631578947368421
2,B-R,physiological,3,2,0.07553011178970337,0.6925207756232687,0.21052631578947367,0.5263157894736842
2,B-R,physiological,8,1,-0.023562051355838776,0.3268698060941828,0.21052631578947367,0.05263157894736842
2,B-R,physiological,8,2,0.2180168777704239,0.871191135734072,0.9473684210526315,0.7894736842105263
2,B-R,physiological,13,1,0.06051631271839142,0.7590027700831025,0.5789473684210527,0.15789473684210525
2,B-R,physiological,13,2,0.1131998598575592,0.8434903047091413,0.6842105263157895,0.10526315789473684
2,B-R,artifact_acquisition_only,3,1,0.0757765918970108,1.0,1.0,1.0
2,B-R,artifact_acquisition_only,3,2,0.07936561107635498,0.997229916897507,1.0,1.0
2,B-R,artifact_acquisition_only,8,1,0.027495892718434334,0.7922437673130194,0.631578947368421,0.05263157894736842
2,B-R,artifact_acquisition_only,8,2,0.026516763493418694,0.7437673130193906,0.47368421052631576,0.10526315789473684
2,B-R,artifact_acquisition_only,13,1,0.005529637448489666,0.5969529085872576,0.47368421052631576,0.05263157894736842
2,B-R,artifact_acquisition_only,13,2,-0.003817358985543251,0.46952908587257614,0.2631578947368421,0.05263157894736842
2,B-R,rereference,3,1,-0.0002874300698749721,0.520775623268698,0.42105263157894735,0.0
2,B-R,rereference,3,2,0.03900054097175598,0.6523545706371191,0.2631578947368421,0.0
2,B-R,rereference,8,1,-0.00693794758990407,0.40581717451523547,0.2631578947368421,0.15789473684210525
2,B-R,rereference,8,2,0.0947161540389061,0.7991689750692521,0.7894736842105263,0.5789473684210527
2,B-R,rereference,13,1,0.010517392307519913,0.5678670360110804,0.2631578947368421,0.05263157894736842
2,B-R,rereference,13,2,0.038298118859529495,0.7008310249307479,0.5789473684210527,0.05263157894736842
2,B-R,dropout10,3,1,0.005659180227667093,0.5609418282548476,0.47368421052631576,0.0
2,B-R,dropout10,3,2,0.03582301363348961,0.6426592797783933,0.15789473684210525,0.0
2,B-R,dropout10,8,1,-0.007387252990156412,0.3850415512465374,0.2631578947368421,0.10526315789473684
2,B-R,dropout10,8,2,0.09727668017148972,0.7963988919667591,0.7894736842105263,0.5263157894736842
2,B-R,dropout10,13,1,0.01018444448709488,0.5581717451523546,0.3157894736842105,0.0
2,B-R,dropout10,13,2,0.049329210072755814,0.7368421052631579,0.5789473684210527,0.0
2,B-R,dropout20,3,1,0.006416803225874901,0.5637119113573408,0.42105263157894735,0.15789473684210525
2,B-R,dropout20,3,2,0.032569196075201035,0.6440443213296398,0.15789473684210525,0.0
2,B-R,dropout20,8,1,-0.003737818216904998,0.4307479224376731,0.42105263157894735,0.15789473684210525
2,B-R,dropout20,8,2,0.08426374197006226,0.7867036011080333,0.7894736842105263,0.631578947368421
2,B-R,dropout20,13,1,-0.0005953339277766645,0.48614958448753465,0.10526315789473684,0.0
2,B-R,dropout20,13,2,0.050665613263845444,0.7423822714681441,0.631578947368421,0.05263157894736842
2,B-R,gain_normalized,3,1,0.06266076862812042,0.8379501385041551,0.7894736842105263,0.631578947368421
2,B-R,gain_normalized,3,2,0.06343729794025421,0.6925207756232687,0.2631578947368421,0.0
2,B-R,gain_normalized,8,1,-0.01911621354520321,0.35318559556786705,0.2631578947368421,0.10526315789473684
2,B-R,gain_normalized,8,2,0.2098049819469452,0.9085872576177285,1.0,0.631578947368421
2,B-R,gain_normalized,13,1,0.05636186525225639,0.7673130193905817,0.631578947368421,0.10526315789473684
2,B-R,gain_normalized,13,2,0.08898422867059708,0.8199445983379501,0.631578947368421,0.2631578947368421
2,B-R,statistics_only,3,1,0.05191168934106827,0.9155124653739612,0.631578947368421,0.5263157894736842
2,B-R,statistics_only,3,2,0.05308889225125313,0.961218836565097,0.8947368421052632,0.8947368421052632
2,B-R,statistics_only,8,1,0.04390062391757965,0.7880886426592797,1.0,0.2631578947368421
2,B-R,statistics_only,8,2,0.04250522330403328,0.8047091412742382,1.0,0.21052631578947367
2,B-R,statistics_only,13,1,0.09973493218421936,1.0,1.0,1.0
2,B-R,statistics_only,13,2,0.09612296521663666,1.0,1.0,1.0
2,B-R,wrong_condition_same_subject,3,1,0.06610073149204254,0.7423822714681441,0.5789473684210527,0.05263157894736842
2,B-R,wrong_condition_same_subject,3,2,0.01956859789788723,0.5747922437673131,0.5263157894736842,0.21052631578947367
2,B-R,wrong_condition_same_subject,8,1,0.02299429103732109,0.4889196675900277,0.42105263157894735,0.2631578947368421
2,B-R,wrong_condition_same_subject,8,2,0.08687082678079605,0.8864265927977839,1.0,0.5263157894736842
2,B-R,wrong_condition_same_subject,13,1,0.06096179783344269,0.7257617728531855,0.6842105263157895,0.05263157894736842
2,B-R,wrong_condition_same_subject,13,2,0.018984822556376457,0.595567867036011,0.2631578947368421,0.05263157894736842
