common_random_numbers,erp_amplitude_relative_preservation,erp_latency_relative_preservation,fold,method,motion_coherence_reduction,nonartifact_observation_preservation,observation_change_ratio,output_input_RMS_ratio,participant,posterior_samples,posterior_sd_rms,protocol,query_imu_event_used_for_inference,query_session,reference_free_covariance_distortion,reference_free_psd_distortion,seed,ssvep_phase_relative_preservation,ssvep_snr_relative_preservation,status,support_seconds,task
True,nan,nan,0,DIFF-WRONG-2,0.053682148456573486,0.9655546173453331,0.028405064716935158,0.9946951866149902,sub-17,8,nan,S1_MOTION_WITHIN_SESSION,False,ses-04,0.015522757425206687,0.025544773787260056,20260811,0.9949431580827978,0.9743825125711536,success,60,SSVEP
False,nan,nan,0,DET-WRONG-3,0.02772676944732666,0.9830012395977974,0.017912009730935097,0.9985398650169373,sub-17,0,nan,S1_MOTION_WITHIN_SESSION,False,ses-04,0.002875039847032516,0.0058715203776955605,20260811,0.9644075348838077,0.9660465834282295,success,60,SSVEP
True,nan,nan,0,DIFF-WRONG-3,0.05190901458263397,0.9663858599960804,0.02768721617758274,0.995037853717804,sub-17,8,nan,S1_MOTION_WITHIN_SESSION,False,ses-04,0.014911375610053896,0.02381116710603237,20260811,0.9954513932031609,0.9653735200614745,success,60,SSVEP
False,nan,nan,0,DET-SHUFFLED,-0.003050282597541809,0.986887626349926,0.012988290749490261,0.9996628165245056,sub-17,0,nan,S1_MOTION_WITHIN_SESSION,False,ses-04,0.002897547422752719,0.0021493867971003056,20260811,0.8980685743401912,0.845051894334312,success,60,SSVEP
True,nan,nan,0,DIFF-SHUFFLED,0.008726164698600769,0.9115522429347038,0.08909531682729721,1.0016318559646606,sub-17,8,nan,S1_MOTION_WITHIN_SESSION,False,ses-04,0.012626553067889717,0.008326106704771519,20260811,0.986201490855135,0.6531357358732097,success,60,SSVEP
False,nan,nan,0,RAW,0.0,1.0,0.0,1.0,sub-17,0,nan,S2_MOTION_XSPEED,False,ses-04,0.0,0.0,20260811,1.0,1.0,success,60,SSVEP
False,nan,nan,0,POP,0.20633940771222115,0.8878818899393082,0.11978957056999207,0.973913311958313,sub-17,0,nan,S2_MOTION_XSPEED,False,ses-04,0.09460129715321317,0.1274137645959854,20260811,0.9950402925880213,0.9558063885105424,success,60,SSVEP
False,nan,nan,0,DET-NULL,0.028975367546081543,0.9893785109743476,0.016831543296575546,0.9983887076377869,sub-17,0,nan,S2_MOTION_XSPEED,False,ses-04,0.0030105138038564886,0.0053896415047347546,20260811,0.9989504273692018,0.9020308311541076,success,60,SSVEP
False,nan,nan,0,DET-MATCH,0.040328338742256165,0.9893711442127824,0.016846943646669388,0.9984256029129028,sub-17,0,nan,S2_MOTION_XSPEED,False,ses-04,0.0029129407278520748,0.005271757021546364,20260811,0.9869392185572383,0.9359348250276164,success,60,SSVEP
True,nan,nan,0,DIFF-NULL,0.06816264986991882,0.9681771360337734,0.03254534304141998,0.9945420622825623,sub-17,8,6.785595413490578,S2_MOTION_XSPEED,False,ses-04,0.01516914623450264,0.01903735287487507,20260811,0.9881886873443464,0.9989701431303646,success,60,SSVEP
True,nan,nan,0,DIFF-POP,0.06816264986991882,0.9681771360337734,0.03254534304141998,0.9945420622825623,sub-17,8,6.785595413490578,S2_MOTION_XSPEED,False,ses-04,0.01516914623450264,0.01903735287487507,20260811,0.9881886873443464,0.9989701431303646,success,60,SSVEP
True,nan,nan,0,DIFF-MATCH,0.07268603146076202,0.9704414308071136,0.030126281082630157,0.9945700764656067,sub-17,8,5.734696935724329,S2_MOTION_XSPEED,False,ses-04,0.015340905002620685,0.0189896821975708,20260811,0.9834053773188136,0.9908867479244834,success,60,SSVEP
