artifact_reconstruction_relative_error,clean_waveform_RRMSE,clean_waveform_correlation,dataset,delta_SNR_db,exact_cell,method,observation_change_ratio,output_input_RMS_ratio,selected_alpha,statistical_unit,status,training_seed,unit_id
0.2220412838944068,0.3955806129589056,0.9284069793715304,klados,13.07132540282189,19ch_native_linked_mastoid_256hz,R2_FIR_residual|RHO-ONLY-POP-BASIS,0.8408616467091371,0.5190768092809617,1.0,source_record,success,20260811,sim48
2.6426507627574187,4.708049738466822,0.21718163984045893,klados,-8.440795462188383,19ch_native_linked_mastoid_256hz,R2_FIR_residual|CONSTANT-RHO-0.5,2.537316090843275,2.356212960655943,1.0,source_record,success,20260811,sim48
5.281277296286527,9.40893005763962,0.11661005650141554,klados,-14.45477941901989,19ch_native_linked_mastoid_256hz,R2_FIR_residual|DIFF-MATCH-K8|deployment,4.771778087990302,4.629795550348915,1.0,source_record,success,20260811,sim48
4.520583332408096,8.053705573132172,0.13660390596251124,klados,-13.103889588705432,19ch_native_linked_mastoid_256hz,R2_FIR_residual|DIFF-MATCH-K1|deployment,4.126250435964516,3.972395719790649,1.0,source_record,success,20260811,sim48
5.281277296286527,9.40893005763962,0.11661005650141554,klados,-14.45477941901989,19ch_native_linked_mastoid_256hz,R2_FIR_residual|DIFF-MATCH-K8|mechanism_g1,4.771778087990302,4.629795550348915,1.0,source_record,success,20260811,sim48
5.371805940486126,9.570212572020353,0.1024608989543848,klados,-14.602406302947958,19ch_native_linked_mastoid_256hz,R2_FIR_residual|DIFF-WRONG-1|deployment,4.666496303074828,4.703136564351969,1.0,source_record,success,20260811,sim48
5.371805940486126,9.570212572020353,0.1024608989543848,klados,-14.602406302947958,19ch_native_linked_mastoid_256hz,R2_FIR_residual|DIFF-WRONG-1|mechanism_g1,4.666496303074828,4.703136564351969,1.0,source_record,success,20260811,sim48
4.398854767706767,7.836838423948963,0.1384509684688122,klados,-12.866792471522935,19ch_native_linked_mastoid_256hz,R2_FIR_residual|DIFF-WRONG-2|deployment,4.153263724617545,3.867785196067107,1.0,source_record,success,20260811,sim48
4.398854767706767,7.836838423948963,0.1384509684688122,klados,-12.866792471522935,19ch_native_linked_mastoid_256hz,R2_FIR_residual|DIFF-WRONG-2|mechanism_g1,4.153263724617545,3.867785196067107,1.0,source_record,success,20260811,sim48
10.378337364958002,18.48966545463132,0.07386073760317076,klados,-20.32255568092312,19ch_native_linked_mastoid_256hz,R2_FIR_residual|DIFF-WRONG-3|deployment,8.953399859505545,9.060823630283208,1.0,source_record,success,20260811,sim48
10.378337364958002,18.48966545463132,0.07386073760317076,klados,-20.32255568092312,19ch_native_linked_mastoid_256hz,R2_FIR_residual|DIFF-WRONG-3|mechanism_g1,8.953399859505545,9.060823630283208,1.0,source_record,success,20260811,sim48
0.2220412838944068,0.3955806129589056,0.9284069793715304,klados,13.07132540282189,19ch_native_linked_mastoid_256hz,R2_FIR_residual|DIFF-MATCH|gamma=0,0.8408616467091371,0.5190768092809617,1.0,source_record,success,20260811,sim48
1.330302384868298,2.3700179696184476,0.39476030565153797,klados,-2.4790073930747663,19ch_native_linked_mastoid_256hz,R2_FIR_residual|DIFF-MATCH|gamma=0.25,1.4991296019699019,1.259154105635785,1.0,source_record,success,20260811,sim48
2.6426507627574187,4.708049738466822,0.21718163984045893,klados,-8.440795462188383,19ch_native_linked_mastoid_256hz,R2_FIR_residual|DIFF-MATCH|gamma=0.5,2.537316090843275,2.356212960655943,1.0,source_record,success,20260811,sim48
3.9611864579552076,7.057104605050021,0.1507526129919618,klados,-11.956505713297494,19ch_native_linked_mastoid_256hz,R2_FIR_residual|DIFF-MATCH|gamma=0.75,3.6440085659369577,3.488302176139174,1.0,source_record,success,20260811,sim48
5.281277296286527,9.40893005763962,0.11661005650141554,klados,-14.45477941901989,19ch_native_linked_mastoid_256hz,R2_FIR_residual|DIFF-MATCH|gamma=1,4.771778087990302,4.629795550348915,1.0,source_record,success,20260811,sim48
