participant,family,H_P,H_W,match_rrmse,pop_rrmse,mean_wrong_rrmse
13,facial_emg,0.13607896338490866,0.14989030847619822,1.061225126771366,1.1973040901562746,1.2111154352475642
13,head_motion,0.03627843015334187,0.08244498711284565,1.0560092855902279,1.0922877157435698,1.1384542727030735
13,swallowing,0.1135450417504591,0.13479876698253013,1.0627562587752062,1.1763013005256653,1.1975550257577363
13,tongue,0.1474577144664877,0.20248444319940084,1.0809065208715551,1.2283642353380428,1.283390964070956
14,chewing,-0.07068683403842857,-0.03490674825048834,1.07811073199758,1.0074238979591514,1.0432039837470917
14,facial_emg,-0.12334831593171613,-0.06070833980555168,1.0904603341840349,0.9671120182523187,1.0297519943784832
14,head_motion,-0.0764066025895892,0.0011017417329342027,1.0516525911835004,0.9752459885939112,1.0527543329164346
14,swallowing,-0.09797020903173481,-0.0532385893266476,1.0895749949059397,0.9916047858742049,1.036336405579292
14,tongue,-0.1634092409655732,-0.04566469491331415,1.0582988970684555,0.8948896561028823,1.0126342021551413
16,chewing,0.015326529741287231,0.04213488882496241,1.0449653789401054,1.0602919086813927,1.0871002677650679
16,facial_emg,-0.014593109488487244,0.03637194885384476,1.045072503387928,1.0304793938994408,1.0814444522417728
16,head_motion,-0.004813125729560941,0.037128381058573634,1.0405596420168877,1.0357465162873267,1.0776880230754613
16,swallowing,-0.0012465074658394304,0.045464955731516765,1.0396174594759942,1.0383709520101547,1.085082415207511
16,tongue,-0.011110901832580566,0.041481584629842416,1.0360075578093528,1.0248966559767723,1.0774891424391952
18,chewing,0.07587756904271914,0.07038910387153097,1.055701589355102,1.1315791583978212,1.126090693226633
18,facial_emg,0.06429195633301354,0.06178881611025866,1.0532798824402003,1.1175718387732139,1.115068698550459
18,head_motion,0.07953081337305212,0.08141880799991386,1.0330568930277457,1.1125877064007978,1.1144757010276596
18,swallowing,0.0703857002349999,0.05939571659433018,1.058571158693387,1.128956858928387,1.1179668752877172
18,tongue,0.03171149927836181,0.042034935272454055,1.064882910022369,1.0965944093007307,1.106917845294823
20,chewing,0.006092109850474925,0.0234593280724118,1.0456712182079042,1.0517633280583791,1.069130546280316
20,facial_emg,-0.02409233791487564,0.02074433437415535,1.038726887532643,1.0146345496177673,1.0594712219067983
20,head_motion,-0.002428878630910569,0.02757475887026084,1.0286865447248732,1.0262576660939626,1.056261303595134
20,swallowing,0.016506997602326434,0.051551895695073346,1.0259287719215666,1.042435769523893,1.07748066761664
20,tongue,-0.011237614921161043,0.0387968220881052,1.0174035727977753,1.0061659578766142,1.0562003948858805
21,chewing,-0.01607555086198076,-0.0022656885387331016,1.0828160734280297,1.066740522566049,1.0805503848892966
21,facial_emg,-0.046358348882716616,-0.012019489683581241,1.077772481933884,1.0314141330511675,1.0657529922503028
21,head_motion,-0.048932702645011705,0.0127458910048861,1.08041510698588,1.0314824043408684,1.0931609979907662
21,swallowing,-0.041689577957858104,-0.001383494562613885,1.0704737040011778,1.0287841260433197,1.069090209438564
21,tongue,-0.08732565200847131,-0.012389547496364894,1.0662929862737656,0.9789673342652943,1.0539034387774007
22,chewing,-0.0248042127442738,0.003485070236290966,1.0303457417185344,1.0055415289742606,1.0338308119548254
22,facial_emg,-0.07188693303910498,-0.010328480306562415,1.0231115127366686,0.9512245796975636,1.0127830324301061
22,head_motion,-0.04889818411024782,0.028916538798765323,1.0038598719097318,0.954961687799484,1.0327764107084971
22,swallowing,-0.043265470436641196,-0.007725171506477668,1.0317517064866566,0.9884862360500154,1.024026534980179
22,tongue,-0.06914065659992275,0.017286297555226038,0.9903369754079788,0.9211963188080561,1.0076232729632049
23,chewing,0.04909050650894642,0.05950700538471709,1.0651862602680922,1.1142767667770386,1.1246932656528092
23,facial_emg,0.0572301410138607,0.08215420238960247,1.0617290576919913,1.118959198705852,1.1438832600815938
23,head_motion,0.021957666613161564,0.054268117363636126,1.0553962038829923,1.0773538704961538,1.1096643212466284
23,swallowing,0.07524398807436228,0.08226763581713792,1.0579284466803074,1.1331724347546697,1.1401960824974453
23,tongue,0.0671079596504569,0.10736488856088666,1.0377140790224075,1.1048220386728644,1.1450789675832942
26,chewing,-0.014532130743776017,0.007490503240604962,1.0625357212764877,1.0480035905327116,1.0700262245170926
26,facial_emg,-0.04984179458447868,0.008060994729095494,1.0614579319953918,1.0116161374109132,1.0695189267244873
26,head_motion,-0.012748163725648798,0.04076735181163782,1.036669293684619,1.02392112995897,1.0774366454962567
26,swallowing,-0.03012833212103172,0.012016355231099896,1.058575603578772,1.0284472714577402,1.0705919588098718
26,tongue,-0.047155429209981725,0.012061406839258826,1.042477975998606,0.9953225467886243,1.0545393828378649
27,chewing,0.06289226029600425,0.03667397619712931,1.0938120314053126,1.1567042917013168,1.130486007602442
27,facial_emg,0.0862940422126226,0.07290495009649378,1.094523502247674,1.1808175444602966,1.1674284523441678
27,head_motion,-0.036064162850379944,8.382878842794206e-05,1.123178875872067,1.0871147130216872,1.123262704660495
27,swallowing,0.09406913604055123,0.0814271771482058,1.0836389809846878,1.177708117025239,1.1650661581328936
27,tongue,0.08489881455898285,0.09375174609678139,1.0858677348920278,1.1707665494510107,1.1796194809888092
29,chewing,-0.04764597490429878,-0.01961223579322291,1.1231235768646002,1.0754776019603014,1.1035113410713773
29,facial_emg,-0.02286878414452076,-0.008114573700974459,1.1490975860506296,1.1262288019061089,1.1409830123496552
29,head_motion,-0.08932351693511009,-0.010174754541367292,1.0921768303960562,1.002853313460946,1.0820020758546889
29,swallowing,-0.0020096804946660995,-0.012952352097878927,1.1525529250502586,1.1505432445555925,1.1396005729523797
29,tongue,-0.12061670981347561,-0.013658623211085796,1.1424774155020714,1.0218607056885958,1.1288187922909856
30,chewing,0.028675809502601624,0.04420168570473648,1.0170006967253156,1.0456765062279172,1.061202382430052
30,facial_emg,0.0056663685374791495,0.05103144317101238,1.0045544819699392,1.0102208505074184,1.0555859251409516
30,head_motion,-0.04419323967562783,0.02786256971522283,1.010009616613388,0.9658163769377602,1.037872186328611
30,swallowing,0.02100278106000686,0.0474689669079249,1.0117445074849658,1.0327472885449727,1.0592134743928907
30,tongue,-0.042482299937142254,0.03729428338189411,1.0183161430888705,0.9758338431517283,1.0556104264707646
