aggregate_across_seeds,artifact_attenuation,artifact_normalized_parallel_error,calibration_duration_axis_complete,calibration_id,calibration_seconds,clean_interval_preservation,correlation,d_perp_y,delta_snr_db,e_parallel,e_perp,failure_reason,fallback_method_id,fallback_used,function_evaluations,latency_seconds,method_id,network_calls_total,operator_source,overlap_fraction,p0_bootstrap_median_distance,p0_bootstrap_q90_distance,p0_bootstrap_success_rate,p0_eligible,p0_movement_coverage,p0_rank,p0_reference_condition,p0_reference_rank,p0_ridge_lambda,p0_singular_ratio,p0_singular_values,partition,peak_memory_mb,projector_distance,projector_max_angle_degrees,projector_overlap_fraction,psd_distortion,query_clean_target_used_by_method,records_are_participants,rrmse,sampler_candidate,seed,source_record,status,time_rrmse,trust_radius
False,,1.9003415792011964,False,sim51,10.0,-0.6807516282786599,0.5747334466579697,0.07753977593991443,-5.579895080355999,5.250678625253741,0.07753977601612487,,,False,100,5.038475048990222,matching_p0__M2__trust_0p1,200,matching_p0,0.22496757183686023,0.0796079313219579,0.19298330496325855,1.0,True,0.28984375,2,2.5974170531504854,2,0.01,0.4252832349347827,"[6.390827846028681, 2.717911940270367]",untouched,1332.59375,0.028221478417760393,2.058022137864546,0.9992035481559162,3.564386176397972,False,False,2.49137143788175,M2,20260803,51,success,2.49137143788175,0.1
False,,2.220285010862197,False,sim51,10.0,-0.9901386130563576,0.5275147196419157,0.08929166757905219,-6.931343105968115,6.134688192954142,0.089291667261374,,,False,100,5.420844678010326,matching_p0__M2__trust_0p1,200,matching_p0,0.22496757183686023,0.0796079313219579,0.19298330496325855,1.0,True,0.28984375,2,2.5974170531504854,2,0.01,0.4252832349347827,"[6.390827846028681, 2.717911940270367]",untouched,1332.59375,0.028221478417760393,2.058022137864546,0.9992035481559162,3.105904011901746,False,False,2.910790055313736,M2,20260804,51,success,2.910790055313736,0.1
False,,1.8634745943187727,False,sim51,10.0,-0.6839597060535583,0.5631498790360534,0.07438554995317384,-5.409591221201944,5.148814470083772,0.0743855499545431,,,False,100,5.478334704996087,matching_p0__M2__trust_0p1,200,matching_p0,0.22496757183686023,0.0796079313219579,0.19298330496325855,1.0,True,0.28984375,2,2.5974170531504854,2,0.01,0.4252832349347827,"[6.390827846028681, 2.717911940270367]",untouched,1332.59375,0.028221478417760393,2.058022137864546,0.9992035481559162,3.617843899173026,False,False,2.4429989946464,M2,20260805,51,success,2.4429989946464,0.1
True,,0.9530216074573005,False,sim51,10.0,-0.0621813406676508,0.7710302913479967,0.04836442664932936,0.41290063537142385,2.6332161746334215,0.048364426539838884,,,False,500,26.969090333004715,matching_p0__M2__trust_0p1,1000,matching_p0,0.22496757183686023,0.0796079313219579,0.19298330496325855,1.0,True,0.28984375,2,2.5974170531504854,2,0.01,0.4252832349347827,"[6.390827846028681, 2.717911940270367]",untouched,1332.59375,0.028221478417760393,2.058022137864546,0.9992035481559162,0.7685405540185112,False,False,1.249679643290714,M2,-1,51,success,1.249679643290714,0.1
False,,1.71554930098771,False,all_training_source_records_sim01_sim30,10.0,-0.5862264729616873,0.6137206014716702,0.05549920885147331,-4.690114666148105,4.740094172465337,0.05549920883023826,,,False,100,6.33319439299521,population_projector__M2__trust_0p1,200,population_projector,0.22496757183686023,,,,,,2,,,,,,untouched,1332.59375,0.025188247751820273,1.8728087973503837,0.9993655521751929,2.9699415600191674,False,False,2.2487928951971603,M2,20260801,51,success,2.2487928951971603,0.1
False,,1.7524547404603616,False,all_training_source_records_sim01_sim30,10.0,-0.583133333081699,0.6203348176591484,0.053941093120560245,-4.87479260307223,4.8420645783731535,0.05394109329342417,,,False,100,6.322211910999613,population_projector__M2__trust_0p1,200,population_projector,0.22496757183686023,,,,,,2,,,,,,untouched,1332.59375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.4861329622160415,False,False,2.2971182773010357,M2,20260802,51,success,2.2971182773010357,0.1
False,,1.8912524806861923,False,all_training_source_records_sim01_sim30,10.0,-0.6735700050066118,0.6049726916812649,0.054413223890621566,-5.536612193702788,5.225565279412191,0.05441322389048259,,,False,100,6.313072035991354,population_projector__M2__trust_0p1,200,population_projector,0.22496757183686023,,,,,,2,,,,,,untouched,1332.59375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.5246339042440695,False,False,2.4789874998901253,M2,20260803,51,success,2.4789874998901253,0.1
False,,2.1995157633409503,False,all_training_source_records_sim01_sim30,10.0,-0.9742035368749,0.5577698863932845,0.06209540383832695,-6.848103296731604,6.077302381257987,0.06209540374883119,,,False,100,6.321195969998371,population_projector__M2__trust_0p1,200,population_projector,0.22496757183686023,,,,,,2,,,,,,untouched,1332.59375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.065799814740696,False,False,2.8830282107410063,M2,20260804,51,success,2.8830282107410063,0.1
False,,1.8601768159650045,False,all_training_source_records_sim01_sim30,10.0,-0.6812366250026454,0.5930136793004281,0.054863775043251406,-5.392789036026445,5.139702648029005,0.054863774945668235,,,False,100,5.382594538008561,population_projector__M2__trust_0p1,200,population_projector,0.22496757183686023,,,,,,2,,,,,,untouched,1332.59375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.618541629591546,False,False,2.4382777689621427,M2,20260805,51,success,2.4382777689621427,0.1
True,,0.9494263745277545,False,all_training_source_records_sim01_sim30,10.0,-0.06041689657634963,0.790040218455017,0.038607180022761506,0.44753473193902205,2.623282480132083,0.038607179995169674,,,False,500,30.67226884799311,population_projector__M2__trust_0p1,1000,population_projector,0.22496757183686023,,,,,,2,,,,,,untouched,1332.59375,0.025188247751820273,1.8728087973503837,0.9993655521751929,0.7548670360391917,False,False,1.2447065948761875,M2,-1,51,success,1.2447065948761875,0.1
