fold,participant,query_index,family,context,donor,selected_codes,observable_only
4,2,3,tongue,WRONG,27,p27:03;p27:00;p27:05;p27:10;p27:07;p27:15;p27:04;p27:01,1
4,2,3,tongue,POP,,p18:02;p29:00;p30:05;p26:01;p13:06;p21:10;p29:07;p22:08,1
4,2,3,tongue,MATCH,2,p02:06;p02:07;p02:01;p02:03;p02:00;p02:09;p02:08;p02:11,1
4,2,3,swallowing,WRONG,6,p06:02;p06:13;p06:03;p06:10;p06:14;p06:08;p06:11;p06:01,1
4,2,3,swallowing,WRONG,23,p23:01;p23:00;p23:04;p23:09;p23:07;p23:12;p23:11;p23:03,1
4,2,3,swallowing,WRONG,27,p27:08;p27:05;p27:13;p27:04;p27:01;p27:10;p27:15;p27:07,1
4,2,3,swallowing,POP,,p01:06;p13:00;p21:10;p13:01;p30:05;p21:15;p22:08;p29:07,1
4,2,3,swallowing,MATCH,2,p02:10;p02:07;p02:01;p02:03;p02:00;p02:09;p02:08;p02:11,1
4,2,3,facial_emg,WRONG,6,p06:05;p06:13;p06:03;p06:08;p06:10;p06:11;p06:14;p06:01,1
4,2,3,facial_emg,WRONG,23,p23:08;p23:01;p23:09;p23:04;p23:07;p23:12;p23:11;p23:03,1
4,2,3,facial_emg,WRONG,27,p27:05;p27:08;p27:13;p27:10;p27:15;p27:07;p27:01;p27:04,1
4,2,3,facial_emg,POP,,p30:05;p13:06;p21:10;p29:00;p13:01;p21:15;p22:08;p29:07,1
4,2,3,facial_emg,MATCH,2,p02:05;p02:07;p02:01;p02:03;p02:00;p02:09;p02:08;p02:11,1
4,2,4,head_motion,WRONG,6,p06:11;p06:14;p06:15;p06:02;p06:03;p06:08;p06:13;p06:09,1
4,2,4,head_motion,WRONG,23,p23:09;p23:00;p23:08;p23:15;p23:11;p23:14;p23:03;p23:04,1
4,2,4,head_motion,WRONG,27,,1
4,2,4,head_motion,POP,,p18:01;p21:11;p08:04;p08:07;p20:08;p01:08;p18:03;p13:11,1
4,2,4,head_motion,MATCH,2,p02:01;p02:06;p02:13;p02:00;p02:04;p02:15;p02:05;p02:12,1
4,2,4,chewing,WRONG,6,p06:13;p06:12;p06:10;p06:00;p06:02;p06:08;p06:15;p06:09,1
4,2,4,chewing,WRONG,23,p23:09;p23:11;p23:00;p23:14;p23:15;p23:08;p23:03;p23:04,1
4,2,4,chewing,WRONG,27,,1
4,2,4,chewing,POP,,p21:11;p18:01;p20:08;p08:04;p26:00;p01:08;p08:07;p13:11,1
4,2,4,chewing,MATCH,2,p02:06;p02:14;p02:04;p02:15;p02:00;p02:13;p02:05;p02:12,1
4,2,4,tongue,WRONG,6,p06:12;p06:11;p06:02;p06:13;p06:08;p06:14;p06:03;p06:09,1
4,2,4,tongue,WRONG,23,p23:02;p23:08;p23:13;p23:11;p23:15;p23:14;p23:03;p23:04,1
4,2,4,tongue,WRONG,27,,1
4,2,4,tongue,POP,,p08:04;p08:12;p26:00;p08:07;p13:00;p01:08;p13:04;p13:11,1
