digest,fold,participant,query_start,session,support_owner,support_start_max,support_start_min,task,window_samples,windows,wrong_owner
9432f4fa39a9a3c1431dc97f00f78abe46a7cdbcb399f26f8edc6ce9c6644c8f,0,sub-05,30000,ses-03,sub-05,11265,149,SSVEP,200,16,sub-17
875e2b8f6eda0c4da724f63feafe174f2c95ac1da48f11a6600cf1961aca32c1,0,sub-05,30000,ses-04,sub-05,10334,891,ERP,200,16,sub-23
1d1a5417070736ebe3373c3431c31c7f0328be3766084251299a5e7c52f30af9,0,sub-02,30000,ses-02,sub-02,10599,1210,ERP,200,16,sub-23
ed3427a7e5434bbcc50c3020d376eb4433eff0d08407f31e01a3f82f34cbe1a2,0,sub-02,30000,ses-02,sub-02,10721,86,SSVEP,200,16,sub-21
8a57b6675f45c3df2067424096a04d0fe3eebbbf8993826f12ce9939a5710663,0,sub-03,30000,ses-02,sub-03,11765,586,SSVEP,200,16,sub-17
a5e86515d022045e127bd07ccca0b2f8e3b4defd927ee782b6f93ea3aff3110e,1,sub-07,30000,ses-02,sub-07,10001,1045,ERP,200,16,sub-18
68731a9b16c964ae74a5f443521aad5888212a70614cb5d2aa5d9e10be03edb2,1,sub-09,30000,ses-02,sub-09,10623,283,SSVEP,200,16,sub-19
acc9bc615c307cf4747e7619c698c63d51c0b5b2340414c7838a2defcc7ffe2f,1,sub-06,30000,ses-02,sub-06,11610,1962,ERP,200,16,sub-09
3c272c7a9ddad894ba63976f481591951d5eb8031bb5482b0ab4280e94abf475,1,sub-09,30000,ses-02,sub-09,11726,367,ERP,200,16,sub-05
64992686c94e9fed1274aacc5cf0ab6126d6def76066bd4a08cd3d332c9bfdde,1,sub-07,30000,ses-04,sub-07,10914,324,ERP,200,16,sub-19
0850eb33eb661f21e14850b12906f21c81d670afc90c41fed2e8266a5566f3ad,1,sub-07,30000,ses-02,sub-07,11470,754,ERP,200,16,sub-24
74cb21dbe0cf0d00dc530ab764f00a99359daa63ebf9c7b7834af0698671e10b,1,sub-07,30000,ses-02,sub-07,11596,481,SSVEP,200,16,sub-21
da010d6180f5131773336dd9589735fad1ed9d90a12b5caf8f79e5720ed7d2fa,1,sub-06,30000,ses-03,sub-06,11697,321,ERP,200,16,sub-18
7a4357d1d54bbed56ae8a5caad7d504441593fca842eea0d7bd2b2167b1133c9,1,sub-07,30000,ses-03,sub-07,9520,889,ERP,200,16,sub-06
632e4706ae6e8e7473779b7925cebf1bbc11f642955ca9707d16093c5ac2bca3,1,sub-07,30000,ses-02,sub-07,10930,742,ERP,200,16,sub-09
d110b1dc942ff3e57904d0658472213aff5de5ae5266733e835f0ab94e17d8cb,1,sub-09,30000,ses-04,sub-09,10065,439,ERP,200,16,sub-18
1d8fe8ed5e3eb9e8c5c2632fc687cef056ecab1314bcda0d1f307a106639cd4d,1,sub-09,30000,ses-04,sub-09,11627,768,ERP,200,16,sub-05
58f9794f6e7dba50a7492d619373fd24ab8fd65cef21e2656afbf2c7f408f8bc,1,sub-09,30000,ses-04,sub-09,9167,295,SSVEP,200,16,sub-21
1150a9b1e2aadf340f281f38d4817b296d13feace7f0b78fe0784726bc5d8852,1,sub-07,30000,ses-04,sub-07,11152,2142,ERP,200,16,sub-23
90d54ff54bdc43b923a6e94083951b48ff40ce92557bc1451ce51060ee38a3a4,1,sub-07,30000,ses-02,sub-07,11296,524,SSVEP,200,16,sub-05
47e563cedfe411261533e69def2d34509566063914ca669d7efd421e2933a866,1,sub-09,30000,ses-02,sub-09,11753,1332,SSVEP,200,16,sub-05
8226138560d33373fb302d5fb2ed1cbc3d0e4a4ecb685a6308d11582da3ac844,1,sub-07,30000,ses-02,sub-07,11539,232,ERP,200,16,sub-21
4c802105d236fc949193966e6a178835b9c98ee6c3204db86c963924b86d4402,1,sub-06,30000,ses-02,sub-06,11732,102,SSVEP,200,16,sub-18
d84182f325bce07b72cce525fa91d43dd1a3c499971a9e9eec358400113c9a56,1,sub-07,30000,ses-02,sub-07,11019,31,SSVEP,200,16,sub-15
88a691461c9d8b9ed9a1b095e359204b8db11d7d04a88f6b8489cbf486c7952c,1,sub-07,30000,ses-02,sub-07,8741,84,ERP,200,16,sub-05
1581f08da1c730e16351f8552c5fe79edca6c9be88adb1f22a88f672e325fca8,1,sub-07,30000,ses-02,sub-07,11059,564,ERP,200,16,sub-05
afe60e45e436dc5db24051d146afd77dfd9ba93eafe59a03956254b40858ce56,1,sub-07,30000,ses-02,sub-07,10785,1130,SSVEP,200,16,sub-18
c25e1828b454ac960a6db5e8ca9060b4ff3eabe8bd8b9bad034e9464622553ac,1,sub-06,30000,ses-02,sub-06,11107,282,SSVEP,200,16,sub-18
08d662c089da6e68a874a4e6f9821f4e802794c59b06cd19aa07383345cc0539,1,sub-09,30000,ses-02,sub-09,11451,330,SSVEP,200,16,sub-24
517af684558eacc08e3f0e70198f3d2d16082e8276ee7e16969694fa25a381ff,2,sub-12,30000,ses-02,sub-12,11769,1985,ERP,200,16,sub-11
4bafce06242ea93b2f69d276b9117cd4f69fd04d17ae66de7c5556924d4308d9,2,sub-12,30000,ses-04,sub-12,11759,2573,ERP,200,16,sub-21
288cd7326fd79970441c7df71a6f6c22e3dec9edbfe591d1f590c95cef644376,2,sub-12,30000,ses-03,sub-12,11105,140,SSVEP,200,16,sub-09
93949cc6b69f8e5f5a7c24e97ed387195503667f4f693b856538cf626c5f03e9,2,sub-12,30000,ses-03,sub-12,10765,2663,ERP,200,16,sub-03
cc00acac25c43227618076f3e33bcc4251c7387ec41654244f8382b442287190,2,sub-11,30000,ses-04,sub-11,8724,309,SSVEP,200,16,sub-23
6ba3b3fa470ca42bcd81dd7b938408a4601b33bb1514ba9c45662df235674c11,2,sub-11,30000,ses-03,sub-11,11520,329,SSVEP,200,16,sub-05
8278ebe7c572af57ce8b0d795fd42f50cb6014eba9cac0329c9ed806d7b219e7,2,sub-14,30000,ses-03,sub-14,10642,520,ERP,200,16,sub-06
2fb458b681869bd1305433d4db8f5c63499b9a121c52587d79a1186f5ff15093,2,sub-14,30000,ses-04,sub-14,10439,267,SSVEP,200,16,sub-12
ae68405f53bcb55798eb1a0ab017dd3f7aa9475f88040139fac964a7acd53674,2,sub-14,30000,ses-03,sub-14,11697,587,SSVEP,200,16,sub-11
db48e2892266e577b2716a5b6cf2bc70c066f38bef4b4d4ba10e1565e738d677,2,sub-14,30000,ses-03,sub-14,10549,114,ERP,200,16,sub-23
79f4efe57de66aa6d77929b47d5f873160388ca4e881e39c982f4018408a3841,2,sub-11,30000,ses-04,sub-11,10883,1776,ERP,200,16,sub-05
98458e2e8a821444c68092186c66e13e52cd60c0539724b79083237ec7708f62,2,sub-11,30000,ses-02,sub-11,11168,676,SSVEP,200,16,sub-14
09bd02e82ad432d61f8830f29abb6121f267328447c44fbe38cbe3c2c3845a5a,2,sub-11,30000,ses-04,sub-11,10063,642,SSVEP,200,16,sub-21
f0ae8d5ecfcdcd5bdc11f13cd2956281a26dcbcba3671a68032ee1fa213ef49d,2,sub-12,30000,ses-03,sub-12,11476,105,SSVEP,200,16,sub-06
b3159ec8268d87a1892bf7252d985f83c73d8071d813e577ce694efb799c3ba5,2,sub-11,30000,ses-03,sub-11,9753,1458,ERP,200,16,sub-03
8d5119e7b47e7277c062ee085bbd89807b47bed84dfb9c838ae4fa420d895c68,2,sub-12,30000,ses-02,sub-12,11384,1003,ERP,200,16,sub-07
a1ffa4852939111a7dca693c0d06d4bddb66f73d12ddefe3938c55a2ac425706,2,sub-11,30000,ses-04,sub-11,9454,1565,ERP,200,16,sub-05
6da3ec49028649c10b884f39b2cc01f82e86e81f75a4d8097b134d369f4ec737,2,sub-14,30000,ses-02,sub-14,10460,86,SSVEP,200,16,sub-09
9b7b42b4fb1fbe9c7d1bf6a5a44bc476b084d9942a9dc96536414e1bdaa0ba7f,2,sub-12,30000,ses-02,sub-12,10571,373,SSVEP,200,16,sub-03
b72c7fb11cd9f216651d0a212b00f06d2741ab43c9a3d37272b593d172498d1f,2,sub-14,30000,ses-03,sub-14,10859,4,SSVEP,200,16,sub-24
50dbd4348ac2292b7ef8180330f9cf085a4a25b2ced8956f568aa32a8fc66623,2,sub-11,30000,ses-03,sub-11,10515,247,ERP,200,16,sub-21
6af3a4bfe7b17cdb23d71b9aab3ba727d4cfc00f4dc5e814a8a9339521a89afa,2,sub-12,30000,ses-03,sub-12,11310,1230,SSVEP,200,16,sub-11
e65c7bc07daa128a87a53b1d77535ae46fe5aad86ceb89067638e602f402dd21,2,sub-11,30000,ses-03,sub-11,11672,1686,ERP,200,16,sub-02
614d93a73c3ff46360082e302e640e1ef4dbaca5f3e3712ba067e21168bf8de7,2,sub-11,30000,ses-04,sub-11,11697,964,SSVEP,200,16,sub-06
a19f8692656a0ed08f042a3fd535a741c1a65cfe6fabd973566745290260dc96,3,sub-15,30000,ses-03,sub-15,10817,950,SSVEP,200,16,sub-05
5672615f30114b396f2e59d49955fa61ab0a09f45d7d4b8df29110f98915ee0e,3,sub-15,30000,ses-02,sub-15,11044,494,SSVEP,200,16,sub-09
6a1754aa296ef3443bd10299fe487441529beae109de21377a55376cf1194fb7,3,sub-15,30000,ses-02,sub-15,11597,1400,SSVEP,200,16,sub-07
665f2f6839f26b0031225df671d2672720dc6311d27039e08650f4f1b428f03c,3,sub-18,30000,ses-04,sub-18,11218,2450,SSVEP,200,16,sub-17
a7f4ba3463ebdd70b453a1dbe4eadc2500ddcd2f36eb89bef2a22fbc720038d1,3,sub-15,30000,ses-04,sub-15,10469,68,SSVEP,200,16,sub-07
70c8619378c4a11ec5d2730705fd593892afcfb854854e53995de2cf767f4658,3,sub-17,30000,ses-04,sub-17,10888,79,SSVEP,200,16,sub-14
51d84cfb6b2d8644c338b6132430800cdfca7b516aa7afdac801e2b346946a51,3,sub-18,30000,ses-02,sub-18,11733,1910,SSVEP,200,16,sub-24
32b66389c4c8707776f99cd6bde54c0dbb5987e2385169764895f7401485b944,3,sub-15,30000,ses-04,sub-15,11769,1764,SSVEP,200,16,sub-24
b9a34b46f36b732e12d43e0cdc0b6a9d40696d7e039e418cda8bd67466976bd4,3,sub-17,30000,ses-02,sub-17,11245,485,SSVEP,200,16,sub-06
bb85ddb4ea917dce966096d6d767f9022aeb785ec2692b7c93345af1400ba65f,3,sub-15,30000,ses-02,sub-15,10274,364,ERP,200,16,sub-24
f61e034136aca5e2c6e63e266d05bbbd7678084c985de984d95b8960f5041499,3,sub-17,30000,ses-03,sub-17,11783,724,ERP,200,16,sub-03
a3ba32a56d44ef0a24a119caa13a1bd02e64cb51d96d31db026c166b4f9fda16,3,sub-17,30000,ses-04,sub-17,11709,59,SSVEP,200,16,sub-07
0b6982b8d2f529b248eb9d5b69fe0a38084819390e39e932be10f488d3b74a4f,3,sub-15,30000,ses-03,sub-15,11196,38,SSVEP,200,16,sub-24
663848c09e9dd69e86c93d8381880e7a9668fd3eb6334fd3d282968c550f3d12,3,sub-18,30000,ses-03,sub-18,9787,573,SSVEP,200,16,sub-05
f7cca9fce69400f7e7a6ceaf9feef42f1b7ae21581e79f59a1a043d29c780983,3,sub-17,30000,ses-03,sub-17,11063,888,ERP,200,16,sub-18
7203beb436ab672c3fa47ed45562563edde9aabeb8a32c01ad8e8c9eef0cbd68,3,sub-18,30000,ses-04,sub-18,11002,1739,SSVEP,200,16,sub-11
c1040fce9be4516059e603921b60b81489ee28556999c14bab6aee9194fc9d58,3,sub-18,30000,ses-03,sub-18,10767,1190,ERP,200,16,sub-12
d93dac9da5e96b1ef910d3ff8ce81c235d6609f8c9b032fd05d4fd81ec0d61a6,3,sub-15,30000,ses-02,sub-15,11672,854,ERP,200,16,sub-06
fd438ad44f87fbfb0176b82ff87bc4f21b1e2e8954a6705211e014ee8eb8a86b,3,sub-18,30000,ses-03,sub-18,11634,1298,ERP,200,16,sub-07
d79f3f2f40f7246bf4e02cb3ba2d9de8ea2410427e0a4cdb891f0a82463bee0a,3,sub-18,30000,ses-04,sub-18,11707,479,SSVEP,200,16,sub-06
4df144dd4841ed048766a5011f526016531f17349b253c5dae634ec33a3be417,3,sub-18,30000,ses-03,sub-18,11569,1018,ERP,200,16,sub-09
7ebee095cc71e04beb1485b4480c3101c1c00814235ea8a1bfd713d35febd77b,3,sub-18,30000,ses-02,sub-18,11580,8,SSVEP,200,16,sub-03
379bec11e16df0fe5a7f2aa3bfc7190ebf214f7be86c85c3bb58884019d5644d,3,sub-15,30000,ses-02,sub-15,9345,103,ERP,200,16,sub-03
6f0032f66b5c188aa66a7489d4d7b9763677bd751709590be4e310df57d10c2b,3,sub-18,30000,ses-04,sub-18,11799,121,SSVEP,200,16,sub-14
11110e368be5f4fc38df1dd1efaaa011f725e8ce7d208aeca394fd55b99126d5,4,sub-19,30000,ses-02,sub-19,10826,120,ERP,200,16,sub-14
15342299b05f67a2cfde6166a3d1bd0fb53511597c60612c6e70598a8860858d,4,sub-21,30000,ses-02,sub-21,11573,113,SSVEP,200,16,sub-17
c765750a845163c36fc82a03c9b8da84623eb8a6c1df72dbd21a1b6663beff4b,4,sub-19,30000,ses-02,sub-19,11729,988,ERP,200,16,sub-14
dc8d7c66ffe892904026b7b47949ed6873b55d3d60d0e6d7d7f190ab37a18ca2,4,sub-19,30000,ses-02,sub-19,11789,333,ERP,200,16,sub-17
ab27b17f606e3ffd090c66c72aff5db295100bfa5551cdbc4c568a46a723518d,4,sub-21,30000,ses-04,sub-21,11287,369,SSVEP,200,16,sub-14
ba31be799da9ce69c9a732395d82cc0feacf5cb87692555769cbd69b58d5c566,4,sub-23,30000,ses-02,sub-23,11538,474,SSVEP,200,16,sub-12
ccee65b7b0bf8662ab8a4b13f50201def83745c2dae87ae9b791667be6186fcb,4,sub-23,30000,ses-02,sub-23,11514,169,ERP,200,16,sub-21
662485cc26044f0d69509c0d55de81c62b69bf5a118f141f94f8a7aa8c1d3457,4,sub-23,30000,ses-03,sub-23,11677,104,SSVEP,200,16,sub-24
d56c0ff5107e73a4d53ce7e21d9fe5e32571c4d96ea08796f85159647531de05,4,sub-19,30000,ses-03,sub-19,11256,2431,ERP,200,16,sub-11
60676f0981ae02f7430500f7088311c15e5c102d525d06c59d32554e5631ef23,4,sub-19,30000,ses-04,sub-19,9830,67,SSVEP,200,16,sub-06
3d476176edae2700115e6b0ce37a27110003d7de460d0d347cf34cb73b097f90,4,sub-23,30000,ses-04,sub-23,11090,2336,SSVEP,200,16,sub-07
954b007cdf88b917c2db36e316119f9ac95e8a8d9d90d4615df530825949e955,4,sub-23,30000,ses-02,sub-23,11046,19,ERP,200,16,sub-14
63407345f7829f01e71fb61e0e93fcfad88ebd6d223efcf150eebaaff7188094,4,sub-21,30000,ses-02,sub-21,11250,217,SSVEP,200,16,sub-09
1f9a7c3cc7aed4e26028c83ebc29508f33c6c69711dc714ce125b50590051109,4,sub-23,30000,ses-02,sub-23,10803,179,SSVEP,200,16,sub-17
c652f89141f643f8e289830bd4dc2b9a50572589970508839312fcf72cecb6f4,4,sub-19,30000,ses-04,sub-19,11679,965,ERP,200,16,sub-14
fefcc75c48be866e63d3c503678f7e23cc6e1572d8431038a4b8ec1202503165,4,sub-23,30000,ses-03,sub-23,11715,16,SSVEP,200,16,sub-12
68dd8fd8ad71b16c4da7aad8a4c614315c2622cf92b42acd11b9be06640647d1,4,sub-19,30000,ses-02,sub-19,10314,891,ERP,200,16,sub-09
727d3f48341ddefd28007187bfdfe56ce9fad4cd9c460bb9c245f54e662ed99b,4,sub-23,30000,ses-04,sub-23,10917,15,SSVEP,200,16,sub-17
a2d87633d54a264299b4e28fa2b25aa960101ce08202730a88286b779b237b41,4,sub-21,30000,ses-02,sub-21,11708,1497,ERP,200,16,sub-14
ae11507cfd4e58b5826221055fca21166d6015b9a89ca88b482287f6db64367b,4,sub-19,30000,ses-04,sub-19,11226,201,SSVEP,200,16,sub-17
2611ceeb54681f00a1f474228553904eae7ea54ee0915c020a9d20a295954249,4,sub-23,30000,ses-04,sub-23,11605,123,ERP,200,16,sub-06
1f6f0e12d654847909de23a06853188227c83350781b2412c37c05698c5e07ca,4,sub-19,30000,ses-03,sub-19,11440,93,SSVEP,200,16,sub-23
53eef25f77948b3178a5db2fd9fe155b6eb182166f6ef717c68e4c41a812eba2,4,sub-19,30000,ses-04,sub-19,11754,434,SSVEP,200,16,sub-17
1d2dc2db6cf874c08ff29b4c739537305a5c27fa74b93bd9fe2b2fa7f4c838ff,4,sub-21,30000,ses-04,sub-21,10895,495,SSVEP,200,16,sub-14
