contrast,effect,metric,panel,participant,positive
DIFF_MATCH_WRONG,0.03971051186968344,rrmse_temporal,paired,sub-09,1
DIFF_MATCH_WRONG,0.049065020685203575,rrmse_temporal,paired,sub-11,1
DIFF_MATCH_WRONG,0.021216418826952577,rrmse_temporal,paired,sub-12,1
DIFF_MATCH_WRONG,0.01833364738566423,rrmse_temporal,paired,sub-14,1
DIFF_MATCH_WRONG,0.0757897957254432,rrmse_temporal,paired,sub-15,1
DIFF_MATCH_WRONG,0.06467065390680682,rrmse_temporal,paired,sub-17,1
DIFF_MATCH_WRONG,0.033972057330078964,rrmse_temporal,paired,sub-18,1
DIFF_MATCH_WRONG,-0.015777855061311685,rrmse_temporal,paired,sub-19,0
DIFF_MATCH_WRONG,-0.013983377822870902,rrmse_temporal,paired,sub-21,0
DIFF_MATCH_WRONG,0.02794918588790668,rrmse_temporal,paired,sub-23,1
DIFF_DET,-0.06074782998929207,rrmse_temporal,paired,sub-02,0
DIFF_DET,-0.03933313905468416,rrmse_temporal,paired,sub-03,0
DIFF_DET,-0.048006779962758483,rrmse_temporal,paired,sub-05,0
DIFF_DET,-0.052036822850361764,rrmse_temporal,paired,sub-06,0
DIFF_DET,-0.06471069415157527,rrmse_temporal,paired,sub-07,0
DIFF_DET,-0.0379406355591958,rrmse_temporal,paired,sub-09,0
DIFF_DET,-0.05989799211279323,rrmse_temporal,paired,sub-11,0
DIFF_DET,-0.05419919835998027,rrmse_temporal,paired,sub-12,0
DIFF_DET,-0.05826845805648079,rrmse_temporal,paired,sub-14,0
DIFF_DET,-0.04059315356031312,rrmse_temporal,paired,sub-15,0
DIFF_DET,-0.03929657606256487,rrmse_temporal,paired,sub-17,0
DIFF_DET,-0.06638807541396669,rrmse_temporal,paired,sub-18,0
DIFF_DET,-0.08723986029198916,rrmse_temporal,paired,sub-19,0
DIFF_DET,-0.07919717990719766,rrmse_temporal,paired,sub-21,0
DIFF_DET,-0.06765004052813495,rrmse_temporal,paired,sub-23,0
DET_MATCH_POP,0.003686998636175498,heldout_eog_remaining_ratio,natural,sub-02,1
DET_MATCH_POP,0.016960534367348568,heldout_eog_remaining_ratio,natural,sub-03,1
DET_MATCH_POP,0.02379905151215611,heldout_eog_remaining_ratio,natural,sub-05,1
DET_MATCH_POP,0.07769720520808066,heldout_eog_remaining_ratio,natural,sub-06,1
DET_MATCH_POP,0.03708038988484663,heldout_eog_remaining_ratio,natural,sub-07,1
DET_MATCH_POP,-0.027535325669227895,heldout_eog_remaining_ratio,natural,sub-09,0
DET_MATCH_POP,-0.11779390329176231,heldout_eog_remaining_ratio,natural,sub-11,0
DET_MATCH_POP,0.02532937089865306,heldout_eog_remaining_ratio,natural,sub-12,1
DET_MATCH_POP,0.022046274036393143,heldout_eog_remaining_ratio,natural,sub-14,1
DET_MATCH_POP,0.0031092290694896274,heldout_eog_remaining_ratio,natural,sub-15,1
DET_MATCH_POP,-0.009008924433049015,heldout_eog_remaining_ratio,natural,sub-17,0
DET_MATCH_POP,0.007921130309177515,heldout_eog_remaining_ratio,natural,sub-18,1
DET_MATCH_POP,0.005525834565330401,heldout_eog_remaining_ratio,natural,sub-19,1
DET_MATCH_POP,-0.11347413906768034,heldout_eog_remaining_ratio,natural,sub-21,0
DET_MATCH_POP,-0.07451787376403796,heldout_eog_remaining_ratio,natural,sub-23,0
DET_MATCH_WRONG,0.0022947232831608266,heldout_eog_remaining_ratio,natural,sub-02,1
DET_MATCH_WRONG,0.008194893676777837,heldout_eog_remaining_ratio,natural,sub-03,1
DET_MATCH_WRONG,0.004423495423188539,heldout_eog_remaining_ratio,natural,sub-05,1
DET_MATCH_WRONG,0.04363194140262938,heldout_eog_remaining_ratio,natural,sub-06,1
DET_MATCH_WRONG,0.00876414253763913,heldout_eog_remaining_ratio,natural,sub-07,1
DET_MATCH_WRONG,-0.07237381518028019,heldout_eog_remaining_ratio,natural,sub-09,0
DET_MATCH_WRONG,0.007093485545467626,heldout_eog_remaining_ratio,natural,sub-11,1
DET_MATCH_WRONG,0.008499641423720172,heldout_eog_remaining_ratio,natural,sub-12,1
DET_MATCH_WRONG,0.06384074994197175,heldout_eog_remaining_ratio,natural,sub-14,1
DET_MATCH_WRONG,0.020768072437017393,heldout_eog_remaining_ratio,natural,sub-15,1
DET_MATCH_WRONG,0.10115835463974032,heldout_eog_remaining_ratio,natural,sub-17,1
DET_MATCH_WRONG,-0.07957308848179512,heldout_eog_remaining_ratio,natural,sub-18,0
DET_MATCH_WRONG,0.0031985925591510034,heldout_eog_remaining_ratio,natural,sub-19,1
DET_MATCH_WRONG,-0.11802267307015857,heldout_eog_remaining_ratio,natural,sub-21,0
DET_MATCH_WRONG,-0.009321327924728395,heldout_eog_remaining_ratio,natural,sub-23,0
DIFF_MATCH_POP,-0.05673000100371128,heldout_eog_remaining_ratio,natural,sub-02,0
DIFF_MATCH_POP,-0.05008436712067277,heldout_eog_remaining_ratio,natural,sub-03,0
DIFF_MATCH_POP,-0.03419137204982847,heldout_eog_remaining_ratio,natural,sub-05,0
DIFF_MATCH_POP,0.08724624008843396,heldout_eog_remaining_ratio,natural,sub-06,1
DIFF_MATCH_POP,-0.06408361144309493,heldout_eog_remaining_ratio,natural,sub-07,0
DIFF_MATCH_POP,-0.09690811659427401,heldout_eog_remaining_ratio,natural,sub-09,0
DIFF_MATCH_POP,-0.25358821867822523,heldout_eog_remaining_ratio,natural,sub-11,0
DIFF_MATCH_POP,-0.030990581770343306,heldout_eog_remaining_ratio,natural,sub-12,0
DIFF_MATCH_POP,-0.062226159381388424,heldout_eog_remaining_ratio,natural,sub-14,0
DIFF_MATCH_POP,-0.0663822258130099,heldout_eog_remaining_ratio,natural,sub-15,0
DIFF_MATCH_POP,-0.10241433471374595,heldout_eog_remaining_ratio,natural,sub-17,0
DIFF_MATCH_POP,-0.07462895698926553,heldout_eog_remaining_ratio,natural,sub-18,0
DIFF_MATCH_POP,-0.05672949719132847,heldout_eog_remaining_ratio,natural,sub-19,0
DIFF_MATCH_POP,-0.19446597408214128,heldout_eog_remaining_ratio,natural,sub-21,0
DIFF_MATCH_POP,-0.14572258170445762,heldout_eog_remaining_ratio,natural,sub-23,0
DIFF_MATCH_WRONG,0.009057882802310901,heldout_eog_remaining_ratio,natural,sub-02,1
DIFF_MATCH_WRONG,0.049124183069689686,heldout_eog_remaining_ratio,natural,sub-03,1
DIFF_MATCH_WRONG,0.0384550424864224,heldout_eog_remaining_ratio,natural,sub-05,1
DIFF_MATCH_WRONG,0.0926080391262517,heldout_eog_remaining_ratio,natural,sub-06,1
DIFF_MATCH_WRONG,0.06681350953967624,heldout_eog_remaining_ratio,natural,sub-07,1
DIFF_MATCH_WRONG,-0.052641502227061654,heldout_eog_remaining_ratio,natural,sub-09,0
DIFF_MATCH_WRONG,0.04338101210357892,heldout_eog_remaining_ratio,natural,sub-11,1
DIFF_MATCH_WRONG,0.0172675557220745,heldout_eog_remaining_ratio,natural,sub-12,1
DIFF_MATCH_WRONG,0.08062852609127691,heldout_eog_remaining_ratio,natural,sub-14,1
DIFF_MATCH_WRONG,0.07379578649997709,heldout_eog_remaining_ratio,natural,sub-15,1
DIFF_MATCH_WRONG,0.14391297455335372,heldout_eog_remaining_ratio,natural,sub-17,1
DIFF_MATCH_WRONG,-0.07525768879322192,heldout_eog_remaining_ratio,natural,sub-18,0
DIFF_MATCH_WRONG,0.019182979566957137,heldout_eog_remaining_ratio,natural,sub-19,1
DIFF_MATCH_WRONG,-0.13017959613778274,heldout_eog_remaining_ratio,natural,sub-21,0
DIFF_MATCH_WRONG,0.029641669909159285,heldout_eog_remaining_ratio,natural,sub-23,1
DIFF_DET,-0.06041699963988678,heldout_eog_remaining_ratio,natural,sub-02,0
DIFF_DET,-0.06704490148802134,heldout_eog_remaining_ratio,natural,sub-03,0
DIFF_DET,-0.05799042356198458,heldout_eog_remaining_ratio,natural,sub-05,0
DIFF_DET,0.009549034880353302,heldout_eog_remaining_ratio,natural,sub-06,1
DIFF_DET,-0.10116400132794157,heldout_eog_remaining_ratio,natural,sub-07,0
DIFF_DET,-0.06937279092504611,heldout_eog_remaining_ratio,natural,sub-09,0
DIFF_DET,-0.13579431538646292,heldout_eog_remaining_ratio,natural,sub-11,0
DIFF_DET,-0.056319952668996365,heldout_eog_remaining_ratio,natural,sub-12,0
DIFF_DET,-0.08427243341778157,heldout_eog_remaining_ratio,natural,sub-14,0
DIFF_DET,-0.06949145488249953,heldout_eog_remaining_ratio,natural,sub-15,0
DIFF_DET,-0.09340541028069693,heldout_eog_remaining_ratio,natural,sub-17,0
DIFF_DET,-0.08255008729844304,heldout_eog_remaining_ratio,natural,sub-18,0
DIFF_DET,-0.06225533175665887,heldout_eog_remaining_ratio,natural,sub-19,0
DIFF_DET,-0.08099183501446094,heldout_eog_remaining_ratio,natural,sub-21,0
DIFF_DET,-0.07120470794041966,heldout_eog_remaining_ratio,natural,sub-23,0
DET_MATCH_POP,-0.00717686760759384,preservation,natural,sub-02,0
DET_MATCH_POP,-0.0022950260032192915,preservation,natural,sub-03,0
DET_MATCH_POP,-0.006094251379008764,preservation,natural,sub-05,0
DET_MATCH_POP,-0.020659883849290517,preservation,natural,sub-06,0
DET_MATCH_POP,-0.009178169225761867,preservation,natural,sub-07,0
DET_MATCH_POP,-0.012323313180233941,preservation,natural,sub-09,0
DET_MATCH_POP,-0.025579164089920337,preservation,natural,sub-11,0
DET_MATCH_POP,-0.02243655582861126,preservation,natural,sub-12,0
DET_MATCH_POP,-0.012456769408438761,preservation,natural,sub-14,0
DET_MATCH_POP,-0.02626844975046627,preservation,natural,sub-15,0
DET_MATCH_POP,0.0038673667699697933,preservation,natural,sub-17,1
DET_MATCH_POP,-0.0033742676738625077,preservation,natural,sub-18,0
DET_MATCH_POP,-0.008272561669353529,preservation,natural,sub-19,0
DET_MATCH_POP,-0.021977938581938417,preservation,natural,sub-21,0
DET_MATCH_POP,-0.012433226068814585,preservation,natural,sub-23,0
DET_MATCH_WRONG,-0.0003730712631854205,preservation,natural,sub-02,0
DET_MATCH_WRONG,0.002850298473997759,preservation,natural,sub-03,1
DET_MATCH_WRONG,0.0040266562837112385,preservation,natural,sub-05,1
DET_MATCH_WRONG,0.0007490352666997824,preservation,natural,sub-06,1
DET_MATCH_WRONG,0.002745565416749085,preservation,natural,sub-07,1
DET_MATCH_WRONG,-0.009398893462538083,preservation,natural,sub-09,0
DET_MATCH_WRONG,0.005238612778149188,preservation,natural,sub-11,1
DET_MATCH_WRONG,0.007356433646042104,preservation,natural,sub-12,1
DET_MATCH_WRONG,0.011499095698795148,preservation,natural,sub-14,1
DET_MATCH_WRONG,0.013345786499289303,preservation,natural,sub-15,1
DET_MATCH_WRONG,0.060402410675748586,preservation,natural,sub-17,1
DET_MATCH_WRONG,-0.02083300272396449,preservation,natural,sub-18,0
DET_MATCH_WRONG,0.0032266890726536657,preservation,natural,sub-19,1
DET_MATCH_WRONG,-0.01190157778578127,preservation,natural,sub-21,0
DET_MATCH_WRONG,0.005296263396739942,preservation,natural,sub-23,1
DIFF_MATCH_POP,-0.07983017367113265,preservation,natural,sub-02,0
DIFF_MATCH_POP,-0.08787165556758092,preservation,natural,sub-03,0
DIFF_MATCH_POP,-0.16703360897815778,preservation,natural,sub-05,0
DIFF_MATCH_POP,-0.13477503400279844,preservation,natural,sub-06,0
DIFF_MATCH_POP,-0.13838194545421867,preservation,natural,sub-07,0
DIFF_MATCH_POP,-0.11528018550852637,preservation,natural,sub-09,0
DIFF_MATCH_POP,-0.10135632374130932,preservation,natural,sub-11,0
DIFF_MATCH_POP,-0.12418926966111388,preservation,natural,sub-12,0
DIFF_MATCH_POP,-0.14492436877468173,preservation,natural,sub-14,0
DIFF_MATCH_POP,-0.16786016712968166,preservation,natural,sub-15,0
DIFF_MATCH_POP,-0.16141348527181876,preservation,natural,sub-17,0
DIFF_MATCH_POP,-0.11753173776717618,preservation,natural,sub-18,0
DIFF_MATCH_POP,-0.09810033623624681,preservation,natural,sub-19,0
DIFF_MATCH_POP,-0.16429273507528042,preservation,natural,sub-21,0
DIFF_MATCH_POP,-0.13665181982517238,preservation,natural,sub-23,0
DIFF_MATCH_WRONG,0.006528067420684236,preservation,natural,sub-02,1
DIFF_MATCH_WRONG,0.02305575542327931,preservation,natural,sub-03,1
DIFF_MATCH_WRONG,0.02911647157558539,preservation,natural,sub-05,1
DIFF_MATCH_WRONG,0.043262460885883924,preservation,natural,sub-06,1
DIFF_MATCH_WRONG,0.023113755776644318,preservation,natural,sub-07,1
DIFF_MATCH_WRONG,-0.03389673268622839,preservation,natural,sub-09,0
DIFF_MATCH_WRONG,0.022031565675058817,preservation,natural,sub-11,1
DIFF_MATCH_WRONG,0.015313420633869756,preservation,natural,sub-12,1
DIFF_MATCH_WRONG,0.03044510582335913,preservation,natural,sub-14,1
DIFF_MATCH_WRONG,0.04806285481422379,preservation,natural,sub-15,1
DIFF_MATCH_WRONG,0.09523197781852955,preservation,natural,sub-17,1
DIFF_MATCH_WRONG,-0.012596523044285934,preservation,natural,sub-18,0
DIFF_MATCH_WRONG,0.01808836297267047,preservation,natural,sub-19,1
DIFF_MATCH_WRONG,-0.011804362263564516,preservation,natural,sub-21,0
DIFF_MATCH_WRONG,0.030304940581321715,preservation,natural,sub-23,1
DIFF_DET,-0.07265330606353881,preservation,natural,sub-02,0
DIFF_DET,-0.08557662956436163,preservation,natural,sub-03,0
DIFF_DET,-0.160939357599149,preservation,natural,sub-05,0
DIFF_DET,-0.11411515015350793,preservation,natural,sub-06,0
DIFF_DET,-0.1292037762284568,preservation,natural,sub-07,0
DIFF_DET,-0.10295687232829243,preservation,natural,sub-09,0
DIFF_DET,-0.07577715965138898,preservation,natural,sub-11,0
DIFF_DET,-0.10175271383250262,preservation,natural,sub-12,0
DIFF_DET,-0.13246759936624297,preservation,natural,sub-14,0
DIFF_DET,-0.1415917173792154,preservation,natural,sub-15,0
DIFF_DET,-0.16528085204178855,preservation,natural,sub-17,0
DIFF_DET,-0.11415747009331367,preservation,natural,sub-18,0
DIFF_DET,-0.08982777456689328,preservation,natural,sub-19,0
DIFF_DET,-0.142314796493342,preservation,natural,sub-21,0
DIFF_DET,-0.1242185937563578,preservation,natural,sub-23,0
