contrast,effect,participant,seed,severity
DIFF_DET,-0.013710435712710023,sub-11,20260827,medium
DIFF_DET,-0.07844769540760255,sub-12,20260825,medium
DIFF_DET,-0.013991818940710443,sub-12,20260826,medium
DIFF_DET,-0.03946009037249226,sub-12,20260827,medium
DIFF_DET,-0.0672940031702941,sub-14,20260825,medium
DIFF_DET,-0.05393422438646667,sub-14,20260826,medium
DIFF_DET,-0.0347175297016899,sub-14,20260827,medium
DIFF_DET,-0.012253458412098017,sub-15,20260825,medium
DIFF_DET,-0.05979485809803009,sub-15,20260826,medium
DIFF_DET,-0.014481624704785645,sub-15,20260827,medium
DIFF_DET,-0.04011032573486628,sub-17,20260825,medium
DIFF_DET,-0.05844017677009111,sub-17,20260826,medium
DIFF_DET,-0.008291277885436987,sub-17,20260827,medium
DIFF_DET,-0.08840895710246904,sub-18,20260825,medium
DIFF_DET,-0.09577731700504527,sub-18,20260826,medium
DIFF_DET,-0.024462136602960483,sub-18,20260827,medium
DIFF_DET,-0.04620476304798532,sub-19,20260825,medium
DIFF_DET,-0.04867709286156158,sub-19,20260826,medium
DIFF_DET,-0.07300570782493154,sub-19,20260827,medium
DIFF_DET,-0.08552107649544871,sub-21,20260825,medium
DIFF_DET,-0.061117773187685465,sub-21,20260826,medium
DIFF_DET,-0.13808078121613054,sub-21,20260827,medium
DIFF_DET,-0.04383021116345409,sub-23,20260825,medium
DIFF_DET,-0.06132744103670118,sub-23,20260826,medium
DIFF_DET,-0.13771302474197,sub-23,20260827,medium
DIFF_DET,-0.02517228587358078,sub-02,20260825,severe
DIFF_DET,-0.043217288134129284,sub-02,20260826,severe
DIFF_DET,-0.02921651490032673,sub-02,20260827,severe
DIFF_DET,-0.009332864234844807,sub-03,20260825,severe
DIFF_DET,-0.05329979704692961,sub-03,20260826,severe
DIFF_DET,-0.03589216536945761,sub-03,20260827,severe
DIFF_DET,-0.02396244741976261,sub-05,20260825,severe
DIFF_DET,-0.05647789580481399,sub-05,20260826,severe
DIFF_DET,-0.034296693065418715,sub-05,20260827,severe
DIFF_DET,-0.04032248953756473,sub-06,20260825,severe
DIFF_DET,-0.03184104384854436,sub-06,20260826,severe
DIFF_DET,-0.039130167408774674,sub-06,20260827,severe
DIFF_DET,-0.010805998416617502,sub-07,20260825,severe
DIFF_DET,-0.024300576746463742,sub-07,20260826,severe
DIFF_DET,-0.05724242176203165,sub-07,20260827,severe
DIFF_DET,0.03278187895193696,sub-09,20260825,severe
DIFF_DET,-0.04174284910297299,sub-09,20260826,severe
DIFF_DET,-0.07819221820682287,sub-09,20260827,severe
DIFF_DET,-0.08568401995074493,sub-11,20260825,severe
DIFF_DET,-0.048617374809349356,sub-11,20260826,severe
DIFF_DET,-0.023252902685531596,sub-11,20260827,severe
DIFF_DET,-0.08528322210027417,sub-12,20260825,severe
DIFF_DET,-0.0177966881758318,sub-12,20260826,severe
DIFF_DET,-0.02082158029569603,sub-12,20260827,severe
DIFF_DET,-0.08892111983150253,sub-14,20260825,severe
DIFF_DET,-0.0060718667048674235,sub-14,20260826,severe
DIFF_DET,-0.025211312435567346,sub-14,20260827,severe
DIFF_DET,0.04064420855138451,sub-15,20260825,severe
DIFF_DET,-0.010961058549582958,sub-15,20260826,severe
DIFF_DET,-0.023381483616928156,sub-15,20260827,severe
DIFF_DET,-0.01111868284642692,sub-17,20260825,severe
DIFF_DET,-0.02547282023976244,sub-17,20260826,severe
DIFF_DET,0.0005523689429869361,sub-17,20260827,severe
DIFF_DET,-0.057750065411840135,sub-18,20260825,severe
DIFF_DET,-0.06432392271235582,sub-18,20260826,severe
DIFF_DET,-0.015330887337525634,sub-18,20260827,severe
DIFF_DET,-0.0880190776113201,sub-19,20260825,severe
DIFF_DET,-0.0865618928025167,sub-19,20260826,severe
DIFF_DET,-0.07847757737797045,sub-19,20260827,severe
DIFF_DET,-0.06391289915579057,sub-21,20260825,severe
DIFF_DET,-0.014477740766273561,sub-21,20260826,severe
DIFF_DET,-0.156381489466066,sub-21,20260827,severe
DIFF_DET,-0.03243031932248008,sub-23,20260825,severe
DIFF_DET,-0.035522709672267616,sub-23,20260826,severe
DIFF_DET,-0.06334262471646068,sub-23,20260827,severe
