artifact_correlation,artifact_rmse,artifact_rrmse,channel,clean_output_rms_ratio,condition,correlation,fold,observation_change_ratio,participant,rrmse_spectral,rrmse_temporal,seed,snr_improvement,zero_artifact
0.957948625087738,3.279940128326416,0.74582439661026,33,7.550642490386963,POP,0.1466417759656906,0,0.26727914810180664,sub-02,1.5862451791763306,7.46860408782959,20261201,2.547268867492676,0
0.9705849885940552,2.8079981803894043,0.7533868551254272,34,6.161350250244141,POP,0.027235928922891617,0,0.2585553526878357,sub-02,1.3328241109848022,6.2148237228393555,20261201,2.45963916182518,0
0.9652560353279114,2.6890227794647217,0.7592546343803406,35,6.419192314147949,POP,0.0040290760807693005,0,0.25484323501586914,sub-02,1.4776899814605713,6.492724895477295,20261201,2.392251193523407,0
0.9555535912513733,2.679351329803467,0.7763931155204773,36,6.166890621185303,POP,-0.06474518775939941,0,0.24181398749351501,sub-02,1.5491811037063599,6.311070442199707,20261201,2.1983662247657776,0
0.9086674451828003,1.901790738105774,0.7701277136802673,37,4.195512771606445,POP,-0.05854455381631851,0,0.2709897756576538,sub-02,1.0810632705688477,4.369450569152832,20261201,2.2687454521656036,0
0.9408736824989319,2.8395090103149414,0.7750700116157532,38,6.802783966064453,POP,-0.012771233916282654,0,0.24725304543972015,sub-02,1.3932981491088867,6.887794017791748,20261201,2.2131815552711487,0
0.9592927098274231,3.659907102584839,0.767755925655365,39,7.450531482696533,POP,-0.02877971902489662,0,0.24760040640830994,sub-02,1.436841607093811,7.54580545425415,20261201,2.295537292957306,0
-0.22905144095420837,0.7332207560539246,1.7825896739959717,40,3.1387717723846436,POP,0.4129849672317505,0,1.0572075843811035,sub-02,0.8548361659049988,2.895819902420044,20261201,-5.021028518676758,0
-0.29971984028816223,0.913070559501648,3.1619927883148193,41,1.5239125490188599,POP,0.6723993420600891,0,0.8345749378204346,sub-02,0.37450718879699707,1.124112606048584,20261201,-9.9992173910141,0
-0.8621124029159546,1.4221038818359375,1.4053982496261597,42,3.4801406860351562,POP,0.18110613524913788,0,0.4374653398990631,sub-02,1.0736268758773804,3.4414281845092773,20261201,-2.9559892416000366,0
-0.47531601786613464,1.3782798051834106,1.2749890089035034,43,3.927687406539917,POP,0.2146705687046051,0,0.4334702491760254,sub-02,1.0106738805770874,3.838480234146118,20261201,-2.110128253698349,0
-0.24719105660915375,1.1975938081741333,1.6948224306106567,44,3.232583999633789,POP,0.2066553384065628,0,1.0659879446029663,sub-02,0.9335095286369324,3.1807384490966797,20261201,-4.58248496055603,0
0.5987482070922852,0.7719448804855347,1.8204282522201538,45,1.9432218074798584,POP,0.31100794672966003,0,1.624295711517334,sub-02,0.6239244341850281,1.8909921646118164,20261201,-5.203471779823303,0
0.864686131477356,0.5077528357505798,0.5257115960121155,0,0.9888091683387756,POP,0.9503028392791748,0,0.5204077959060669,sub-02,0.22718654572963715,0.31427520513534546,20261201,5.585049390792847,0
0.9107854962348938,0.426139235496521,0.4345688223838806,1,0.976807177066803,POP,0.966560423374176,0,0.5217190980911255,sub-02,0.28005924820899963,0.257440447807312,20261201,7.238829135894775,0
0.8716149926185608,0.39072152972221375,0.5226611495018005,2,0.9768683910369873,POP,0.9513069987297058,0,0.5401741862297058,sub-02,0.15097658336162567,0.309426873922348,20261201,5.635595321655273,0
0.868019163608551,0.36202433705329895,0.6532755494117737,3,0.9788849949836731,POP,0.8756111860275269,0,0.7278156280517578,sub-02,0.13613568246364594,0.49573206901550293,20261201,3.6980730295181274,0
0.6836757063865662,0.3497604727745056,1.0742387771606445,4,0.9906365871429443,POP,0.8950689435005188,0,0.5756233334541321,sub-02,0.06278658658266068,0.4560359716415405,20261201,-0.6220163404941559,0
0.7991780042648315,0.26683738827705383,0.6748249530792236,5,0.9842489361763,POP,0.9525163769721985,0,0.4723430275917053,sub-02,0.06900312006473541,0.3057076632976532,20261201,3.41617614030838,0
0.9325058460235596,0.26230916380882263,0.3810242712497711,6,0.9651979207992554,POP,0.9561222195625305,0,0.6851472854614258,sub-02,0.04256589338183403,0.2927626669406891,20261201,8.38094711303711,0
0.9404021501541138,0.38047343492507935,0.5413051843643188,7,0.9629036784172058,POP,0.9015194177627563,0,0.8184320330619812,sub-02,0.09844833612442017,0.43560129404067993,20261201,5.331156849861145,0
0.9044368267059326,0.25658857822418213,0.5513975620269775,8,0.9502029418945312,POP,0.9191205501556396,0,0.6601523160934448,sub-02,0.10791908204555511,0.39645877480506897,20261201,5.17070472240448,0
-0.7762510776519775,0.254650354385376,1.5545339584350586,9,1.1002048254013062,POP,0.8742144703865051,0,0.215872123837471,sub-02,0.10572794824838638,0.5352925062179565,20261201,-3.83200466632843,0
0.9165744781494141,0.17454977333545685,0.401454895734787,10,0.9963178634643555,POP,0.9518017172813416,0,0.5832167267799377,sub-02,0.07514426857233047,0.3097856342792511,20261201,7.92726457118988,0
0.9296038150787354,0.35782358050346375,0.6477874517440796,11,0.9894646406173706,POP,0.8345288634300232,0,0.8929564952850342,sub-02,0.12648755311965942,0.5691386461257935,20261201,3.7713494896888733,0
0.9096947312355042,0.18968375027179718,1.134474754333496,12,1.0706136226654053,POP,0.9299954771995544,0,0.6215397119522095,sub-02,0.1140420138835907,0.3935975432395935,20261201,-1.0958971828222275,0
0.7384775876998901,0.1800023913383484,0.6825456619262695,13,1.0301976203918457,POP,0.9576061367988586,0,0.32539981603622437,sub-02,0.049951765686273575,0.29735273122787476,20261201,3.317365348339081,0
0.7989141345024109,0.259458065032959,0.7412750720977783,14,1.092610478401184,POP,0.8560183644294739,0,0.6663299798965454,sub-02,0.1160101369023323,0.568185031414032,20261201,2.600412368774414,0
0.9127494096755981,0.16085942089557648,0.48335984349250793,15,1.0041205883026123,POP,0.9694784283638,0,0.5074747204780579,sub-02,0.047592051327228546,0.24772018194198608,20261201,6.3145893812179565,0
0.876142680644989,0.16046470403671265,0.5804576873779297,16,0.9868972301483154,POP,0.9671550989151001,0,0.4849332273006439,sub-02,0.05925459787249565,0.2567187547683716,20261201,4.724588692188263,0
0.8653866648674011,0.1635456532239914,0.582854151725769,17,0.9540010094642639,POP,0.954336404800415,0,0.49316713213920593,sub-02,0.10828618705272675,0.3031560778617859,20261201,4.688802063465118,0
0.8752898573875427,0.2184142768383026,0.5115052461624146,18,1.0002880096435547,POP,0.9511730074882507,0,0.5119673609733582,sub-02,0.10631612688302994,0.3134094178676605,20261201,5.822998285293579,0
0.9084102511405945,0.14065933227539062,0.4446919560432434,19,0.9832370281219482,POP,0.9821933507919312,0,0.41996124386787415,sub-02,0.040949802845716476,0.18814946711063385,20261201,7.03881561756134,0
0.8863248229026794,0.1595880389213562,0.5812263488769531,20,0.9793755412101746,POP,0.9728178977966309,0,0.4564979076385498,sub-02,0.05803642421960831,0.23261767625808716,20261201,4.713094532489777,0
0.8096033334732056,0.20098571479320526,0.6493173837661743,21,0.9367771148681641,POP,0.9710609316825867,0,0.3932602107524872,sub-02,0.07400276511907578,0.2421877682209015,20261201,3.750860095024109,0
0.8177228569984436,0.20989851653575897,0.6672592163085938,22,0.9712130427360535,POP,0.9703395366668701,0,0.39480364322662354,sub-02,0.07187867164611816,0.24279552698135376,20261201,3.514108657836914,0
0.8554803729057312,0.18964210152626038,0.5432524085044861,23,0.984688401222229,POP,0.9772112965583801,0,0.3675607442855835,sub-02,0.05480583757162094,0.21319817006587982,20261201,5.299966931343079,0
0.8121632933616638,0.21728436648845673,0.605280876159668,24,0.9661637544631958,POP,0.9656019806861877,0,0.40418535470962524,sub-02,0.038775015622377396,0.26045122742652893,20261201,4.3608614802360535,0
0.8131069540977478,0.21102894842624664,0.6400119066238403,25,0.9542133212089539,POP,0.9697872400283813,0,0.40337926149368286,sub-02,0.041896749287843704,0.24520832300186157,20261201,3.876239061355591,0
0.7483839988708496,0.25796541571617126,0.7175719738006592,26,0.9378818273544312,POP,0.9660177826881409,0,0.3701685070991516,sub-02,0.06489013880491257,0.26094168424606323,20261201,2.882690727710724,0
0.8435414433479309,0.19224369525909424,0.559238612651825,27,0.9703401923179626,POP,0.9821197390556335,0,0.3248225450515747,sub-02,0.0695999339222908,0.1900847852230072,20261201,5.0480568408966064,0
0.8640404939651489,0.17865511775016785,0.5578228831291199,28,0.9783749580383301,POP,0.9835312962532043,0,0.3378731906414032,sub-02,0.05685756355524063,0.18166284263134003,20261201,5.0700730085372925,0
0.8508771657943726,0.18973366916179657,0.5695223808288574,29,0.9622417092323303,POP,0.978263795375824,0,0.39229679107666016,sub-02,0.04289354756474495,0.20929022133350372,20261201,4.889785051345825,0
0.7860057950019836,0.2355615198612213,0.6625962257385254,30,0.9569117426872253,POP,0.9690025448799133,0,0.37604421377182007,sub-02,0.046746570616960526,0.24809643626213074,20261201,3.5750210285186768,0
0.8579915165901184,0.18259994685649872,0.572652280330658,31,0.9822048544883728,POP,0.9813872575759888,0,0.3610619604587555,sub-02,0.04703487455844879,0.19317220151424408,20261201,4.84218031167984,0
0.9278567433357239,0.20351937413215637,0.38777944445610046,32,1.0515800714492798,POP,0.9196456670761108,0,0.5255064964294434,sub-02,0.1869862824678421,0.4133222699165344,20261201,8.228305578231812,0
0.9140377044677734,0.22171975672245026,0.418549120426178,33,1.0710110664367676,POP,0.921846866607666,0,0.49048346281051636,sub-02,0.16828106343746185,0.41436198353767395,20261201,7.565072178840637,0
0.9367103576660156,0.15125040709972382,0.3511711061000824,34,0.9654797911643982,POP,0.9646744728088379,0,0.489535927772522,sub-02,0.12290748208761215,0.263286828994751,20261201,9.08962607383728,0
0.9312819838523865,0.1451852023601532,0.3898134231567383,35,0.9329306483268738,POP,0.9639695882797241,0,0.5329675674438477,sub-02,0.1008651852607727,0.2677707076072693,20261201,8.18286418914795,0
0.9344341158866882,0.12879762053489685,0.37434425950050354,36,0.9624285697937012,POP,0.9785240292549133,0,0.45882919430732727,sub-02,0.08036891371011734,0.206377312541008,20261201,8.534577488899231,0
