participant,state,run,annotation_rows,all_nonoverlap_candidates,selected_patches,source_prepared_patch_count,unique_selected_starts,duplicate_selected_starts,actual_time_coverage_seconds,interval_span_seconds,first_start,last_stop,current_rowwise_cap_can_repeat,fair_sampling_rule
5,close_base,3,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
5,open_base,4,1,58,4,4,4,0,8.0,117.73436811779771,140.434846,224.434846,0,fixed-seed-uniform-over-complete-baseline
5,close_base,4,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
5,open_base,5,1,59,4,4,4,0,8.0,118.97564660691424,138.979673,232.979673,0,fixed-seed-uniform-over-complete-baseline
5,close_base,5,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
5,open_base,6,1,59,4,4,4,0,8.0,119.65453072983351,168.844718,234.844718,0,fixed-seed-uniform-over-complete-baseline
5,close_base,6,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
6,open_base,1,1,59,16,0,16,0,32.0,118.861156850192,141.43714,251.43714,0,fixed-seed-uniform-over-complete-baseline
6,close_base,1,1,55,16,0,16,0,31.999999999999986,110.81998271446862,18.937483,124.937483,0,fixed-seed-uniform-over-complete-baseline
6,open_base,2,1,59,4,4,4,0,8.0,119.21968053777209,169.12465,241.12465,0,fixed-seed-uniform-over-complete-baseline
6,close_base,2,1,59,4,4,4,0,8.0,119.19407170294492,6.248556,118.248556,0,fixed-seed-uniform-over-complete-baseline
6,open_base,3,1,59,4,4,4,0,8.0,119.32211587708065,181.86449,253.86449,0,fixed-seed-uniform-over-complete-baseline
6,close_base,3,1,59,4,4,4,0,8.0,119.1172451984635,26.632688,110.632688,0,fixed-seed-uniform-over-complete-baseline
6,open_base,4,1,59,4,4,4,0,8.0,119.6501100981767,139.562959,197.562959,0,fixed-seed-uniform-over-complete-baseline
6,close_base,4,1,59,4,4,4,0,8.0,118.05119214586256,58.603351,126.603351,0,fixed-seed-uniform-over-complete-baseline
6,open_base,5,1,59,4,4,4,0,8.0,119.4252005610098,168.631354,226.631354,0,fixed-seed-uniform-over-complete-baseline
6,close_base,5,1,59,4,4,4,0,8.000000000000014,118.162896914446,12.959651,122.959651,0,fixed-seed-uniform-over-complete-baseline
6,open_base,6,1,59,4,4,4,0,8.0,119.95867321178122,180.280931,232.280931,0,fixed-seed-uniform-over-complete-baseline
6,close_base,6,1,58,4,4,4,0,8.0,117.40601472650772,45.433566,113.433566,0,fixed-seed-uniform-over-complete-baseline
8,open_base,1,8,36,16,0,16,0,32.0,80.44531732545246,142.704113,254.09593,1,fixed-seed-uniform-over-complete-baseline
8,close_base,1,2,60,16,0,16,0,32.0,121.45765570742518,15.075983,121.538711,1,fixed-seed-uniform-over-complete-baseline
8,open_base,2,2,12,4,8,4,0,8.0,25.80216549686,143.010457,223.291444,1,fixed-seed-uniform-over-complete-baseline
8,close_base,2,5,45,4,20,4,0,8.0,95.39459697081638,4.18196,101.607964,1,fixed-seed-uniform-over-complete-baseline
8,open_base,3,5,45,4,19,4,0,8.0,97.2523354266716,134.247667,179.077509,1,fixed-seed-uniform-over-complete-baseline
8,close_base,3,2,59,4,6,4,0,8.0,119.5207395640931,39.480041,107.480041,1,fixed-seed-uniform-over-complete-baseline
8,open_base,4,1,60,4,4,4,0,8.0,121.25816291097152,164.921851,246.921851,0,fixed-seed-uniform-over-complete-baseline
8,close_base,4,1,61,4,4,4,0,8.0,123.49691540450684,15.302714,83.302714,0,fixed-seed-uniform-over-complete-baseline
8,open_base,5,1,60,4,4,4,0,8.0,120.30712781677136,135.48075,223.48075,0,fixed-seed-uniform-over-complete-baseline
8,close_base,5,1,61,4,4,4,0,8.000000000000014,122.82135648319172,7.743715,69.743715,0,fixed-seed-uniform-over-complete-baseline
8,open_base,6,1,60,4,4,4,0,8.0,120.61744994458809,182.537385,244.537385,0,fixed-seed-uniform-over-complete-baseline
8,close_base,6,1,60,4,4,4,0,8.0,120.53088363502032,94.204126,118.204126,0,fixed-seed-uniform-over-complete-baseline
9,open_base,1,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
9,close_base,1,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
9,open_base,2,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
9,close_base,2,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
9,open_base,3,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
9,close_base,3,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
9,open_base,4,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
9,close_base,4,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
9,open_base,5,1,9,4,4,4,0,8.0,18.236480745341595,163.014679,181.014679,0,fixed-seed-uniform-over-complete-baseline
9,close_base,5,1,10,4,4,4,0,8.0,21.880464182194615,16.534425,28.534425,0,fixed-seed-uniform-over-complete-baseline
9,open_base,6,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
9,close_base,6,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
10,open_base,1,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
10,close_base,1,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
10,open_base,2,1,57,4,4,4,0,8.0,114.64657888198758,143.177929,237.177929,0,fixed-seed-uniform-over-complete-baseline
10,close_base,2,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
10,open_base,3,1,49,4,4,4,0,8.0,98.47276149068324,142.69459,216.69459,0,fixed-seed-uniform-over-complete-baseline
10,close_base,3,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
10,open_base,4,4,45,4,16,4,0,8.0,95.29694865424426,177.689916,239.557608,1,fixed-seed-uniform-over-complete-baseline
10,close_base,4,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
10,open_base,5,1,59,4,4,4,0,8.0,119.08122236024846,217.229471,243.229471,0,fixed-seed-uniform-over-complete-baseline
10,close_base,5,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
10,open_base,6,3,49,4,12,4,0,8.0,101.1770128364389,163.979646,209.474357,1,fixed-seed-uniform-over-complete-baseline
10,close_base,6,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
11,open_base,1,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
11,close_base,1,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
11,open_base,2,2,8,4,6,4,0,8.0,19.52843850931677,154.853323,220.957096,1,fixed-seed-uniform-over-complete-baseline
11,close_base,2,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
11,open_base,3,2,11,4,8,4,0,8.000000000000028,23.487129606625274,204.737616,250.485172,1,fixed-seed-uniform-over-complete-baseline
11,close_base,3,2,7,4,6,4,0,8.0,16.944522981366475,78.078827,104.762524,1,fixed-seed-uniform-over-complete-baseline
11,open_base,4,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
11,close_base,4,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
11,open_base,5,2,17,4,8,4,0,8.0,36.340453002070404,199.835476,247.34276,1,fixed-seed-uniform-over-complete-baseline
11,close_base,5,4,28,4,15,4,0,8.0,59.92696397515527,32.60487,89.623629,1,fixed-seed-uniform-over-complete-baseline
11,open_base,6,3,48,4,12,4,0,8.0,97.91838219461701,169.098361,195.098361,1,fixed-seed-uniform-over-complete-baseline
11,close_base,6,1,44,4,4,4,0,8.0,89.71063768115944,56.824387,116.824387,0,fixed-seed-uniform-over-complete-baseline
13,open_base,1,2,50,16,0,16,0,32.0,101.53702028985512,158.327653,264.617616,1,fixed-seed-uniform-over-complete-baseline
13,close_base,1,3,33,16,0,16,0,32.0,68.02654534161495,41.900819,128.257035,1,fixed-seed-uniform-over-complete-baseline
13,open_base,2,2,53,4,8,4,0,8.0,108.19896269999998,150.021493,192.021493,1,fixed-seed-uniform-over-complete-baseline
13,close_base,2,2,56,4,8,4,0,8.0,112.42367081,27.39553,86.029136,1,fixed-seed-uniform-over-complete-baseline
13,open_base,3,2,54,4,8,4,0,8.0,109.90161863354041,132.199102,212.923708,1,fixed-seed-uniform-over-complete-baseline
13,close_base,3,1,59,4,4,4,0,8.0,119.36719378881988,9.333467,97.333467,0,fixed-seed-uniform-over-complete-baseline
13,open_base,4,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
13,close_base,4,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
13,open_base,5,3,32,4,12,4,0,8.0,67.40391180124223,142.414043,233.412248,1,fixed-seed-uniform-over-complete-baseline
13,close_base,5,2,54,4,8,4,0,8.0,110.11694492753622,24.078827,111.30054,1,fixed-seed-uniform-over-complete-baseline
13,open_base,6,2,52,4,8,4,0,8.0,106.03791801242241,163.702502,225.702502,1,fixed-seed-uniform-over-complete-baseline
13,close_base,6,3,55,4,12,4,0,8.0,112.55617929606626,15.035323,113.577929,1,fixed-seed-uniform-over-complete-baseline
14,open_base,1,3,52,16,0,16,0,31.99999999999997,105.88884596273289,137.028183,254.610103,1,fixed-seed-uniform-over-complete-baseline
14,close_base,1,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
14,open_base,2,3,52,4,12,4,0,8.0,106.9489138716356,171.064459,244.774696,1,fixed-seed-uniform-over-complete-baseline
14,close_base,2,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
14,open_base,3,2,55,4,8,4,0,8.0,111.09858592132503,184.332089,238.332089,1,fixed-seed-uniform-over-complete-baseline
14,close_base,3,2,52,4,8,4,0,8.0,105.99700910973087,81.465975,119.465975,1,fixed-seed-uniform-over-complete-baseline
14,open_base,4,2,51,4,8,4,0,8.000000000000028,104.19936273291921,160.999171,250.651336,1,fixed-seed-uniform-over-complete-baseline
14,close_base,4,3,31,4,12,4,0,8.0,65.63261076604556,72.406307,116.224108,1,fixed-seed-uniform-over-complete-baseline
14,open_base,5,3,36,4,9,4,0,8.0,76.1494720496894,176.849217,208.849217,1,fixed-seed-uniform-over-complete-baseline
14,close_base,5,3,18,4,12,4,0,8.0,38.1955718426501,53.528039,120.637997,1,fixed-seed-uniform-over-complete-baseline
14,open_base,6,4,33,4,16,4,0,8.0,70.94173209109731,78.878069,119.039713,1,fixed-seed-uniform-over-complete-baseline
14,close_base,6,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
16,open_base,1,1,57,16,0,16,0,31.99999999999997,115.97605465838512,144.012937,252.012937,0,fixed-seed-uniform-over-complete-baseline
16,close_base,1,1,55,16,0,16,0,32.0,110.77070559006211,17.30473,117.30473,0,fixed-seed-uniform-over-complete-baseline
16,open_base,2,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
16,close_base,2,1,50,4,4,4,0,8.0,100.58850641821945,42.969068,106.969068,0,fixed-seed-uniform-over-complete-baseline
16,open_base,3,1,44,4,4,4,0,8.0,89.63999254658387,157.528392,211.528392,0,fixed-seed-uniform-over-complete-baseline
16,close_base,3,1,57,4,4,4,0,8.0,115.34224844720497,10.364598,92.364598,0,fixed-seed-uniform-over-complete-baseline
16,open_base,4,1,49,4,4,4,0,8.0,99.72720124223608,154.977742,244.977742,0,fixed-seed-uniform-over-complete-baseline
16,close_base,4,1,58,4,4,4,0,8.0,117.2636215320911,26.960887,120.960887,0,fixed-seed-uniform-over-complete-baseline
16,open_base,5,1,57,4,4,4,0,8.0,114.2446625258799,166.493425,250.493425,0,fixed-seed-uniform-over-complete-baseline
16,close_base,5,1,57,4,4,4,0,8.0,115.93853664596274,22.020954,110.020954,0,fixed-seed-uniform-over-complete-baseline
16,open_base,6,1,59,4,4,4,0,8.0,119.08561325051761,162.2447,244.2447,0,fixed-seed-uniform-over-complete-baseline
16,close_base,6,2,45,4,8,4,0,8.0,93.03552256728779,14.670924,106.522252,1,fixed-seed-uniform-over-complete-baseline
18,open_base,1,1,59,16,0,16,0,32.0,118.12492670807453,153.250904,265.250904,0,fixed-seed-uniform-over-complete-baseline
18,close_base,1,1,59,16,0,16,0,32.0,119.27559420289856,28.749751,124.749751,0,fixed-seed-uniform-over-complete-baseline
18,open_base,2,1,59,4,4,4,0,8.0,119.29215776397515,161.445696,241.445696,0,fixed-seed-uniform-over-complete-baseline
18,close_base,2,1,54,4,4,4,0,8.0,109.13091304347826,21.449412,93.449412,0,fixed-seed-uniform-over-complete-baseline
18,open_base,3,1,55,4,4,4,0,8.0,111.30073954451345,140.580315,230.580315,0,fixed-seed-uniform-over-complete-baseline
18,close_base,3,1,44,4,4,4,0,8.0,88.29395320910973,43.611456,95.611456,0,fixed-seed-uniform-over-complete-baseline
18,open_base,4,2,53,4,8,4,0,7.999999999999972,107.3332666666667,156.559201,252.534456,1,fixed-seed-uniform-over-complete-baseline
18,close_base,4,3,40,4,12,4,0,8.0,83.59968364389233,33.822192,97.797446,1,fixed-seed-uniform-over-complete-baseline
18,open_base,5,1,54,4,4,4,0,8.0,109.84314616977224,150.34479,230.34479,0,fixed-seed-uniform-over-complete-baseline
18,close_base,5,1,58,4,4,4,0,8.0,117.2139308488613,46.944323,78.944323,0,fixed-seed-uniform-over-complete-baseline
18,open_base,6,1,46,4,4,4,0,7.999999999999972,92.96926832298138,189.557557,251.557557,0,fixed-seed-uniform-over-complete-baseline
18,close_base,6,1,58,4,4,4,0,8.0,116.13729937888199,79.855319,91.855319,0,fixed-seed-uniform-over-complete-baseline
20,open_base,1,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
20,close_base,1,2,41,16,0,16,0,32.0,84.17062650103519,10.948514,125.374976,1,fixed-seed-uniform-over-complete-baseline
20,open_base,2,1,16,4,4,4,0,8.0,32.20295362318839,136.10809,160.10809,0,fixed-seed-uniform-over-complete-baseline
20,close_base,2,2,34,4,8,4,0,8.0,71.13171304347827,58.803433,124.18659,1,fixed-seed-uniform-over-complete-baseline
20,open_base,3,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
20,close_base,3,1,59,4,4,4,0,8.0,119.72720124223602,9.30034,119.30034,0,fixed-seed-uniform-over-complete-baseline
20,open_base,4,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
20,close_base,4,1,58,4,4,4,0,8.0,116.3647983436853,31.706247,79.706247,0,fixed-seed-uniform-over-complete-baseline
20,open_base,5,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
20,close_base,5,1,59,4,4,4,0,8.0,119.45779337474121,31.366594,107.366594,0,fixed-seed-uniform-over-complete-baseline
20,open_base,6,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
20,close_base,6,2,42,4,8,4,0,8.0,86.76671469979296,44.840951,84.840951,1,fixed-seed-uniform-over-complete-baseline
21,open_base,1,2,21,16,0,16,0,32.0,43.21772173913044,177.023625,227.160325,1,fixed-seed-uniform-over-complete-baseline
21,close_base,1,2,41,16,0,16,0,32.0,83.288366873706,18.973259,123.851328,1,fixed-seed-uniform-over-complete-baseline
21,open_base,2,2,47,4,8,4,0,8.0,96.58012463768117,172.100303,251.636323,1,fixed-seed-uniform-over-complete-baseline
21,close_base,2,3,54,4,12,4,0,8.0,108.47715238095238,21.060068,106.571743,1,fixed-seed-uniform-over-complete-baseline
21,open_base,3,2,47,4,8,4,0,8.0,96.22450807453419,160.712166,188.712166,1,fixed-seed-uniform-over-complete-baseline
21,close_base,3,2,43,4,8,4,0,8.0,88.17461739130434,49.714429,130.762524,1,fixed-seed-uniform-over-complete-baseline
21,open_base,4,1,59,4,4,4,0,8.0,118.98184099378886,163.00659,249.00659,0,fixed-seed-uniform-over-complete-baseline
21,close_base,4,4,51,4,16,4,0,8.0,105.94392753623188,31.408103,102.153463,1,fixed-seed-uniform-over-complete-baseline
21,open_base,5,1,59,4,4,4,0,8.0,119.56156563147002,156.762056,240.762056,0,fixed-seed-uniform-over-complete-baseline
21,close_base,5,4,46,4,16,4,0,8.0,96.10517225672879,51.064659,113.693674,1,fixed-seed-uniform-over-complete-baseline
21,open_base,6,1,54,4,4,4,0,8.0,109.50748405797103,146.133663,226.133663,0,fixed-seed-uniform-over-complete-baseline
21,close_base,6,3,46,4,12,4,0,8.0,95.73638302277432,19.971264,106.496907,1,fixed-seed-uniform-over-complete-baseline
22,open_base,1,1,59,16,0,16,0,32.0,119.82658260869559,152.344001,266.344001,0,fixed-seed-uniform-over-complete-baseline
22,close_base,1,1,53,16,0,16,0,32.0,107.71861946169773,40.807824,138.807824,0,fixed-seed-uniform-over-complete-baseline
22,open_base,2,1,59,4,4,4,0,8.0,119.49092049689443,168.758204,204.758204,0,fixed-seed-uniform-over-complete-baseline
22,close_base,2,2,56,4,8,4,0,8.0,114.29096231884058,14.770306,111.134704,1,fixed-seed-uniform-over-complete-baseline
22,open_base,3,1,59,4,4,4,0,8.0,118.98184099378881,131.06867,247.06867,0,fixed-seed-uniform-over-complete-baseline
22,close_base,3,3,33,4,11,4,0,8.0,67.6533652173913,42.356417,115.387348,1,fixed-seed-uniform-over-complete-baseline
22,open_base,4,1,59,4,4,4,0,8.0,119.81001904761908,145.888564,223.888564,0,fixed-seed-uniform-over-complete-baseline
22,close_base,4,2,54,4,8,4,0,8.000000000000007,110.82917805383023,29.602675,47.602675,1,fixed-seed-uniform-over-complete-baseline
22,open_base,5,1,60,4,4,4,0,8.0,120.0087817805383,152.000314,216.000314,0,fixed-seed-uniform-over-complete-baseline
22,close_base,5,2,17,4,8,4,0,8.000000000000007,35.39633002070393,12.97745,63.039713,1,fixed-seed-uniform-over-complete-baseline
22,open_base,6,3,56,4,12,4,0,8.0,113.95969109730851,133.740246,163.740246,1,fixed-seed-uniform-over-complete-baseline
22,close_base,6,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
23,open_base,1,1,58,16,0,16,0,32.00000000000003,117.31670310559008,154.953163,250.953163,0,fixed-seed-uniform-over-complete-baseline
23,close_base,1,1,34,16,0,16,0,32.0,68.79964182194617,12.0457,70.0457,0,fixed-seed-uniform-over-complete-baseline
23,open_base,2,1,58,4,4,4,0,8.0,117.83456438923395,183.90998,243.90998,0,fixed-seed-uniform-over-complete-baseline
23,close_base,2,2,47,4,8,4,0,7.999999999999993,95.91319130434783,22.927759,46.927759,1,fixed-seed-uniform-over-complete-baseline
23,open_base,3,1,57,4,4,4,0,8.0,114.4180799171842,138.456439,230.456439,0,fixed-seed-uniform-over-complete-baseline
23,close_base,3,1,51,4,4,4,0,8.0,102.46018881987577,38.55917,106.55917,0,fixed-seed-uniform-over-complete-baseline
23,open_base,4,1,58,4,4,4,0,8.0,117.84334616977225,155.056535,225.056535,0,fixed-seed-uniform-over-complete-baseline
23,close_base,4,4,46,4,16,4,0,8.0,97.37717556935817,19.660547,107.644183,1,fixed-seed-uniform-over-complete-baseline
23,open_base,5,2,55,4,8,4,0,8.0,112.10457225672877,133.002951,237.168387,1,fixed-seed-uniform-over-complete-baseline
23,close_base,5,1,53,4,4,4,0,8.0,107.29674865424431,64.956696,88.956696,0,fixed-seed-uniform-over-complete-baseline
23,open_base,6,1,54,4,4,4,0,8.0,108.62183354037268,150.058327,216.058327,0,fixed-seed-uniform-over-complete-baseline
23,close_base,6,2,44,4,8,4,0,8.0,88.81181449275363,4.439034,69.221913,1,fixed-seed-uniform-over-complete-baseline
26,open_base,1,1,58,16,0,16,0,32.0,117.58608449999997,167.923727,279.923727,0,fixed-seed-uniform-over-complete-baseline
26,close_base,1,2,29,16,0,16,0,32.0,60.719963230000005,67.807094,136.10723,1,fixed-seed-uniform-over-complete-baseline
26,open_base,2,1,59,4,4,4,0,8.0,118.19463369999997,144.477026,242.477026,0,fixed-seed-uniform-over-complete-baseline
26,close_base,2,2,55,4,8,4,0,8.0,111.35888994000001,36.844475,118.957344,1,fixed-seed-uniform-over-complete-baseline
26,open_base,3,1,57,4,4,4,0,8.0,114.67594349999999,141.187714,237.187714,0,fixed-seed-uniform-over-complete-baseline
26,close_base,3,1,56,4,4,4,0,8.0,112.30804909,16.393361,76.393361,0,fixed-seed-uniform-over-complete-baseline
26,open_base,4,3,45,4,12,4,0,8.0,93.04274610000002,139.378377,236.664143,1,fixed-seed-uniform-over-complete-baseline
26,close_base,4,2,12,4,8,4,0,8.0,26.43528857,20.769168,46.896953,1,fixed-seed-uniform-over-complete-baseline
26,open_base,5,1,46,4,4,4,0,8.0,92.61555230000002,164.023241,220.023241,0,fixed-seed-uniform-over-complete-baseline
26,close_base,5,1,53,4,4,4,0,8.0,106.19499758,26.829195,104.829195,0,fixed-seed-uniform-over-complete-baseline
26,open_base,6,1,38,4,4,4,0,8.0,77.17202194616993,600.453235,658.453235,0,fixed-seed-uniform-over-complete-baseline
26,close_base,6,1,27,4,4,4,0,8.0,55.002195445134475,497.103772,533.103772,0,fixed-seed-uniform-over-complete-baseline
27,open_base,1,2,17,16,0,16,0,32.0,36.20794459999999,175.196645,240.782556,1,fixed-seed-uniform-over-complete-baseline
27,close_base,1,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
27,open_base,2,1,59,4,4,4,0,8.0,118.8031829,156.698863,226.698863,0,fixed-seed-uniform-over-complete-baseline
27,close_base,2,3,22,4,12,4,0,8.0,46.825647659999994,23.881855,70.844111,1,fixed-seed-uniform-over-complete-baseline
27,open_base,3,1,56,4,4,4,0,8.0,112.23992710000002,165.528502,227.528502,0,fixed-seed-uniform-over-complete-baseline
27,close_base,3,5,44,4,20,4,0,8.0,91.75661604999999,62.912233,115.821646,1,fixed-seed-uniform-over-complete-baseline
27,open_base,4,2,35,4,8,4,0,8.0,73.03628889999999,150.720882,223.555352,1,fixed-seed-uniform-over-complete-baseline
27,close_base,4,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
27,open_base,5,2,56,4,8,4,0,8.0,112.55388749999997,154.018238,237.424241,1,fixed-seed-uniform-over-complete-baseline
27,close_base,5,3,47,4,12,4,0,8.000000000000014,96.81000394,70.198181,126.760891,1,fixed-seed-uniform-over-complete-baseline
27,open_base,6,1,57,4,4,4,0,8.0,115.35261460000001,137.517486,191.517486,0,fixed-seed-uniform-over-complete-baseline
27,close_base,6,1,43,4,4,4,0,8.0,86.81828075,59.401091,103.401091,0,fixed-seed-uniform-over-complete-baseline
29,open_base,1,1,30,16,0,16,0,31.99999999999997,61.08176419999998,175.995108,233.995108,0,fixed-seed-uniform-over-complete-baseline
29,close_base,1,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
29,open_base,2,3,33,4,12,4,0,8.0,68.07312360000003,318.597622,369.935866,1,fixed-seed-uniform-over-complete-baseline
29,close_base,2,1,58,4,4,4,0,8.0,117.856753,214.472254,306.472254,0,fixed-seed-uniform-over-complete-baseline
29,open_base,3,1,50,4,4,4,0,8.0,100.87185079999998,154.761999,190.761999,0,fixed-seed-uniform-over-complete-baseline
29,close_base,3,1,58,4,4,4,0,8.0,117.405638876,6.995089,66.995089,0,fixed-seed-uniform-over-complete-baseline
