successful_update,pair_indices,pair_keys
11,21;636;57;196;210;202;685;454,study05/study05_p06:target_t22_512:source_t5_1536;study05/study05_p49:target_t23_512:source_t6_1024;study05/study05_p06:target_t31_1024:source_t15_0;study05/study05_p24:target_t27_0:source_t13_0;study05/study05_p24:target_t30_1024:source_t0_512;study05/study05_p24:target_t28_1024:source_t15_0;study05/study05_p50:target_t30_512:source_t10_1536;study05/study05_p47:target_t17_512:source_t0_1536
12,84;479;492;540;411;206;7;351,study05/study05_p06:target_t38_512:source_t4_1536;study05/study05_p47:target_t23_1024:source_t7_512;study05/study05_p47:target_t26_1536:source_t11_512;study05/study05_p48:target_t19_0:source_t1_512;study05/study05_p46:target_t28_1024:source_t6_1536;study05/study05_p24:target_t29_1024:source_t16_512;study05/study05_p06:target_t18_1536:source_t2_512;study05/study05_p45:target_t31_1024:source_t14_1536
13,420;519;669;579;619;296;145;507,study05/study05_p46:target_t30_1536:source_t9_0;study05/study05_p47:target_t33_1024:source_t2_0;study05/study05_p50:target_t25_1536:source_t6_1536;study05/study05_p48:target_t30_0:source_t11_0;study05/study05_p49:target_t16_0:source_t1_1536;study05/study05_p44:target_t34_0:source_t1_1024;study05/study05_p10:target_t31_1024:source_t16_0;study05/study05_p47:target_t30_1024:source_t15_1536
14,409;442;534;4;310;552;265;192,study05/study05_p46:target_t27_1024:source_t6_512;study05/study05_p46:target_t36_512:source_t15_512;study05/study05_p48:target_t17_512:source_t14_512;study05/study05_p06:target_t18_0:source_t1_1024;study05/study05_p45:target_t19_0:source_t3_1024;study05/study05_p48:target_t22_0:source_t4_512;study05/study05_p44:target_t26_512:source_t6_1024;study05/study05_p24:target_t26_0:source_t10_1024
15,570;29;101;282;41;172;124;293,study05/study05_p48:target_t26_1536:source_t8_1536;study05/study05_p06:target_t24_512:source_t7_1536;study05/study05_p10:target_t20_1024:source_t4_0;study05/study05_p44:target_t30_1024:source_t11_1024;study05/study05_p06:target_t27_512:source_t10_1536;study05/study05_p10:target_t38_512:source_t5_1536;study05/study05_p10:target_t26_512:source_t10_0;study05/study05_p44:target_t33_512:source_t0_1536
16,119;77;271;262;300;688;305;318,study05/study05_p10:target_t25_0:source_t8_1024;study05/study05_p06:target_t36_1024:source_t3_0;study05/study05_p44:target_t27_1536:source_t8_0;study05/study05_p44:target_t25_1024:source_t5_1536;study05/study05_p44:target_t35_0:source_t2_1024;study05/study05_p50:target_t31_1536:source_t11_1024;study05/study05_p45:target_t17_512:source_t2_512;study05/study05_p45:target_t21_512:source_t5_1024
17,263;438;347;668;30;452;537;616,study05/study05_p44:target_t25_1536:source_t6_0;study05/study05_p46:target_t35_512:source_t14_512;study05/study05_p45:target_t30_1024:source_t13_1024;study05/study05_p50:target_t25_1024:source_t6_1024;study05/study05_p06:target_t24_1024:source_t8_0;study05/study05_p46:target_t38_1536:source_t17_1536;study05/study05_p48:target_t18_512:source_t0_1024;study05/study05_p49:target_t15_512:source_t1_0
18,627;600;423;199;337;679;654;620,study05/study05_p49:target_t19_1536:source_t3_1536;study05/study05_p48:target_t36_1024:source_t3_512;study05/study05_p46:target_t31_1024:source_t9_1536;study05/study05_p24:target_t27_1536:source_t14_0;study05/study05_p45:target_t27_512:source_t10_1024;study05/study05_p50:target_t28_1536:source_t9_512;study05/study05_p50:target_t20_1024:source_t3_0;study05/study05_p49:target_t16_512:source_t2_0
19,270;249;191;631;477;601;466;332,study05/study05_p44:target_t27_1024:source_t7_1536;study05/study05_p44:target_t22_512:source_t2_1024;study05/study05_p24:target_t25_1536:source_t10_512;study05/study05_p49:target_t21_512:source_t4_1536;study05/study05_p47:target_t23_0:source_t6_1536;study05/study05_p48:target_t36_1536:source_t3_1024;study05/study05_p47:target_t20_512:source_t3_1536;study05/study05_p45:target_t26_0:source_t9_512
20,174;80;204;386;480;602;238;360,study05/study05_p10:target_t38_1536:source_t6_512;study05/study05_p06:target_t37_512:source_t3_1536;study05/study05_p24:target_t29_0:source_t15_1024;study05/study05_p46:target_t21_1536:source_t0_1024;study05/study05_p47:target_t23_1536:source_t7_1024;study05/study05_p49:target_t11_512:source_t8_512;study05/study05_p44:target_t19_1024:source_t14_1536;study05/study05_p45:target_t34_0:source_t0_1024
21,676;516;258;94;428;239;167;68,study05/study05_p50:target_t28_0:source_t8_1024;study05/study05_p47:target_t32_1536:source_t1_512;study05/study05_p44:target_t24_1024:source_t4_1536;study05/study05_p10:target_t18_1536:source_t2_512;study05/study05_p46:target_t32_1536:source_t11_0;study05/study05_p44:target_t19_1536:source_t0_0;study05/study05_p10:target_t37_0:source_t4_1024;study05/study05_p06:target_t34_512:source_t0_1536
22,475;523;687;311;373;219;673;92,study05/study05_p47:target_t22_1024:source_t6_0;study05/study05_p47:target_t34_1024:source_t3_0;study05/study05_p50:target_t31_512:source_t11_512;study05/study05_p45:target_t19_512:source_t3_1536;study05/study05_p46:target_t18_1024:source_t15_512;study05/study05_p24:target_t32_1536:source_t2_1024;study05/study05_p50:target_t27_512:source_t7_1536;study05/study05_p10:target_t18_512:source_t1_1536
23,308;107;106;248;143;150;179;615,study05/study05_p45:target_t18_1024:source_t3_0;study05/study05_p10:target_t22_0:source_t5_1024;study05/study05_p10:target_t21_1536:source_t5_512;study05/study05_p44:target_t22_0:source_t2_512;study05/study05_p10:target_t31_0:source_t15_1024;study05/study05_p10:target_t32_1536:source_t0_512;study05/study05_p24:target_t21_512:source_t7_512;study05/study05_p49:target_t15_0:source_t0_1536
24,160;141;277;690;244;14;629;371,study05/study05_p10:target_t35_512:source_t2_1536;study05/study05_p10:target_t30_1024:source_t15_0;study05/study05_p44:target_t29_512:source_t9_1024;study05/study05_p50:target_t32_512:source_t12_0;study05/study05_p44:target_t21_0:source_t1_512;study05/study05_p06:target_t20_1024:source_t4_0;study05/study05_p49:target_t20_1536:source_t4_512;study05/study05_p46:target_t18_0:source_t14_1536
25,356;138;370;648;589;380;572;64,study05/study05_p45:target_t32_1536:source_t16_512;study05/study05_p10:target_t29_1536:source_t14_0;study05/study05_p45:target_t36_1536:source_t3_0;study05/study05_p50:target_t18_0:source_t1_1024;study05/study05_p48:target_t32_1536:source_t0_1024;study05/study05_p46:target_t20_512:source_t17_0;study05/study05_p48:target_t27_1024:source_t9_512;study05/study05_p06:target_t33_512:source_t16_1536
26,541;493;16;504;427;17;530;491,study05/study05_p48:target_t19_512:source_t1_1024;study05/study05_p47:target_t27_0:source_t11_1024;study05/study05_p06:target_t21_0:source_t4_1024;study05/study05_p47:target_t29_1536:source_t14_1024;study05/study05_p46:target_t32_1024:source_t10_1536;study05/study05_p06:target_t21_512:source_t4_1536;study05/study05_p48:target_t16_512:source_t11_1536;study05/study05_p47:target_t26_1024:source_t10_1536
27,638;216;225;61;15;154;618;499,study05/study05_p49:target_t23_1536:source_t7_0;study05/study05_p24:target_t32_0:source_t1_1536;study05/study05_p44:target_t16_512:source_t9_512;study05/study05_p06:target_t32_1024:source_t16_0;study05/study05_p06:target_t20_1536:source_t4_512;study05/study05_p10:target_t33_1536:source_t1_512;study05/study05_p49:target_t15_1536:source_t1_1024;study05/study05_p47:target_t28_1024:source_t13_512
28,495;27;168;528;588;313;46;49,study05/study05_p47:target_t27_1024:source_t12_0;study05/study05_p06:target_t23_1536:source_t7_512;study05/study05_p10:target_t37_512:source_t4_1536;study05/study05_p48:target_t15_1536:source_t11_512;study05/study05_p48:target_t32_1024:source_t0_512;study05/study05_p45:target_t19_1536:source_t4_512;study05/study05_p06:target_t28_1536:source_t12_0;study05/study05_p06:target_t29_1024:source_t13_0
29,281;508;463;566;643;58;556;635,study05/study05_p44:target_t30_512:source_t11_512;study05/study05_p47:target_t30_1536:source_t16_512;study05/study05_p47:target_t19_1024:source_t3_0;study05/study05_p48:target_t25_1536:source_t7_1536;study05/study05_p49:target_t26_1536:source_t9_0;study05/study05_p06:target_t31_1536:source_t15_512;study05/study05_p48:target_t23_0:source_t5_512;study05/study05_p49:target_t23_0:source_t5_1536
30,149;509;91;408;102;447;344;569,study05/study05_p10:target_t32_1024:source_t0_0;study05/study05_p47:target_t31_0:source_t16_1024;study05/study05_p10:target_t18_0:source_t1_1024;study05/study05_p46:target_t27_512:source_t6_0;study05/study05_p10:target_t20_1536:source_t4_512;study05/study05_p46:target_t37_1024:source_t16_1024;study05/study05_p45:target_t29_1536:source_t12_1536;study05/study05_p48:target_t26_1024:source_t8_1024
31,542;183;632;437;245;500;290;637,study05/study05_p48:target_t19_1024:source_t1_1536;study05/study05_p24:target_t23_512:source_t8_512;study05/study05_p49:target_t21_1024:source_t5_0;study05/study05_p46:target_t35_0:source_t13_1536;study05/study05_p44:target_t21_512:source_t1_1024;study05/study05_p47:target_t28_1536:source_t13_1024;study05/study05_p44:target_t32_1024:source_t0_0;study05/study05_p49:target_t23_1024:source_t6_1536
32,484;321;526;364;272;575;663;573,study05/study05_p47:target_t24_1536:source_t9_0;study05/study05_p45:target_t22_1536:source_t6_512;study05/study05_p48:target_t15_512:source_t10_1536;study05/study05_p45:target_t35_0:source_t1_1024;study05/study05_p44:target_t28_0:source_t8_512;study05/study05_p48:target_t28_512:source_t10_0;study05/study05_p50:target_t23_1024:source_t5_512;study05/study05_p48:target_t27_1536:source_t9_1024
33,410;236;74;221;178;494;680;630,study05/study05_p46:target_t27_1536:source_t6_1024;study05/study05_p44:target_t19_0:source_t13_1536;study05/study05_p06:target_t35_1536:source_t2_512;study05/study05_p44:target_t15_512:source_t8_512;study05/study05_p24:target_t21_0:source_t7_0;study05/study05_p47:target_t27_512:source_t11_1536;study05/study05_p50:target_t29_0:source_t9_1024;study05/study05_p49:target_t21_0:source_t4_1024
34,446;255;646;18;96;469;472;593,study05/study05_p46:target_t37_512:source_t16_512;study05/study05_p44:target_t23_1536:source_t4_0;study05/study05_p50:target_t17_0:source_t1_0;study05/study05_p06:target_t21_1024:source_t5_0;study05/study05_p10:target_t19_512:source_t2_1536;study05/study05_p47:target_t21_0:source_t4_1024;study05/study05_p47:target_t21_1536:source_t5_512;study05/study05_p48:target_t34_512:source_t1_1024
35,186;467;193;554;147;333;387;76,study05/study05_p24:target_t24_512:source_t9_0;study05/study05_p47:target_t20_1024:source_t4_0;study05/study05_p24:target_t26_512:source_t10_1536;study05/study05_p48:target_t22_1024:source_t4_1536;study05/study05_p10:target_t32_0:source_t16_1024;study05/study05_p45:target_t26_512:source_t9_1024;study05/study05_p46:target_t22_0:source_t0_1536;study05/study05_p06:target_t36_512:source_t2_1536
36,240;181;422;197;9;639;105;658,study05/study05_p44:target_t20_0:source_t0_512;study05/study05_p24:target_t22_1536:source_t7_1536;study05/study05_p46:target_t31_512:source_t9_1024;study05/study05_p24:target_t27_512:source_t13_512;study05/study05_p06:target_t19_512:source_t2_1536;study05/study05_p49:target_t24_512:source_t7_1024;study05/study05_p10:target_t21_1024:source_t5_0;study05/study05_p50:target_t21_1024:source_t4_0
37,180;104;652;323;69;449;553;665,study05/study05_p24:target_t21_1024:source_t7_1024;study05/study05_p10:target_t21_512:source_t4_1536;study05/study05_p50:target_t19_1024:source_t2_1024;study05/study05_p45:target_t23_512:source_t6_1536;study05/study05_p06:target_t34_1024:source_t1_0;study05/study05_p46:target_t38_0:source_t17_0;study05/study05_p48:target_t22_512:source_t4_1024;study05/study05_p50:target_t24_1024:source_t5_1536
38,34;234;355;108;22;273;464;559,study05/study05_p06:target_t25_1024:source_t9_0;study05/study05_p44:target_t18_1024:source_t12_1536;study05/study05_p45:target_t32_1024:source_t16_0;study05/study05_p10:target_t22_512:source_t5_1536;study05/study05_p06:target_t22_1024:source_t6_0;study05/study05_p44:target_t28_512:source_t8_1024;study05/study05_p47:target_t19_1536:source_t3_512;study05/study05_p48:target_t24_0:source_t6_0
39,317;369;667;587;388;489;144;55,study05/study05_p45:target_t21_0:source_t5_512;study05/study05_p45:target_t36_1024:source_t2_1536;study05/study05_p50:target_t25_512:source_t6_512;study05/study05_p48:target_t32_512:source_t0_0;study05/study05_p46:target_t22_512:source_t1_0;study05/study05_p47:target_t26_0:source_t10_512;study05/study05_p10:target_t31_512:source_t15_1536;study05/study05_p06:target_t31_0:source_t14_1024
40,259;251;481;110;581;560;5;465,study05/study05_p44:target_t24_1536:source_t5_0;study05/study05_p44:target_t22_1536:source_t3_0;study05/study05_p47:target_t24_0:source_t8_0;study05/study05_p10:target_t22_1536:source_t6_512;study05/study05_p48:target_t30_1024:source_t11_1024;study05/study05_p48:target_t24_512:source_t6_512;study05/study05_p06:target_t18_512:source_t1_1536;study05/study05_p47:target_t20_0:source_t3_1024
41,443;140;253;424;527;38;32;457,study05/study05_p46:target_t36_1024:source_t15_1024;study05/study05_p10:target_t30_512:source_t14_1024;study05/study05_p44:target_t23_512:source_t3_1024;study05/study05_p46:target_t31_1536:source_t10_0;study05/study05_p48:target_t15_1024:source_t11_0;study05/study05_p06:target_t26_1024:source_t10_0;study05/study05_p06:target_t25_0:source_t8_1024;study05/study05_p47:target_t18_0:source_t1_1024
42,549;522;390;595;326;325;205;453,study05/study05_p48:target_t21_512:source_t3_1024;study05/study05_p47:target_t34_512:source_t2_1536;study05/study05_p46:target_t22_1536:source_t1_1024;study05/study05_p48:target_t34_1536:source_t2_0;study05/study05_p45:target_t24_1024:source_t7_1024;study05/study05_p45:target_t23_1536:source_t7_512;study05/study05_p24:target_t29_512:source_t16_0;study05/study05_p47:target_t17_0:source_t0_1024
43,187;590;299;621;132;378;514;50,study05/study05_p24:target_t24_1024:source_t9_512;study05/study05_p48:target_t33_0:source_t0_1536;study05/study05_p44:target_t34_1536:source_t2_512;study05/study05_p49:target_t18_0:source_t2_512;study05/study05_p10:target_t28_512:source_t12_1024;study05/study05_p46:target_t19_1536:source_t16_1024;study05/study05_p47:target_t32_512:source_t0_1536;study05/study05_p06:target_t29_1536:source_t13_512
44,691;660;95;520;666;441;72;218,study05/study05_p50:target_t32_1536:source_t12_512;study05/study05_p50:target_t22_512:source_t4_1024;study05/study05_p10:target_t19_0:source_t2_1024;study05/study05_p47:target_t33_1536:source_t2_512;study05/study05_p50:target_t25_0:source_t6_0;study05/study05_p46:target_t36_0:source_t15_0;study05/study05_p06:target_t35_512:source_t1_1536;study05/study05_p24:target_t32_1024:source_t2_512
45,413;655;1;462;330;670;256;12,study05/study05_p46:target_t29_0:source_t7_512;study05/study05_p50:target_t20_1536:source_t3_512;study05/study05_p06:target_t17_512:source_t0_1536;study05/study05_p47:target_t19_512:source_t2_1536;study05/study05_p45:target_t25_1024:source_t8_1536;study05/study05_p50:target_t26_1024:source_t7_0;study05/study05_p44:target_t24_0:source_t4_512;study05/study05_p06:target_t20_0:source_t3_1024
46,241;294;397;697;407;592;686;26,study05/study05_p44:target_t20_512:source_t0_1024;study05/study05_p44:target_t33_1024:source_t1_0;study05/study05_p46:target_t24_1024:source_t3_512;study05/study05_p50:target_t35_0:source_t13_1536;study05/study05_p46:target_t27_0:source_t5_1536;study05/study05_p48:target_t34_0:source_t1_512;study05/study05_p50:target_t31_0:source_t11_0;study05/study05_p06:target_t23_1024:source_t7_0
47,131;498;336;161;501;268;79;661,study05/study05_p10:target_t28_0:source_t12_512;study05/study05_p47:target_t28_512:source_t13_0;study05/study05_p45:target_t27_0:source_t10_512;study05/study05_p10:target_t35_1024:source_t3_0;study05/study05_p47:target_t29_0:source_t13_1536;study05/study05_p44:target_t27_0:source_t7_512;study05/study05_p06:target_t37_0:source_t3_1024;study05/study05_p50:target_t23_0:source_t4_1536
48,546;278;128;689;86;67;426;486,study05/study05_p48:target_t20_1024:source_t2_1536;study05/study05_p44:target_t29_1024:source_t9_1536;study05/study05_p10:target_t27_512:source_t11_512;study05/study05_p50:target_t32_0:source_t11_1536;study05/study05_p06:target_t38_1536:source_t5_512;study05/study05_p06:target_t34_0:source_t0_1024;study05/study05_p46:target_t32_512:source_t10_1024;study05/study05_p47:target_t25_512:source_t9_1024
49,612;275;23;112;394;44;322;543,study05/study05_p49:target_t14_512:source_t0_0;study05/study05_p44:target_t28_1536:source_t9_0;study05/study05_p06:target_t22_1536:source_t6_512;study05/study05_p10:target_t23_512:source_t6_1536;study05/study05_p46:target_t23_1536:source_t2_1024;study05/study05_p06:target_t28_512:source_t11_1024;study05/study05_p45:target_t23_0:source_t6_1024;study05/study05_p48:target_t19_1536:source_t2_0
50,261;488;287;60;348;184;434;698,study05/study05_p44:target_t25_512:source_t5_1024;study05/study05_p47:target_t25_1536:source_t10_0;study05/study05_p44:target_t31_1536:source_t13_1536;study05/study05_p06:target_t32_512:source_t15_1536;study05/study05_p45:target_t30_1536:source_t13_1536;study05/study05_p24:target_t23_1024:source_t8_1024;study05/study05_p46:target_t34_512:source_t13_0;study05/study05_p50:target_t35_512:source_t14_0
51,678;363;362;547;47;200;113;291,study05/study05_p50:target_t28_1024:source_t9_0;study05/study05_p45:target_t34_1536:source_t1_512;study05/study05_p45:target_t34_1024:source_t1_0;study05/study05_p48:target_t20_1536:source_t3_0;study05/study05_p06:target_t29_0:source_t12_512;study05/study05_p24:target_t28_0:source_t14_512;study05/study05_p10:target_t23_1024:source_t7_0;study05/study05_p44:target_t32_1536:source_t0_512
52,87;31;302;90;459;432;461;692,study05/study05_p10:target_t17_0:source_t0_1024;study05/study05_p06:target_t24_1536:source_t8_512;study05/study05_p44:target_t35_1024:source_t3_0;study05/study05_p10:target_t17_1536:source_t1_512;study05/study05_p47:target_t18_1024:source_t2_0;study05/study05_p46:target_t33_1536:source_t12_1024;study05/study05_p47:target_t19_0:source_t2_1024;study05/study05_p50:target_t33_1024:source_t12_1024
53,56;353;606;567;396;695;404;301,study05/study05_p06:target_t31_512:source_t14_1536;study05/study05_p45:target_t32_0:source_t15_1024;study05/study05_p49:target_t12_1024:source_t9_1024;study05/study05_p48:target_t26_0:source_t8_0;study05/study05_p46:target_t24_512:source_t3_0;study05/study05_p50:target_t34_512:source_t13_512;study05/study05_p46:target_t26_512:source_t5_0;study05/study05_p44:target_t35_512:source_t2_1536
54,478;628;584;393;257;48;142;599,study05/study05_p47:target_t23_512:source_t7_0;study05/study05_p49:target_t20_0:source_t4_0;study05/study05_p48:target_t31_1024:source_t12_1536;study05/study05_p46:target_t23_1024:source_t2_512;study05/study05_p44:target_t24_512:source_t4_1024;study05/study05_p06:target_t29_512:source_t12_1024;study05/study05_p10:target_t30_1536:source_t15_512;study05/study05_p48:target_t36_512:source_t3_0
55,598;672;266;155;78;164;624;117,study05/study05_p48:target_t36_0:source_t2_1536;study05/study05_p50:target_t27_0:source_t7_1024;study05/study05_p44:target_t26_1024:source_t6_1536;study05/study05_p10:target_t34_0:source_t1_1024;study05/study05_p06:target_t36_1536:source_t3_512;study05/study05_p10:target_t36_512:source_t3_1536;study05/study05_p49:target_t18_1536:source_t3_0;study05/study05_p10:target_t24_1024:source_t8_0
56,19;597;604;201;558;228;476;550,study05/study05_p06:target_t21_1536:source_t5_512;study05/study05_p48:target_t35_1536:source_t2_1024;study05/study05_p49:target_t12_0:source_t9_0;study05/study05_p24:target_t28_512:source_t14_1536;study05/study05_p48:target_t23_1024:source_t5_1536;study05/study05_p44:target_t17_0:source_t10_1024;study05/study05_p47:target_t22_1536:source_t6_512;study05/study05_p48:target_t21_1024:source_t3_1536
57,512;53;405;651;517;3;139;59,study05/study05_p47:target_t31_1536:source_t0_512;study05/study05_p06:target_t30_1024:source_t14_0;study05/study05_p46:target_t26_1024:source_t5_512;study05/study05_p50:target_t19_512:source_t2_512;study05/study05_p47:target_t33_0:source_t1_1024;study05/study05_p06:target_t17_1536:source_t1_512;study05/study05_p10:target_t30_0:source_t14_512;study05/study05_p06:target_t32_0:source_t15_1024
58,562;126;341;123;286;376;568;298,study05/study05_p48:target_t24_1536:source_t6_1536;study05/study05_p10:target_t26_1536:source_t10_1024;study05/study05_p45:target_t29_0:source_t11_1536;study05/study05_p10:target_t26_0:source_t9_1536;study05/study05_p44:target_t31_1024:source_t13_512;study05/study05_p46:target_t19_512:source_t16_0;study05/study05_p48:target_t26_512:source_t8_512;study05/study05_p44:target_t34_1024:source_t2_0
59,379;662;352;63;222;511;365;460,study05/study05_p46:target_t20_0:source_t16_1536;study05/study05_p50:target_t23_512:source_t5_0;study05/study05_p45:target_t31_1536:source_t15_512;study05/study05_p06:target_t33_0:source_t16_1024;study05/study05_p44:target_t15_1024:source_t8_1024;study05/study05_p47:target_t31_1024:source_t0_0;study05/study05_p45:target_t35_512:source_t1_1536;study05/study05_p47:target_t18_1536:source_t2_512
60,402;611;213;349;276;284;307;316,study05/study05_p46:target_t25_1536:source_t4_1024;study05/study05_p49:target_t13_1536:source_t10_1536;study05/study05_p24:target_t31_512:source_t1_0;study05/study05_p45:target_t31_0:source_t14_0;study05/study05_p44:target_t29_0:source_t9_512;study05/study05_p44:target_t31_0:source_t12_1024;study05/study05_p45:target_t18_512:source_t2_1536;study05/study05_p45:target_t20_1536:source_t5_0
61,450;521;605;66;482;327;524;231,study05/study05_p46:target_t38_512:source_t17_512;study05/study05_p47:target_t34_0:source_t2_1024;study05/study05_p49:target_t12_512:source_t9_512;study05/study05_p06:target_t33_1536:source_t0_512;study05/study05_p47:target_t24_512:source_t8_1024;study05/study05_p45:target_t24_1536:source_t8_0;study05/study05_p47:target_t34_1536:source_t3_512;study05/study05_p44:target_t17_1536:source_t11_1024
62,440;312;594;366;224;644;303;135,study05/study05_p46:target_t35_1536:source_t14_1536;study05/study05_p45:target_t19_1024:source_t4_0;study05/study05_p48:target_t34_1024:source_t1_1536;study05/study05_p45:target_t35_1024:source_t2_0;study05/study05_p44:target_t16_0:source_t9_0;study05/study05_p50:target_t16_0:source_t0_1024;study05/study05_p44:target_t35_1536:source_t3_512;study05/study05_p10:target_t29_0:source_t13_512
63,70;544;468;536;247;43;431;267,study05/study05_p06:target_t34_1536:source_t1_512;study05/study05_p48:target_t20_0:source_t2_512;study05/study05_p47:target_t20_1536:source_t4_512;study05/study05_p48:target_t17_1536:source_t0_512;study05/study05_p44:target_t21_1536:source_t2_0;study05/study05_p06:target_t27_1536:source_t11_512;study05/study05_p46:target_t33_1024:source_t11_1536;study05/study05_p44:target_t26_1536:source_t7_0
64,578;334;650;444;328;20;496;647,study05/study05_p48:target_t29_1024:source_t10_1536;study05/study05_p45:target_t26_1024:source_t9_1536;study05/study05_p50:target_t19_0:source_t2_0;study05/study05_p46:target_t36_1536:source_t15_1536;study05/study05_p45:target_t25_0:source_t8_512;study05/study05_p06:target_t22_0:source_t5_1024;study05/study05_p47:target_t27_1536:source_t12_512;study05/study05_p50:target_t17_1536:source_t1_512
65,345;209;419;350;633;283;165;304,study05/study05_p45:target_t30_0:source_t13_0;study05/study05_p24:target_t30_512:source_t0_0;study05/study05_p46:target_t30_1024:source_t8_1536;study05/study05_p45:target_t31_512:source_t14_1024;study05/study05_p49:target_t21_1536:source_t5_512;study05/study05_p44:target_t30_1536:source_t11_1536;study05/study05_p10:target_t36_1024:source_t4_0;study05/study05_p45:target_t17_0:source_t2_0
66,401;626;89;100;451;436;11;696,study05/study05_p46:target_t25_1024:source_t4_512;study05/study05_p49:target_t19_1024:source_t3_1024;study05/study05_p10:target_t17_1024:source_t1_0;study05/study05_p10:target_t20_512:source_t3_1536;study05/study05_p46:target_t38_1024:source_t17_1024;study05/study05_p46:target_t34_1536:source_t13_1024;study05/study05_p06:target_t19_1536:source_t3_512;study05/study05_p50:target_t34_1024:source_t13_1024
