seed,subject,protocol,context,uncertainty_mean,latent_uncertainty_mean,preservation,covariance,eog_attenuation,mi_kappa,low_eog_fraction
20260808,3,same_02,MATCH,0.06487415730953217,0.007109332364052534,0.7928149104118347,0.12354454415239496,0.15783144917400527,0.16666666666666663,0.3
20260808,3,same_02,POP,0.06488040089607239,0.007110343314707279,0.814747765660286,0.11757319600839905,0.14401723717849194,0.06666666666666665,0.3
20260808,3,same_02,WRONG,0.06510081887245178,0.007134556770324707,0.8081970810890198,0.11634002484762952,0.14885202033026332,0.033333333333333326,0.3
20260808,3,same_03,MATCH,0.06443651020526886,0.00703946640715003,0.8267990499734879,0.12344978655874284,0.07679030717873603,-0.1499999999999999,0.3
20260808,3,same_03,POP,0.06409980356693268,0.007002773694694042,0.8036852031946182,0.1316841391613018,0.08821646427854327,-0.2250000000000001,0.3
20260808,3,same_03,WRONG,0.06461139768362045,0.007058912422508001,0.8425302505493164,0.116046387638351,0.07342541200356312,-0.1499999999999999,0.3
20260808,4,same_01,MATCH,0.0653463676571846,0.00745526235550642,0.7850868999958038,0.10971072869843967,0.16299673955016059,0.6,0.3
20260808,4,same_01,POP,0.06535518914461136,0.007456250488758087,0.7987930923700333,0.11091456136140294,0.15844326288897048,0.5,0.3
20260808,4,same_01,WRONG,0.06534944474697113,0.00745560135692358,0.7878926545381546,0.10789208046031831,0.16104609652952437,0.6,0.3
20260808,4,same_02,MATCH,0.06484546512365341,0.007615620736032724,0.790515661239624,0.09685685856158728,0.13766034468447155,0.7704918032786885,0.3
20260808,4,same_02,POP,0.0647648498415947,0.0076061878353357315,0.8056813329458237,0.09507649164027435,0.12648873738602529,0.7704918032786885,0.3
20260808,4,same_02,WRONG,0.06487859785556793,0.007619523908942938,0.7893090695142746,0.09482470174605058,0.13746902817361148,0.7704918032786885,0.3
20260808,4,same_03,MATCH,0.06694246828556061,0.007635852787643671,0.8270653933286667,0.08360048189234648,0.0576413220726459,0.875,0.3
20260808,4,same_03,POP,0.06684553623199463,0.0076246606186032295,0.745871901512146,0.09927358761844203,0.02793253256290376,0.825,0.3
20260808,4,same_03,WRONG,0.06697364896535873,0.007639406714588404,0.837499737739563,0.07763309198091095,0.05499105735913318,0.825,0.3
20260808,5,same_01,MATCH,0.07978945225477219,0.00911236647516489,0.8056273758411407,0.10596678184663526,0.12989186568442232,0.5,0.3
20260808,5,same_01,POP,0.0794990062713623,0.009079182520508766,0.8232184052467346,0.09989125865240711,0.11924538465907433,0.4666666666666667,0.3
20260808,5,same_01,WRONG,0.0800546258687973,0.009142611175775528,0.7731605917215347,0.11593436973469433,0.13986358443410912,0.23333333333333328,0.3
20260808,5,same_02,MATCH,0.07880216836929321,0.008998586796224117,0.7967663258314133,0.13395858949108733,0.1268081646123161,0.6279640228945217,0.3
20260808,5,same_02,POP,0.0787574052810669,0.0089936014264822,0.8133227974176407,0.12437056923509526,0.11440267146755351,0.6279640228945217,0.3
20260808,5,same_02,WRONG,0.07879292964935303,0.008997269906103611,0.7670721858739853,0.14157616409843263,0.12663924670935287,0.6279640228945217,0.3
20260808,5,same_03,MATCH,0.09186947345733643,0.010473517701029778,0.8302755355834961,0.12170497223729852,0.06675457712833324,0.55,0.3
20260808,5,same_03,POP,0.09139951318502426,0.01041947491466999,0.7620946317911148,0.15316724620721345,0.07450628397787112,0.6,0.3
20260808,5,same_03,WRONG,0.09236101806163788,0.010526959784328938,0.7036267518997192,0.16511771517517562,0.053171406824210676,0.675,0.3
20260808,6,same_01,MATCH,0.07342541962862015,0.008598577231168747,0.8049838840961456,0.1789256526676026,0.12888963407849252,0.19999999999999996,0.3
20260808,6,same_01,POP,0.07328072935342789,0.008581270463764668,0.8215580731630325,0.17571138515698181,0.11260851294948093,0.19999999999999996,0.3
20260808,6,same_01,WRONG,0.07342498749494553,0.008598476648330688,0.8082001805305481,0.17971239859643587,0.1265193409831867,0.19999999999999996,0.3
20260808,6,same_02,MATCH,0.06859824061393738,0.008032291196286678,0.8143327534198761,0.18058810857352306,0.1295603562552801,0.33333333333333337,0.3
20260808,6,same_02,POP,0.06848061084747314,0.008018385618925095,0.8284710049629211,0.17447177029997413,0.11037784417254709,0.3666666666666667,0.3
20260808,6,same_02,WRONG,0.06853030622005463,0.008024291135370731,0.818340465426445,0.17780354247637065,0.12475328381751077,0.30000000000000004,0.3
20260808,6,same_03,MATCH,0.07292318344116211,0.008534664288163185,0.8316330760717392,0.1700332869820769,0.09508013965741055,0.475,0.3
20260808,6,same_03,POP,0.07280325889587402,0.00852078665047884,0.8351004868745804,0.17349491662364866,0.1025482958045359,0.5,0.3
20260808,6,same_03,WRONG,0.0727359876036644,0.008512507192790508,0.8496778458356857,0.16924167027402137,0.07638964346170382,0.525,0.3
20260808,7,same_01,MATCH,0.045219097286462784,0.007215058896690607,0.7932537496089935,0.105511125668531,0.12269623140860791,0.06666666666666665,0.3
20260808,7,same_01,POP,0.04520169273018837,0.007212283089756966,0.8252591043710709,0.09878905907040812,0.11084848035968242,-0.03333333333333344,0.3
20260808,7,same_01,WRONG,0.04519883170723915,0.007211836986243725,0.8076847046613693,0.09647869966172874,0.11722163418516326,0.033333333333333326,0.3
