package,seed,participant,protocol,method,eog_attenuation,preservation,mi_band_distortion,covariance,mi_kappa,erd_preservation
POP8-D30,20260808,9,same_02,DIFF-WRONG8-6,0.04856619929538551,0.7193362712860107,0.06642553910123546,0.1266955652267511,0.1333333333333333,0.9593205324443511
POP8-D30,20260808,9,same_02,DIFF-WRONG8-7,0.06069122193571441,0.7483712136745453,0.058805577983580576,0.12323819102462916,0.16666666666666663,0.9563563871098224
POP8-D30,20260808,9,same_02,DIFF-WRONG8-8,0.05784482191372295,0.7436390817165375,0.06163768453105301,0.1221960294700598,0.19999999999999996,0.9539577043356544
POP8-D30,20260808,9,same_03,RAW,0.0,1.0,0.0,0.0,0.625,1.0
POP8-D30,20260808,9,same_03,DIFF-POP8,0.027776025156938056,0.6101604104042053,0.07652912478391635,0.1398033405872202,0.675,0.9457972023879085
POP8-D30,20260808,9,same_03,DIFF-MATCH8,0.04762362581156798,0.6489424705505371,0.07075794844727096,0.14475450967941866,0.625,0.9476569787745351
POP8-D30,20260808,9,same_03,LINEAR-MATCH,0.0795783719550981,0.7772946059703827,0.054965029142773535,0.09764776680673772,0.65,0.9541767087012172
POP8-D30,20260808,9,same_03,DET-MATCH,0.07684872427034357,0.6894532740116119,0.06591564583397527,0.1578578455731977,0.55,0.947921347518042
POP8-D30,20260808,9,same_03,DIFF-WRONG8-1,0.05114969197647573,0.6523194909095764,0.07281241039549974,0.1491356578607529,0.675,0.9460381724320048
POP8-D30,20260808,9,same_03,DIFF-WRONG8-2,0.017573822335473083,0.5775693953037262,0.07897094938995965,0.14291313006092074,0.65,0.9528983766605926
POP8-D30,20260808,9,same_03,DIFF-WRONG8-3,0.026263787343203976,0.6173902750015259,0.07340169384334669,0.13674339348789752,0.675,0.9488483325763419
POP8-D30,20260808,9,same_03,DIFF-WRONG8-4,0.03929767752447966,0.6357322633266449,0.0756941666831167,0.14432425950877922,0.675,0.9435866973013385
POP8-D30,20260808,9,same_03,DIFF-WRONG8-5,0.030048785691633384,0.6121077537536621,0.07482554275203894,0.1431865252197889,0.75,0.947914553859118
POP8-D30,20260808,9,same_03,DIFF-WRONG8-6,0.01764774162785318,0.5286665558815002,0.07884886009930309,0.16146203104393583,0.625,0.954609768379309
POP8-D30,20260808,9,same_03,DIFF-WRONG8-7,0.026775851706275333,0.6347227692604065,0.06478628986614485,0.14854207011775433,0.625,0.9565007906902896
POP8-D30,20260808,9,same_03,DIFF-WRONG8-8,0.03077952543789153,0.6164419651031494,0.0777087685732199,0.14192088674764822,0.675,0.9437941064622769
POP8-D60,20260808,9,same_01,RAW,0.0,1.0,0.0,0.0,0.3666666666666667,1.0
POP8-D60,20260808,9,same_01,DIFF-POP8,0.07859605619467201,0.7313593924045563,0.07020233944522561,0.10616526370668934,0.3666666666666667,0.9406536391357538
POP8-D60,20260808,9,same_01,DIFF-MATCH8,0.08547843426969377,0.7477415204048157,0.0652047319774529,0.10946844934457015,0.33333333333333337,0.9423923530386481
POP8-D60,20260808,9,same_01,LINEAR-MATCH,0.08891666787372002,0.8154483586549759,0.053184685056775795,0.06030868808475858,0.30000000000000004,0.9504267210364198
POP8-D60,20260808,9,same_01,DET-MATCH,0.09251867327814883,0.7747954279184341,0.06098400806279442,0.11610953242419894,0.30000000000000004,0.944981161719953
