package,seed,participant,protocol,method,rrmse,correlation,delta_snr,paired_spectral_utility
POP8-D30,20260810,9,same_03,DIFF-WRONG8-7,0.24934601783752441,0.9689819580316819,5.130311012268066,0.07336610555648804
POP8-D30,20260810,9,same_03,DIFF-WRONG8-8,0.2405533641576767,0.9716011748902089,5.442132472991943,0.07482892274856567
POP8-D60,20260810,9,same_01,RAW,0.42463502287864685,0.9213587847764606,0.0,0.0
POP8-D60,20260810,9,same_01,DIFF-POP8,0.1108965203166008,0.993887453472187,11.661957740783691,0.23497549444437027
POP8-D60,20260810,9,same_01,DIFF-MATCH8,0.14884889125823975,0.9890385252774339,9.105403900146484,0.2021213322877884
POP8-D60,20260810,9,same_01,LINEAR-MATCH,0.19619892537593842,0.9813018434255213,6.70638370513916,0.1665613055229187
POP8-D60,20260810,9,same_01,DET-MATCH,0.17650708556175232,0.985034404655444,7.625073432922363,0.17411230504512787
POP8-D60,20260810,9,same_01,DIFF-WRONG8-1,0.19339768588542938,0.9815641999070697,6.8312907218933105,0.17339764535427094
POP8-D60,20260810,9,same_01,DIFF-WRONG8-2,0.106151282787323,0.9943734049865792,12.0418119430542,0.2394234761595726
POP8-D60,20260810,9,same_01,DIFF-WRONG8-3,0.13051673769950867,0.9915101734258508,10.246992111206055,0.23158588260412216
POP8-D60,20260810,9,same_01,DIFF-WRONG8-4,0.12156947702169418,0.9926646966056055,10.863824844360352,0.22807077318429947
POP8-D60,20260810,9,same_01,DIFF-WRONG8-5,0.1359659880399704,0.990797741013547,9.891709327697754,0.2243146225810051
POP8-D60,20260810,9,same_01,DIFF-WRONG8-6,0.1402336210012436,0.9901302454780552,9.623272895812988,0.21756472438573837
POP8-D60,20260810,9,same_01,DIFF-WRONG8-7,0.1581251621246338,0.9875579785675109,8.58029556274414,0.1979212537407875
POP8-D60,20260810,9,same_01,DIFF-WRONG8-8,0.14793111383914948,0.989158943210833,9.159125328063965,0.20876605063676834
POP8-D60,20260810,9,same_02,RAW,0.39713260531425476,0.9301812702034131,0.0,0.0
POP8-D60,20260810,9,same_02,DIFF-POP8,0.09604307264089584,0.9955461179202418,12.329389572143555,0.22172463312745094
POP8-D60,20260810,9,same_02,DIFF-MATCH8,0.11256079375743866,0.9937469618623457,10.950967788696289,0.21137411892414093
