method,context_condition,artifact_correlation,artifact_rmse,artifact_rrmse,clean_output_rms_ratio,correlation,fold,observation_change_ratio,rrmse_spectral,rrmse_temporal,seed,severity,snr_improvement,artifact_attenuation_db,covariance_distortion,heldout_eog_remaining_ratio,low_eog_observation_retention,output_input_rms,psd_distortion,query_eog_inference_reads
No-Augmentation,population_context,-0.002365505450787726,1.2630821544698292,1.1638880806667027,1.6256551567664537,0.850509068944381,2.0,0.04177821919582921,0.6059821219988102,0.9558065154813116,20260950.50027632,1.2221399091309093,-0.7805921647107393,-0.4112095159424152,0.05039297773519306,1.108707183294615,0.9330248215026415,1.0024997457329337,0.19402199230767403,0.0
No-Augmentation,registered_shuffled_support,-0.003367943813526781,1.2643908122300016,1.1736440047213128,1.625971288343276,0.8502827174495085,2.0,0.046178915880387715,0.6061062749593263,0.9569268060543289,20260950.50027632,1.2221399091309093,-0.8426203173889348,-0.4216686328856555,0.05088515092189506,1.1100072564519732,0.9259700246154074,1.0029175556678285,0.19442452821888043,0.0
Real-Artifact-Augmentation,correct,0.38661642275614966,1.2392984735878558,1.694272459005584,1.4381164092087209,0.8511426389589253,2.0,0.2629392989873197,0.6186714961672988,0.89715417971794,20260950.50027632,1.2221399091309093,-2.0402045532542235,1.580174839032958,0.24294812512604602,0.942607143726213,0.7682094159415568,0.8849869408391567,0.47296588504850196,0.0
Real-Artifact-Augmentation,mean_wrong_support,0.3779495118538479,1.2460782693116441,1.6725654830374161,1.4504400346022384,0.85080203305045,2.0,0.2509567513163757,0.6185158154836754,0.9032136242935646,20260950.50027632,1.2221399091309093,-2.0123049456804094,1.4900590346343823,0.2279935248953213,0.9396021405117341,0.7805092348082089,0.8967968742805824,0.4563332315443443,0.0
Real-Artifact-Augmentation,population_context,0.37782056381815177,1.2472004850597311,1.680869783198465,1.4499052867254068,0.8503190743250174,2.0,0.25320375179202037,0.6191217645975263,0.9043134259982203,20260950.50027632,1.2221399091309093,-2.036363709150614,1.5097423166326849,0.22838595254640814,0.9380804873095656,0.7792580202921501,0.8962217036070952,0.4575597414707216,0.0
Real-Artifact-Augmentation,registered_shuffled_support,0.3815433110961851,1.2407725980422788,1.6851138957232459,1.444873692748208,0.851022111049923,2.0,0.2572111090339133,0.6179618422855148,0.8986301863683789,20260950.50027632,1.2221399091309093,-2.037117362738371,1.4363501610421898,0.2415527394458134,0.9551862686585401,0.767983193314332,0.8890397368710496,0.47091599193343586,0.0
WGAN-Augmentation,correct,0.019547980071402186,2.091724637398154,4.541045711836376,2.0728291935240835,0.6953409139817739,2.0,0.7839200269890151,0.6871565383840884,1.6074516719139835,20260950.50027632,1.2221399091309093,-8.916961942238803,-4.661587812954333,0.30192740696861564,2.365709623623368,-0.3849018658158863,1.59675206862189,0.37540743793008524,0.0
WGAN-Augmentation,mean_wrong_support,0.031799299075395644,1.9937603096327783,4.246378304327938,2.0091014488275056,0.7078380916244575,2.0,0.7199764332044419,0.6905701780335717,1.5322540566688436,20260950.50027632,1.2221399091309093,-8.440457909983015,-4.328746616478772,0.30675488954383656,2.233850432382449,-0.2574289386706586,1.514917223871858,0.37980662144262384,0.0
WGAN-Augmentation,population_context,0.03199726889852444,1.9973868245297126,4.24821608523618,2.008105016448868,0.708136850831511,2.0,0.7193975280183273,0.6909035809728109,1.530712367039205,20260950.50027632,1.2221399091309093,-8.419799387606783,-4.316229319514917,0.30664632170914313,2.2416570347203453,-0.26170261021675584,1.5207846220639274,0.3800317741907584,0.0
WGAN-Augmentation,registered_shuffled_support,0.02039207424138872,2.085873259682743,4.509985309148807,2.066939251963102,0.6960514717254523,2.0,0.7765706490809268,0.6874355534646762,1.6004239693726512,20260950.50027632,1.2221399091309093,-8.875834521453784,-4.613837885228107,0.3015611160365326,2.333064839673074,-0.36840823684516466,1.5840903979349548,0.3759259293969027,0.0
