erp_amplitude_uv,erp_nontarget_epochs,erp_peak_latency_seconds,erp_split_half_reliability,erp_status,erp_target_epochs,erp_topography_norm,motion_coherence,participant,session,ssvep_epochs,ssvep_phase_consistency,ssvep_snr_db,ssvep_status,status,task
,,,,,,,0.003576014656573534,sub-06,ses-02,60,0.3037008616711434,1.4473246904729042,success,success,SSVEP
-6.431145668029785,240,0.3515625,0.5132858220695545,success,60,59.5955696105957,0.07232622802257538,sub-06,ses-03,,,,,success,ERP
,,,,,,,0.15106193721294403,sub-06,ses-03,60,0.2700481330960188,1.2695064645503216,success,success,SSVEP
3.1910552978515625,240,0.03125,0.6153860173190538,success,60,27.78217887878418,0.225236713886261,sub-06,ses-04,,,,,success,ERP
,,,,,,,0.2741885483264923,sub-06,ses-04,60,0.18598263273251184,0.7623722072080994,success,success,SSVEP
-3.059706687927246,240,0.3359375,0.5428855499533899,success,60,39.269344329833984,0.005701055750250816,sub-07,ses-02,,,,,success,ERP
,,,,,,,0.007476405706256628,sub-07,ses-02,60,0.37305017052544576,3.104343016683428,success,success,SSVEP
-4.53732442855835,240,0.359375,0.4853678799412057,success,60,38.52369689941406,0.05047183111310005,sub-07,ses-03,,,,,success,ERP
,,,,,,,0.037487711757421494,sub-07,ses-03,60,0.29265443942847197,2.5641296753780405,success,success,SSVEP
-2.275010824203491,236,0.34375,0.21661411359760724,success,64,29.27505874633789,0.11218517273664474,sub-07,ses-04,,,,,success,ERP
,,,,,,,0.08537604659795761,sub-07,ses-04,60,0.32973146434817546,1.5718814570158512,success,success,SSVEP
-1.6765908002853394,240,0.359375,0.5247832364713471,success,60,14.979042053222656,0.017272550612688065,sub-09,ses-02,,,,,success,ERP
,,,,,,,0.01049792394042015,sub-09,ses-02,60,0.2362919818608802,2.43426320239023,success,success,SSVEP
-3.570723533630371,240,0.3359375,0.1586349155670519,success,60,26.58999252319336,0.08031266927719116,sub-09,ses-03,,,,,success,ERP
,,,,,,,0.057479433715343475,sub-09,ses-03,60,0.18179973987882803,1.0644194518523835,success,success,SSVEP
-2.1314427852630615,240,0.71875,-0.03684854371889583,success,60,16.597803115844727,0.15917053818702698,sub-09,ses-04,,,,,success,ERP
,,,,,,,0.152052104473114,sub-09,ses-04,60,0.1144159628322996,0.2863844317233087,success,success,SSVEP
3.1379282474517822,160,0.171875,0.1272028286440794,success,40,28.239574432373047,0.006339164916425943,sub-11,ses-02,,,,,success,ERP
,,,,,,,0.005055565852671862,sub-11,ses-02,60,0.39919023365833634,1.4319756615086006,success,success,SSVEP
-2.740318775177002,160,0.703125,0.34207020702956087,success,40,22.305418014526367,0.09603992849588394,sub-11,ses-03,,,,,success,ERP
,,,,,,,0.08297756314277649,sub-11,ses-03,60,0.3403224425826898,-0.165673022059817,success,success,SSVEP
-4.816529750823975,160,0.5234375,0.17052849791521174,success,40,56.61307144165039,0.09841937571763992,sub-11,ses-04,,,,,success,ERP
,,,,,,,0.1987050473690033,sub-11,ses-04,60,0.3702554089628787,0.29580241562972137,success,success,SSVEP
-4.013409614562988,240,0.3671875,0.24629222260515876,success,60,39.0129280090332,0.0039507062174379826,sub-12,ses-02,,,,,success,ERP
,,,,,,,0.007087040226906538,sub-12,ses-02,60,0.18406591395967756,1.9593709597068252,success,success,SSVEP
-3.063020706176758,240,0.3828125,0.27329559686102867,success,60,38.91518783569336,0.13579827547073364,sub-12,ses-03,,,,,success,ERP
-4.692490100860596,240,0.3671875,-0.16219739508823391,success,60,41.494232177734375,0.1984570324420929,sub-12,ses-04,,,,,success,ERP
,,,,,,,0.22988705337047577,sub-12,ses-04,60,0.16751011225077728,1.031179132088876,success,success,SSVEP
-2.41113543510437,240,0.1953125,0.6064608006769652,success,60,20.56976318359375,0.004636451601982117,sub-14,ses-02,,,,,success,ERP
,,,,,,,0.008057272993028164,sub-14,ses-02,60,0.20930948596803395,1.8521539040201127,success,success,SSVEP
2.700589656829834,240,0.7734375,0.21601683776282224,success,60,37.25519943237305,0.13988159596920013,sub-14,ses-03,,,,,success,ERP
,,,,,,,0.10735486447811127,sub-14,ses-03,60,0.25414167945479826,0.16020673186270873,success,success,SSVEP
-5.479214668273926,240,0.2578125,0.06068343667832839,success,60,44.88557052612305,0.22680024802684784,sub-14,ses-04,,,,,success,ERP
,,,,,,,0.234645813703537,sub-14,ses-04,60,0.2385277359403958,0.7683217939012524,success,success,SSVEP
-1.948914885520935,240,0.1171875,0.5021808752987169,success,60,21.89293670654297,0.005424079950898886,sub-15,ses-02,,,,,success,ERP
,,,,,,,0.006224805489182472,sub-15,ses-02,60,0.25682923382278094,2.7262659450610394,success,success,SSVEP
2.340522527694702,240,0.25,-0.05722303855963332,success,60,20.27422332763672,0.06430194526910782,sub-15,ses-03,,,,,success,ERP
,,,,,,,0.08296725898981094,sub-15,ses-03,60,0.2690183340882033,1.7614663134353676,success,success,SSVEP
-4.465207576751709,240,0.6328125,-0.5641894316338203,success,60,46.82168960571289,0.145362988114357,sub-15,ses-04,,,,,success,ERP
,,,,,,,0.08123455941677094,sub-15,ses-04,60,0.2891020613941925,1.6750777885571817,success,success,SSVEP
-2.1464827060699463,242,0.1875,0.5127153168042874,success,58,22.885679244995117,0.006682748906314373,sub-17,ses-02,,,,,success,ERP
,,,,,,,0.005934178363531828,sub-17,ses-02,60,0.34586152901267586,0.6854848752064233,success,success,SSVEP
3.2510221004486084,240,0.3203125,0.3393235032559185,success,60,42.705291748046875,0.08217435330152512,sub-17,ses-03,,,,,success,ERP
,,,,,,,0.12475410103797913,sub-17,ses-03,60,0.08397371759632687,0.09835252924451152,success,success,SSVEP
3.783052921295166,240,0.5625,-0.1336163170087096,success,60,48.932987213134766,0.18117929995059967,sub-17,ses-04,,,,,success,ERP
,,,,,,,0.22920580208301544,sub-17,ses-04,60,0.16199121698269142,-0.2824575703804799,success,success,SSVEP
-3.210916519165039,240,0.2578125,0.43630646655996264,success,60,30.67408561706543,0.0019410478416830301,sub-18,ses-02,,,,,success,ERP
,,,,,,,0.005940736271440983,sub-18,ses-02,60,0.08524640862391175,0.010529576017498243,success,success,SSVEP
4.738667964935303,240,0.1015625,0.2982690794525328,success,60,37.12256622314453,0.08648650348186493,sub-18,ses-03,,,,,success,ERP
,,,,,,,0.1503027379512787,sub-18,ses-03,60,0.14775904063172582,-0.4594290441111561,success,success,SSVEP
4.256436347961426,240,0.1875,0.2584839879732542,success,60,40.11924743652344,0.14015896618366241,sub-18,ses-04,,,,,success,ERP
,,,,,,,0.20940348505973816,sub-18,ses-04,60,0.08448211639514928,0.13492390845163002,success,success,SSVEP
-2.5940423011779785,236,0.5703125,0.3431528551085722,success,64,21.9888916015625,0.0051230015233159065,sub-19,ses-02,,,,,success,ERP
,,,,,,,0.0033162131439894438,sub-19,ses-02,60,0.2644505995617978,-1.0154184209070698,success,success,SSVEP
-7.021103382110596,240,0.3828125,-0.21576683581195708,success,60,73.6396255493164,0.0588684156537056,sub-19,ses-03,,,,,success,ERP
,,,,,,,0.05049121379852295,sub-19,ses-03,60,0.1993238954090482,-0.8357356523889827,success,success,SSVEP
-2.437563896179199,240,0.515625,0.3207628367509477,success,60,26.44211769104004,0.1263396441936493,sub-19,ses-04,,,,,success,ERP
,,,,,,,0.09993956983089447,sub-19,ses-04,60,0.144345519790091,-1.2546001168460614,success,success,SSVEP
,,,,,,,0.012107346206903458,sub-21,ses-02,60,0.47077700019697977,0.9139080036998155,success,success,SSVEP
3.230314254760742,240,0.15625,0.0833396968171883,success,60,30.70331573486328,0.20763111114501953,sub-21,ses-03,,,,,success,ERP
,,,,,,,0.08079960942268372,sub-21,ses-03,60,0.34576081575317474,1.212437416202365,success,success,SSVEP
4.743452548980713,240,0.7734375,0.5005720327270087,success,60,44.69327163696289,0.08885091543197632,sub-21,ses-04,,,,,success,ERP
,,,,,,,0.14880284667015076,sub-21,ses-04,60,0.3283445806661876,1.9038047658183863,success,success,SSVEP
2.9036786556243896,240,0.3046875,0.5115213922887062,success,60,35.65901565551758,0.002936567412689328,sub-23,ses-02,,,,,success,ERP
,,,,,,,0.006303072907030582,sub-23,ses-02,60,0.13107714486988972,-0.28656168795851034,success,success,SSVEP
-5.620513916015625,240,0.453125,0.4166295062191706,success,60,53.60020446777344,0.0545525886118412,sub-23,ses-03,,,,,success,ERP
,,,,,,,0.027262331917881966,sub-23,ses-03,60,0.16473015177290942,-1.9762742653882286,success,success,SSVEP
5.0115647315979,240,0.671875,0.12197367471506178,success,60,51.36391830444336,0.08358047157526016,sub-23,ses-04,,,,,success,ERP
,,,,,,,0.04001294821500778,sub-23,ses-04,60,0.1405807232447499,-0.6460246638279442,success,success,SSVEP
2.944453477859497,240,0.2890625,0.716506948410376,success,60,26.13363265991211,0.015308458358049393,sub-24,ses-02,,,,,success,ERP
-2.0139856338500977,240,0.3828125,0.3759151343471837,success,60,29.781818389892578,0.07196914404630661,sub-24,ses-03,,,,,success,ERP
-2.973289728164673,240,0.359375,0.09644208335276355,success,60,28.227882385253906,0.11993470042943954,sub-24,ses-04,,,,,success,ERP
