participant,protocol,query_session,query_start,status,support_end,support_session,support_start,task,wrong_donor_1,wrong_donor_2,wrong_donor_3
sub-03,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,SSVEP,sub-14,sub-15,sub-17
sub-05,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,ERP,sub-12,sub-14,sub-15
sub-05,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,ERP,sub-12,sub-14,sub-15
sub-05,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-24,sub-02,sub-03
sub-05,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-24,sub-02,sub-03
sub-05,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-14,sub-15,sub-17
sub-05,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-15,sub-17,sub-18
sub-05,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-15,sub-17,sub-18
sub-05,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,SSVEP,sub-19,sub-21,sub-23
sub-05,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,SSVEP,sub-14,sub-15,sub-17
sub-05,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,SSVEP,sub-17,sub-18,sub-19
sub-06,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,ERP,sub-14,sub-15,sub-17
sub-06,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,ERP,sub-14,sub-15,sub-17
sub-06,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-02,sub-03,sub-05
sub-06,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-02,sub-03,sub-05
sub-06,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-15,sub-17,sub-18
sub-06,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-17,sub-18,sub-19
sub-06,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-17,sub-18,sub-19
sub-06,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,SSVEP,sub-21,sub-23,sub-02
sub-06,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,SSVEP,sub-15,sub-17,sub-18
sub-06,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,SSVEP,sub-18,sub-19,sub-21
sub-07,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,ERP,sub-15,sub-17,sub-18
sub-07,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,ERP,sub-15,sub-17,sub-18
sub-07,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-03,sub-05,sub-06
sub-07,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-03,sub-05,sub-06
sub-07,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-17,sub-18,sub-19
sub-07,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-18,sub-19,sub-21
sub-07,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-18,sub-19,sub-21
sub-07,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,SSVEP,sub-23,sub-02,sub-03
sub-07,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,SSVEP,sub-17,sub-18,sub-19
sub-07,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,SSVEP,sub-19,sub-21,sub-23
sub-09,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,ERP,sub-18,sub-19,sub-23
sub-09,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,ERP,sub-18,sub-19,sub-23
sub-09,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-06,sub-07,sub-11
sub-09,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-06,sub-07,sub-11
sub-09,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-19,sub-21,sub-23
sub-09,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-21,sub-23,sub-02
sub-09,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-21,sub-23,sub-02
sub-09,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,SSVEP,sub-03,sub-05,sub-06
sub-09,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,SSVEP,sub-19,sub-21,sub-23
sub-09,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,SSVEP,sub-23,sub-02,sub-03
sub-11,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,ERP,sub-06,sub-07,sub-09
sub-11,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,ERP,sub-06,sub-07,sub-09
sub-11,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-19,sub-21,sub-23
sub-11,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-19,sub-21,sub-23
sub-11,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-07,sub-09,sub-12
sub-11,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-09,sub-12,sub-14
sub-11,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-09,sub-12,sub-14
sub-11,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,SSVEP,sub-15,sub-17,sub-18
sub-11,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,SSVEP,sub-07,sub-09,sub-12
sub-11,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,SSVEP,sub-09,sub-14,sub-15
sub-12,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,ERP,sub-07,sub-09,sub-11
sub-12,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,ERP,sub-07,sub-09,sub-11
sub-12,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-21,sub-23,sub-24
sub-12,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-21,sub-23,sub-24
sub-12,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-09,sub-11,sub-14
sub-12,S0_STATIC_XSESSION,ses-03,0.0,missing,60.0,ses-02,0.0,SSVEP,sub-11,sub-14,sub-15
sub-12,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-11,sub-14,sub-15
sub-12,S1_MOTION_WITHIN_SESSION,ses-03,65.0,missing,60.0,ses-03,0.0,SSVEP,sub-09,sub-11,sub-14
sub-12,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,SSVEP,sub-09,sub-11,sub-14
sub-12,S2_MOTION_XSPEED,ses-04,0.0,missing,60.0,ses-03,0.0,SSVEP,sub-19,sub-21,sub-23
sub-14,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,ERP,sub-11,sub-12,sub-15
sub-14,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,ERP,sub-11,sub-12,sub-15
sub-14,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-24,sub-02,sub-03
sub-14,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-24,sub-02,sub-03
sub-14,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-12,sub-15,sub-17
sub-14,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-15,sub-17,sub-18
sub-14,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-15,sub-17,sub-18
sub-14,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,SSVEP,sub-19,sub-21,sub-23
sub-14,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,SSVEP,sub-12,sub-15,sub-17
sub-14,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,SSVEP,sub-17,sub-18,sub-19
sub-15,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,ERP,sub-12,sub-14,sub-17
sub-15,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,ERP,sub-12,sub-14,sub-17
sub-15,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-02,sub-03,sub-05
sub-15,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-02,sub-03,sub-05
sub-15,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-14,sub-17,sub-18
sub-15,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-17,sub-18,sub-19
sub-15,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-17,sub-18,sub-19
sub-15,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,SSVEP,sub-21,sub-23,sub-02
sub-15,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,SSVEP,sub-14,sub-17,sub-18
sub-15,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,SSVEP,sub-18,sub-19,sub-21
sub-17,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,ERP,sub-15,sub-18,sub-19
sub-17,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,ERP,sub-15,sub-18,sub-19
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-05,sub-06,sub-07
sub-17,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-05,sub-06,sub-07
sub-17,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-18,sub-19,sub-21
sub-17,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-19,sub-21,sub-23
sub-17,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-19,sub-21,sub-23
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,SSVEP,sub-02,sub-03,sub-05
sub-17,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,SSVEP,sub-18,sub-19,sub-21
sub-17,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,SSVEP,sub-21,sub-23,sub-02
sub-18,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,ERP,sub-17,sub-19,sub-23
sub-18,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,ERP,sub-17,sub-19,sub-23
sub-18,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-06,sub-07,sub-09
sub-18,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-06,sub-07,sub-09
sub-18,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-19,sub-21,sub-23
sub-18,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-21,sub-23,sub-02
sub-18,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-21,sub-23,sub-02
sub-18,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,SSVEP,sub-03,sub-05,sub-06
sub-18,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,SSVEP,sub-19,sub-21,sub-23
sub-18,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,SSVEP,sub-23,sub-02,sub-03
sub-19,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,ERP,sub-18,sub-23,sub-24
sub-19,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,ERP,sub-18,sub-23,sub-24
sub-19,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-07,sub-09,sub-11
sub-19,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-07,sub-09,sub-11
sub-19,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-21,sub-23,sub-24
sub-19,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-23,sub-02,sub-03
sub-19,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-23,sub-02,sub-03
sub-19,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,SSVEP,sub-05,sub-06,sub-07
sub-19,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,SSVEP,sub-21,sub-23,sub-02
sub-19,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,SSVEP,sub-02,sub-03,sub-05
sub-21,S0_STATIC_XSESSION,ses-03,0.0,missing,60.0,ses-02,0.0,ERP,sub-06,sub-07,sub-09
sub-21,S0_STATIC_XSESSION,ses-04,0.0,missing,60.0,ses-02,0.0,ERP,sub-06,sub-07,sub-09
sub-21,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-19,sub-23,sub-24
sub-21,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-19,sub-23,sub-24
sub-21,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-09,sub-11,sub-12
sub-21,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-11,sub-12,sub-14
sub-21,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-11,sub-12,sub-14
sub-21,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,SSVEP,sub-15,sub-17,sub-18
sub-21,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,SSVEP,sub-09,sub-11,sub-12
sub-21,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,SSVEP,sub-11,sub-14,sub-15
sub-23,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,ERP,sub-11,sub-12,sub-14
sub-23,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,ERP,sub-11,sub-12,sub-14
sub-23,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-24,sub-02,sub-03
sub-23,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-24,sub-02,sub-03
sub-23,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-12,sub-14,sub-15
sub-23,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-14,sub-15,sub-17
sub-23,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-14,sub-15,sub-17
sub-23,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,SSVEP,sub-18,sub-19,sub-21
sub-23,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,SSVEP,sub-12,sub-14,sub-15
sub-23,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,SSVEP,sub-15,sub-17,sub-18
sub-24,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,ERP,sub-12,sub-14,sub-15
sub-24,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,ERP,sub-12,sub-14,sub-15
sub-24,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-02,sub-03,sub-05
sub-24,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-02,sub-03,sub-05
sub-24,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-14,sub-15,sub-17
sub-24,S0_STATIC_XSESSION,ses-03,0.0,missing,60.0,ses-02,0.0,SSVEP,sub-18,sub-19,sub-21
sub-24,S0_STATIC_XSESSION,ses-04,0.0,missing,60.0,ses-02,0.0,SSVEP,sub-18,sub-19,sub-21
sub-24,S1_MOTION_WITHIN_SESSION,ses-03,65.0,missing,60.0,ses-03,0.0,SSVEP,sub-15,sub-17,sub-18
sub-24,S1_MOTION_WITHIN_SESSION,ses-04,65.0,missing,60.0,ses-04,0.0,SSVEP,sub-09,sub-11,sub-12
sub-24,S2_MOTION_XSPEED,ses-04,0.0,missing,60.0,ses-03,0.0,SSVEP,sub-02,sub-03,sub-05
