array_task,job_id,recovery_of,scientific_setting_changed,stage,status
11,938753,,False,r9-pop-det,accepted
12,938760,,False,r9-pop-det,accepted
13,938761,,False,r9-pop-det,accepted
4,938841,,False,r9-support-cdm,accepted
0,938843,,False,r9-support-cdm,accepted
1,938844,,False,r9-support-cdm,accepted
9,938845,,False,r9-support-cdm,accepted
14,938846,,False,r9-support-cdm,accepted
5,938847,,False,r9-support-cdm,accepted
2,938851,,False,r9-support-cdm,accepted
6,938852,,False,r9-support-cdm,accepted
7,938854,,False,r9-support-cdm,accepted
10,938855,,False,r9-support-cdm,accepted
11,938857,,False,r9-support-cdm,accepted
3,938858,,False,r9-support-cdm,accepted
12,938860,,False,r9-support-cdm,accepted
8,938864,,False,r9-support-cdm,accepted
13,938883,,False,r9-support-cdm,accepted
4,938741,,False,r9-support-det,accepted
0,938764,,False,r9-support-det,accepted
9,938765,,False,r9-support-det,accepted
14,938766,,False,r9-support-det,accepted
1,938770,,False,r9-support-det,accepted
5,938776,,False,r9-support-det,accepted
10,938778,,False,r9-support-det,accepted
11,938792,,False,r9-support-det,accepted
6,938794,,False,r9-support-det,accepted
12,938796,,False,r9-support-det,accepted
7,938797,,False,r9-support-det,accepted
2,938798,,False,r9-support-det,accepted
13,938803,,False,r9-support-det,accepted
3,938808,,False,r9-support-det,accepted
8,938826,,False,r9-support-det,accepted
