artifact_rrmse,covariance,eta_d,eta_z,finite,heldout,inner_participants,kkt,offspan,output_input_rms,outside,preservation,psd,safe,units
2.245968066535521,0.11348864285663815,0.1,0.001,1.0,sub-06,14,1.9725193829708765e-13,4.2729644136124996e-16,0.9450188131363401,0.0,0.8942763872187481,0.0523807864328756,1,84
2.2458387678384804,0.1134738837159156,1.0,0.001,1.0,sub-06,14,2.1400172474042446e-13,4.273334000120854e-16,0.945018403067048,0.0,0.8942917843791268,0.05233118473864824,1,84
2.24461193306759,0.11333477842894774,10.0,0.001,1.0,sub-06,14,1.850338665356671e-13,4.2693558449230125e-16,0.9450173508016833,0.0,0.8944358574771016,0.05189515618798867,1,84
2.2094121948709082,0.11061943843822775,0.0,0.01,1.0,sub-06,14,1.463379681982111e-13,4.195026012679564e-16,0.9453506929464757,0.0,0.8977531328274113,0.0504675314025155,1,84
2.2093104539410318,0.11060937786075087,0.1,0.01,1.0,sub-06,14,1.976962533823903e-13,4.1922959812772525e-16,0.9453520020052292,0.0,0.8977646841694542,0.0504316385951556,1,84
2.20842820584166,0.11052214366347808,1.0,0.01,1.0,sub-06,14,2.0478377591554285e-13,4.1905997579958074e-16,0.9453646555711214,0.0,0.897864084524246,0.050200834666841665,1,84
2.2014111331228015,0.10982817651792813,10.0,0.01,1.0,sub-06,14,2.364563571399274e-13,4.1641909804742326e-16,0.945519020644196,0.0,0.8986302058549176,0.048837990297816394,1,84
2.0559099100883036,0.09873681017431354,0.0,0.1,1.0,sub-06,14,1.0954200509634877e-13,3.5570797599083324e-16,0.9504455963058946,0.0,0.9127436049188647,0.04418347612506448,1,84
2.055569516448759,0.09870842817766487,0.1,0.1,1.0,sub-06,14,1.9745845170589183e-13,3.5454562281145827e-16,0.9504590978966835,0.0,0.9127787842255556,0.04410642880944593,1,84
2.0527025837066923,0.09846386559454208,1.0,0.1,1.0,sub-06,14,1.989308189075971e-13,3.526944878112066e-16,0.9505768149552954,0.0,0.9130717301124603,0.04330883161374136,1,84
2.0319350267943754,0.09653501040465821,10.0,0.1,1.0,sub-06,14,4.0670112780173355e-13,3.4519889453748446e-16,0.9515387647209149,0.0,0.915100679362123,0.0385667923478284,1,84
1.660366573967008,0.06689415899980848,0.0,1.0,1.0,sub-06,14,1.2823604612051332e-13,2.5412267353814197e-16,0.9674415815667571,0.0,0.9474692322873207,0.030317737878458473,1,84
1.6595797129481744,0.06681989922136261,0.1,1.0,1.0,sub-06,14,1.9355945417893442e-13,2.5467565327995937e-16,0.9674767074564701,0.0,0.9475369950605712,0.030180772219775595,1,84
1.6532391897669756,0.06620412120270869,1.0,1.0,1.0,sub-06,14,3.2947189949828456e-13,2.531424964423753e-16,0.9677714048465327,0.0,0.9480737254421575,0.02896810106340158,1,84
1.6157283209625286,0.06217779492526637,10.0,1.0,1.0,sub-06,14,1.1608914887585256e-12,2.5169822138569714e-16,0.9697903640264652,0.0,0.9511463726336975,0.022328966595396134,1,84
1.1460323282822555,0.020019724860355186,0.0,10.0,1.0,sub-06,14,1.470992639865255e-13,2.2306609091425775e-16,0.9908407402756855,0.0,0.9866571030647288,0.009961333759945625,1,84
1.1455953398126535,0.019968114140160906,0.1,10.0,1.0,sub-06,14,2.314550667528064e-13,2.228631955367548e-16,0.9908643160758847,0.0,0.9866935612385352,0.009849259884488506,1,84
1.142387764469926,0.019567131331777888,1.0,10.0,1.0,sub-06,14,4.254797572468219e-13,2.226732532490019e-16,0.9910478468142114,0.0,0.986959778796836,0.008919808810899784,1,84
1.1276796605188137,0.017422218564086437,10.0,10.0,1.0,sub-06,14,2.9578879028641884e-12,2.225972827723796e-16,0.9920264255200816,0.0,0.9882181090226955,0.005826987499163682,1,84
2.2451780324416424,0.11435543588669421,0.0,0.001,1.0,sub-07,14,1.431236082031059e-13,4.152054339499219e-16,0.9460955649653322,0.0,0.8933203671158607,0.052927251739164426,1,84
2.245163040587489,0.11435372544700062,0.1,0.001,1.0,sub-07,14,2.11341264274489e-13,4.150794116398536e-16,0.946095551285011,0.0,0.893322100515923,0.052922804553849734,1,84
2.2450290139325952,0.11433842781766013,1.0,0.001,1.0,sub-07,14,2.2741089455495326e-13,4.1517139846183e-16,0.9460954637088465,0.0,0.8933375830494732,0.0528770654084622,1,84
2.2437658654420565,0.11419378152908174,10.0,0.001,1.0,sub-07,14,2.0311872533631694e-13,4.146935939429067e-16,0.9460974229128635,0.0,0.8934825077249096,0.05246522862460406,1,84
2.2085671572054233,0.11124892699828427,0.0,0.01,1.0,sub-07,14,1.50651977665326e-13,4.027178232134973e-16,0.9464671617844467,0.0,0.8968911469744963,0.05142923297589868,1,84
2.2084650044887404,0.11123852948533469,0.1,0.01,1.0,sub-07,14,1.93427077611183e-13,4.0241234608844044e-16,0.946468687208566,0.0,0.8969025599635688,0.05141336383992788,1,84
2.2075824669877435,0.11114833049934651,1.0,0.01,1.0,sub-07,14,1.922503161957306e-13,4.016764747473804e-16,0.9464830492335963,0.0,0.897000699747295,0.05133008894929025,1,84
2.2006577887038334,0.110432429143883,10.0,0.01,1.0,sub-07,14,2.2264729742411353e-13,3.9791910159025117e-16,0.9466414091226072,0.0,0.8977562230351259,0.049982301853557294,1,84
2.0602155298914977,0.09934838098374947,0.0,0.1,1.0,sub-07,14,1.4896020924684958e-13,3.0739169809719057e-16,0.9511975146486646,0.0,0.9114940052171382,0.04538673690360703,1,84
2.0598822494282496,0.09932167420793378,0.1,0.1,1.0,sub-07,14,1.8370886822354004e-13,3.065638111357322e-16,0.9512099737136455,0.0,0.9115275270170903,0.04528614446474601,1,84
2.05707193623012,0.09909089187336703,1.0,0.1,1.0,sub-07,14,2.09277040141842e-13,3.0411702246634876e-16,0.9513184912459733,0.0,0.9118077693785228,0.04447322081230357,1,84
