PSD_distortion,covariance_distortion,finite,method,off_span_ratio,output_input_RMS,outside_mask_max,participant,preservation,session,task
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-05,1.0,ses-03,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-05,1.0,ses-03,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-05,1.0,ses-04,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-05,1.0,ses-04,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-05,1.0,ses-04,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-05,1.0,ses-04,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-06,1.0,ses-02,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-06,1.0,ses-02,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-06,1.0,ses-02,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-06,1.0,ses-02,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-06,1.0,ses-03,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-06,1.0,ses-03,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-06,1.0,ses-03,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-06,1.0,ses-03,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-06,1.0,ses-04,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-06,1.0,ses-04,ERP
0.015527649709311721,0.01935631208212901,1,MATCH,7.651120996386705e-16,0.9972202576590359,0.0,sub-06,0.9784524344911747,ses-04,SSVEP
0.01806980613059645,0.03133756326678943,1,POP,7.270594574964954e-16,0.9910790467017107,0.0,sub-06,0.9674049635827325,ses-04,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-07,1.0,ses-02,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-07,1.0,ses-02,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-07,1.0,ses-02,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-07,1.0,ses-02,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-07,1.0,ses-03,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-07,1.0,ses-03,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-07,1.0,ses-03,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-07,1.0,ses-03,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-07,1.0,ses-04,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-07,1.0,ses-04,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-07,1.0,ses-04,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-07,1.0,ses-04,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-09,1.0,ses-02,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-09,1.0,ses-02,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-09,1.0,ses-02,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-09,1.0,ses-02,SSVEP
0.0802441758181876,0.36176486648395223,1,MATCH,1.9470937523108472e-16,0.8036774916618731,0.0,sub-09,0.7894383024179897,ses-03,ERP
0.055992477898224945,0.07291470463266815,1,POP,8.119950967548822e-16,0.9727805668338928,0.0,sub-09,0.9540942264002786,ses-03,ERP
0.004910327019179447,0.026172170332767013,1,MATCH,3.1313784479070967e-16,1.0006474735245074,0.0,sub-09,0.980737527604573,ses-03,SSVEP
0.004457437023963584,0.025739258190135502,1,POP,6.06145935859655e-16,1.001008547301467,0.0,sub-09,0.9811887943918656,ses-03,SSVEP
0.042343231563270564,0.058720590450295956,1,MATCH,9.656947900448367e-16,0.9795833780450931,0.0,sub-09,0.961603452869134,ses-04,ERP
0.015418780070678555,0.01657344066484213,1,POP,5.617792527109733e-16,0.9972261712144123,0.0,sub-09,0.9879963480474798,ses-04,ERP
0.1078164420052241,0.2991380271869936,1,MATCH,3.0931747555525733e-16,0.8522323681550514,0.0,sub-09,0.8184181420522866,ses-04,SSVEP
0.10040179027599636,0.15524014007658607,1,POP,6.883827538630445e-16,0.9472307020944755,0.0,sub-09,0.8966631466627834,ses-04,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-11,1.0,ses-02,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-11,1.0,ses-02,ERP
0.004609733747767966,0.001966434426183529,1,MATCH,3.0883451127420887e-16,0.9942166750683963,0.0,sub-11,0.9878364750894769,ses-02,SSVEP
0.0011500726810564662,0.00043706481122548607,1,POP,4.4189292437609305e-16,0.9991187316320308,0.0,sub-11,0.9968016813840055,ses-02,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-11,1.0,ses-03,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-11,1.0,ses-03,ERP
0.004062994231929314,0.0012865777053006739,1,MATCH,7.716892690724809e-16,0.9905528099750899,0.0,sub-11,0.9888124068273936,ses-03,SSVEP
0.0005167047255980263,0.00015314425771829248,1,POP,7.178549339427547e-16,0.9991585943727012,0.0,sub-11,0.9979701723789581,ses-03,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-11,1.0,ses-04,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-11,1.0,ses-04,ERP
0.029578761939158933,0.052990385801415005,1,MATCH,6.720084898562212e-16,0.9884445357050593,0.0,sub-11,0.9539710579394114,ses-04,SSVEP
0.014894609332604718,0.02036719163059742,1,POP,5.433849972146878e-16,0.9975234263485518,0.0,sub-11,0.9804931783680996,ses-04,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-12,1.0,ses-02,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-12,1.0,ses-02,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-12,1.0,ses-02,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-12,1.0,ses-02,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-12,1.0,ses-03,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-12,1.0,ses-03,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-12,1.0,ses-03,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-12,1.0,ses-03,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-12,1.0,ses-04,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-12,1.0,ses-04,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-12,1.0,ses-04,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-12,1.0,ses-04,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-14,1.0,ses-02,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-14,1.0,ses-02,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-14,1.0,ses-02,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-14,1.0,ses-02,SSVEP
0.00936752397989784,0.03272851055517062,1,MATCH,7.673241433570314e-16,0.9956930764828,0.0,sub-14,0.9767626207103791,ses-03,ERP
0.004257799633345352,0.014687491463767948,1,POP,5.368683291102895e-16,0.9993690340192023,0.0,sub-14,0.9890913122089929,ses-03,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-14,1.0,ses-03,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-14,1.0,ses-03,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-14,1.0,ses-04,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-14,1.0,ses-04,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-14,1.0,ses-04,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-14,1.0,ses-04,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-15,1.0,ses-02,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-15,1.0,ses-02,ERP
0.018803700980940398,0.005249359734104948,1,MATCH,6.669666297793098e-16,0.9776734976287768,0.0,sub-15,0.9860754135704376,ses-02,SSVEP
0.0020174959265108565,0.0005208941330157593,1,POP,1.026988640322636e-15,0.9988271419644627,0.0,sub-15,0.9985265576764961,ses-02,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-15,1.0,ses-03,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-15,1.0,ses-03,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-15,1.0,ses-03,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-15,1.0,ses-03,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-15,1.0,ses-04,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-15,1.0,ses-04,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-15,1.0,ses-04,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-15,1.0,ses-04,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-17,1.0,ses-02,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-17,1.0,ses-02,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-17,1.0,ses-02,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-17,1.0,ses-02,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-17,1.0,ses-03,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-17,1.0,ses-03,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-17,1.0,ses-03,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-17,1.0,ses-03,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-17,1.0,ses-04,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-17,1.0,ses-04,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-17,1.0,ses-04,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-17,1.0,ses-04,SSVEP
0.0,0.0,1,MATCH,5.803375723691374e-16,0.991470664824207,0.0,sub-18,1.0,ses-02,ERP
0.0,0.0,1,POP,9.82125882610466e-16,0.990319850136952,0.0,sub-18,1.0,ses-02,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-18,1.0,ses-02,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-18,1.0,ses-02,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-18,1.0,ses-03,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-18,1.0,ses-03,ERP
0.003106698502122484,0.008012642759000153,1,MATCH,1.0357986708812263e-15,0.9999757585391401,0.0,sub-18,0.9898786426822238,ses-03,SSVEP
0.002403609918917791,0.005893041357057084,1,POP,3.053355010872499e-16,0.9999585228058131,0.0,sub-18,0.9927939130805779,ses-03,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-18,1.0,ses-04,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-18,1.0,ses-04,ERP
0.0035897444957195173,0.007692122804881299,1,MATCH,2.834202919279606e-16,0.9712621013824649,0.0,sub-18,0.9715156739825778,ses-04,SSVEP
0.0023236576874653882,0.002520548787627876,1,POP,5.830403364813821e-16,0.9936745117503273,0.0,sub-18,0.9894083044009471,ses-04,SSVEP
0.00037250574875481376,0.00048674200328386864,1,MATCH,4.2964802614502865e-16,0.9976304844569285,0.0,sub-19,0.9977942064994009,ses-02,ERP
0.0003167158237066844,0.00038145211679534787,1,POP,4.84205890806901e-16,0.998190936808169,0.0,sub-19,0.998122826171435,ses-02,ERP
0.01160792761783281,0.07720553375845754,1,MATCH,6.157885808129362e-16,0.9689339123232664,0.0,sub-19,0.9528971654894901,ses-02,SSVEP
0.004238793897458256,0.024612396970186315,1,POP,5.623233889215101e-16,0.9987635497058746,0.0,sub-19,0.9817758650995355,ses-02,SSVEP
0.010541803907640012,0.04763653097353642,1,MATCH,1.152735329315554e-15,0.9995430581793836,0.0,sub-19,0.9661611803917629,ses-03,ERP
0.013222650401028517,0.05854426202475824,1,POP,3.8916768203122803e-16,0.9927421904175333,0.0,sub-19,0.958208563010205,ses-03,ERP
0.008838749909083739,0.10009863527636455,1,MATCH,9.126839775473073e-16,0.9752542023573245,0.0,sub-19,0.923980105305934,ses-03,SSVEP
0.005673418608886715,0.0856247498423602,1,POP,5.598446666365365e-16,0.9734156159291555,0.0,sub-19,0.9192780957754066,ses-03,SSVEP
0.00717458730339441,0.03665992248790124,1,MATCH,8.181448266787292e-16,0.9967337228846289,0.0,sub-19,0.973323401954622,ses-04,ERP
0.007837261806513647,0.04324360454307889,1,POP,3.729093337547206e-16,0.9935269329333748,0.0,sub-19,0.9694361204420309,ses-04,ERP
0.08368391149948703,0.16841937532410312,1,MATCH,4.074053427880024e-16,0.9248102802361142,0.0,sub-19,0.8992236693594097,ses-04,SSVEP
0.04429226185075308,0.07476813556967987,1,POP,7.794201393176758e-16,0.9707552619884859,0.0,sub-19,0.9538640343693465,ses-04,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-21,1.0,ses-02,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-21,1.0,ses-02,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-21,1.0,ses-02,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-21,1.0,ses-02,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-21,1.0,ses-03,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-21,1.0,ses-03,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-21,1.0,ses-03,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-21,1.0,ses-03,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-21,1.0,ses-04,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-21,1.0,ses-04,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-21,1.0,ses-04,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-21,1.0,ses-04,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-23,1.0,ses-02,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-23,1.0,ses-02,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-23,1.0,ses-02,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-23,1.0,ses-02,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-23,1.0,ses-03,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-23,1.0,ses-03,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-23,1.0,ses-03,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-23,1.0,ses-03,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-23,1.0,ses-04,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-23,1.0,ses-04,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-23,1.0,ses-04,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-23,1.0,ses-04,SSVEP
