channels,donor_fallback_count,donors,operator_family,participant,path,rank,regressors,session,sha256,task
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-12/ses-02_ERP.npz,4,4,ses-02,2f900256fa77bc6cc038fce04de05d7c6a5e27764189d1245856d1e0c476745e,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-12/ses-02_SSVEP.npz,4,4,ses-02,d5058eb3af4430f770225887df1b81edb47fd4044ebbd41acca1411624a019be,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-12/ses-03_ERP.npz,4,4,ses-03,9ab8085b59cdfd262c64c5053f4ea7d915e1999dbecffd0bd732b5dc08a459f8,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-12/ses-03_SSVEP.npz,4,4,ses-03,f3e31f435b91d3e996ec765197682c09189f9274f5d10ef583931aa59e6a46f6,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-12/ses-04_ERP.npz,4,4,ses-04,7252a320684a56be02d544297b644343c82ee3ea3c7888b7e2b2287009470d21,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-12/ses-04_SSVEP.npz,4,4,ses-04,ab8a5eda35658046d75212589be46e6d81b34803606ea7d3373a8c163942553f,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-14/ses-02_ERP.npz,4,4,ses-02,f78a673690fd2a312c5423d7c30e6f3a1118dafa3df2dcceae1158df4063b62a,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-14/ses-02_SSVEP.npz,4,4,ses-02,3b6a1a2d593c7b57a00572b686ffd367cf9cf6b1d6e679fe89d69e2a073fa2d0,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-14/ses-03_ERP.npz,4,4,ses-03,4b9a667d0032df732b73593ba903194862aa5467b58c7453bc1661667f64cdeb,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-14/ses-03_SSVEP.npz,4,4,ses-03,2df06dd8c3c024a3378ce8dc9d358f5bdf7bdb2914340beef71532dae0603bac,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-14/ses-04_ERP.npz,4,4,ses-04,e6341e1e3a5387c5a4d80d1fc327090fc9de4ece1984afdd047e051c7614b3b9,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-14/ses-04_SSVEP.npz,4,4,ses-04,483fcba3718cdd16ab069ae7cf0b369f8ff4fd650dce23f9543cf14e52e98f35,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-15/ses-02_ERP.npz,4,4,ses-02,3b4ec3ee58713d73e9808924b2e2eff2500be7743d05e90e0b3dd796cb2f0938,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-15/ses-02_SSVEP.npz,4,4,ses-02,244abf96dd7b33f83747ff70265ab6743ec474d04fcca9f6af333f68a2a93c7c,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-15/ses-03_ERP.npz,4,4,ses-03,2fb8b80ac4a1c134351adcffa600c75601970339b8af7e52bbc861eee615d5e0,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-15/ses-03_SSVEP.npz,4,4,ses-03,4c1614df3fc9ef44e998da8bdce70cd52f08adce53617ba79b54710b1ab0f32b,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-15/ses-04_ERP.npz,4,4,ses-04,37624231e8d063d201c9aa6276b23186f80c109c9542eca46cd9a74acbfba9f0,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-15/ses-04_SSVEP.npz,4,4,ses-04,54842152c682caf23b8ef4428928810cb52df5d25615ac6b775a6269e725ad9f,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-17/ses-02_ERP.npz,4,4,ses-02,108fba45039de6bf6eefe6cc8acdeb6624d6a4940561f518bf80085ead970e3f,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-17/ses-02_SSVEP.npz,4,4,ses-02,7d4f0600822957590ffe3204666c60cbbf835e0ed90b098f22da236ebaa5747b,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-17/ses-03_ERP.npz,4,4,ses-03,01a6660b000b594e7694b309e649054dbea50a8dc0bc27a976ea108b76b9fa2e,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-17/ses-03_SSVEP.npz,4,4,ses-03,cd8e1e3d45d647ec05ff535347b2f64be93780c4f0d8fba40893d4d15a24062e,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-17/ses-04_ERP.npz,4,4,ses-04,92d9b66cbf1d59bf36ad9495f7aa2e8ce2ec2dc93677455e810376f97614c71a,ERP
