masked_samples,participant,path,prevalence,samples,session,sha256,task
0,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-06/ses-02_SSVEP.npz,0.0,23785,ses-02,f478d44633f47e0d40cdecbacc8ed10d501e762a0c9c0925484faef646c1f1f7,SSVEP
0,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-06/ses-03_ERP.npz,0.0,38059,ses-03,0fd8f2fa930b6efc9c53ba590a67f49bda7177031f6aecba46bb8341217aa98c,ERP
0,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-06/ses-03_SSVEP.npz,0.0,24507,ses-03,b0e36e075ab4672d30f7c77dc9ace55e4bb22a80a01e2db6c3d1852143e30170,SSVEP
0,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-06/ses-04_ERP.npz,0.0,39371,ses-04,662a3ea523252c6a9e3c8ee3a6b6de2ada2d0ec4441bcd474d4ccec6846127a5,ERP
240,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-06/ses-04_SSVEP.npz,0.01002171371304493,23948,ses-04,feed1c7ad62ce70d441c6f56f02a267e5b127eac37831b71f453f8bf95ea4147,SSVEP
0,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-07/ses-02_ERP.npz,0.0,39409,ses-02,56ef79841fb07509099c4f1247345dfd61ec11a91f26c93a1e577a02de96af03,ERP
0,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-07/ses-02_SSVEP.npz,0.0,23728,ses-02,42b94700ca058864befa9d6639a210ad43618d9f8ba19a7cdaca513f70aea000,SSVEP
0,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-07/ses-03_ERP.npz,0.0,39758,ses-03,39d008daa1babbb158d1381e776390445fdf9bc03d8ddb2ce7617741748a359c,ERP
0,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-07/ses-03_SSVEP.npz,0.0,23731,ses-03,23b2c3d8cef02a0dd76c0cd9bc84a518e6e76720ab31e6f508c8dcd0d08a815a,SSVEP
0,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-07/ses-04_ERP.npz,0.0,37239,ses-04,9c04d65dd89dbb51af495f66459cfb555ac079ef8ac2ec7be3b66a1ae5097fe9,ERP
0,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-07/ses-04_SSVEP.npz,0.0,23248,ses-04,7b436dea6a8136df2c136049fed6da6e7fd3280ef47892f339269c4b8101bdf7,SSVEP
0,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-09/ses-02_ERP.npz,0.0,38153,ses-02,5a39dbaa3fac05aa7a49959bea6cd74de1e3bfa8534c6f54c20568ac0ff3871e,ERP
0,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-09/ses-02_SSVEP.npz,0.0,23788,ses-02,09955f7551a3c317e875d3b163c4d8354e374c542c8b4331a180d1e711f1412c,SSVEP
12320,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-09/ses-03_ERP.npz,0.3220494053064959,38255,ses-03,e47d9cde32fbd71ee32df07fd850fd666d0bc747d5b03e72999c94ff4ebe6558,ERP
680,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-09/ses-03_SSVEP.npz,0.028406717353162338,23938,ses-03,a0c522c08a98ee1ef61fbd378a14bc5236d36631ebde1ca02d0066a81291496a,SSVEP
7240,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-09/ses-04_ERP.npz,0.19058148411382242,37989,ses-04,9fb527c536378a2168062990a1b7294f9484bfc24cd5379e1c2b81104e842b84,ERP
7400,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-09/ses-04_SSVEP.npz,0.3129228687415426,23648,ses-04,3d5dcd99ad764b5bcd1df9e0cc9c27a80b75132498ac310719d67d9bb1886fe7,SSVEP
0,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-11/ses-02_ERP.npz,0.0,15928,ses-02,0c20b9dfb60cc1cf992814961145ae50f51e7fb7687a3895171827d9cbd635bd,ERP
240,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-11/ses-02_SSVEP.npz,0.008714280527213972,27541,ses-02,2f5900535468a911ae4eac644730d5ba785f0ed550b1e90b904858b88cf5fcb8,SSVEP
0,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-11/ses-03_ERP.npz,0.0,15555,ses-03,5a90807edb0ffc38e442b4278320709cc0d9f45c876a1008b03763015b611297,ERP
720,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-11/ses-03_SSVEP.npz,0.02748091603053435,26200,ses-03,3320ffd53d8f15c8c0212bf3595f6031a9445e50bdc4cc0a2f7d4b0a5c39e1ec,SSVEP
0,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-11/ses-04_ERP.npz,0.0,16809,ses-04,93daf74f9d9b193e7f50c69627cc7d2ba13542332c6af48beca10cc4b292a194,ERP
1160,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-11/ses-04_SSVEP.npz,0.03905329428003906,29703,ses-04,8580d4b7c30d23a04d81919511c88370ba9123c95bc7cb2b3c2e91b36be1d16b,SSVEP
0,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-12/ses-02_ERP.npz,0.0,38339,ses-02,1d2e87b4a3335e7197b6a3ee2875cb11d4804a67255e22a3462257fd43b71835,ERP
0,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-12/ses-02_SSVEP.npz,0.0,24737,ses-02,6bdc8d00f556e67b619aef28909c4ac7d4ad003824dd8be7efdd1b256d3d0e7b,SSVEP
0,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-12/ses-03_ERP.npz,0.0,40137,ses-03,afd9af8a099e7c3eb0d6a6c097f2a2e421f2ef06930aedbbe43890e4a473a0dc,ERP
0,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-12/ses-03_SSVEP.npz,0.0,23788,ses-03,3f10b842dc96e863fcf774fa2e29e1c3ea93d738ed7932720ac871b9ef6a18a4,SSVEP
0,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-12/ses-04_ERP.npz,0.0,45524,ses-04,866626026fa6ef3568acec9f529c71cceb9002d515677953d03d654ca5255e1e,ERP
0,sub-12,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-12/ses-04_SSVEP.npz,0.0,23853,ses-04,3e74e07e2d14ad4f3eae81f4bc8c80245fdc844aacc0152834503e7d1e73cd4e,SSVEP
0,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-14/ses-02_ERP.npz,0.0,44465,ses-02,75bce39e4714ca8f35bd186241481af804d1ab303568d8353b991724e5ed9e5c,ERP
0,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-14/ses-02_SSVEP.npz,0.0,24117,ses-02,94d86efa65a7f7e73aadd4061b8b5d2b7f4338053867716de486c68c35ce9234,SSVEP
15880,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-14/ses-03_ERP.npz,0.41962846497370715,37843,ses-03,6cd3e2c68b859feba109d491cc201e8c7d9e1c9d79103d228baed3e8d60aa7b6,ERP
0,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-14/ses-03_SSVEP.npz,0.0,23585,ses-03,497b7956f1f6e008c0e0293e7802c6bb67173eeb108ea2d23acbbcfb5d341ae1,SSVEP
0,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-14/ses-04_ERP.npz,0.0,37431,ses-04,e4bd755b9c8cc44e5b40aab8bf358ac1751353cdd6facda01c562cd4c0feea47,ERP
0,sub-14,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-14/ses-04_SSVEP.npz,0.0,23528,ses-04,a5242c042530f4d9c5e817aaa5aa9551dff7b9b0283c4f2608405538cd262f3f,SSVEP
0,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-15/ses-02_ERP.npz,0.0,38773,ses-02,7ddf7af160c3a059a466783deda77df6eb700e29c04358b41ddf8bc69ea354bf,ERP
440,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-15/ses-02_SSVEP.npz,0.017052280742549317,25803,ses-02,8d0939b14c42c99a7c98431d3525eaede2881c80d656fffe88b60c0939787a08,SSVEP
0,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-15/ses-03_ERP.npz,0.0,38535,ses-03,34002db8bebd3454a86acc436b82f44dbe140912623f1780d4a965073405728d,ERP
0,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-15/ses-03_SSVEP.npz,0.0,23410,ses-03,1c0cfcd412bba6fb579f62dc3ca60045e60a652665a3a39c86a010fb3d250780,SSVEP
0,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-15/ses-04_ERP.npz,0.0,43085,ses-04,89a1a11e13a3da82378da8d1cd3cc35ee26054882aecbdd6c355d00c4b7f8f6c,ERP
0,sub-15,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-15/ses-04_SSVEP.npz,0.0,25909,ses-04,d3423b29a00dcd9e351739cb90c99efe660db3a39be858023cac3087376d2847,SSVEP
0,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-17/ses-02_ERP.npz,0.0,37990,ses-02,dff00de89342fa33b687590751f775900cbb81aaade89f9f6bfeedf30e7185be,ERP
0,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-17/ses-02_SSVEP.npz,0.0,24392,ses-02,1490f4a9afc2750f047280f21e309628012a4af55423629d4f8a0aacfab0b1d9,SSVEP
0,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-17/ses-03_ERP.npz,0.0,39887,ses-03,510940d2d2feb49f8bb822625682458f59f97c35bd9e3fae6001dbcdba4ef47b,ERP
0,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-17/ses-03_SSVEP.npz,0.0,23535,ses-03,a24cee99f6c5dff4ab8d9601158d605b795f7b20c0a9215cc5049fe2ecd5024e,SSVEP
0,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-17/ses-04_ERP.npz,0.0,38562,ses-04,ee56c8f69e1d4c0171b71e173073231da90ac80ca8d2ed422e6a42b416e13dfc,ERP
0,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-17/ses-04_SSVEP.npz,0.0,23695,ses-04,532534d39d8ef05bbb62d56b684c23dd3b82eaab1f4018b3c7ad1c1f7ef01722,SSVEP
920,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-18/ses-02_ERP.npz,0.015511718091384252,59310,ses-02,8792114a8d78b8145e256018997b02fda2d7f550bc0dfda9ce633c02f9fe8a9b,ERP
0,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-18/ses-02_SSVEP.npz,0.0,26235,ses-02,068cbc6698e0de21d808f3803a0f0ba55e6051072b90cdcdcf0125fb45c050e2,SSVEP
0,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-18/ses-03_ERP.npz,0.0,40538,ses-03,79d32b599c88e592d5ba19d774505b28c7e9070bd9f2c0420fb8f973ab6f885d,ERP
440,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-18/ses-03_SSVEP.npz,0.018193847171683757,24184,ses-03,f0c5786825fdccef2cea8b09ed59dfd66b2d16e5543a96dded0730acc9911ef0,SSVEP
0,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-18/ses-04_ERP.npz,0.0,39157,ses-04,954089b10021a0eb0f52def088d3e439b0887f1dee51c46ec91633c85013830e,ERP
720,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-18/ses-04_SSVEP.npz,0.03014696646149981,23883,ses-04,4f7221f6c26449e08296b0a03255a40b1f3798aafe2e2a49a31cc7dadf7e2a84,SSVEP
1120,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-19/ses-02_ERP.npz,0.02965866059370283,37763,ses-02,5826641d23ab5ca666d22096decce32d971bfa2925be84379a25d41bd41a8ac0,ERP
7400,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-19/ses-02_SSVEP.npz,0.20859760394644117,35475,ses-02,438da18aa6386bed6e275fe09de9a2b2ebcc00223318c7abd06731d7a994bf6b,SSVEP
880,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-19/ses-03_ERP.npz,0.01984126984126984,44352,ses-03,5b170b284377ab034577f3a0ba4f9676c54135e04ba722316a96c104c73f0f85,ERP
29800,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-19/ses-03_SSVEP.npz,0.9293912175648703,32064,ses-03,70c47053d2c7cefc4f9c498327b674603902bc6c6f53485d6331dde7944afade,SSVEP
16040,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-19/ses-04_ERP.npz,0.3941031941031941,40700,ses-04,2da6737498f440d259028ae4e18fe10c79f4953f0f555416b5fb2a62a5903d9d,ERP
26020,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-19/ses-04_SSVEP.npz,0.9956378663809596,26134,ses-04,ed73978f94ed7aa8358babd55810ecb0313b72a809c89e380ba68cda7133fc00,SSVEP
0,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-21/ses-02_ERP.npz,0.0,53255,ses-02,d500a086ef1fbb155ef0cc8621f527c520118eb7027863e11aa6ce49c4281e5e,ERP
0,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-21/ses-02_SSVEP.npz,0.0,24998,ses-02,85e29884e16786023b062c83498e40d5e48252f94bf30141f11bec5705e887c6,SSVEP
0,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-21/ses-03_ERP.npz,0.0,43527,ses-03,10fb81d34d2199064737032b0c0d7c2cdc7ff2ee3511a70afed752ab89d2aa98,ERP
0,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-21/ses-03_SSVEP.npz,0.0,24584,ses-03,cdea6a1be2db445501c5ad11b0d252780398332eaacb40312fe93dc2969a73f3,SSVEP
0,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-21/ses-04_ERP.npz,0.0,71058,ses-04,f6396f18224fb3de15bbd54c7d614b7fd1abfed2b6aa4a72341bccd6bd598d05,ERP
0,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-21/ses-04_SSVEP.npz,0.0,24208,ses-04,91a59d7d4b02965b9d1a0b2b487547eec041b1c74506cf0c7c7491a848eff21f,SSVEP
0,sub-23,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-23/ses-02_ERP.npz,0.0,39907,ses-02,598c2ed7412e7b1d10d3990a10a2319d1b1ac4ac012515539cc4d19eba506048,ERP
0,sub-23,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-23/ses-02_SSVEP.npz,0.0,29438,ses-02,a54cd9278cc71e76bb082330ea9c54491b33570d09fc8ca75d0e29f054051010,SSVEP
0,sub-23,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-23/ses-03_ERP.npz,0.0,41176,ses-03,0d2c46b1dacf3e3f68829dafaa6b81aa9f888b9d109b7de857676c56a850d261,ERP
0,sub-23,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-23/ses-03_SSVEP.npz,0.0,23705,ses-03,6f6f1e9357a83baf108aaaf524a81b83dfb136ee4c1b69e66d22e583da13aed7,SSVEP
0,sub-23,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-23/ses-04_ERP.npz,0.0,46247,ses-04,9b4f8db5153e5c888060511e1ddbfb5e6098e453174ccea20bac8249097604fb,ERP
0,sub-23,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-23/ses-04_SSVEP.npz,0.0,23980,ses-04,b778a115694865990db446970083756c19abc944c4319c4690c78222eb5ce46d,SSVEP
