recipient,risk,support_owner
sub-21,1.0,sub-23
sub-21,1.0,sub-24
sub-23,1.0,sub-02
sub-23,1.0,sub-03
sub-23,1.0,sub-05
sub-23,1.0,sub-06
sub-23,1.0,sub-07
sub-23,1.0,sub-09
sub-23,1.0,sub-11
sub-23,1.0,sub-12
sub-23,1.0,sub-14
sub-23,1.0,sub-15
sub-23,1.0,sub-17
sub-23,1.0,sub-18
sub-23,1.0,sub-19
sub-23,1.0,sub-21
sub-23,1.0,sub-23
sub-23,1.0,sub-24
