study,participant_stem,recording_key,gamma,status,split_half_stability,heldout_contamination_capture_loss,capture_weight,weighted_capture_component,support_score,support_score_formula,population_endpoint,structural_zero_stability,structural_zero_explanation
study03,study03_p03,study03/study03_p03,0.25,success,0.027856679252318797,0.00995620145042518,0.5,0.00497810072521259,0.032834779977531384,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p03,study03/study03_p03,0.5,success,0.05602018660986911,0.004418252229979217,0.5,0.0022091261149896086,0.05822931272485872,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p03,study03/study03_p03,0.75,success,0.08404030472415189,0.001092735106620286,0.5,0.000546367553310143,0.08458667227746203,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p03,study03/study03_p03,1.0,success,0.11147293108824201,2.3642727268253196e-31,0.5,1.1821363634126598e-31,0.11147293108824201,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p19,study03/study03_p19,0.0,success,0.0,0.049241348377515384,0.5,0.024620674188757692,0.024620674188757692,split_half_stability + capture_weight * heldout_contamination_capture_loss,True,True,"gamma=0 sets the full and both split-half shrinkage projectors to the same population projector, so its stability component is structurally zero; this is an endpoint property, not evidence that participant calibration is stable"
study03,study03_p19,study03/study03_p19,0.25,success,0.01052368342268451,0.028156695388848414,0.5,0.014078347694424207,0.024602031117108715,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p19,study03/study03_p19,0.5,success,0.021264406755159063,0.012473126843011505,0.5,0.006236563421505753,0.027500970176664814,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p19,study03/study03_p19,0.75,success,0.03196482113312877,0.0030460335349721855,0.5,0.0015230167674860928,0.03348783790061486,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p19,study03/study03_p19,1.0,success,0.04236886063837475,7.296262425294425e-32,0.5,3.6481312126472126e-32,0.04236886063837475,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p20,study03/study03_p20,0.0,success,0.0,0.02047272088259209,0.5,0.010236360441296045,0.010236360441296045,split_half_stability + capture_weight * heldout_contamination_capture_loss,True,True,"gamma=0 sets the full and both split-half shrinkage projectors to the same population projector, so its stability component is structurally zero; this is an endpoint property, not evidence that participant calibration is stable"
study03,study03_p20,study03/study03_p20,0.25,success,0.01876189244706002,0.0116123276439252,0.5,0.0058061638219626,0.02456805626902262,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p20,study03/study03_p20,0.5,success,0.0376645312082931,0.005152439024948252,0.5,0.002576219512474126,0.04024075072076722,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p20,study03/study03_p20,0.75,success,0.0565076927387743,0.00127300336201876,0.5,0.00063650168100938,0.057144194419783675,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p20,study03/study03_p20,1.0,success,0.07509328327468318,1.3196291872371938e-31,0.5,6.598145936185969e-32,0.07509328327468318,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p21,study03/study03_p21,0.0,success,0.0,0.03856031056872967,0.5,0.019280155284364834,0.019280155284364834,split_half_stability + capture_weight * heldout_contamination_capture_loss,True,True,"gamma=0 sets the full and both split-half shrinkage projectors to the same population projector, so its stability component is structurally zero; this is an endpoint property, not evidence that participant calibration is stable"
study03,study03_p21,study03/study03_p21,0.25,success,0.006877760619830934,0.02199890194585396,0.5,0.01099945097292698,0.017877211592757913,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p21,study03/study03_p21,0.5,success,0.013927643713754349,0.009749713838054026,0.5,0.004874856919027013,0.018802500632781362,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p21,study03/study03_p21,0.75,success,0.020935521061484764,0.002388809347761915,0.5,0.0011944046738809576,0.02212992573536572,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p21,study03/study03_p21,1.0,success,0.027690513635849786,1.1033260341525802e-31,0.5,5.516630170762901e-32,0.027690513635849786,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p22,study03/study03_p22,0.0,success,0.0,0.02551675530386368,0.5,0.01275837765193184,0.01275837765193184,split_half_stability + capture_weight * heldout_contamination_capture_loss,True,True,"gamma=0 sets the full and both split-half shrinkage projectors to the same population projector, so its stability component is structurally zero; this is an endpoint property, not evidence that participant calibration is stable"
study03,study03_p22,study03/study03_p22,0.25,success,0.012485279486738943,0.014489792794114012,0.5,0.007244896397057006,0.01973017588379595,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p22,study03/study03_p22,0.5,success,0.02514819129813143,0.006427722499845863,0.5,0.0032138612499229315,0.02836205254805436,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p22,study03/study03_p22,0.75,success,0.037749529024916594,0.0015854961253704927,0.5,0.0007927480626852463,0.03854227708760184,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p22,study03/study03_p22,1.0,success,0.05005443504496527,3.3333738985535998e-31,0.5,1.6666869492767999e-31,0.05005443504496527,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p23,study03/study03_p23,0.0,success,0.0,0.06959905736835699,0.5,0.034799528684178495,0.034799528684178495,split_half_stability + capture_weight * heldout_contamination_capture_loss,True,True,"gamma=0 sets the full and both split-half shrinkage projectors to the same population projector, so its stability component is structurally zero; this is an endpoint property, not evidence that participant calibration is stable"
study03,study03_p23,study03/study03_p23,0.25,success,0.05606491681910271,0.040544305891722046,0.5,0.020272152945861023,0.07633706976496374,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p23,study03/study03_p23,0.5,success,0.11613578994511325,0.017894293356869873,0.5,0.008947146678434936,0.1250829366235482,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p23,study03/study03_p23,0.75,success,0.17513726530302476,0.004249796747740688,0.5,0.002124898373870344,0.1772621636768951,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p23,study03/study03_p23,1.0,success,0.22826862711878565,8.021225447769245e-32,0.5,4.0106127238846223e-32,0.22826862711878565,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p24,study03/study03_p24,0.0,success,0.0,0.012363855814609324,0.5,0.006181927907304662,0.006181927907304662,split_half_stability + capture_weight * heldout_contamination_capture_loss,True,True,"gamma=0 sets the full and both split-half shrinkage projectors to the same population projector, so its stability component is structurally zero; this is an endpoint property, not evidence that participant calibration is stable"
study03,study03_p24,study03/study03_p24,0.25,success,0.018897629480660275,0.007009543943302792,0.5,0.003504771971651396,0.02240240145231167,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p24,study03/study03_p24,0.5,success,0.03794661723505427,0.003110458305094062,0.5,0.001555229152547031,0.0395018463876013,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p24,study03/study03_p24,0.75,success,0.05694632950977658,0.0007690047550881702,0.5,0.0003845023775440851,0.05733083188732067,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p24,study03/study03_p24,1.0,success,0.07569805991364824,2.3580910466522634e-31,0.5,1.1790455233261317e-31,0.07569805991364824,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p25,study03/study03_p25,0.0,success,0.0,0.03226349430966906,0.5,0.01613174715483453,0.01613174715483453,split_half_stability + capture_weight * heldout_contamination_capture_loss,True,True,"gamma=0 sets the full and both split-half shrinkage projectors to the same population projector, so its stability component is structurally zero; this is an endpoint property, not evidence that participant calibration is stable"
study03,study03_p25,study03/study03_p25,0.25,success,0.04579789481923626,0.018422403566566225,0.5,0.009211201783283112,0.055009096602519375,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p25,study03/study03_p25,0.5,success,0.09255563856881224,0.008163241540717436,0.5,0.004081620770358718,0.09663725933917096,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p25,study03/study03_p25,0.75,success,0.13880930721824525,0.00199761975640856,0.5,0.00099880987820428,0.13980811709644952,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p25,study03/study03_p25,1.0,success,0.18315157790671102,1.0997573567514086e-31,0.5,5.498786783757043e-32,0.18315157790671102,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p26,study03/study03_p26,0.0,success,0.0,0.026988304304875838,0.5,0.013494152152437919,0.013494152152437919,split_half_stability + capture_weight * heldout_contamination_capture_loss,True,True,"gamma=0 sets the full and both split-half shrinkage projectors to the same population projector, so its stability component is structurally zero; this is an endpoint property, not evidence that participant calibration is stable"
study03,study03_p26,study03/study03_p26,0.25,success,0.04434462777201223,0.015525012473055584,0.5,0.007762506236527792,0.05210713400854002,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p26,study03/study03_p26,0.5,success,0.0905873560319569,0.0068691421163682796,0.5,0.0034345710581841398,0.09402192709014104,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p26,study03/study03_p26,0.75,success,0.13604817401925878,0.0016624626022981497,0.5,0.0008312313011490748,0.13687940532040785,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p26,study03/study03_p26,1.0,success,0.17820213667416354,4.7673893934783925e-31,0.5,2.3836946967391963e-31,0.17820213667416354,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p27,study03/study03_p27,0.0,success,0.0,0.014226479932736577,0.5,0.007113239966368289,0.007113239966368289,split_half_stability + capture_weight * heldout_contamination_capture_loss,True,True,"gamma=0 sets the full and both split-half shrinkage projectors to the same population projector, so its stability component is structurally zero; this is an endpoint property, not evidence that participant calibration is stable"
study03,study03_p27,study03/study03_p27,0.25,success,0.01577255359296525,0.008065367525564424,0.5,0.004032683762782212,0.019805237355747463,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p27,study03/study03_p27,0.5,success,0.03186651426159069,0.0035789916756087375,0.5,0.0017894958378043687,0.03365601009939506,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p27,study03/study03_p27,0.75,success,0.047889635061065194,0.0008848707272961895,0.5,0.00044243536364809474,0.04833207042471329,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p27,study03/study03_p27,1.0,success,0.06345197785967101,1.0424340022243219e-31,0.5,5.212170011121609e-32,0.06345197785967101,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
