study,participant_stem,recording_key,metric,direction,matching_status,population_status,method_pair_success,finite_pair,matching_value,population_value,matching_minus_population,directional_improvement_positive_is_matching_better,pair_status
study05,study05_p45,study05/study05_p45,matching_projector_attenuation_db,higher,success,success,True,True,305.7197432125902,30.454209831221803,275.26553338136836,275.26553338136836,success_finite
study05,study05_p46,study05/study05_p46,matching_projector_attenuation_db,higher,success,success,True,True,303.98031777119684,44.72864969993683,259.25166807126,259.25166807126,success_finite
study05,study05_p47,study05/study05_p47,matching_projector_attenuation_db,higher,success,success,True,True,309.16629798412964,28.391237373261472,280.7750606108682,280.7750606108682,success_finite
study05,study05_p48,study05/study05_p48,matching_projector_attenuation_db,higher,success,success,True,True,317.9445461059874,37.12433671114605,280.82020939484136,280.82020939484136,success_finite
study05,study05_p49,study05/study05_p49,matching_projector_attenuation_db,higher,success,success,True,True,313.22348919498586,34.75254332027941,278.47094587470644,278.47094587470644,success_finite
study05,study05_p50,study05/study05_p50,matching_projector_attenuation_db,higher,success,success,True,True,303.6215825119627,30.61877221792703,273.00281029403567,273.00281029403567,success_finite
study02,study02_p02,study02/study02_p02,population_projector_attenuation_db,higher,success,success,True,True,38.19718312555506,306.3447381644444,-268.1475550388893,-268.1475550388893,success_finite
study02,study02_p03,study02/study02_p03,population_projector_attenuation_db,higher,success,success,True,True,28.7794135347303,308.91739971178856,-280.1379861770583,-280.1379861770583,success_finite
study02,study02_p06,study02/study02_p06,population_projector_attenuation_db,higher,success,success,True,True,33.89830482279769,314.29888290177496,-280.4005780789773,-280.4005780789773,success_finite
study02,study02_p07,study02/study02_p07,population_projector_attenuation_db,higher,success,success,True,True,32.70714593607268,309.05016069785387,-276.3430147617812,-276.3430147617812,success_finite
study02,study02_p08,study02/study02_p08,population_projector_attenuation_db,higher,success,success,True,True,33.96335988085003,309.26038140162007,-275.29702152077004,-275.29702152077004,success_finite
study02,study02_p09,study02/study02_p09,population_projector_attenuation_db,higher,success,success,True,True,25.38796132844325,311.5037232950436,-286.11576196660036,-286.11576196660036,success_finite
study02,study02_p10,study02/study02_p10,population_projector_attenuation_db,higher,success,success,True,True,25.75502158861479,310.5797663108089,-284.8247447221941,-284.8247447221941,success_finite
study02,study02_p11,study02/study02_p11,population_projector_attenuation_db,higher,success,success,True,True,23.111227821590333,308.4208454632489,-285.3096176416586,-285.3096176416586,success_finite
study02,study02_p12,study02/study02_p12,population_projector_attenuation_db,higher,success,success,True,True,31.63143954936547,312.8338116974378,-281.2023721480723,-281.2023721480723,success_finite
study02,study02_p13,study02/study02_p13,population_projector_attenuation_db,higher,success,success,True,True,36.042284203195685,303.5616000416651,-267.5193158384694,-267.5193158384694,success_finite
study02,study02_p14,study02/study02_p14,population_projector_attenuation_db,higher,success,success,True,True,24.170339636593354,311.1626888934354,-286.9923492568421,-286.9923492568421,success_finite
study02,study02_p15,study02/study02_p15,population_projector_attenuation_db,higher,success,success,True,True,35.53704617429405,309.8228310197019,-274.2857848454078,-274.2857848454078,success_finite
study02,study02_p16,study02/study02_p16,population_projector_attenuation_db,higher,success,success,True,True,37.196472347677016,312.18938506203637,-274.99291271435936,-274.99291271435936,success_finite
study02,study02_p17,study02/study02_p17,population_projector_attenuation_db,higher,success,success,True,True,30.551205762461194,304.63493744442366,-274.0837316819625,-274.0837316819625,success_finite
study02,study02_p18,study02/study02_p18,population_projector_attenuation_db,higher,success,success,True,True,27.808337052413293,314.44096434225617,-286.63262728984284,-286.63262728984284,success_finite
study04,study04_p03,study04/study04_p03,population_projector_attenuation_db,higher,success,success,True,True,25.843755329817228,311.723933360859,-285.8801780310418,-285.8801780310418,success_finite
study04,study04_p08,study04/study04_p08,population_projector_attenuation_db,higher,success,success,True,True,23.030736046803213,313.130738742979,-290.1000026961758,-290.1000026961758,success_finite
study04,study04_p24,study04/study04_p24,population_projector_attenuation_db,higher,success,success,True,True,24.45372480805968,315.4011617735707,-290.94743696551103,-290.94743696551103,success_finite
study04,study04_p28,study04/study04_p28,population_projector_attenuation_db,higher,success,success,True,True,26.25873141313302,312.2023023134735,-285.9435709003405,-285.9435709003405,success_finite
study04,study04_p29,study04/study04_p29,population_projector_attenuation_db,higher,success,success,True,True,26.26540701703416,309.51267958755403,-283.2472725705199,-283.2472725705199,success_finite
study04,study04_p30,study04/study04_p30,population_projector_attenuation_db,higher,success,success,True,True,18.334331461591773,315.98623222607876,-297.651900764487,-297.651900764487,success_finite
study04,study04_p31,study04/study04_p31,population_projector_attenuation_db,higher,success,success,True,True,25.94907901911837,309.0591482079362,-283.1100691888178,-283.1100691888178,success_finite
study04,study04_p32,study04/study04_p32,population_projector_attenuation_db,higher,success,success,True,True,12.652924034853184,310.6772478479429,-298.0243238130897,-298.0243238130897,success_finite
study04,study04_p33,study04/study04_p33,population_projector_attenuation_db,higher,success,success,True,True,30.49088505642169,314.0259573409947,-283.535072284573,-283.535072284573,success_finite
study04,study04_p34,study04/study04_p34,population_projector_attenuation_db,higher,success,success,True,True,33.948468132571264,309.26067821259466,-275.3122100800234,-275.3122100800234,success_finite
study04,study04_p35,study04/study04_p35,population_projector_attenuation_db,higher,success,success,True,True,31.046604121375307,307.8639499479931,-276.8173458266178,-276.8173458266178,success_finite
study04,study04_p36,study04/study04_p36,population_projector_attenuation_db,higher,success,success,True,True,24.023973380823644,307.19279775114705,-283.1688243703234,-283.1688243703234,success_finite
study04,study04_p37,study04/study04_p37,population_projector_attenuation_db,higher,success,success,True,True,29.88407063498455,306.6265558797809,-276.74248524479634,-276.74248524479634,success_finite
study04,study04_p38,study04/study04_p38,population_projector_attenuation_db,higher,success,success,True,True,29.590750041253763,316.79463877216745,-287.20388873091366,-287.20388873091366,success_finite
study04,study04_p39,study04/study04_p39,population_projector_attenuation_db,higher,success,success,True,True,28.004641253036645,310.7356048352938,-282.7309635822572,-282.7309635822572,success_finite
study05,study05_p06,study05/study05_p06,population_projector_attenuation_db,higher,success,success,True,True,42.02129360650139,314.39214565139514,-272.37085204489375,-272.37085204489375,success_finite
study05,study05_p10,study05/study05_p10,population_projector_attenuation_db,higher,success,success,True,True,45.123296638135606,305.304274105722,-260.1809774675864,-260.1809774675864,success_finite
study05,study05_p24,study05/study05_p24,population_projector_attenuation_db,higher,success,success,True,True,29.21374327939031,305.2055580410911,-275.99181476170077,-275.99181476170077,success_finite
study05,study05_p40,study05/study05_p40,population_projector_attenuation_db,higher,success,success,True,True,39.954278746369624,304.9842108425138,-265.0299320961442,-265.0299320961442,success_finite
study05,study05_p41,study05/study05_p41,population_projector_attenuation_db,higher,success,success,True,True,38.17162302698742,317.4145698672812,-279.2429468402938,-279.2429468402938,success_finite
study05,study05_p43,study05/study05_p43,population_projector_attenuation_db,higher,success,success,True,True,31.943686238880463,310.9909094863237,-279.04722324744324,-279.04722324744324,success_finite
study05,study05_p44,study05/study05_p44,population_projector_attenuation_db,higher,success,success,True,True,36.14246257713558,312.0537231765763,-275.9112605994407,-275.9112605994407,success_finite
study05,study05_p45,study05/study05_p45,population_projector_attenuation_db,higher,success,success,True,True,31.382434385158074,310.92877508568273,-279.54634070052464,-279.54634070052464,success_finite
study05,study05_p46,study05/study05_p46,population_projector_attenuation_db,higher,success,success,True,True,45.029933310780905,315.23248567403,-270.2025523632491,-270.2025523632491,success_finite
study05,study05_p47,study05/study05_p47,population_projector_attenuation_db,higher,success,success,True,True,28.8436077547663,316.983779120712,-288.14017136594566,-288.14017136594566,success_finite
study05,study05_p48,study05/study05_p48,population_projector_attenuation_db,higher,success,success,True,True,38.70456945100643,304.73115738620265,-266.02658793519623,-266.02658793519623,success_finite
study05,study05_p49,study05/study05_p49,population_projector_attenuation_db,higher,success,success,True,True,35.355674064487104,305.646295249898,-270.2906211854109,-270.2906211854109,success_finite
study05,study05_p50,study05/study05_p50,population_projector_attenuation_db,higher,success,success,True,True,31.022512561459234,309.971950871712,-278.9494383102528,-278.9494383102528,success_finite
study02,study02_p02,study02/study02_p02,nonartifact_observation_preservation,higher,success,success,True,True,0.2647487775522368,0.2729920668564899,-0.00824328930425311,-0.00824328930425311,success_finite
study02,study02_p03,study02/study02_p03,nonartifact_observation_preservation,higher,success,success,True,True,0.34056334499963115,0.3027753482576431,0.03778799674198807,0.03778799674198807,success_finite
study02,study02_p06,study02/study02_p06,nonartifact_observation_preservation,higher,success,success,True,True,0.2945174738554678,0.30133577769738784,-0.006818303841920059,-0.006818303841920059,success_finite
study02,study02_p07,study02/study02_p07,nonartifact_observation_preservation,higher,success,success,True,True,0.34550637881303625,0.3804379693302178,-0.03493159051718153,-0.03493159051718153,success_finite
study02,study02_p08,study02/study02_p08,nonartifact_observation_preservation,higher,success,success,True,True,0.24857019012642068,0.3016765730262364,-0.05310638289981573,-0.05310638289981573,success_finite
study02,study02_p09,study02/study02_p09,nonartifact_observation_preservation,higher,success,success,True,True,0.22896783380136543,0.24280183220949636,-0.013833998408130932,-0.013833998408130932,success_finite
study02,study02_p10,study02/study02_p10,nonartifact_observation_preservation,higher,success,success,True,True,0.37486504475735916,0.3609601448907558,0.01390489986660337,0.01390489986660337,success_finite
study02,study02_p11,study02/study02_p11,nonartifact_observation_preservation,higher,success,success,True,True,0.3034474411312128,0.35741166095851873,-0.053964219827305926,-0.053964219827305926,success_finite
study02,study02_p12,study02/study02_p12,nonartifact_observation_preservation,higher,success,success,True,True,0.3267376729774294,0.28917637487380976,0.037561298103619634,0.037561298103619634,success_finite
study02,study02_p13,study02/study02_p13,nonartifact_observation_preservation,higher,success,success,True,True,0.29353865770299215,0.2974228594703041,-0.0038842017673119678,-0.0038842017673119678,success_finite
study02,study02_p14,study02/study02_p14,nonartifact_observation_preservation,higher,success,success,True,True,0.26457384942362105,0.30852488872505557,-0.043951039301434514,-0.043951039301434514,success_finite
study02,study02_p15,study02/study02_p15,nonartifact_observation_preservation,higher,success,success,True,True,0.3166075857279398,0.3138782010661465,0.002729384661793288,0.002729384661793288,success_finite
study02,study02_p16,study02/study02_p16,nonartifact_observation_preservation,higher,success,success,True,True,0.30288967942752987,0.29448290698667623,0.008406772440853638,0.008406772440853638,success_finite
study02,study02_p17,study02/study02_p17,nonartifact_observation_preservation,higher,success,success,True,True,0.3621527176619087,0.33696787379745796,0.025184843864450746,0.025184843864450746,success_finite
study02,study02_p18,study02/study02_p18,nonartifact_observation_preservation,higher,success,success,True,True,0.31394326735486733,0.2835781389030744,0.030365128451792955,0.030365128451792955,success_finite
study04,study04_p03,study04/study04_p03,nonartifact_observation_preservation,higher,success,success,True,True,0.36044720084893267,0.3462055165202954,0.01424168432863726,0.01424168432863726,success_finite
study04,study04_p08,study04/study04_p08,nonartifact_observation_preservation,higher,success,success,True,True,0.29509797694284934,0.2975961925156111,-0.0024982155727617528,-0.0024982155727617528,success_finite
study04,study04_p24,study04/study04_p24,nonartifact_observation_preservation,higher,success,success,True,True,0.2752280358135375,0.27666963772167363,-0.0014416019081361364,-0.0014416019081361364,success_finite
study04,study04_p28,study04/study04_p28,nonartifact_observation_preservation,higher,success,success,True,True,0.3405372097898848,0.3152243252405472,0.025312884549337555,0.025312884549337555,success_finite
study04,study04_p29,study04/study04_p29,nonartifact_observation_preservation,higher,success,success,True,True,0.29344612248204105,0.2748555230980507,0.018590599383990325,0.018590599383990325,success_finite
study04,study04_p30,study04/study04_p30,nonartifact_observation_preservation,higher,success,success,True,True,0.28495932389464074,0.2633575263023953,0.021601797592245453,0.021601797592245453,success_finite
study04,study04_p31,study04/study04_p31,nonartifact_observation_preservation,higher,success,success,True,True,0.24081749892603366,0.22715881474992872,0.01365868417610494,0.01365868417610494,success_finite
study04,study04_p32,study04/study04_p32,nonartifact_observation_preservation,higher,success,success,True,True,0.33022067902904895,0.29323135287474544,0.0369893261543035,0.0369893261543035,success_finite
study04,study04_p33,study04/study04_p33,nonartifact_observation_preservation,higher,success,success,True,True,0.4228999225605311,0.3827453781348369,0.040154544425694216,0.040154544425694216,success_finite
study04,study04_p34,study04/study04_p34,nonartifact_observation_preservation,higher,success,success,True,True,0.4230158833246479,0.3906863546096696,0.032329528714978295,0.032329528714978295,success_finite
study04,study04_p35,study04/study04_p35,nonartifact_observation_preservation,higher,success,success,True,True,0.23603164600539717,0.266464687115858,-0.030433041110460857,-0.030433041110460857,success_finite
study04,study04_p36,study04/study04_p36,nonartifact_observation_preservation,higher,success,success,True,True,0.28498280484270944,0.27528303238952445,0.009699772453184985,0.009699772453184985,success_finite
study04,study04_p37,study04/study04_p37,nonartifact_observation_preservation,higher,success,success,True,True,0.2545101621478906,0.2739006870280897,-0.0193905248801991,-0.0193905248801991,success_finite
study04,study04_p38,study04/study04_p38,nonartifact_observation_preservation,higher,success,success,True,True,0.23053119361802543,0.26516295356915276,-0.03463175995112733,-0.03463175995112733,success_finite
study04,study04_p39,study04/study04_p39,nonartifact_observation_preservation,higher,success,success,True,True,0.33400155349795146,0.325882294322967,0.008119259174984461,0.008119259174984461,success_finite
study05,study05_p06,study05/study05_p06,nonartifact_observation_preservation,higher,success,success,True,True,0.16273225305375594,0.17009715273358916,-0.007364899679833226,-0.007364899679833226,success_finite
study05,study05_p10,study05/study05_p10,nonartifact_observation_preservation,higher,success,success,True,True,0.2503813723488453,0.25053752655864736,-0.00015615420980208405,-0.00015615420980208405,success_finite
study05,study05_p24,study05/study05_p24,nonartifact_observation_preservation,higher,success,success,True,True,0.27667120110861476,0.27278223234302235,0.0038889687655924154,0.0038889687655924154,success_finite
study05,study05_p40,study05/study05_p40,nonartifact_observation_preservation,higher,success,success,True,True,0.2477668582448319,0.24388206172993632,0.0038847965148955943,0.0038847965148955943,success_finite
study05,study05_p41,study05/study05_p41,nonartifact_observation_preservation,higher,success,success,True,True,0.1846171202412379,0.19027751640571877,-0.005660396164480885,-0.005660396164480885,success_finite
study05,study05_p43,study05/study05_p43,nonartifact_observation_preservation,higher,success,success,True,True,0.2116769597407293,0.21501143797446232,-0.003334478233733007,-0.003334478233733007,success_finite
study05,study05_p44,study05/study05_p44,nonartifact_observation_preservation,higher,success,success,True,True,0.18331349625391014,0.1759719748633315,0.0073415213905786425,0.0073415213905786425,success_finite
study05,study05_p45,study05/study05_p45,nonartifact_observation_preservation,higher,success,success,True,True,0.18407456551935863,0.17680220346031172,0.007272362059046911,0.007272362059046911,success_finite
study05,study05_p46,study05/study05_p46,nonartifact_observation_preservation,higher,success,success,True,True,0.18448972467383284,0.18029750997529892,0.004192214698533925,0.004192214698533925,success_finite
study05,study05_p47,study05/study05_p47,nonartifact_observation_preservation,higher,success,success,True,True,0.16534206230363868,0.1704866652304362,-0.005144602926797526,-0.005144602926797526,success_finite
study05,study05_p48,study05/study05_p48,nonartifact_observation_preservation,higher,success,success,True,True,0.20440837712322235,0.21141281498328968,-0.007004437860067325,-0.007004437860067325,success_finite
study05,study05_p49,study05/study05_p49,nonartifact_observation_preservation,higher,success,success,True,True,0.14306454704115923,0.14691260369963344,-0.003848056658474208,-0.003848056658474208,success_finite
study05,study05_p50,study05/study05_p50,nonartifact_observation_preservation,higher,success,success,True,True,0.18010841538242905,0.1867421223999185,-0.006633707017489443,-0.006633707017489443,success_finite
study02,study02_p02,study02/study02_p02,eog_coherence_reduction,higher,success,success,True,True,0.33197917442984076,0.27776103625734394,0.05421813817249682,0.05421813817249682,success_finite
study02,study02_p03,study02/study02_p03,eog_coherence_reduction,higher,success,success,True,True,0.38884720892814056,0.23735847208964667,0.1514887368384939,0.1514887368384939,success_finite
study02,study02_p06,study02/study02_p06,eog_coherence_reduction,higher,success,success,True,True,0.4354806311300916,0.27457979930875814,0.16090083182133347,0.16090083182133347,success_finite
study02,study02_p07,study02/study02_p07,eog_coherence_reduction,higher,success,success,True,True,0.4031628672197898,0.37056844388116406,0.03259442333862572,0.03259442333862572,success_finite
study02,study02_p08,study02/study02_p08,eog_coherence_reduction,higher,success,success,True,True,0.5818355393842642,0.29560792902054955,0.2862276103637147,0.2862276103637147,success_finite
study02,study02_p09,study02/study02_p09,eog_coherence_reduction,higher,success,success,True,True,0.3680495997563694,0.28552004942263165,0.08252955033373777,0.08252955033373777,success_finite
study02,study02_p10,study02/study02_p10,eog_coherence_reduction,higher,success,success,True,True,0.36803846102413135,0.2904741555372102,0.07756430548692117,0.07756430548692117,success_finite
study02,study02_p11,study02/study02_p11,eog_coherence_reduction,higher,success,success,True,True,0.26469022166870265,0.2751183911355854,-0.010428169466882742,-0.010428169466882742,success_finite
study02,study02_p12,study02/study02_p12,eog_coherence_reduction,higher,success,success,True,True,0.3428271288851594,0.22169322217684573,0.1211339067083137,0.1211339067083137,success_finite
study02,study02_p13,study02/study02_p13,eog_coherence_reduction,higher,success,success,True,True,0.44364235686966536,0.37920180280596133,0.06444055406370403,0.06444055406370403,success_finite
study02,study02_p14,study02/study02_p14,eog_coherence_reduction,higher,success,success,True,True,0.36305225214031955,0.3173921727022949,0.04566007943802464,0.04566007943802464,success_finite
study02,study02_p15,study02/study02_p15,eog_coherence_reduction,higher,success,success,True,True,0.35672588660783944,0.30789289291496524,0.048832993692874194,0.048832993692874194,success_finite
study02,study02_p16,study02/study02_p16,eog_coherence_reduction,higher,success,success,True,True,0.34847620689955916,0.3146229859006394,0.03385322099891974,0.03385322099891974,success_finite
study02,study02_p17,study02/study02_p17,eog_coherence_reduction,higher,success,success,True,True,0.3531900025187002,0.33170980859294874,0.021480193925751456,0.021480193925751456,success_finite
study02,study02_p18,study02/study02_p18,eog_coherence_reduction,higher,success,success,True,True,0.3003894005755136,0.21827025230356262,0.08211914827195099,0.08211914827195099,success_finite
study04,study04_p03,study04/study04_p03,eog_coherence_reduction,higher,success,success,True,True,0.40142363745890025,0.28977605252809985,0.1116475849308004,0.1116475849308004,success_finite
study04,study04_p08,study04/study04_p08,eog_coherence_reduction,higher,success,success,True,True,0.5382657446553547,0.3205983351313233,0.2176674095240314,0.2176674095240314,success_finite
study04,study04_p24,study04/study04_p24,eog_coherence_reduction,higher,success,success,True,True,0.28759628055490516,0.2571865727333904,0.030409707821514753,0.030409707821514753,success_finite
study04,study04_p28,study04/study04_p28,eog_coherence_reduction,higher,success,success,True,True,0.35387738039124417,0.2597368059519638,0.09414057443928037,0.09414057443928037,success_finite
study04,study04_p29,study04/study04_p29,eog_coherence_reduction,higher,success,success,True,True,0.3462264295525787,0.2726209200873252,0.07360550946525352,0.07360550946525352,success_finite
study04,study04_p30,study04/study04_p30,eog_coherence_reduction,higher,success,success,True,True,0.329412852748259,0.19341039562562082,0.13600245712263817,0.13600245712263817,success_finite
study04,study04_p31,study04/study04_p31,eog_coherence_reduction,higher,success,success,True,True,0.3234401857493134,0.28011280115767684,0.04332738459163654,0.04332738459163654,success_finite
study04,study04_p32,study04/study04_p32,eog_coherence_reduction,higher,success,success,True,True,0.0960675380447405,0.2597098146567034,-0.1636422766119629,-0.1636422766119629,success_finite
study04,study04_p33,study04/study04_p33,eog_coherence_reduction,higher,success,success,True,True,0.44916777147783393,0.31253014732777595,0.13663762415005798,0.13663762415005798,success_finite
study04,study04_p34,study04/study04_p34,eog_coherence_reduction,higher,success,success,True,True,0.4576851058361043,0.24721308518337531,0.21047202065272896,0.21047202065272896,success_finite
study04,study04_p35,study04/study04_p35,eog_coherence_reduction,higher,success,success,True,True,0.5613060989638314,0.3348219981546073,0.22648410080922415,0.22648410080922415,success_finite
study04,study04_p36,study04/study04_p36,eog_coherence_reduction,higher,success,success,True,True,0.3465395009110863,0.2972627047099837,0.04927679620110259,0.04927679620110259,success_finite
study04,study04_p37,study04/study04_p37,eog_coherence_reduction,higher,success,success,True,True,0.362800087466388,0.28154323255486724,0.08125685491152074,0.08125685491152074,success_finite
study04,study04_p38,study04/study04_p38,eog_coherence_reduction,higher,success,success,True,True,0.4046930317342246,0.33722867070913287,0.06746436102509173,0.06746436102509173,success_finite
study04,study04_p39,study04/study04_p39,eog_coherence_reduction,higher,success,success,True,True,0.43010008391939314,0.31907587736001775,0.1110242065593754,0.1110242065593754,success_finite
study05,study05_p06,study05/study05_p06,eog_coherence_reduction,higher,success,success,True,True,0.5161448608501332,0.4823061196514855,0.033838741198647715,0.033838741198647715,success_finite
study05,study05_p10,study05/study05_p10,eog_coherence_reduction,higher,success,success,True,True,0.4710136776468938,0.4348986161511035,0.0361150614957903,0.0361150614957903,success_finite
study05,study05_p24,study05/study05_p24,eog_coherence_reduction,higher,success,success,True,True,0.4373082646357657,0.3990510226683684,0.038257241967397326,0.038257241967397326,success_finite
study05,study05_p40,study05/study05_p40,eog_coherence_reduction,higher,success,success,True,True,0.42427229094039537,0.39499847921395315,0.029273811726442223,0.029273811726442223,success_finite
study05,study05_p41,study05/study05_p41,eog_coherence_reduction,higher,success,success,True,True,0.33986861737205004,0.3332945709615014,0.006574046410548651,0.006574046410548651,success_finite
study05,study05_p43,study05/study05_p43,eog_coherence_reduction,higher,success,success,True,True,0.510584558490386,0.46353392074560584,0.04705063774478013,0.04705063774478013,success_finite
study05,study05_p44,study05/study05_p44,eog_coherence_reduction,higher,success,success,True,True,0.5194321872121928,0.4370624613835372,0.08236972582865554,0.08236972582865554,success_finite
study05,study05_p45,study05/study05_p45,eog_coherence_reduction,higher,success,success,True,True,0.4989499310232715,0.3527616201666121,0.1461883108566594,0.1461883108566594,success_finite
study05,study05_p46,study05/study05_p46,eog_coherence_reduction,higher,success,success,True,True,0.4909104138372984,0.44949487675992705,0.041415537077371334,0.041415537077371334,success_finite
study05,study05_p47,study05/study05_p47,eog_coherence_reduction,higher,success,success,True,True,0.3699425261306189,0.2775133260846195,0.09242920004599942,0.09242920004599942,success_finite
study05,study05_p48,study05/study05_p48,eog_coherence_reduction,higher,success,success,True,True,0.5633276436759836,0.4865724408819398,0.07675520279404385,0.07675520279404385,success_finite
