recipient,risk,self_match,source_method,support_owner
sub-07,1.416916391586366,0,WRONG,sub-09
sub-07,1.0151210429676554,0,WRONG,sub-11
sub-07,1.033537999004657,0,WRONG,sub-12
sub-07,0.8287271543587534,0,WRONG,sub-14
sub-07,0.9503528371914427,0,WRONG,sub-15
sub-07,1.0047928512647806,0,WRONG,sub-17
sub-07,0.8740532402713086,0,WRONG,sub-18
sub-07,0.884022920551903,0,WRONG,sub-19
sub-07,1.215700180498276,0,WRONG,sub-21
sub-07,0.8787990495277812,0,WRONG,sub-23
sub-07,0.8732060969585191,0,WRONG,sub-24
sub-09,1.2445794625875397,0,WRONG,sub-02
sub-09,1.092263496796961,0,WRONG,sub-03
sub-09,1.0548357194878992,0,WRONG,sub-05
sub-09,1.0044033072257585,0,WRONG,sub-06
sub-09,1.0617930395194703,0,WRONG,sub-07
sub-09,1.028642387156629,1,MATCH,sub-09
sub-09,1.1497628440570347,0,WRONG,sub-11
sub-09,1.1151356143364424,0,WRONG,sub-12
sub-09,1.0510627252504179,0,WRONG,sub-14
sub-09,1.0060871286561175,0,WRONG,sub-15
sub-09,1.2431979361122878,0,WRONG,sub-17
sub-09,1.095750502831295,0,WRONG,sub-18
sub-09,1.1017718332622972,0,WRONG,sub-19
sub-09,1.0555079702454502,0,WRONG,sub-21
sub-09,0.9663898712673802,0,WRONG,sub-23
sub-09,1.0262096111395311,0,WRONG,sub-24
sub-11,0.9976960192942417,0,WRONG,sub-02
sub-11,0.882231423650043,0,WRONG,sub-03
sub-11,0.8887143318692567,0,WRONG,sub-05
sub-11,0.8863922801099221,0,WRONG,sub-06
sub-11,0.8910356719019923,0,WRONG,sub-07
sub-11,1.0771918141517434,0,WRONG,sub-09
sub-11,0.8966130930431854,1,MATCH,sub-11
sub-11,0.9248196436742941,0,WRONG,sub-12
sub-11,0.8862363690305459,0,WRONG,sub-14
sub-11,0.9080357088370987,0,WRONG,sub-15
sub-11,0.9358407050428172,0,WRONG,sub-17
sub-11,0.8995197154165806,0,WRONG,sub-18
sub-11,0.8982889791744075,0,WRONG,sub-19
sub-11,0.9886697084778668,0,WRONG,sub-21
sub-11,0.9203742492185626,0,WRONG,sub-23
sub-11,0.8722053513838247,0,WRONG,sub-24
sub-12,0.8578385228175949,0,WRONG,sub-02
sub-12,0.6930709345151089,0,WRONG,sub-03
sub-12,0.6854610121069096,0,WRONG,sub-05
sub-12,0.7005163117295901,0,WRONG,sub-06
sub-12,0.7160502522838845,0,WRONG,sub-07
sub-12,0.9378839321832015,0,WRONG,sub-09
sub-12,0.7253455574359382,0,WRONG,sub-11
sub-12,0.5821769689867204,1,MATCH,sub-12
sub-12,0.6978872847110098,0,WRONG,sub-14
sub-12,0.7433479905912244,0,WRONG,sub-15
sub-12,0.7271285249089724,0,WRONG,sub-17
sub-12,0.678385154998366,0,WRONG,sub-18
sub-12,0.7131991143972762,0,WRONG,sub-19
sub-12,0.8037654248777375,0,WRONG,sub-21
sub-12,0.8125249637764302,0,WRONG,sub-23
sub-12,0.6858291755842186,0,WRONG,sub-24
sub-14,0.9079408882323883,0,WRONG,sub-02
sub-14,0.7575217100378067,0,WRONG,sub-03
sub-14,0.7199557370133928,0,WRONG,sub-05
sub-14,0.6743673800493699,0,WRONG,sub-06
sub-14,0.709406753048827,0,WRONG,sub-07
sub-14,1.0759057224386508,0,WRONG,sub-09
sub-14,0.8372629560429514,0,WRONG,sub-11
sub-14,0.9298790338192084,0,WRONG,sub-12
sub-14,0.6330401925574491,1,MATCH,sub-14
sub-14,0.802446788152475,0,WRONG,sub-15
sub-14,1.0423035963780203,0,WRONG,sub-17
sub-14,0.7569297737192058,0,WRONG,sub-18
sub-14,0.7629430793152939,0,WRONG,sub-19
sub-14,0.8485552379016329,0,WRONG,sub-21
sub-14,0.8603318242321654,0,WRONG,sub-23
sub-14,0.6759081016225674,0,WRONG,sub-24
sub-15,0.8770965266434068,0,WRONG,sub-02
sub-15,0.7852526862146375,0,WRONG,sub-03
sub-15,0.8272787526867607,0,WRONG,sub-05
sub-15,0.7505975136675596,0,WRONG,sub-06
sub-15,0.7712682080847563,0,WRONG,sub-07
sub-15,1.0136406955507933,0,WRONG,sub-09
sub-15,0.8752616565880666,0,WRONG,sub-11
sub-15,0.9863514252208851,0,WRONG,sub-12
sub-15,0.7588663239214501,0,WRONG,sub-14
sub-15,0.6800159462231999,1,MATCH,sub-15
sub-15,0.9506861440287818,0,WRONG,sub-17
sub-15,0.7851844626516462,0,WRONG,sub-18
sub-15,0.7990954882366025,0,WRONG,sub-19
sub-15,0.8758925468166986,0,WRONG,sub-21
sub-15,0.8137258551837272,0,WRONG,sub-23
sub-15,0.7755472319605797,0,WRONG,sub-24
sub-17,0.9471320120660311,0,WRONG,sub-02
sub-17,0.7070415447129761,0,WRONG,sub-03
sub-17,0.6850868480181893,0,WRONG,sub-05
sub-17,0.6368628283905258,0,WRONG,sub-06
sub-17,0.6868319033277033,0,WRONG,sub-07
sub-17,0.9758479783239609,0,WRONG,sub-09
sub-17,0.730953553850554,0,WRONG,sub-11
sub-17,0.6774979930775344,0,WRONG,sub-12
sub-17,0.6598588336387892,0,WRONG,sub-14
sub-17,0.740843958519871,0,WRONG,sub-15
sub-17,0.6104185887626146,1,MATCH,sub-17
sub-17,0.6724099909127776,0,WRONG,sub-18
sub-17,0.7223975886625975,0,WRONG,sub-19
sub-17,0.8028122812921077,0,WRONG,sub-21
sub-17,0.7646637175324036,0,WRONG,sub-23
sub-17,0.6553802902449066,0,WRONG,sub-24
sub-18,0.773368528116726,0,WRONG,sub-02
sub-18,0.7324970287562473,0,WRONG,sub-03
sub-18,0.7673883350354331,0,WRONG,sub-05
sub-18,0.73788063729414,0,WRONG,sub-06
sub-18,0.7372508351233116,0,WRONG,sub-07
sub-18,1.0824836982103694,0,WRONG,sub-09
sub-18,0.7656375737074177,0,WRONG,sub-11
sub-18,0.8212420573311784,0,WRONG,sub-12
sub-18,0.7316486084377515,0,WRONG,sub-14
sub-18,0.7705182012331093,0,WRONG,sub-15
sub-18,0.8651180379765758,0,WRONG,sub-17
sub-18,0.6809848018498594,1,MATCH,sub-18
sub-18,0.7232020662300391,0,WRONG,sub-19
sub-18,0.8033562059152943,0,WRONG,sub-21
sub-18,0.8635508924685296,0,WRONG,sub-23
sub-18,0.7278442154995719,0,WRONG,sub-24
sub-19,0.8357181593181275,0,WRONG,sub-02
sub-19,0.7840540876254307,0,WRONG,sub-03
sub-19,0.7995925906152817,0,WRONG,sub-05
sub-19,0.7798462911018431,0,WRONG,sub-06
sub-19,0.7863149519931258,0,WRONG,sub-07
sub-19,1.0545220426988304,0,WRONG,sub-09
sub-19,0.8124689071191192,0,WRONG,sub-11
sub-19,0.8557602614690132,0,WRONG,sub-12
sub-19,0.7801748144805727,0,WRONG,sub-14
sub-19,0.7963218719488375,0,WRONG,sub-15
sub-19,0.9304939753921095,0,WRONG,sub-17
sub-19,0.7969214035126708,0,WRONG,sub-18
sub-19,0.7571146053121476,1,MATCH,sub-19
sub-19,1.005099086060059,0,WRONG,sub-21
sub-19,0.85591030309047,0,WRONG,sub-23
sub-19,0.7870896380906267,0,WRONG,sub-24
sub-21,0.8357015314942312,0,WRONG,sub-02
sub-21,0.6685539518600423,0,WRONG,sub-03
sub-21,0.6947233033208535,0,WRONG,sub-05
sub-21,0.6722788829895441,0,WRONG,sub-06
sub-21,0.7109792121733585,0,WRONG,sub-07
sub-21,0.9299015380969294,0,WRONG,sub-09
sub-21,0.739420691263335,0,WRONG,sub-11
sub-21,0.7563831283076181,0,WRONG,sub-12
sub-21,0.6580497940654887,0,WRONG,sub-14
sub-21,0.6945973815741011,0,WRONG,sub-15
sub-21,0.7711681944332103,0,WRONG,sub-17
sub-21,0.6596113098302685,0,WRONG,sub-18
sub-21,0.7199111713263935,0,WRONG,sub-19
sub-21,0.6129216666723359,1,MATCH,sub-21
sub-21,0.8193653886108414,0,WRONG,sub-23
sub-21,0.6592416575732694,0,WRONG,sub-24
sub-23,1.4304049445788047,0,WRONG,sub-02
sub-23,1.4461153366289234,0,WRONG,sub-03
sub-23,1.5461458106224328,0,WRONG,sub-05
sub-23,1.2004774555283944,0,WRONG,sub-06
sub-23,1.466573681581448,0,WRONG,sub-07
sub-23,1.7787262207385977,0,WRONG,sub-09
sub-23,1.661161493984075,0,WRONG,sub-11
sub-23,2.0457599989502264,0,WRONG,sub-12
sub-23,1.3307382179014737,0,WRONG,sub-14
sub-23,1.0377476771791185,0,WRONG,sub-15
sub-23,2.1540234467288597,0,WRONG,sub-17
sub-23,1.5137557323931907,0,WRONG,sub-18
sub-23,1.3904122361524922,0,WRONG,sub-19
sub-23,1.5471241047448645,0,WRONG,sub-21
sub-23,0.80298290739017,1,MATCH,sub-23
sub-23,1.3780483112521473,0,WRONG,sub-24
