fold,participant,view,arm,donor,beta,distance,morphology_distance,topography_distance,dynamics_distance
2,8,prestim,WRONG_MEAN,,0.25,1.4321080843607585,1.550069808959961,1.0338827967643738,1.7123716473579407
2,13,prestim,WRONG_DONOR,3,0.25,1.1384421984354656,1.0583887100219727,1.1121323108673096,1.2448055744171143
2,13,prestim,WRONG_DONOR,8,0.25,1.1729702949523926,1.1144555807113647,1.1831917762756348,1.2212635278701782
2,13,prestim,POP,,0.25,1.1375885009765625,1.0433552265167236,1.0953850746154785,1.2740252017974854
2,13,prestim,MATCH,,0.25,1.148545781771342,1.058384895324707,1.1485756635665894,1.2386767864227295
2,13,prestim,WRONG_MEAN,,0.25,1.1557062466939292,1.0864221453666687,1.1476620435714722,1.2330345511436462
2,3,hf_art,WRONG_DONOR,8,0.25,1.4687745571136475,1.7634880542755127,1.2258793115615845,1.4169563055038452
2,3,hf_art,WRONG_DONOR,13,0.25,1.4416069984436035,1.7514241933822632,1.2441285848617554,1.329268217086792
2,3,hf_art,POP,,0.25,1.4008769989013672,1.6936273574829102,1.2174968719482422,1.2915067672729492
2,3,hf_art,MATCH,,0.25,1.360839049021403,1.7339386940002441,1.1634674072265625,1.1851110458374023
2,3,hf_art,WRONG_MEAN,,0.25,1.4551907777786255,1.757456123828888,1.23500394821167,1.3731122612953186
2,8,hf_art,WRONG_DONOR,3,0.25,1.3428772687911987,1.3833707571029663,1.2092593908309937,1.4360016584396362
2,8,hf_art,WRONG_DONOR,13,0.25,1.2303529977798462,1.3489853143692017,1.180177927017212,1.161895751953125
2,8,hf_art,POP,,0.25,1.2620457410812378,1.3239690065383911,1.1961675882339478,1.2660006284713745
2,8,hf_art,MATCH,,0.25,1.2385048866271973,1.409513235092163,1.1855565309524536,1.120444893836975
2,8,hf_art,WRONG_MEAN,,0.25,1.2866151332855225,1.366178035736084,1.1947186589241028,1.2989487051963806
2,13,hf_art,WRONG_DONOR,3,0.25,1.5364067951838176,2.077375650405884,1.3820732831954956,1.1497714519500732
2,13,hf_art,WRONG_DONOR,8,0.25,1.4980764389038086,2.0668234825134277,1.4165873527526855,1.0108184814453125
2,13,hf_art,POP,,0.25,1.4865559736887615,2.025089740753174,1.3798187971115112,1.0547593832015991
2,13,hf_art,MATCH,,0.25,1.4955329895019531,2.066408157348633,1.4343130588531494,0.9858777523040771
2,13,hf_art,WRONG_MEAN,,0.25,1.5172416170438132,2.0720995664596558,1.3993303179740906,1.0802949666976929
