panel,contrast,metric,participant_mean_utility,participant_median_utility,positive_count,participants,bootstrap_low,bootstrap_high
natural,MATCH-POP,low_eog_observation_retention,-0.003644751873935595,-0.0005860622440065633,6,15,-0.010759213055132855,0.0017901730588580017
natural,MATCH-POP,psd_distortion,0.012249345979702642,0.005803613185882517,9,15,-0.0018865269993791052,0.030363613451881957
natural,MATCH-POP,covariance_distortion,-0.000954110947910151,-0.00011853335292366651,7,15,-0.006306080966438119,0.005044970149668067
natural,MATCH-WRONG,artifact_attenuation_db,0.4358461883399151,0.007800549168596405,10,15,-0.030041406940177682,1.127192675804615
natural,MATCH-WRONG,low_eog_observation_retention,0.31464264460225827,0.0008900704207243648,9,15,-0.0010519079285947282,0.7830945661576271
natural,MATCH-WRONG,psd_distortion,0.08061241296124542,0.001127779483795166,8,15,-0.020079732190503147,0.2162292764328396
natural,MATCH-WRONG,covariance_distortion,4.744901739195728,0.0016706768446553832,8,15,0.000996447166974509,11.77061685359589
natural,MATCH-SHUFFLED,artifact_attenuation_db,0.1827878479477786,0.0035404788658341957,8,15,-0.07053209932875874,0.6235060546063128
natural,MATCH-SHUFFLED,low_eog_observation_retention,0.11072962706402127,-0.0007854483344338359,7,15,-0.010455485023835238,0.344327786691695
natural,MATCH-SHUFFLED,psd_distortion,0.04599771522202802,0.004343755039057262,8,15,0.0013591045187816043,0.12112402916651893
natural,MATCH-SHUFFLED,covariance_distortion,0.6211271655444375,0.0019319894297336049,8,15,4.833527216838202e-05,1.8593252056114136
natural,MATCH-POP_MEAN,artifact_attenuation_db,-0.03254263613873802,-0.007596590163987393,3,15,-0.07971361369146504,-0.004184689237576301
natural,MATCH-POP_MEAN,low_eog_observation_retention,-0.005544873762129401,-0.001905805751925671,2,15,-0.012935759991058365,-0.0010327991783453522
natural,MATCH-POP_MEAN,psd_distortion,0.008842557623220637,-0.003994642559326023,6,15,-0.0041835373487778904,0.028139813252740984
natural,MATCH-POP_MEAN,covariance_distortion,-0.0015287713929226453,-0.0022843548135011993,5,15,-0.0039049062934890266,0.001126264681796759
natural,MATCH-ADAPTER_DISABLED,artifact_attenuation_db,-0.02620413657954505,-0.005516877622030236,7,15,-0.07094929870686717,0.007087441797553116
natural,MATCH-ADAPTER_DISABLED,low_eog_observation_retention,-0.003644751873935595,-0.0005860622440065633,6,15,-0.010759213055132855,0.0017901730588580017
natural,MATCH-ADAPTER_DISABLED,psd_distortion,0.012249345979702642,0.005803613185882517,9,15,-0.0018865269993791052,0.030363613451881957
natural,MATCH-ADAPTER_DISABLED,covariance_distortion,-0.000954110947910151,-0.00011853335292366651,7,15,-0.006306080966438119,0.005044970149668067
