acquisition_span_seconds,duration_seconds,effective_samples,effective_seconds,evidence_status,mean,median,method,metric,panel,rows,sampling_rate_hz,starts,window_count,window_samples
10,10,1000,10.0,V31_exact_duration_contract,0.9985382089062543,0.9984230929201954,V29_PA_SC_DET,natural_remaining_ratio,natural,1080,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,V31_exact_duration_contract,0.9985383158924719,0.9984231877582397,V29_PA_SC_DET,natural_remaining_ratio,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,V31_exact_duration_contract,0.9985387733441442,0.9984228582331852,V29_PA_SC_DET,natural_remaining_ratio,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,0,0,0.0,V31_exact_duration_contract,0.7976408389206461,0.8252009259388389,V25_SET_CALIB_DET,low_eog_observation_retention,natural,1080,100,[],0,200
5,5,400,4.0,V31_exact_duration_contract,0.7708060076428974,0.7979512523829465,V25_SET_CALIB_DET,low_eog_observation_retention,natural,1080,100,"[0, 200]",2,200
10,10,1000,10.0,V31_exact_duration_contract,0.7776005201774456,0.8102303671896507,V25_SET_CALIB_DET,low_eog_observation_retention,natural,1080,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,V31_exact_duration_contract,0.7783658867143975,0.8101853376746002,V25_SET_CALIB_DET,low_eog_observation_retention,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,V31_exact_duration_contract,0.7800690530339647,0.811284072518831,V25_SET_CALIB_DET,low_eog_observation_retention,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,0,0,0.0,V31_exact_duration_contract,0.7976408389206461,0.8252009259388389,V26_CALIB_SDEDIT,low_eog_observation_retention,natural,1080,100,[],0,200
5,5,400,4.0,V31_exact_duration_contract,0.7574457635140313,0.7853383809713372,V26_CALIB_SDEDIT,low_eog_observation_retention,natural,1080,100,"[0, 200]",2,200
10,10,1000,10.0,V31_exact_duration_contract,0.76568800760545,0.7952963470285606,V26_CALIB_SDEDIT,low_eog_observation_retention,natural,1080,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,V31_exact_duration_contract,0.7662766405469683,0.7960014344731837,V26_CALIB_SDEDIT,low_eog_observation_retention,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,V31_exact_duration_contract,0.7674931655437643,0.7959248633083078,V26_CALIB_SDEDIT,low_eog_observation_retention,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,0,0,0.0,V31_exact_duration_contract,0.9924650084583256,0.995283271779043,V29_PA_SC_CDM,low_eog_observation_retention,natural,1080,100,[],0,200
5,5,400,4.0,V31_exact_duration_contract,0.9925394192900697,0.9953886291049888,V29_PA_SC_CDM,low_eog_observation_retention,natural,1080,100,"[0, 200]",2,200
10,10,1000,10.0,V31_exact_duration_contract,0.9925395982265446,0.9953928737070359,V29_PA_SC_CDM,low_eog_observation_retention,natural,1080,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,V31_exact_duration_contract,0.9925399106690524,0.9953919689744405,V29_PA_SC_CDM,low_eog_observation_retention,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,V31_exact_duration_contract,0.9925398831431254,0.9953928625678163,V29_PA_SC_CDM,low_eog_observation_retention,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,0,0,0.0,V31_exact_duration_contract,0.9980644234806252,0.998730388507449,V29_PA_SC_DET,low_eog_observation_retention,natural,1080,100,[],0,200
5,5,400,4.0,V31_exact_duration_contract,0.9977892187169523,0.9984160080861707,V29_PA_SC_DET,low_eog_observation_retention,natural,1080,100,"[0, 200]",2,200
10,10,1000,10.0,V31_exact_duration_contract,0.9977906187562285,0.998418038398381,V29_PA_SC_DET,low_eog_observation_retention,natural,1080,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,V31_exact_duration_contract,0.9977913912006119,0.9984185486364348,V29_PA_SC_DET,low_eog_observation_retention,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,V31_exact_duration_contract,0.9977920156124553,0.9984201817640564,V29_PA_SC_DET,low_eog_observation_retention,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
5,5,400,4.0,V31_exact_duration_contract,3.4474701404571535,2.9176433086395264,SUPPORT_ENCODING,context_stability_to_120,diagnostic,15,100,"[0, 200]",2,200
10,10,1000,10.0,V31_exact_duration_contract,2.083890207608541,1.8348459005355835,SUPPORT_ENCODING,context_stability_to_120,diagnostic,15,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,V31_exact_duration_contract,1.2615385015805562,1.2459439039230347,SUPPORT_ENCODING,context_stability_to_120,diagnostic,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,V31_exact_duration_contract,0.0,0.0,SUPPORT_ENCODING,context_stability_to_120,diagnostic,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
5,5,400,4.0,V31_exact_duration_contract,1.5937604188919068,1.6918898820877075,SUPPORT_ENCODING,projector_stability_to_120,diagnostic,15,100,"[0, 200]",2,200
10,10,1000,10.0,V31_exact_duration_contract,1.1309139887491861,1.180491328239441,SUPPORT_ENCODING,projector_stability_to_120,diagnostic,15,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,V31_exact_duration_contract,0.7431793332099914,0.727021336555481,SUPPORT_ENCODING,projector_stability_to_120,diagnostic,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,V31_exact_duration_contract,0.0,0.0,SUPPORT_ENCODING,projector_stability_to_120,diagnostic,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
5,5,400,4.0,V31_exact_duration_contract,1.310093072189139,1.1658694234534375,SUPPORT_ENCODING,support_encoding_ms_per_query,diagnostic,15,100,"[0, 200]",2,200
10,10,1000,10.0,V31_exact_duration_contract,0.4229627278012533,0.4363624652291441,SUPPORT_ENCODING,support_encoding_ms_per_query,diagnostic,15,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,V31_exact_duration_contract,0.45839044991966893,0.4717075620040608,SUPPORT_ENCODING,support_encoding_ms_per_query,diagnostic,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,V31_exact_duration_contract,0.7957013791181249,0.817533360936472,SUPPORT_ENCODING,support_encoding_ms_per_query,diagnostic,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
5,5,400,4.0,historical_invalid_duration_contract,2.5149803320566813,2.3010268211364746,SUPPORT_ENCODING,context_stability,diagnostic,15,100,"[0, 200]",2,200
5,5,400,4.0,historical_invalid_duration_contract,1.2671166777610778,1.3117841482162476,SUPPORT_ENCODING,projector_stability,diagnostic,15,100,"[0, 200]",2,200
5,5,400,4.0,historical_invalid_duration_contract,18.25300439371926,18.593579611559917,SUPPORT_ENCODING,encoding_ms,diagnostic,15,100,"[0, 200]",2,200
10,10,1000,10.0,historical_invalid_duration_contract,1.6445256233215333,1.5852031707763672,SUPPORT_ENCODING,context_stability,diagnostic,15,100,"[0, 200, 400, 600, 800]",5,200
10,10,1000,10.0,historical_invalid_duration_contract,0.9317280789216359,0.9679622650146484,SUPPORT_ENCODING,projector_stability,diagnostic,15,100,"[0, 200, 400, 600, 800]",5,200
10,10,1000,10.0,historical_invalid_duration_contract,17.960460294394846,18.362250500811367,SUPPORT_ENCODING,encoding_ms,diagnostic,15,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,historical_invalid_duration_contract,1.2388651728630067,1.2132649421691895,SUPPORT_ENCODING,context_stability,diagnostic,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
30,30,3000,30.0,historical_invalid_duration_contract,0.7405310074488322,0.7369162440299988,SUPPORT_ENCODING,projector_stability,diagnostic,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
30,30,3000,30.0,historical_invalid_duration_contract,19.7724128944241,20.222542555630852,SUPPORT_ENCODING,encoding_ms,diagnostic,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,historical_invalid_duration_contract,0.0,0.0,SUPPORT_ENCODING,context_stability,diagnostic,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
120,120,12000,120.0,historical_invalid_duration_contract,0.0,0.0,SUPPORT_ENCODING,projector_stability,diagnostic,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
120,120,12000,120.0,historical_invalid_duration_contract,18.643935205801863,18.929851763661848,SUPPORT_ENCODING,encoding_ms,diagnostic,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,0,0,0.0,historical_invalid_duration_contract,0.9316598823578669,0.9301844558323824,V25_SET_CALIB_DET,artifact_remaining,natural,15,100,[],0,200
0,0,0,0.0,historical_invalid_duration_contract,0.7976402911980236,0.782108118813038,V25_SET_CALIB_DET,retention,natural,15,100,[],0,200
5,5,400,4.0,historical_invalid_duration_contract,0.9212435000376499,0.9239406689396404,V25_SET_CALIB_DET,artifact_remaining,natural,15,100,"[0, 200]",2,200
5,5,400,4.0,historical_invalid_duration_contract,0.7726852635086929,0.7637289361958352,V25_SET_CALIB_DET,retention,natural,15,100,"[0, 200]",2,200
10,10,1000,10.0,historical_invalid_duration_contract,0.9241944393837925,0.9327044125884859,V25_SET_CALIB_DET,artifact_remaining,natural,15,100,"[0, 200, 400, 600, 800]",5,200
10,10,1000,10.0,historical_invalid_duration_contract,0.7774569744612271,0.7669007099330494,V25_SET_CALIB_DET,retention,natural,15,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,historical_invalid_duration_contract,0.9254944670607143,0.933618300474886,V25_SET_CALIB_DET,artifact_remaining,natural,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
30,30,3000,30.0,historical_invalid_duration_contract,0.7786115619062036,0.7681583846842778,V25_SET_CALIB_DET,retention,natural,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,historical_invalid_duration_contract,0.9317041800947758,0.9386744842660598,V25_SET_CALIB_DET,artifact_remaining,natural,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
120,120,12000,120.0,historical_invalid_duration_contract,0.7789924591694745,0.767999161954503,V25_SET_CALIB_DET,retention,natural,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,0,0,0.0,historical_invalid_duration_contract,0.9316598823578669,0.9301844558323824,V26_CALIB_SDEDIT,artifact_remaining,natural,15,100,[],0,200
0,0,0,0.0,historical_invalid_duration_contract,0.7976402911980236,0.782108118813038,V26_CALIB_SDEDIT,retention,natural,15,100,[],0,200
5,5,400,4.0,historical_invalid_duration_contract,0.9293299943009633,0.9379559577046521,V26_CALIB_SDEDIT,artifact_remaining,natural,15,100,"[0, 200]",2,200
5,5,400,4.0,historical_invalid_duration_contract,0.7594920993373374,0.7483197143865448,V26_CALIB_SDEDIT,retention,natural,15,100,"[0, 200]",2,200
10,10,1000,10.0,historical_invalid_duration_contract,0.9318472646010918,0.9384567764534404,V26_CALIB_SDEDIT,artifact_remaining,natural,15,100,"[0, 200, 400, 600, 800]",5,200
