fold,model,path,seed,selected_epoch,sha256,training_subjects
1,V33P_full_pool_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260920/eegnet_full_pool.pt,20260920,frozen,5cd1a25c8adb2d3a48e4ba05119a18416bc4151fdc3a75d14e8155168ebc3d3d,1;2;3;7;8;9
1,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_1_seed_20260921/stage_b/Fiber-OneStep.pt,20260921,10,6ad31d28773a4c7c9f19a707471cba8876bf601b7cd9925ece8b46dbcfb0d72d,1;2;3;7;8;9
1,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_1_seed_20260921/stage_b/Fiber-SANDiff.pt,20260921,30,884e3c5577bb70a3652fdcbaf6242be28ab6c82ce503cbab390253784c279a03,1;2;3;7;8;9
1,V33P_stage_A_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260921/stage_a_eegnet.pt,20260921,frozen,f126a2014695e08b0619991d39d75c9020f97288ed9d904018a515bb0586e34c,1;2;3
1,V33P_full_pool_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260921/eegnet_full_pool.pt,20260921,frozen,d7feabca014442cd5b8b45ff15ec76d720d171379d036237e0da3562e42f5c3d,1;2;3;7;8;9
2,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_2_seed_20260920/stage_b/Fiber-OneStep.pt,20260920,80,1bdcf65845f200f1380fd67a69e3a4b871c52cf4eded3b857880bc34bada0fe5,1;2;3;4;5;6
2,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_2_seed_20260920/stage_b/Fiber-SANDiff.pt,20260920,10,99da0adb969a94b29df7df1b9169f3f78f8107a27af1c23ad3184501f9900c9c,1;2;3;4;5;6
2,V33P_stage_A_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260920/stage_a_eegnet.pt,20260920,frozen,9702095c493b678c5b08b51f074dc9802cbff523c6902a2ec9284e9bf77613ce,4;5;6
2,V33P_full_pool_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260920/eegnet_full_pool.pt,20260920,frozen,f642645473649dac3847fca0e9c995379a054f1f60ea1324816b771e794888aa,1;2;3;4;5;6
2,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_2_seed_20260921/stage_b/Fiber-OneStep.pt,20260921,10,b3a6efe3347b40ac2f9aa09dae25c7270800540d4cc637cd7ba2c75b076d409c,1;2;3;4;5;6
2,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_2_seed_20260921/stage_b/Fiber-SANDiff.pt,20260921,50,ad1b488c97d66e5030652f0e28a7077c6217960119b5c172bf352147b6df2cff,1;2;3;4;5;6
2,V33P_stage_A_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260921/stage_a_eegnet.pt,20260921,frozen,5052e0a5b9168aad2fa73c010c82f87e266b9ea56b3b044ccadefcc0de8991e0,4;5;6
2,V33P_full_pool_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_2_seed_20260921/eegnet_full_pool.pt,20260921,frozen,392643cdc77eafa0fb7c3fd3dd22753b7a14fec27e8de06d7b1ce372a3f41519,1;2;3;4;5;6
